Index,Date_Data_1,Data_1,Date_Data_2,Data_2,Data_1_2MA,Data_1_5MA,Data_1_10MA
0,19320318,8.02,20220419,4462.21,,,
1,19320321,8.06,20220420,4459.45,8.04,,
2,19320322,8.05,20220421,4393.66,8.055,,
3,19320323,7.94,20220422,4271.78,7.995,,
4,19320324,7.86,20220425,4296.12,7.9,7.986,
5,19320328,7.59,20220426,4175.2,7.725,7.9,
6,19320329,7.58,20220427,4183.96,7.585,7.804,
7,19320330,7.74,20220428,4287.5,7.66,7.742,
8,19320331,7.31,20220429,4131.93,7.525,7.616,
9,19320401,7.18,20220502,4155.38,7.245,7.48,
10,19320404,7.06,20220503,4175.48,7.12,7.374,7.733
11,19320405,6.73,20220504,4300.17,6.895,7.204,7.637
12,19320406,6.53,20220505,4146.87,6.63,6.962,7.504
13,19320407,6.46,20220506,4123.34,6.495,6.792,7.352
14,19320408,6.29,20220509,3991.24,6.375,6.614,7.204
15,19320411,6.07,20220510,4001.05,6.18,6.416,7.047
16,19320412,6.06,20220511,3935.18,6.065,6.282,6.895
17,19320413,5.98,20220512,3930.08,6.02,6.172,6.743
18,19320414,6.25,20220513,4023.89,6.115,6.13,6.567
19,19320415,6.42,20220516,4008.01,6.335,6.156,6.461
20,19320418,6.12,20220517,4070.86,6.27,6.166,6.385
21,19320419,6.03,20220518,,6.075,6.16,6.291
22,19320420,6.03,20220519,,6.03,6.17,6.221
23,19320421,6.24,20220520,,6.135,6.168,6.171
24,19320422,5.96,20220521,,6.1,6.076,6.149
25,19320425,6.03,20220522,,5.995,6.058,6.116
26,19320426,6.12,20220523,,6.075,6.076,6.112
27,19320427,6.27,20220524,,6.195,6.124,6.118
28,19320428,6.03,20220525,,6.15,6.082,6.147
29,19320429,5.83,20220526,,5.93,6.056,6.125
30,19320502,5.74,20220527,,5.785,5.998,6.066
31,19320503,5.66,20220528,,5.7,5.906,6.028
32,19320504,5.74,20220529,,5.7,5.8,5.991
33,19320505,5.68,20220530,,5.71,5.73,5.962
34,19320506,6.09,20220531,,5.885,5.782,5.906
35,19320509,5.96,20220601,,6.025,5.826,5.919
36,19320510,6.01,20220602,,5.985,5.896,5.912
37,19320511,6,20220603,,6.005,5.948,5.901
38,19320512,5.8,20220604,,5.9,5.972,5.874
39,19320513,5.6,20220605,,5.7,5.874,5.851
40,19320516,5.61,20220606,,5.605,5.804,5.828
41,19320517,5.59,20220607,,5.6,5.72,5.815
42,19320518,5.45,20220608,,5.52,5.61,5.808
