Symbol,since
MMM,516063998
ABT,516015690
ABBV,516070281
ABMD,515725823
ACN,516025820
ATVI,516070706
ADBE,516070392
AMD,516060052
AAP,516051552
AES,515920526
AFL,515994992
A,516030633
APD,516066833
AKAM,516044478
ALK,516037873
ALB,516058559
ARE,515913942
ALGN,516043732
ALLE,515916854
LNT,515727746
ALL,515862760
GOOGL,516071393
GOOG,516070234
MO,516042158
AMZN,516073540
AMCR,515814016
AEE,515821876
AAL,516055098
AEP,515979595
AXP,515979995
AIG,515975124
AMT,516066368
AWK,515981833
AMP,516070947
ABC,516044001
AME,515900821
AMGN,516067927
APH,515901714
ADI,516073254
ANSS,516040072
ANTM,0
AON,515979483
AOS,515903599
APA,516047508
AAPL,516046656
AMAT,515960847
APTV,516067088
ADM,516012531
ANET,516065974
AJG,515957253
AIZ,515888274
T,516067471
ATO,515862851
ADSK,515928435
ADP,515951889
AZO,516064791
AVB,515926796
AVY,515915181
BKR,516037541
BLL,0
BAC,516074201
BK,516004806
BAX,516072908
BDX,516008137
BRK.B,516070676
BBY,516071814
BIO,515860092
BIIB,516056639
BLK,516012443
BA,516067751
BKNG,516034404
BWA,516069088
BXP,515930387
BSX,515898660
BMY,516058113
AVGO,516061027
BR,516062841
BF.B,515999395
CHRW,515474670
COG,514531018
CDNS,516028187
CZR,516058527
CPB,516052426
COF,516068156
CAH,515948596
KMX,516038517
CCL,516072020
CARR,516047945
CTLT,516050745
CAT,516066346
CBOE,515779209
CBRE,515961934
CDW,515889345
CE,515926786
CNC,516054033
CNP,515928976
CERN,508712914
CF,516029537
CRL,515970522
SCHW,516036346
CHTR,516060971
CVX,516061787
CMG,516072975
CB,515960863
CHD,516032099
CI,516072658
CINF,516071402
CTAS,516065066
CSCO,516065687
C,516074317
CFG,516033901
CTXS,511977980
CLX,516001488
CME,515979906
CMS,515919828
KO,516061459
CTSH,516074315
CL,515943392
CMCSA,516073632
CMA,515994117
CAG,515796146
COP,516043318
ED,516012115
STZ,515959999
COO,516058245
CPRT,515303337
GLW,516032352
CTVA,516046159
COST,516072629
CCI,516066368
CSX,516023847
CMI,516051743
CVS,516070514
DHI,516068946
DHR,516022559
DRI,516036559
DVA,516009491
DE,516058127
DAL,516063149
XRAY,516071163
DVN,516052947
DXCM,516046953
FANG,516003071
DLR,515972450
DFS,516068756
DISCA,515772669
DISCK,515722856
DISH,516037401
DG,515969599
DLTR,516064805
D,516052381
DPZ,516014501
DOV,515968326
DOW,516043873
DTE,515976087
DUK,516044922
DRE,512240768
DD,516004593
DXC,515934367
EMN,516071315
ETN,515904681
EBAY,516053207
ECL,515991379
EIX,515865333
EW,516047771
EA,516022223
EMR,516056621
