open,high,low,close,volume,datetime
17.16,17.39,17.15,17.39,813993,20220517
17.3892,17.415,17.27,17.31,330456,20220517
17.315,17.34,17.21,17.29,293433,20220517
17.29,17.4,17.28,17.3402,215832,20220517
17.34,17.395,17.31,17.3863,251857,20220517
17.38,17.38,17.235,17.2399,238129,20220517
17.235,17.28,17.1412,17.22,188816,20220517
17.22,17.305,17.205,17.3,112545,20220517
17.295,17.3151,17.24,17.245,66916,20220517
17.24,17.295,17.21,17.22,148148,20220517
17.2299,17.29,17.2,17.215,154851,20220517
17.22,17.335,17.22,17.329,219078,20220517
17.3201,17.4,17.3201,17.395,121161,20220517
17.3967,17.54,17.37,17.525,541986,20220517
17.5255,17.54,17.4901,17.5218,232034,20220517
17.52,17.55,17.4601,17.48,182210,20220517
17.48,17.495,17.39,17.415,148414,20220517
17.415,17.46,17.35,17.35,183190,20220517
17.3501,17.415,17.3317,17.375,234349,20220517
17.37,17.4,17.29,17.295,123471,20220517
17.295,17.38,17.27,17.345,124562,20220517
17.34,17.3639,17.321,17.325,51515,20220517
17.33,17.335,17.28,17.315,62788,20220517
17.3103,17.34,17.2816,17.335,69022,20220517
17.34,17.355,17.2989,17.3274,77306,20220517
17.315,17.35,17.3003,17.33,105225,20220517
17.325,17.4475,17.315,17.41,190550,20220517
17.41,17.4409,17.38,17.435,85908,20220517
17.43,17.445,17.3899,17.3899,109845,20220517
17.39,17.435,17.36,17.415,90467,20220517
17.405,17.4315,17.36,17.395,61835,20220517
17.39,17.4,17.37,17.37,28994,20220517
17.36,17.395,17.345,17.3703,30375,20220517
17.375,17.415,17.3615,17.37,61721,20220517
17.365,17.42,17.36,17.3938,59086,20220517
17.39,17.42,17.38,17.4,69943,20220517
17.395,17.415,17.37,17.375,34283,20220517
17.37,17.37,17.275,17.33,68146,20220517
17.33,17.33,17.3,17.31,30877,20220517
17.31,17.32,17.28,17.2809,45867,20220517
17.28,17.28,17.22,17.22,137744,20220517
17.23,17.2385,17.2,17.21,54672,20220517
17.2094,17.225,17.2,17.205,58136,20220517
17.21,17.2548,17.2,17.2358,30275,20220517
17.2301,17.27,17.2301,17.25,41448,20220517
