open,high,low,close,volume,datetime
412.15,414.375,412.15,412.25,43193,20220517
412.8499,413.63,412.5,412.75,3430,20220517
413.4,415.255,413.4,415.255,10188,20220517
415.38,416.0,415.0,415.34,8974,20220517
415.34,416.72,415.24,416.0094,9253,20220517
415.51,415.51,414.05,414.05,5438,20220517
413.6,414.64,413.09,414.64,3489,20220517
414.43,415.49,413.26,413.26,4426,20220517
413.86,414.54,412.98,414.54,3801,20220517
414.38,414.6384,413.74,413.74,2800,20220517
414.28,415.07,414.1204,414.45,3750,20220517
414.71,415.44,414.59,415.14,2733,20220517
415.65,416.2655,415.54,415.975,3520,20220517
415.65,415.7,415.05,415.7,3072,20220517
415.44,415.8399,414.7,415.29,3602,20220517
415.85,415.975,414.79,415.3,4386,20220517
415.219,415.219,414.55,414.55,2652,20220517
414.8,415.15,413.185,413.27,4430,20220517
413.21,414.18,413.2,413.86,2250,20220517
413.97,413.98,413.44,413.45,4604,20220517
413.61,413.99,412.92,412.92,8792,20220517
413.09,414.055,413.09,413.71,3849,20220517
413.79,413.79,412.82,413.06,1870,20220517
413.13,413.47,412.53,412.785,3395,20220517
412.77,412.77,411.17,412.07,9329,20220517
412.14,412.95,411.97,412.885,3540,20220517
412.73,413.11,412.3,412.715,4319,20220517
412.29,412.34,411.72,412.28,3200,20220517
411.68,411.68,411.24,411.24,2319,20220517
411.11,411.81,410.95,411.81,2400,20220517
411.98,412.205,411.335,411.805,2504,20220517
411.8912,412.33,411.8,412.11,4100,20220517
412.19,412.99,412.13,412.99,3394,20220517
412.73,413.01,412.57,412.7,2728,20220517
412.84,413.98,412.6,413.85,856,20220517
413.89,413.89,413.04,413.38,3016,20220517
413.325,413.325,412.1,412.51,3050,20220517
412.66,412.71,411.9,412.545,2458,20220517
412.17,412.26,411.8,412.26,700,20220517
411.8,412.115,411.512,411.795,1500,20220517
411.8,411.8,410.99,410.99,5602,20220517
410.8668,411.01,410.05,410.27,4125,20220517
410.43,411.16,410.43,410.81,5309,20220517
411.2612,411.71,410.97,411.185,2807,20220517
411.0776,411.715,411.0776,411.715,3656,20220517
411.845,411.99,411.27,411.49,3006,20220517
411.48,412.14,411.27,411.76,2604,20220517
411.49,411.85,411.2357,411.85,4402,20220517
411.95,412.1237,411.5,411.73,3987,20220517
411.55,412.72,411.55,412.465,5724,20220517
412.55,412.99,412.13,412.13,2885,20220517
411.49,411.57,410.56,410.98,2979,20220517
410.76,411.0645,410.2,411.0645,1733,20220517
411.18,411.19,410.71,410.94,1500,20220517
411.14,411.46,410.62,411.46,2287,20220517
411.58,411.77,410.94,410.94,2098,20220517
410.7,410.795,410.452,410.74,3268,20220517
410.98,410.98,410.445,410.655,600,20220517
410.53,410.63,410.21,410.21,1600,20220517
410.0,410.05,409.04,409.26,5146,20220517
409.03,409.61,408.92,409.61,4512,20220517
409.76,410.04,409.29,409.295,2209,20220517
408.51,408.91,408.41,408.61,1827,20220517
408.78,409.06,408.46,408.46,1511,20220517
408.68,409.01,408.26,408.44,2200,20220517
408.33,408.33,407.6955,408.035,1130,20220517
407.96,407.96,407.61,407.87,1459,20220517
407.6,407.77,407.46,407.73,1100,20220517
407.76,407.76,406.76,406.76,2640,20220517
406.66,406.89,406.505,406.505,5635,20220517
406.7,406.7,405.91,406.13,6117,20220517
405.71,405.77,405.385,405.58,1350,20220517
405.66,405.685,405.17,405.635,2796,20220517
405.9,406.51,405.75,406.415,2309,20220517
406.54,406.545,406.21,406.335,4700,20220517
406.21,406.22,405.0,405.0,7500,20220517
404.86,404.99,404.22,404.635,6629,20220517
404.65,405.91,404.5,405.91,3023,20220517
405.53,406.12,405.52,405.59,3005,20220517
405.74,406.1,405.72,406.1,600,20220517
405.94,406.15,405.07,405.31,2800,20220517
405.02,405.52,404.95,405.52,1987,20220517
405.66,405.77,405.17,405.7547,1056,20220517
405.33,405.33,404.64,404.83,952,20220517
404.65,404.925,404.65,404.78,1000,20220517
404.59,404.69,404.3388,404.62,2649,20220517
404.78,404.87,404.08,404.17,2015,20220517
404.25,404.31,403.79,403.8357,2982,20220517
403.93,404.37,403.82,404.37,28420,20220517
404.35,404.72,403.89,404.625,4513,20220517
404.56,404.56,403.827,404.01,1713,20220517
404.38,405.0555,404.257,404.91,1982,20220517
404.95,405.06,404.6,404.6,865,20220517
404.63,404.63,403.6425,403.825,5404,20220517
403.84,404.7063,403.54,404.7063,6950,20220517
404.39,404.62,404.39,404.62,1338,20220517
404.76,404.87,404.325,404.325,833,20220517
404.19,404.19,403.79,404.17,2620,20220517
404.07,404.13,403.785,403.93,1230,20220517
403.89,403.89,403.55,403.69,1200,20220517
404.16,404.16,403.87,404.05,400,20220517
404.13,404.14,403.98,404.14,300,20220517
404.02,404.87,404.02,404.87,900,20220517
404.98,405.0,404.43,404.44,1690,20220517
404.57,404.98,404.46,404.98,6500,20220517
405.1794,405.38,404.385,404.5483,7446,20220517
404.32,404.685,404.32,404.37,1900,20220517
404.235,404.3399,403.725,403.725,2360,20220517
403.94,405.095,403.94,405.095,1125,20220517
405.2999,405.2999,404.83,404.985,1294,20220517
405.1536,405.38,405.15,405.29,1372,20220517
405.32,405.94,405.055,405.31,9473,20220517
405.39,405.39,405.02,405.02,1618,20220517
405.06,405.695,404.99,405.695,1705,20220517
405.62,405.672,405.33,405.33,2749,20220517
405.24,405.56,405.22,405.39,2000,20220517
405.3,405.3,404.93,405.14,1000,20220517
405.2,405.365,405.07,405.33,2191,20220517
405.24,405.68,405.24,405.68,1200,20220517
405.82,406.145,405.68,405.74,4447,20220517
405.86,406.09,405.86,406.06,3100,20220517
406.02,406.49,405.84,406.31,4737,20220517
406.05,406.05,405.87,406.045,1200,20220517
406.15,406.54,406.15,406.54,700,20220517
406.91,407.49,406.91,407.49,2117,20220517
407.54,407.725,407.54,407.58,1400,20220517
407.705,408.25,407.645,408.25,2500,20220517
408.3052,408.585,408.1,408.585,4323,20220517
408.55,408.625,407.9,407.985,4100,20220517
408.07,408.26,407.835,407.835,1951,20220517
407.89,408.21,407.89,408.21,2606,20220517
408.56,409.095,408.56,409.0219,2200,20220517
408.84,408.84,408.195,408.35,1800,20220517
408.33,408.33,407.95,408.18,2215,20220517
408.18,408.27,408.18,408.27,700,20220517
408.32,408.361,408.03,408.19,605,20220517
408.04,408.545,408.04,408.475,1100,20220517
408.38,408.38,408.274,408.274,235,20220517
407.6318,407.91,407.6318,407.89,518,20220517
407.76,407.85,407.72,407.73,1200,20220517
407.94,408.11,407.94,408.11,1000,20220517
408.18,408.7,408.18,408.5154,2144,20220517
408.652,408.652,408.18,408.3,2640,20220517
408.77,408.77,407.99,408.005,1350,20220517
408.17,408.17,407.85,407.85,1697,20220517
407.7,407.71,407.05,407.41,2840,20220517
407.4,407.56,407.0,407.0,1200,20220517
407.0,407.15,406.92,406.92,800,20220517
406.92,406.96,406.555,406.555,700,20220517
406.84,406.84,406.63,406.6644,1124,20220517
406.86,406.87,406.48,406.66,2114,20220517
406.4,406.62,406.4,406.58,800,20220517
406.52,406.89,406.34,406.89,1200,20220517
407.0,407.015,406.675,406.8139,1651,20220517
406.67,407.03,406.48,407.03,1729,20220517
406.89,406.89,406.27,406.27,3116,20220517
406.35,406.63,405.84,406.14,2100,20220517
405.9,406.125,405.8201,406.02,900,20220517
406.02,406.64,406.02,406.64,700,20220517
406.5828,406.71,406.33,406.475,1647,20220517
406.44,406.47,405.8001,405.95,965,20220517
405.84,406.01,405.78,405.85,2000,20220517
405.92,406.17,405.81,405.81,3424,20220517
405.81,405.975,405.81,405.97,883,20220517
405.9,406.16,405.515,405.515,1602,20220517
405.4,405.82,405.335,405.82,1800,20220517
405.9324,406.1,405.835,406.02,1963,20220517
406.36,406.85,406.36,406.71,1600,20220517
406.65,406.65,406.185,406.29,1400,20220517
406.14,406.17,405.82,405.82,2460,20220517
405.87,406.335,405.59,405.76,2700,20220517
405.6935,405.88,405.42,405.5,2655,20220517
405.49,405.62,405.49,405.62,207,20220517
405.66,406.18,405.66,406.03,1600,20220517
406.25,406.42,406.25,406.41,721,20220517
406.53,406.54,406.1405,406.54,900,20220517
407.475,407.475,407.15,407.15,700,20220517
407.04,407.045,406.68,406.68,1200,20220517
406.815,407.54,406.81,407.38,3989,20220517
407.39,407.94,407.38,407.8,6857,20220517
407.85,407.99,407.51,407.83,3608,20220517
407.85,408.5,407.85,408.38,3719,20220517
408.41,408.85,408.41,408.8,2226,20220517
408.85,408.92,408.48,408.64,2669,20220517
408.67,409.0,408.67,409.0,1384,20220517
409.105,409.17,408.9,409.17,1625,20220517
409.14,409.1825,408.6701,408.6701,4579,20220517
408.9,408.9,408.7,408.76,2038,20220517
408.89,409.0747,408.89,409.0747,1753,20220517
409.1525,409.1525,408.6,408.755,2197,20220517
408.98,408.98,408.83,408.86,1027,20220517
408.7914,408.87,408.5055,408.87,2507,20220517
408.83,408.88,408.75,408.75,600,20220517
408.89,409.14,408.89,409.01,1479,20220517
409.12,409.31,408.802,408.802,1989,20220517
408.561,408.561,408.4,408.405,800,20220517
408.445,408.9975,408.445,408.74,2883,20220517
408.72,408.73,407.955,407.975,1302,20220517
