open,high,low,close,volume,datetime
160.93,161.64,160.845,161.28,44023,20220517
161.26,161.65,161.21,161.29,6033,20220517
161.23,161.58,161.2069,161.58,3311,20220517
161.7,162.28,161.66,162.07,8933,20220517
162.06,162.08,161.74,162.0,12333,20220517
161.98,162.05,161.715,161.72,5948,20220517
161.79,162.3,161.79,162.22,4501,20220517
162.18,162.49,162.18,162.48,8160,20220517
162.36,162.594,162.1898,162.594,2218,20220517
162.68,162.7397,162.25,162.3,2028,20220517
162.31,162.65,162.27,162.61,4325,20220517
162.68,162.82,162.62,162.82,3979,20220517
162.89,162.94,162.8,162.85,3528,20220517
162.93,163.2,162.93,163.095,3866,20220517
163.18,163.3,162.9726,163.035,4685,20220517
163.06,163.11,162.77,162.85,6209,20220517
162.86,162.88,162.5,162.64,5496,20220517
162.7,162.74,162.02,162.03,4643,20220517
162.055,162.38,161.95,162.275,2480,20220517
162.26,162.26,161.88,161.92,2065,20220517
161.97,162.17,161.92,161.96,4462,20220517
161.895,162.11,161.895,162.01,2278,20220517
162.0,162.035,161.825,162.035,1100,20220517
162.06,162.13,161.965,162.13,1500,20220517
162.18,162.23,162.0,162.05,4419,20220517
162.06,162.26,161.98,162.155,1613,20220517
162.12,162.22,162.08,162.09,3111,20220517
162.11,162.11,161.82,161.855,5499,20220517
161.86,161.91,161.48,161.48,54092,20220517
161.48,161.54,161.32,161.53,5050,20220517
161.53,161.89,161.53,161.89,11017,20220517
161.905,162.02,161.88,161.88,4930,20220517
161.83,162.29,161.83,162.27,3611,20220517
162.28,162.39,162.28,162.285,5775,20220517
162.29,162.58,162.29,162.45,2908,20220517
162.505,162.51,162.37,162.47,5624,20220517
162.455,162.52,162.04,162.08,6873,20220517
162.07,162.1625,161.875,162.14,9622,20220517
162.11,162.13,162.01,162.02,2800,20220517
161.99,162.0,161.8,161.87,3675,20220517
161.735,161.88,161.56,161.57,4497,20220517
161.6,161.64,161.45,161.52,5153,20220517
161.535,161.61,161.51,161.58,4700,20220517
161.595,161.64,161.5,161.5805,35049,20220517
161.6,161.75,161.58,161.66,6904,20220517
161.7,161.77,161.6,161.63,19497,20220517
161.6,161.79,161.59,161.735,6690,20220517
161.76,162.0,161.75,161.955,8009,20220517
161.93,161.965,161.8,161.95,4627,20220517
161.89,162.005,161.87,161.91,4464,20220517
161.92,161.98,161.895,161.94,2552,20220517
161.905,162.12,161.905,162.065,5064,20220517
162.0,162.16,161.94,162.15,3854,20220517
162.135,162.24,162.06,162.135,3499,20220517
162.13,162.33,162.12,162.33,3866,20220517
162.32,162.43,162.22,162.27,4500,20220517
162.32,162.35,162.2,162.21,1500,20220517
162.205,162.205,161.995,162.02,3100,20220517
161.98,162.09,161.93,162.075,3897,20220517
161.99,162.06,161.72,161.72,2500,20220517
161.72,161.87,161.68,161.87,3249,20220517
161.96,162.08,161.84,161.84,4709,20220517
161.845,162.04,161.79,162.04,2604,20220517
162.07,162.17,162.01,162.0882,5245,20220517
162.13,162.21,162.04,162.13,2633,20220517
162.17,162.17,161.83,161.83,1500,20220517
161.65,161.71,161.49,161.49,2100,20220517
161.41,161.54,161.34,161.54,4668,20220517
161.53,161.55,161.29,161.43,3852,20220517
161.365,161.49,161.365,161.46,2300,20220517
161.49,161.58,161.39,161.48,3204,20220517
161.48,161.48,161.19,161.21,3208,20220517
161.21,161.215,161.08,161.16,2232,20220517
161.21,161.23,160.98,160.98,3577,20220517
161.0,161.085,160.97,161.02,4017,20220517
161.06,161.07,160.77,160.82,3198,20220517
160.8,160.9,160.76,160.85,1500,20220517
160.86,160.97,160.83,160.93,974,20220517
160.98,161.01,160.64,160.65,2149,20220517
160.69,160.79,160.62,160.775,1767,20220517
160.82,160.89,160.71,160.74,12728,20220517
160.7,160.84,160.66,160.82,13529,20220517
160.86,161.0,160.86,160.9,2394,20220517
160.88,160.925,160.805,160.81,860,20220517
160.86,160.98,160.815,160.91,2100,20220517
160.9,161.13,160.83,161.08,4154,20220517
161.13,161.13,161.06,161.1,1362,20220517
161.09,161.18,160.99,160.99,5126,20220517
161.03,161.18,161.0,161.18,2317,20220517
161.13,161.41,161.13,161.41,2717,20220517
161.42,161.44,161.31,161.38,1500,20220517
161.41,161.72,161.41,161.72,2600,20220517
161.72,162.11,161.69,162.1,11544,20220517
162.08,162.08,161.95,161.99,7531,20220517
162.02,162.06,161.97,162.03,9636,20220517
162.03,162.08,161.93,162.08,4918,20220517
162.07,162.135,162.01,162.05,1695,20220517
161.995,162.225,161.975,162.21,6020,20220517
162.23,162.325,162.16,162.32,4525,20220517
162.325,162.325,162.15,162.18,6000,20220517
162.15,162.23,161.98,162.0,9663,20220517
162.02,162.165,162.0,162.165,3978,20220517
162.165,162.27,162.02,162.02,4167,20220517
162.04,162.1,161.99,162.02,8536,20220517
162.06,162.14,162.06,162.105,1040,20220517
162.17,162.2,161.98,162.025,3988,20220517
162.025,162.19,162.02,162.15,2303,20220517
162.08,162.15,162.02,162.085,7202,20220517
162.085,162.45,162.085,162.44,3397,20220517
162.44,162.57,162.395,162.57,5399,20220517
162.565,162.73,162.56,162.73,3441,20220517
162.695,162.89,162.65,162.86,2665,20220517
162.86,162.92,162.75,162.875,4698,20220517
162.87,162.97,162.8,162.91,4680,20220517
162.79,162.91,162.79,162.91,2791,20220517
162.85,163.125,162.85,163.06,7738,20220517
163.05,163.05,162.98,163.01,1227,20220517
163.01,163.01,162.66,162.66,14356,20220517
