open,high,low,close,volume,datetime
87.63,87.98,87.29,87.61,107638,20220517
87.525,87.525,87.3449,87.405,9197,20220517
87.33,87.33,86.85,87.03,17972,20220517
86.96,86.97,86.7,86.94,5412,20220517
86.94,87.14,86.78,86.79,22346,20220517
86.89,86.98,86.54,86.595,14024,20220517
86.57,86.75,86.45,86.75,7002,20220517
86.66,86.81,86.59,86.81,13784,20220517
86.81,87.17,86.72,86.79,42176,20220517
86.73,86.7987,86.64,86.67,6105,20220517
86.76,86.884,86.68,86.705,6557,20220517
86.68,86.735,86.64,86.72,5164,20220517
86.78,86.78,86.46,86.46,12184,20220517
86.43,86.62,86.43,86.62,7937,20220517
86.64,86.64,86.361,86.4323,5038,20220517
86.5,86.579,86.47,86.54,2775,20220517
86.57,86.64,86.43,86.43,6157,20220517
86.39,86.45,86.35,86.42,3979,20220517
86.3837,86.61,86.3837,86.5616,5989,20220517
86.605,86.61,86.44,86.55,2457,20220517
86.55,86.73,86.55,86.72,8506,20220517
86.71,86.815,86.66,86.79,3270,20220517
86.76,87.06,86.76,87.04,10433,20220517
87.04,87.15,87.04,87.128,3972,20220517
87.1,87.17,87.06,87.0917,11200,20220517
87.11,87.31,87.07,87.25,10828,20220517
87.275,87.275,87.18,87.19,2668,20220517
87.2,87.24,87.2,87.235,2437,20220517
87.27,87.4,87.27,87.37,4418,20220517
87.4,87.525,87.4,87.525,3960,20220517
87.56,87.57,87.48,87.5,5014,20220517
87.53,87.597,87.515,87.5553,3943,20220517
87.54,87.61,87.48,87.61,1400,20220517
87.62,87.7099,87.6,87.61,11916,20220517
87.63,87.86,87.63,87.785,10091,20220517
87.7968,87.7968,87.601,87.65,7000,20220517
87.61,87.61,87.5,87.53,1955,20220517
87.46,87.68,87.41,87.6704,5017,20220517
87.66,87.75,87.53,87.75,4621,20220517
87.7,87.789,87.69,87.74,10276,20220517
87.759,87.76,87.64,87.6534,4936,20220517
87.66,87.885,87.645,87.8,8490,20220517
87.91,87.9499,87.88,87.88,4613,20220517
87.99,88.06,87.98,88.055,5592,20220517
88.06,88.17,88.06,88.15,6494,20220517
88.15,88.305,88.15,88.2269,4380,20220517
88.24,88.248,88.14,88.19,10623,20220517
88.195,88.25,88.155,88.235,4476,20220517
88.26,88.28,88.23,88.275,8686,20220517
88.275,88.415,88.25,88.35,7380,20220517
88.34,88.34,88.25,88.28,3623,20220517
88.27,88.39,88.21,88.25,10217,20220517
88.25,88.255,88.11,88.16,21034,20220517
88.16,88.16,88.01,88.095,16319,20220517
88.11,88.11,88.04,88.08,7801,20220517
88.085,88.15,88.01,88.035,13430,20220517
88.02,88.15,88.01,88.045,23237,20220517
88.0337,88.08,88.01,88.075,13148,20220517
88.06,88.06,87.925,87.925,10006,20220517
87.925,87.965,87.8,87.81,28426,20220517
87.805,87.81,87.73,87.73,16474,20220517
87.73,87.96,87.695,87.96,14838,20220517
87.965,87.97,87.845,87.935,17769,20220517
87.935,88.025,87.92,87.97,26318,20220517
87.98,88.04,87.925,87.96,32401,20220517
87.97,87.99,87.91,87.99,19376,20220517
87.96,88.03,87.93,87.96,19414,20220517
87.99,88.0,87.9,87.99,30410,20220517
87.99,88.03,87.97,88.0,15944,20220517
87.98,88.03,87.95,88.025,26623,20220517
88.039,88.039,87.92,87.97,14573,20220517
87.98,87.98,87.91,87.95,17602,20220517
87.96,87.96,87.88,87.94,11914,20220517
87.93,87.96,87.89,87.94,11295,20220517
87.935,88.02,87.92,87.95,31564,20220517
87.97,87.99,87.91,87.9299,7800,20220517
87.93,87.99,87.93,87.96,13227,20220517
87.975,87.975,87.92,87.945,40572,20220517
87.945,87.96,87.91,87.95,17219,20220517
87.935,87.96,87.91,87.95,14630,20220517
87.93,87.93,87.89,87.89,11999,20220517
87.91,87.93,87.875,87.93,8555,20220517
87.94,87.95,87.9,87.93,16524,20220517
87.93,87.95,87.9,87.93,43022,20220517
87.935,88.0,87.915,88.0,50215,20220517
87.99,88.065,87.97,88.04,25467,20220517
88.04,88.04,87.96,87.98,28051,20220517
87.99,88.03,87.97,88.0,39138,20220517
87.995,88.02,87.97,88.005,6349,20220517
88.015,88.02,87.965,87.965,9852,20220517
87.96,88.0,87.945,87.95,13093,20220517
