open,high,low,close,volume,datetime
213.48,213.48,212.34,212.95,21232,20220518
212.84,212.91,212.69,212.77,1459,20220518
212.7,212.79,212.64,212.7,1400,20220518
213.02,213.12,212.895,213.12,819,20220518
213.05,213.13,212.95,213.13,1600,20220518
213.3018,213.46,213.27,213.4,1717,20220518
213.44,213.58,213.2,213.2,1822,20220518
213.12,213.12,212.62,212.7,1800,20220518
212.7,212.76,212.7,212.76,400,20220518
212.72,213.02,212.6,212.995,1900,20220518
212.96,213.12,212.91,212.93,1000,20220518
212.93,212.96,212.44,212.44,2700,20220518
212.29,212.51,212.21,212.51,500,20220518
212.655,212.655,212.45,212.45,300,20220518
212.47,212.47,212.085,212.085,300,20220518
212.07,212.23,212.04,212.08,1600,20220518
212.07,212.18,211.96,211.96,805,20220518
212.19,212.34,211.9938,212.34,1403,20220518
212.385,212.69,212.385,212.485,1933,20220518
212.55,212.55,212.31,212.31,650,20220518
212.31,212.36,212.232,212.265,1068,20220518
212.25,212.25,211.94,211.94,1000,20220518
211.95,211.95,211.89,211.91,700,20220518
212.06,212.13,211.86,211.86,2424,20220518
211.86,211.91,211.77,211.88,900,20220518
211.91,212.11,211.8,212.11,3176,20220518
212.11,212.235,212.05,212.235,879,20220518
212.25,212.49,212.06,212.3,3727,20220518
212.34,212.34,211.95,211.95,619,20220518
212.025,212.025,211.535,211.62,1972,20220518
211.68,211.81,211.68,211.74,500,20220518
211.73,211.85,211.72,211.85,300,20220518
211.895,211.98,211.84,211.95,1673,20220518
211.81,211.94,211.72,211.8,1300,20220518
211.8,211.81,211.72,211.81,400,20220518
211.745,211.745,211.47,211.7,700,20220518
211.84,211.84,211.65,211.7,600,20220518
211.77,211.77,211.71,211.71,200,20220518
211.885,211.885,211.6241,211.862,1164,20220518
211.67,211.67,211.6,211.61,544,20220518
211.7,211.9,211.7,211.9,200,20220518
211.76,211.94,211.75,211.925,600,20220518
211.98,212.11,211.9,212.0436,1425,20220518
211.98,211.98,211.82,211.82,1497,20220518
211.81,211.87,211.78,211.87,500,20220518
211.9,212.08,211.9,211.91,1070,20220518
211.73,211.97,211.73,211.89,300,20220518
211.87,212.03,211.87,211.98,500,20220518
212.04,212.23,212.03,212.04,1121,20220518
212.04,212.1,212.02,212.1,300,20220518
212.02,212.06,211.81,211.81,1738,20220518
211.85,211.89,211.85,211.89,200,20220518
212.01,212.18,212.01,212.07,1400,20220518
212.27,212.27,212.14,212.14,300,20220518
212.14,212.3,212.14,212.3,500,20220518
212.25,212.25,212.01,212.01,1533,20220518
211.98,212.0,211.69,211.71,2217,20220518
211.74,211.88,211.63,211.88,400,20220518
211.88,211.88,211.6,211.63,800,20220518
211.69,211.705,211.595,211.64,800,20220518
211.7,211.77,211.63,211.74,1110,20220518
211.79,211.805,211.73,211.755,1454,20220518
211.805,211.805,211.74,211.74,300,20220518
211.79,211.845,211.755,211.83,620,20220518
211.97,211.97,211.88,211.88,323,20220518
211.96,211.96,211.8,211.85,1000,20220518
211.92,211.92,211.8,211.88,700,20220518
211.935,212.035,211.84,212.035,600,20220518
212.03,212.08,211.95,211.98,2600,20220518
212.0,212.025,211.88,211.88,1500,20220518
211.85,211.86,211.78,211.815,600,20220518
211.79,211.975,211.79,211.975,600,20220518
211.88,211.88,211.65,211.65,600,20220518
211.705,211.705,211.6331,211.7,440,20220518
211.61,211.63,211.39,211.39,1300,20220518
211.34,211.34,211.16,211.16,700,20220518
211.11,211.32,211.1,211.2115,1450,20220518
211.27,211.27,211.21,211.21,2082,20220518
211.36,211.41,211.34,211.35,1000,20220518
211.29,211.29,211.22,211.22,600,20220518
211.34,211.47,211.34,211.42,600,20220518
211.465,211.47,211.37,211.47,1000,20220518
211.7409,211.7409,211.56,211.7,316,20220518
211.63,211.67,211.62,211.67,700,20220518
211.72,211.74,211.57,211.62,1200,20220518
211.59,211.635,211.38,211.42,1500,20220518
