open,high,low,close,volume,datetime
93.45,93.45,92.91,92.91,21040,20220517
92.84,92.885,92.84,92.885,889,20220517
92.81,92.82,92.71,92.71,300,20220517
92.58,92.61,92.46,92.61,430,20220517
92.46,92.55,92.46,92.51,2200,20220517
92.59,92.64,92.54,92.56,1521,20220517
92.6,92.72,92.6,92.69,1200,20220517
92.6911,92.695,92.59,92.59,2579,20220517
92.56,92.56,92.47,92.485,1250,20220517
92.515,92.515,92.27,92.38,1638,20220517
92.31,92.38,92.25,92.32,1003,20220517
92.28,92.28,92.12,92.13,3308,20220517
92.2,92.2,92.05,92.14,2816,20220517
92.11,92.205,92.11,92.205,1312,20220517
92.205,92.25,92.13,92.13,2101,20220517
92.14,92.37,92.14,92.2,2869,20220517
92.205,92.25,92.205,92.25,1483,20220517
92.24,92.32,92.17,92.32,4081,20220517
92.39,92.39,92.31,92.31,560,20220517
92.34,92.46,92.34,92.46,942,20220517
92.45,92.52,92.42,92.48,2791,20220517
92.43,92.43,92.4,92.415,402,20220517
92.34,92.37,92.33,92.37,600,20220517
92.38,92.41,92.38,92.41,400,20220517
92.44,92.45,92.36,92.4,1465,20220517
92.44,92.5309,92.42,92.47,2160,20220517
92.44,92.44,92.29,92.42,1987,20220517
92.395,92.555,92.395,92.555,1036,20220517
92.6,92.76,92.6,92.76,1119,20220517
92.775,92.89,92.75,92.87,2597,20220517
92.91,92.97,92.905,92.93,1312,20220517
92.935,93.04,92.935,93.04,400,20220517
93.1,93.1,92.99,92.99,4444,20220517
93.0305,93.0305,92.95,92.95,2820,20220517
92.99,92.99,92.95,92.95,767,20220517
92.99,93.03,92.96,93.02,3431,20220517
93.01,93.02,92.96,93.0,1700,20220517
93.01,93.05,92.99,93.03,4955,20220517
93.03,93.03,93.02,93.025,2576,20220517
93.02,93.05,93.01,93.03,7929,20220517
93.08,93.1,93.08,93.09,2292,20220517
93.1,93.16,93.09,93.09,19526,20220517
93.08,93.1,93.04,93.04,5395,20220517
93.06,93.1,93.01,93.1,1839,20220517
93.08,93.13,93.08,93.114,2100,20220517
93.14,93.16,93.12,93.15,4216,20220517
93.17,93.19,93.14,93.14,1620,20220517
93.12,93.14,93.12,93.14,1200,20220517
93.145,93.2,93.145,93.175,1550,20220517
93.2,93.2,93.15,93.16,4187,20220517
93.16,93.175,93.12,93.12,4115,20220517
93.13,93.14,93.1,93.1,1900,20220517
93.07,93.07,93.04,93.04,800,20220517
93.07,93.12,93.06,93.12,1318,20220517
93.12,93.14,93.1,93.12,3481,20220517
93.165,93.175,93.135,93.135,900,20220517
93.15,93.17,93.13,93.165,1562,20220517
93.165,93.25,93.165,93.25,4406,20220517
93.25,93.25,93.2,93.2,1849,20220517
93.22,93.23,93.16,93.21,3474,20220517
93.22,93.29,93.22,93.27,1100,20220517
93.26,93.27,93.245,93.255,1000,20220517
93.28,93.34,93.28,93.315,2160,20220517
93.34,93.38,93.29,93.38,3483,20220517
93.38,93.38,93.34,93.345,2140,20220517
93.37,93.49,93.35,93.47,1450,20220517
93.44,93.48,93.42,93.48,5457,20220517
93.44,93.48,93.435,93.46,900,20220517
93.54,93.595,93.54,93.595,1908,20220517
93.62,93.62,93.57,93.57,1224,20220517
93.52,93.55,93.515,93.54,2621,20220517
93.54,93.59,93.535,93.575,3156,20220517
93.575,93.575,93.51,93.51,1572,20220517
93.5,93.5,93.485,93.495,10711,20220517
