open,high,low,close,volume,datetime
99.67,99.97,99.22,99.255,33885,20220517
99.19,99.26,99.1,99.26,3742,20220517
99.11,99.11,98.84,98.92,4431,20220517
98.83,98.91,98.65,98.705,2220,20220517
98.6787,98.77,98.54,98.58,4088,20220517
98.69,98.79,98.62,98.71,5257,20220517
98.6826,98.76,98.65,98.76,1011,20220517
98.8092,98.8092,98.64,98.64,3650,20220517
98.63,98.65,98.55,98.55,459,20220517
98.5,98.5,98.33,98.35,1543,20220517
98.3,98.33,98.26,98.27,1948,20220517
98.21,98.21,98.13,98.2,1809,20220517
98.15,98.19,98.05,98.14,2251,20220517
98.15,98.31,98.15,98.28,2450,20220517
98.28,98.38,98.22,98.32,8705,20220517
98.39,98.42,98.28,98.28,686,20220517
98.3,98.48,98.3,98.4696,3465,20220517
98.4601,98.4601,98.31,98.34,2900,20220517
98.48,98.4998,98.385,98.4,1700,20220517
98.43,98.54,98.43,98.49,900,20220517
98.5,98.58,98.5,98.56,2050,20220517
98.56,98.61,98.56,98.595,1200,20220517
98.48,98.55,98.48,98.51,750,20220517
98.61,98.64,98.6,98.62,2150,20220517
98.64,98.7,98.63,98.7,1600,20220517
98.7,98.72,98.66,98.665,2298,20220517
98.6,98.61,98.49,98.53,1825,20220517
98.629,98.8,98.59,98.8,2434,20220517
98.92,99.01,98.89,99.01,4400,20220517
99.01,99.1,98.99,99.1,3800,20220517
99.09,99.15,99.04,99.15,2511,20220517
99.16,99.29,99.1,99.2,10156,20220517
99.22,99.28,99.21,99.24,3336,20220517
99.25,99.25,99.19,99.19,1124,20220517
99.19,99.21,99.17,99.17,1450,20220517
99.2,99.24,99.19,99.23,1623,20220517
99.23,99.25,99.14,99.24,2401,20220517
99.24,99.29,99.24,99.29,1338,20220517
99.28,99.36,99.26,99.36,1800,20220517
99.34,99.39,99.32,99.35,2684,20220517
99.31,99.38,99.3,99.375,2200,20220517
99.38,99.51,99.38,99.51,2400,20220517
99.51,99.52,99.45,99.46,4458,20220517
99.45,99.49,99.39,99.49,4358,20220517
99.48,99.54,99.47,99.53,1733,20220517
99.56,99.57,99.53,99.54,3849,20220517
99.55,99.59,99.52,99.57,3500,20220517
99.54,99.6,99.53,99.55,4589,20220517
99.57,99.72,99.55,99.72,4996,20220517
99.71,99.71,99.635,99.64,3301,20220517
99.6381,99.7,99.575,99.59,4161,20220517
99.62,99.62,99.58,99.6,2700,20220517
99.58,99.58,99.49,99.53,6168,20220517
99.52,99.55,99.5,99.55,1826,20220517
99.55,99.55,99.42,99.44,6971,20220517
99.48,99.5,99.42,99.42,3972,20220517
99.44,99.44,99.35,99.41,2921,20220517
99.43,99.51,99.43,99.49,1800,20220517
99.53,99.53,99.45,99.46,1400,20220517
99.46,99.51,99.41,99.47,3800,20220517
99.48,99.54,99.48,99.49,1400,20220517
99.48,99.49,99.45,99.45,1000,20220517
99.5,99.62,99.49,99.62,2345,20220517
99.62,99.65,99.61,99.64,2149,20220517
99.665,99.69,99.63,99.63,1494,20220517
99.65,99.805,99.65,99.73,4624,20220517
