open,high,low,close,volume,datetime
56.82,56.99,56.77,56.87,56101,20220517
56.84,56.84,56.64,56.64,3993,20220517
56.675,56.675,56.48,56.48,2919,20220517
56.56,56.63,56.5209,56.62,2213,20220517
56.63,56.71,56.53,56.69,7723,20220517
56.65,56.72,56.5,56.51,8490,20220517
56.54,56.615,56.48,56.615,2580,20220517
56.64,56.67,56.6,56.67,1788,20220517
56.62,56.62,56.54,56.56,3351,20220517
56.59,56.62,56.495,56.55,3965,20220517
56.56,56.67,56.55,56.59,3758,20220517
56.62,56.62,56.58,56.62,1882,20220517
56.64,56.65,56.59,56.59,4136,20220517
56.62,56.79,56.62,56.765,2527,20220517
56.75,56.81,56.71,56.76,4432,20220517
56.78,56.805,56.74,56.74,1313,20220517
56.77,56.83,56.77,56.83,2216,20220517
56.85,56.91,56.82,56.87,5471,20220517
56.91,56.98,56.91,56.955,3896,20220517
56.99,57.01,56.94,56.94,3717,20220517
56.95,56.98,56.94,56.98,881,20220517
56.94,56.965,56.914,56.914,1897,20220517
56.91,56.91,56.8257,56.89,3050,20220517
56.87,56.9,56.86,56.87,7754,20220517
56.86,56.87,56.81,56.81,3834,20220517
56.86,56.86,56.82,56.84,2033,20220517
56.84,56.89,56.835,56.87,2196,20220517
56.87,56.93,56.87,56.929,2330,20220517
56.94,56.9606,56.935,56.9606,1475,20220517
56.95,57.01,56.95,57.01,2713,20220517
57.01,57.05,56.99,57.05,2831,20220517
57.08,57.21,57.08,57.16,4137,20220517
57.165,57.18,57.145,57.145,2729,20220517
57.16,57.16,57.05,57.05,4151,20220517
57.06,57.11,57.06,57.08,4249,20220517
57.06,57.09,57.05,57.082,2516,20220517
57.07,57.07,57.04,57.04,3626,20220517
57.02,57.04,56.954,57.04,5085,20220517
57.0,57.02,57.0,57.02,790,20220517
56.99,57.0,56.95,56.95,4415,20220517
56.955,56.96,56.8874,56.8874,4306,20220517
56.89,56.91,56.86,56.91,2482,20220517
56.93,56.95,56.9091,56.9091,2267,20220517
56.93,56.94,56.91,56.92,3250,20220517
56.92,56.97,56.92,56.96,3901,20220517
56.95,56.98,56.95,56.98,1429,20220517
56.99,57.0,56.9701,56.99,2341,20220517
56.98,57.04,56.98,57.04,2071,20220517
57.0525,57.11,57.0525,57.11,1080,20220517
57.09,57.1,57.08,57.1,5374,20220517
57.11,57.13,57.1,57.1,1573,20220517
57.08,57.12,57.04,57.04,1447,20220517
57.04,57.04,56.94,56.965,3091,20220517
56.97,56.98,56.915,56.92,3406,20220517
56.9102,56.96,56.9102,56.96,3819,20220517
56.96,56.99,56.93,56.93,7430,20220517
56.9193,56.93,56.86,56.86,891,20220517
56.85,56.85,56.82,56.85,2877,20220517
56.84,56.865,56.81,56.81,5512,20220517
56.8026,56.81,56.73,56.75,7219,20220517
56.76,56.8,56.76,56.795,1713,20220517
56.81,56.81,56.79,56.805,2137,20220517
56.8,56.86,56.79,56.86,2593,20220517
56.87,56.89,56.855,56.89,4199,20220517
56.8849,56.9,56.8471,56.85,2287,20220517
56.86,56.89,56.84,56.882,3659,20220517
56.91,56.93,56.87,56.87,6444,20220517
56.87,56.93,56.868,56.93,4497,20220517
56.92,56.94,56.9,56.9334,2703,20220517
56.935,56.96,56.935,56.96,2530,20220517
56.95,56.95,56.88,56.91,3245,20220517
56.9,56.92,56.9,56.92,2480,20220517
56.93,56.93,56.86,56.86,2996,20220517
56.88,56.89,56.87,56.87,1347,20220517
56.85,56.85,56.74,56.85,7790,20220517
56.84,56.85,56.76,56.76,3053,20220517
56.73,56.766,56.73,56.76,2303,20220517
