open,high,low,close,volume,datetime
59.9,60.4,59.69,60.28,59036,20220517
60.25,60.265,60.02,60.02,26558,20220517
60.03,60.03,59.81,59.81,6336,20220517
59.83,60.03,59.79,60.005,9650,20220517
59.99,60.13,59.9,60.1,12189,20220517
60.14,60.18,59.97,59.98,16949,20220517
60.0,60.1,60.0,60.07,13420,20220517
60.05,60.08,59.9,59.96,33453,20220517
59.97,59.97,59.86,59.92,11447,20220517
59.93,59.99,59.819,59.84,8934,20220517
59.905,60.06,59.89,59.92,5319,20220517
59.94,59.94,59.81,59.86,5954,20220517
59.81,59.84,59.76,59.78,8225,20220517
59.8,60.075,59.79,60.03,12248,20220517
60.02,60.02,59.88,59.9,10087,20220517
59.93,59.99,59.93,59.99,11913,20220517
59.97,60.03,59.92,60.005,12500,20220517
60.0,60.05,59.945,59.97,14680,20220517
59.98,60.03,59.98,60.0,15366,20220517
59.995,59.995,59.92,59.93,6440,20220517
59.92,60.01,59.92,59.965,7078,20220517
59.95,60.01,59.91,59.96,7558,20220517
59.95,59.96,59.85,59.935,6959,20220517
59.94,60.01,59.91,60.0,5600,20220517
60.0,60.01,59.925,59.925,7171,20220517
59.97,60.02,59.91,59.99,7026,20220517
60.0,60.04,59.98,59.98,20891,20220517
59.98,60.025,59.97,60.0,24768,20220517
60.01,60.03,59.99,60.0,12863,20220517
60.0,60.02,59.98,60.0,14983,20220517
60.005,60.03,59.95,59.95,74567,20220517
60.01,60.35,60.0,60.33,20348,20220517
60.32,60.34,60.27,60.29,6129,20220517
60.28,60.31,60.21,60.25,7710,20220517
60.205,60.34,60.205,60.24,7444,20220517
60.245,60.27,60.21,60.26,6133,20220517
60.23,60.26,60.2,60.23,5060,20220517
60.2,60.2,60.1,60.17,7870,20220517
60.15,60.16,60.13,60.13,3900,20220517
60.11,60.11,60.02,60.02,7452,20220517
60.02,60.03,59.97,59.98,3916,20220517
59.98,59.98,59.945,59.97,4532,20220517
59.97,60.02,59.92,59.94,10548,20220517
59.94,60.0,59.93,59.975,6000,20220517
59.99,60.01,59.98,59.9975,7379,20220517
60.0,60.0525,59.99,60.01,9824,20220517
60.03,60.1,60.03,60.04,3700,20220517
60.03,60.14,60.02,60.14,2067,20220517
60.15,60.19,60.14,60.165,4483,20220517
60.16,60.23,60.13,60.23,3646,20220517
60.2346,60.28,60.2346,60.27,2092,20220517
60.26,60.27,60.19,60.19,5852,20220517
60.18,60.18,60.1,60.12,2450,20220517
60.13,60.15,60.03,60.03,11249,20220517
60.02,60.03,59.99,60.02,15028,20220517
60.01,60.05,59.99,60.01,11094,20220517
59.96,59.96,59.87,59.93,4403,20220517
59.9331,59.9331,59.88,59.9242,3694,20220517
59.92,59.93,59.86,59.87,4272,20220517
59.86,59.87,59.73,59.73,4703,20220517
59.75,59.78,59.74,59.78,7719,20220517
59.78,59.825,59.74,59.8,19723,20220517
59.79,59.88,59.78,59.87,3901,20220517
59.9,59.9,59.87,59.87,7116,20220517
59.88,59.92,59.86,59.86,3252,20220517
59.86,59.86,59.83,59.85,2411,20220517
59.87,59.9058,59.81,59.82,10009,20220517
59.8,59.87,59.8,59.87,965,20220517
59.87,59.88,59.8,59.85,3800,20220517
59.865,59.87,59.82,59.868,5827,20220517
59.85,59.85,59.8,59.84,1844,20220517
59.84,59.84,59.79,59.79,8133,20220517
59.8,59.8,59.72,59.73,5225,20220517
59.74,59.75,59.67,59.69,22885,20220517
59.69,59.72,59.69,59.7,3500,20220517
59.7,59.7,59.56,59.56,5144,20220517
59.55,59.57,59.51,59.545,29850,20220517
59.54,59.56,59.51,59.53,45590,20220517
59.54,59.56,59.5,59.52,19025,20220517
59.52,59.65,59.51,59.65,5353,20220517
59.66,59.68,59.64,59.66,10178,20220517
59.63,59.72,59.63,59.72,3464,20220517
59.71,59.82,59.69,59.81,5685,20220517
59.81,59.82,59.75,59.77,3300,20220517
59.77,59.82,59.76,59.79,4000,20220517
59.79,59.83,59.77,59.83,2852,20220517
59.86,59.88,59.86,59.88,2649,20220517
59.87,59.89,59.85,59.885,4233,20220517
59.88,59.885,59.845,59.885,5719,20220517
59.88,59.9,59.865,59.9,4601,20220517
59.9,59.9,59.855,59.88,2682,20220517
59.89,59.89,59.85,59.87,3397,20220517
59.86,59.86,59.81,59.86,3695,20220517
59.87,59.8769,59.86,59.87,1990,20220517
59.88,59.97,59.88,59.97,7912,20220517
59.97,60.02,59.938,60.01,3533,20220517
60.01,60.04,59.97,59.99,6942,20220517
59.98,60.04,59.96,60.02,5500,20220517
60.04,60.04,60.005,60.01,4280,20220517
60.035,60.035,60.005,60.03,2842,20220517
60.02,60.06,60.02,60.06,1373,20220517
60.07,60.07,60.045,60.05,6807,20220517
60.0577,60.06,60.04,60.06,6574,20220517
60.06,60.06,59.99,60.0,7393,20220517
60.0,60.01,59.995,60.0,2609,20220517
59.99,59.99,59.91,59.915,8192,20220517
59.93,59.94,59.89,59.89,3772,20220517
59.89,59.93,59.88,59.92,5216,20220517
59.92,59.96,59.91,59.92,32134,20220517
59.92,59.92,59.9,59.905,4148,20220517
59.9,59.92,59.88,59.89,3222,20220517
59.885,59.925,59.88,59.92,4922,20220517
59.92,59.93,59.89,59.93,4979,20220517
59.9311,59.9311,59.92,59.93,2064,20220517
59.94,59.94,59.93,59.94,800,20220517
59.92,59.93,59.88,59.88,2505,20220517
59.86,59.87,59.84,59.87,3997,20220517
59.87,59.91,59.87,59.885,4128,20220517
59.9,59.94,59.9,59.94,635,20220517
59.96,59.97,59.96,59.96,1434,20220517
59.97,59.99,59.97,59.99,400,20220517
59.99,60.0,59.98,60.0,1309,20220517
59.99,60.02,59.99,60.02,700,20220517
60.02,60.07,60.01,60.01,8746,20220517
60.01,60.03,60.01,60.03,1903,20220517
60.01,60.01,59.97,59.98,5252,20220517
59.99,60.04,59.99,60.0233,1147,20220517
60.03,60.03,60.02,60.02,1816,20220517
60.03,60.04,59.98,59.98,6363,20220517
59.99,59.99,59.975,59.975,1233,20220517
59.97,59.98,59.96,59.97,2565,20220517
59.99,60.03,59.99,60.02,2023,20220517
60.02,60.02,59.96,59.97,5102,20220517
59.97,59.97,59.955,59.9631,2635,20220517
59.97,59.98,59.935,59.94,4963,20220517
59.93,59.9574,59.9,59.9,6141,20220517
59.91,59.91,59.88,59.9,2748,20220517
59.88,59.88,59.81,59.82,3653,20220517
59.8,59.85,59.79,59.85,2969,20220517
59.84,59.84,59.81,59.815,2522,20220517
59.85,59.85,59.84,59.85,2500,20220517
59.84,59.89,59.84,59.89,2409,20220517
59.9,59.915,59.9,59.91,5943,20220517
59.91,59.96,59.905,59.94,10505,20220517
59.94,59.97,59.94,59.97,500,20220517
59.96,59.97,59.95,59.97,2168,20220517
59.95,59.9701,59.92,59.97,13029,20220517
59.97,59.99,59.97,59.99,3645,20220517
60.0,60.03,60.0,60.0279,4524,20220517
60.04,60.04,60.04,60.04,1233,20220517
60.05,60.06,60.04,60.05,2624,20220517
60.05,60.05,60.01,60.01,3652,20220517
60.0,60.01,59.98,60.01,6732,20220517
60.02,60.03,60.02,60.03,3805,20220517
60.035,60.045,60.03,60.03,2548,20220517
60.03,60.03,60.0,60.0,8081,20220517
59.98,59.99,59.91,59.91,1536,20220517
59.91,59.93,59.89,59.92,3466,20220517
59.92,59.985,59.92,59.985,2076,20220517
60.0,60.01,59.97,59.97,4023,20220517
59.95,59.96,59.91,59.91,700,20220517
59.94,60.01,59.94,60.01,2518,20220517
60.01,60.02,60.0,60.02,1600,20220517
60.035,60.06,60.03,60.06,1852,20220517
60.06,60.08,60.06,60.07,1081,20220517
60.07,60.1,60.06,60.1,3500,20220517
60.11,60.125,60.1,60.11,2160,20220517
60.11,60.14,60.11,60.13,2160,20220517
60.13,60.13,60.08,60.09,6741,20220517
60.09,60.0949,60.0807,60.09,1545,20220517
60.1,60.11,60.085,60.09,2670,20220517
60.11,60.11,60.1,60.1,2781,20220517
60.1007,60.12,60.1007,60.12,939,20220517
60.13,60.16,60.13,60.16,2143,20220517
60.16,60.17,60.156,60.17,550,20220517
60.17,60.19,60.15,60.18,8099,20220517
60.17,60.17,60.15,60.17,1100,20220517
60.17,60.17,60.1519,60.16,1824,20220517
60.17,60.175,60.14,60.15,9527,20220517
60.155,60.155,60.13,60.14,2432,20220517
60.13,60.14,60.125,60.125,1554,20220517
60.11,60.13,60.11,60.12,1000,20220517
60.14,60.15,60.13,60.13,1344,20220517
60.15,60.16,60.15,60.16,4369,20220517
60.23,60.25,60.2277,60.25,4414,20220517
60.24,60.25,60.225,60.23,2239,20220517
60.24,60.25,60.24,60.25,500,20220517
60.26,60.26,60.23,60.24,1154,20220517
60.23,60.23,60.22,60.22,700,20220517
60.23,60.23,60.19,60.2,4548,20220517
60.21,60.22,60.21,60.22,306,20220517
60.22,60.24,60.22,60.24,700,20220517
60.25,60.26,60.25,60.25,4266,20220517
60.26,60.27,60.24,60.27,4161,20220517
60.28,60.28,60.25,60.28,1160,20220517
60.27,60.34,60.27,60.325,7386,20220517
60.33,60.36,60.33,60.34,2655,20220517
60.34,60.35,60.34,60.34,1103,20220517
60.36,60.38,60.35,60.35,6799,20220517
60.36,60.36,60.35,60.36,1775,20220517
60.35,60.35,60.26,60.26,2800,20220517
60.28,60.3,60.28,60.3,602,20220517
60.29,60.3,60.275,60.28,3599,20220517
60.29,60.29,60.28,60.29,1721,20220517
60.278,60.278,60.26,60.26,6899,20220517
60.26,60.29,60.26,60.29,802,20220517
60.275,60.29,60.275,60.29,2414,20220517
60.3,60.335,60.3,60.32,2359,20220517
60.32,60.32,60.31,60.31,1571,20220517
60.3,60.31,60.29,60.2974,524,20220517
60.29,60.29,60.23,60.23,3898,20220517
60.22,60.25,60.2,60.24,1879,20220517
60.24,60.29,60.24,60.29,1557,20220517
60.3,60.35,60.3,60.35,1400,20220517
60.35,60.39,60.34,60.39,2301,20220517
60.38,60.39,60.38,60.38,2004,20220517
60.38,60.39,60.36,60.39,2213,20220517
60.4,60.4,60.37,60.37,3422,20220517
60.34,60.34,60.34,60.34,871,20220517
60.35,60.38,60.35,60.37,1759,20220517
60.38,60.385,60.37,60.38,3244,20220517
60.39,60.45,60.39,60.45,6232,20220517
60.46,60.46,60.45,60.46,4999,20220517
60.46,60.4798,60.45,60.4798,4748,20220517
60.47,60.49,60.47,60.49,8999,20220517
60.49,60.5,60.49,60.4975,7956,20220517
60.49,60.495,60.49,60.495,1900,20220517
60.49,60.49,60.4373,60.4373,3526,20220517
60.43,60.43,60.3625,60.3625,4661,20220517
60.37,60.37,60.335,60.34,800,20220517
60.34,60.34,60.31,60.3194,1772,20220517
60.31,60.31,60.275,60.305,4395,20220517
60.32,60.32,60.28,60.28,2607,20220517
60.28,60.29,60.27,60.27,3815,20220517
60.28,60.34,60.28,60.34,1545,20220517
60.35,60.35,60.28,60.32,2732,20220517
60.32,60.32,60.29,60.3,1562,20220517
60.295,60.295,60.29,60.29,800,20220517
60.28,60.29,60.27,60.29,5032,20220517
60.285,60.285,60.27,60.275,2092,20220517
60.27,60.285,60.27,60.285,1799,20220517
60.29,60.31,60.29,60.31,2276,20220517
60.315,60.33,60.315,60.32,4400,20220517
60.31,60.31,60.285,60.31,2043,20220517
60.31,60.32,60.31,60.32,337,20220517
60.32,60.37,60.31,60.37,703,20220517
60.36,60.375,60.31,60.31,10528,20220517
60.31,60.35,60.31,60.35,1904,20220517
60.35,60.37,60.35,60.36,3798,20220517
60.35,60.35,60.32,60.32,1496,20220517
60.31,60.332,60.31,60.32,1527,20220517
60.3364,60.35,60.3364,60.3459,2617,20220517
60.35,60.35,60.33,60.33,1351,20220517
60.33,60.33,60.28,60.29,4282,20220517
60.29,60.29,60.2759,60.28,4585,20220517
60.29,60.33,60.29,60.305,3805,20220517
60.29,60.29,60.28,60.28,500,20220517
60.28,60.31,60.28,60.31,1141,20220517
60.3,60.31,60.29,60.31,1401,20220517
60.28,60.3,60.26,60.27,2521,20220517
60.28,60.29,60.26,60.27,1704,20220517
60.26,60.26,60.25,60.25,1777,20220517
60.25,60.25,60.22,60.23,2568,20220517
60.23,60.23,60.195,60.2,2248,20220517
60.21,60.21,60.15,60.17,3096,20220517
60.18,60.19,60.175,60.18,2018,20220517
60.2,60.21,60.18,60.18,3829,20220517
60.175,60.175,60.15,60.15,2200,20220517
60.17,60.18,60.15,60.15,3851,20220517
60.14,60.14,60.12,60.125,2495,20220517
60.13,60.13,60.06,60.06,5135,20220517
60.055,60.1,60.055,60.0975,6959,20220517
60.095,60.1,60.05,60.095,20182,20220517
60.1,60.12,60.09,60.1175,17017,20220517
60.12,60.12,60.065,60.105,4957,20220517
60.1,60.13,60.085,60.13,2250,20220517
60.15,60.27,60.14,60.27,4848,20220517
60.3,60.3,60.24,60.26,5824,20220517
60.26,60.26,60.16,60.21,2720,20220517
60.21,60.25,60.13,60.13,5462,20220517
60.15,60.17,60.09,60.09,4056,20220517
60.1,60.1,59.94,60.03,6047,20220517
60.0301,60.09,59.975,60.05,3950,20220517
