open,high,low,close,volume,datetime
6.11,6.13,6.09,6.13,11440,20220518
6.12,6.12,6.11,6.11,1600,20220518
6.12,6.14,6.105,6.105,1742,20220518
6.105,6.11,6.105,6.105,1200,20220518
6.11,6.11,6.11,6.11,436,20220518
6.12,6.1392,6.12,6.125,6077,20220518
6.13,6.145,6.13,6.145,8768,20220518
6.15,6.165,6.15,6.15,3569,20220518
6.14,6.14,6.14,6.14,325,20220518
6.13,6.13,6.12,6.12,10400,20220518
6.13,6.135,6.13,6.13,1988,20220518
6.12,6.12,6.115,6.115,3529,20220518
6.115,6.12,6.115,6.12,909,20220518
6.115,6.13,6.115,6.12,4181,20220518
6.125,6.125,6.12,6.12,300,20220518
6.12,6.1324,6.12,6.1324,1000,20220518
6.135,6.135,6.1222,6.1222,1786,20220518
6.13,6.13,6.12,6.13,1400,20220518
6.125,6.125,6.12,6.12,900,20220518
6.12,6.12,6.12,6.12,4600,20220518
6.11,6.115,6.11,6.11,18470,20220518
6.115,6.135,6.115,6.125,6000,20220518
6.12,6.12,6.11,6.11,1420,20220518
6.12,6.12,6.115,6.115,28445,20220518
6.115,6.115,6.115,6.115,3480,20220518
6.115,6.115,6.115,6.115,643,20220518
6.115,6.115,6.11,6.11,10352,20220518
6.11,6.115,6.11,6.115,3129,20220518
6.11,6.12,6.11,6.115,26305,20220518
6.115,6.115,6.115,6.115,3257,20220518
6.115,6.125,6.115,6.12,9973,20220518
6.12,6.12,6.115,6.115,11665,20220518
6.115,6.125,6.115,6.12,4578,20220518
6.13,6.135,6.13,6.135,1768,20220518
6.135,6.135,6.13,6.13,4706,20220518
6.12,6.13,6.12,6.13,3403,20220518
6.125,6.125,6.12,6.12,500,20220518
6.12,6.12,6.115,6.115,5669,20220518
6.115,6.125,6.115,6.125,4380,20220518
6.12,6.125,6.12,6.125,450,20220518
6.12,6.125,6.12,6.125,2600,20220518
6.12,6.12,6.115,6.115,1036,20220518
6.12,6.12,6.12,6.12,1600,20220518
6.12,6.125,6.12,6.12,2400,20220518
6.12,6.13,6.12,6.125,11500,20220518
6.125,6.13,6.125,6.125,13255,20220518
6.125,6.125,6.12,6.125,1500,20220518
6.125,6.125,6.125,6.125,800,20220518
6.125,6.125,6.125,6.125,100,20220518
6.125,6.135,6.125,6.135,4890,20220518
6.135,6.135,6.13,6.13,1300,20220518
6.135,6.14,6.135,6.14,8954,20220518
6.14,6.145,6.14,6.14,3600,20220518
6.135,6.135,6.135,6.135,100,20220518
6.13,6.135,6.13,6.135,900,20220518
6.135,6.135,6.135,6.135,700,20220518
6.135,6.135,6.115,6.115,4500,20220518
6.11,6.11,6.11,6.11,1000,20220518
6.115,6.115,6.11,6.11,500,20220518
6.11,6.12,6.11,6.11,500,20220518
6.11,6.11,6.1,6.105,1720,20220518
6.105,6.11,6.105,6.11,6148,20220518
6.11,6.115,6.11,6.115,990,20220518
6.11,6.115,6.11,6.115,2500,20220518
6.115,6.12,6.11,6.115,1307,20220518
6.12,6.125,6.12,6.125,6461,20220518
6.12,6.12,6.11,6.115,6300,20220518
6.115,6.115,6.115,6.115,46300,20220518
6.12,6.125,6.12,6.125,3770,20220518
6.13,6.135,6.13,6.135,1624,20220518
6.131,6.131,6.125,6.125,1900,20220518
6.125,6.125,6.125,6.125,700,20220518
6.125,6.125,6.115,6.12,1872,20220518
6.12,6.13,6.12,6.13,2292,20220518
6.125,6.125,6.12,6.125,8645,20220518
6.12,6.12,6.12,6.12,800,20220518
6.13,6.13,6.13,6.13,913,20220518
6.135,6.145,6.135,6.145,2332,20220518
6.15,6.16,6.15,6.16,1871,20220518
6.155,6.16,6.15,6.155,3900,20220518
6.155,6.155,6.145,6.145,7101,20220518
6.14,6.14,6.13,6.13,231560,20220518
6.13,6.13,6.13,6.13,2572,20220518
6.12,6.13,6.12,6.13,492,20220518
6.13,6.13,6.13,6.13,6284,20220518
6.135,6.14,6.135,6.14,2524,20220518
6.14,6.14,6.135,6.135,3500,20220518
6.13,6.13,6.13,6.13,100,20220518
6.135,6.135,6.13,6.13,2431,20220518
6.13,6.14,6.13,6.14,3355,20220518
6.13,6.13,6.125,6.13,2294,20220518
6.13,6.13,6.13,6.13,404,20220518
6.135,6.135,6.135,6.135,100,20220518
6.1399,6.14,6.1399,6.14,2100,20220518
6.135,6.135,6.13,6.13,4402,20220518
6.13,6.135,6.13,6.13,746,20220518
6.135,6.135,6.13,6.13,2184,20220518
6.13,6.13,6.125,6.125,2417,20220518
6.12,6.125,6.12,6.125,3700,20220518
6.12,6.125,6.12,6.125,538,20220518
6.125,6.125,6.125,6.125,400,20220518
