open,high,low,close,volume,datetime
99.84,100.23,99.72,99.72,13882,20220517
99.04,99.36,99.04,99.36,300,20220517
99.36,99.36,99.06,99.1,500,20220517
99.3,99.46,99.1,99.46,300,20220517
99.13,99.88,99.13,99.62,7314,20220517
99.5,99.755,99.33,99.6,9055,20220517
99.6,99.6,99.6,99.6,100,20220517
99.63,99.63,99.5,99.5,2354,20220517
99.53,99.59,99.5,99.5,3899,20220517
99.44,99.53,99.3,99.3,700,20220517
99.37,99.48,99.37,99.48,5815,20220517
99.3,99.35,99.3,99.35,200,20220517
99.33,99.44,99.24,99.44,5346,20220517
99.37,99.42,99.18,99.18,2625,20220517
99.28,99.28,99.15,99.16,1100,20220517
99.25,99.37,99.23,99.37,2000,20220517
99.32,99.44,99.26,99.44,1500,20220517
99.35,99.52,99.28,99.31,4835,20220517
99.29,99.29,99.29,99.29,100,20220517
99.395,99.4346,99.3,99.405,650,20220517
99.405,99.405,99.17,99.2,2438,20220517
99.24,99.24,99.045,99.045,1600,20220517
98.96,98.96,98.845,98.845,500,20220517
98.85,98.855,98.74,98.74,2845,20220517
98.705,98.705,98.45,98.45,4248,20220517
98.505,98.53,98.29,98.475,10870,20220517
98.46,98.4938,98.31,98.31,2138,20220517
98.35,98.78,98.35,98.735,3339,20220517
98.735,98.79,98.53,98.71,4236,20220517
98.83,98.84,98.54,98.55,2626,20220517
98.6,98.635,98.52,98.6,4070,20220517
98.58,98.58,98.41,98.45,5343,20220517
98.4,98.455,98.32,98.33,1410,20220517
98.375,98.42,98.29,98.3,5066,20220517
98.3,98.31,98.13,98.26,5804,20220517
98.23,98.445,98.21,98.42,6376,20220517
98.385,98.435,98.26,98.405,5119,20220517
98.36,98.36,98.21,98.3,2559,20220517
98.36,98.39,98.27,98.31,4888,20220517
98.35,98.38,98.3,98.305,3893,20220517
98.31,98.33,98.26,98.3,2857,20220517
98.33,98.38,98.13,98.14,8163,20220517
98.11,98.25,98.05,98.16,4256,20220517
98.24,98.26,98.105,98.11,2500,20220517
98.17,98.19,97.91,97.925,6744,20220517
97.92,98.15,97.88,98.15,6500,20220517
98.14,98.38,98.07,98.2075,11243,20220517
98.22,98.375,98.22,98.375,1743,20220517
98.29,98.32,98.035,98.035,4597,20220517
98.03,98.09,98.005,98.005,3881,20220517
97.97,97.97,97.79,97.855,2893,20220517
97.9,97.94,97.77,97.77,5179,20220517
97.73,97.8,97.64,97.78,5562,20220517
97.84,97.88,97.63,97.63,4025,20220517
97.645,97.755,97.62,97.64,4888,20220517
97.68,97.74,97.58,97.74,3389,20220517
97.73,97.91,97.73,97.735,3394,20220517
97.79,97.89,97.77,97.77,3272,20220517
97.73,97.76,97.7,97.725,2825,20220517
97.75,97.77,97.63,97.67,3064,20220517
97.62,97.64,97.49,97.49,4435,20220517
97.535,97.7,97.495,97.55,8201,20220517
97.56,97.58,97.43,97.55,4027,20220517
97.555,97.575,97.48,97.575,5386,20220517
97.62,97.64,97.55,97.59,3812,20220517
97.585,97.63,97.55,97.58,2420,20220517
97.55,97.55,97.4,97.545,12284,20220517
97.455,97.51,97.44,97.44,4980,20220517
97.44,97.44,97.36,97.36,993,20220517
97.36,97.39,97.3,97.37,2450,20220517
97.33,97.37,97.28,97.345,1934,20220517
97.35,97.37,97.29,97.33,3517,20220517
97.345,97.42,97.27,97.42,3503,20220517
97.38,97.45,97.34,97.45,2783,20220517
97.35,97.39,97.33,97.345,1500,20220517
97.43,97.48,97.42,97.45,2101,20220517
97.445,97.46,97.38,97.435,4391,20220517
97.425,97.425,97.19,97.29,3000,20220517
97.25,97.29,97.24,97.28,1700,20220517
97.255,97.29,97.21,97.24,2580,20220517
97.23,97.27,97.22,97.27,900,20220517
97.25,97.25,97.11,97.11,2401,20220517
97.07,97.07,97.06,97.06,265,20220517
97.045,97.18,97.045,97.11,7166,20220517
97.16,97.23,97.08,97.23,2400,20220517
97.23,97.23,97.12,97.12,963,20220517
97.18,97.2233,97.1,97.18,1667,20220517
97.145,97.22,97.14,97.14,2084,20220517
97.13,97.13,97.07,97.07,1510,20220517
97.06,97.155,97.03,97.14,2999,20220517
97.1,97.11,97.03,97.11,4114,20220517
97.16,97.16,97.0,97.0,2062,20220517
97.01,97.14,96.99,97.14,4285,20220517
97.155,97.215,97.155,97.215,1200,20220517
97.235,97.235,97.13,97.1657,3172,20220517
97.13,97.13,97.09,97.115,1931,20220517
97.14,97.14,97.05,97.05,2199,20220517
97.045,97.045,96.94,96.94,1200,20220517
96.99,97.05,96.95,97.04,3550,20220517
97.02,97.025,96.9907,97.02,800,20220517
96.99,97.12,96.99,97.055,2051,20220517
97.045,97.21,97.045,97.16,2862,20220517
97.24,97.24,97.21,97.21,200,20220517
97.255,97.255,97.11,97.11,3309,20220517
97.11,97.13,96.995,97.05,4248,20220517
97.01,97.01,97.0,97.01,400,20220517
97.03,97.26,97.03,97.26,1952,20220517
97.26,97.26,97.19,97.19,1528,20220517
97.1802,97.38,97.14,97.38,4068,20220517
97.34,97.37,97.291,97.34,3035,20220517
97.3447,97.47,97.34,97.38,3310,20220517
97.385,97.59,97.385,97.59,2761,20220517
