open,high,low,close,volume,datetime
113.15,113.15,113.15,113.15,4492,20220517
113.67,113.67,112.75,112.75,300,20220517
113.26,113.26,113.13,113.13,400,20220517
113.31,113.31,112.97,113.31,300,20220517
113.26,113.26,113.25,113.25,200,20220517
113.23,113.44,113.05,113.33,1887,20220517
113.19,113.19,113.19,113.19,100,20220517
112.94,112.94,112.93,112.93,200,20220517
112.84,112.99,112.72,112.99,400,20220517
112.99,113.12,112.92,113.12,500,20220517
113.05,113.05,112.59,112.59,200,20220517
112.62,112.86,112.62,112.745,1398,20220517
112.89,113.07,112.87,112.91,1500,20220517
112.87,113.01,112.87,112.97,600,20220517
112.74,112.84,112.5,112.73,900,20220517
112.77,112.8,112.77,112.8,415,20220517
112.47,112.47,112.0,112.13,9400,20220517
112.165,112.38,112.165,112.38,1200,20220517
112.64,112.64,112.64,112.64,100,20220517
112.595,112.595,112.4,112.42,640,20220517
112.61,112.75,112.61,112.645,300,20220517
112.74,112.74,112.61,112.74,400,20220517
112.61,112.61,112.6,112.6,200,20220517
112.6,112.61,112.55,112.55,1569,20220517
112.53,112.53,112.53,112.53,200,20220517
112.32,112.39,112.32,112.39,300,20220517
112.3,112.32,112.3,112.32,300,20220517
112.41,112.41,112.41,112.41,100,20220517
112.35,112.35,112.22,112.22,400,20220517
112.42,112.45,112.4,112.44,605,20220517
112.44,112.44,112.34,112.34,1564,20220517
112.394,112.53,112.35,112.505,930,20220517
112.515,112.525,112.31,112.31,2784,20220517
112.33,112.33,112.33,112.33,102,20220517
112.4,112.41,112.36,112.36,300,20220517
112.4,112.4,112.32,112.375,1029,20220517
112.43,112.43,112.34,112.35,5456,20220517
112.33,112.33,112.24,112.3,400,20220517
112.3,112.3,112.255,112.295,900,20220517
112.06,112.06,111.96,111.96,914,20220517
112.03,112.03,112.03,112.03,103,20220517
111.815,111.815,111.81,111.81,200,20220517
111.945,111.945,111.79,111.79,800,20220517
111.92,111.96,111.74,111.8,8341,20220517
111.87,111.87,111.69,111.78,2100,20220517
111.79,112.08,111.75,112.08,7802,20220517
112.0,112.0,111.8,111.8,3599,20220517
111.9,112.02,111.85,111.87,1743,20220517
111.98,112.05,111.9,111.9,1711,20220517
