open,high,low,close,volume,datetime
245.14,245.44,243.66,243.825,50836,20220517
243.825,243.96,242.86,243.05,9400,20220517
242.76,242.9,241.75,242.0,9103,20220517
242.04,242.08,241.36,241.794,7212,20220517
241.7,241.73,240.81,240.81,7895,20220517
240.945,241.07,240.39,240.6,12695,20220517
240.6,241.42,240.6,241.42,13737,20220517
241.24,241.284,240.7525,240.76,11601,20220517
240.77,240.77,239.77,239.91,12300,20220517
239.91,240.39,239.26,240.39,5279,20220517
240.32,241.37,240.31,241.19,1013,20220517
241.06,241.082,240.24,240.41,3461,20220517
240.42,241.04,240.33,240.79,9611,20220517
240.86,241.53,240.85,240.91,12993,20220517
241.105,241.49,240.93,241.21,2400,20220517
240.96,241.53,240.95,241.53,2400,20220517
241.61,242.89,241.61,242.89,2623,20220517
242.89,242.89,242.18,242.46,5406,20220517
242.62,242.62,242.17,242.52,2504,20220517
242.63,242.669,242.2375,242.2375,3593,20220517
242.24,242.4,242.04,242.04,3219,20220517
242.12,242.555,242.11,242.11,4146,20220517
242.08,242.18,241.64,241.845,4390,20220517
241.96,242.16,241.96,241.97,1185,20220517
241.83,242.05,241.63,241.82,3197,20220517
241.89,241.9,241.37,241.52,5406,20220517
241.72,241.935,241.6,241.895,2643,20220517
241.98,242.15,241.98,242.125,4914,20220517
242.125,242.485,242.085,242.39,2948,20220517
242.475,242.69,242.475,242.69,6273,20220517
242.72,242.84,242.54,242.82,3936,20220517
242.81,243.425,242.77,243.18,5154,20220517
243.17,243.63,243.16,243.63,2072,20220517
243.52,243.79,243.48,243.595,7250,20220517
243.55,243.64,243.385,243.515,2608,20220517
243.45,243.5,243.33,243.49,3040,20220517
243.46,243.46,243.28,243.44,3988,20220517
243.46,243.52,243.34,243.41,3079,20220517
243.41,243.78,243.36,243.78,5214,20220517
243.74,243.99,243.69,243.91,3427,20220517
243.925,244.18,243.905,244.1,2546,20220517
244.22,244.52,244.19,244.48,6308,20220517
244.49,244.64,244.42,244.49,4986,20220517
244.5,244.62,244.35,244.36,4777,20220517
244.25,244.58,244.25,244.445,1868,20220517
244.41,244.54,244.375,244.485,2740,20220517
244.485,244.54,244.25,244.29,2511,20220517
244.29,244.32,244.05,244.05,4933,20220517
244.01,244.25,243.95,244.09,2900,20220517
244.03,244.2,244.03,244.195,1821,20220517
244.18,244.25,244.105,244.105,3349,20220517
244.18,244.25,244.105,244.17,6905,20220517
244.24,244.25,244.0,244.065,3940,20220517
244.0,244.25,243.88,244.07,14239,20220517
243.98,244.13,243.78,244.05,2000,20220517
244.085,244.09,243.97,244.01,3746,20220517
243.95,244.11,243.94,244.11,2331,20220517
244.11,244.25,244.1,244.18,3044,20220517
244.18,244.18,243.82,243.89,1000,20220517
243.92,244.17,243.8,243.85,2199,20220517
243.905,243.99,243.82,243.865,1586,20220517
243.86,243.865,243.6,243.8,3730,20220517
243.86,244.11,243.86,244.09,3517,20220517
244.03,244.29,244.03,244.25,4100,20220517
244.29,244.355,244.22,244.305,3100,20220517
244.325,244.62,244.3,244.565,3107,20220517
244.56,244.65,244.56,244.625,2800,20220517
244.52,244.57,244.35,244.51,2300,20220517
244.51,244.72,244.44,244.69,2379,20220517
244.68,244.87,244.675,244.675,3260,20220517
244.62,244.68,244.47,244.68,2575,20220517
244.69,244.77,244.55,244.55,5366,20220517
244.51,244.58,244.45,244.49,3627,20220517
244.46,244.46,244.235,244.25,3841,20220517
244.235,244.235,244.05,244.18,2144,20220517
244.2,244.32,244.08,244.16,2600,20220517
244.13,244.26,244.11,244.205,2348,20220517
244.215,244.34,244.18,244.28,1902,20220517
244.25,244.315,244.25,244.28,500,20220517
244.28,244.39,244.247,244.34,2574,20220517
244.28,244.28,244.01,244.13,1300,20220517
244.04,244.05,243.9,243.97,1559,20220517
243.98,243.98,243.7,243.72,5789,20220517
243.72,243.8,243.64,243.77,2254,20220517
243.71,244.045,243.71,244.045,1200,20220517
244.1,244.29,244.1,244.29,650,20220517
244.28,244.38,244.17,244.335,2902,20220517
244.255,244.37,244.2,244.25,2500,20220517
244.2968,244.385,244.24,244.3,5559,20220517
244.25,244.46,244.19,244.415,4413,20220517
244.46,244.62,244.46,244.62,700,20220517
244.52,244.55,244.425,244.425,1682,20220517
244.39,244.45,244.22,244.415,2543,20220517
244.435,244.6,244.37,244.6,3005,20220517
244.63,244.675,244.61,244.67,1100,20220517
244.67,244.89,244.65,244.77,2300,20220517
244.795,244.795,244.55,244.55,1049,20220517
244.51,244.7216,244.51,244.65,1646,20220517
244.59,244.59,244.39,244.48,1400,20220517
244.4,244.45,244.4,244.45,400,20220517
244.5,244.55,244.36,244.37,1100,20220517
244.39,244.51,244.35,244.51,500,20220517
244.55,244.62,244.52,244.55,1613,20220517
244.55,244.78,244.55,244.61,1807,20220517
244.63,244.63,244.5241,244.575,2215,20220517
244.575,244.575,244.42,244.42,1400,20220517
244.26,244.3,244.13,244.245,1100,20220517
244.28,244.31,244.24,244.26,1526,20220517
244.35,244.56,244.34,244.55,1300,20220517
244.41,244.42,244.24,244.29,2440,20220517
244.27,244.41,244.27,244.39,1300,20220517
244.39,244.5,244.34,244.47,1250,20220517
244.47,244.66,244.39,244.63,1000,20220517
244.67,244.67,244.42,244.55,3218,20220517
244.48,244.61,244.48,244.49,900,20220517
244.53,244.62,244.47,244.59,1872,20220517
244.54,244.7,244.54,244.66,700,20220517
244.67,244.75,244.61,244.75,1500,20220517
244.79,244.92,244.79,244.83,1684,20220517
244.95,244.95,244.84,244.84,1250,20220517
244.88,245.05,244.87,245.05,2765,20220517
245.04,245.17,244.95,245.08,1300,20220517
245.005,245.11,244.9,244.96,2596,20220517
244.95,245.0,244.95,245.0,830,20220517
245.01,245.09,244.9415,244.9415,2285,20220517
245.025,245.025,244.81,244.835,1200,20220517
244.79,244.79,244.7275,244.7275,1502,20220517
244.65,244.65,244.61,244.63,1100,20220517
244.6,244.6006,244.535,244.58,1929,20220517
244.46,244.46,244.4,244.42,1300,20220517
