open,high,low,close,volume,datetime
233.2,233.63,232.0,232.0,19071,20220517
231.71,231.82,231.66,231.66,500,20220517
231.43,231.5,231.06,231.06,436,20220517
230.8,230.8,230.46,230.775,1812,20220517
230.775,230.775,230.0,230.69,5108,20220517
230.79,230.79,230.36,230.59,1450,20220517
230.55,230.82,230.23,230.62,1602,20220517
230.55,230.55,230.19,230.27,1076,20220517
230.0,230.26,230.0,230.23,18902,20220517
230.46,230.52,230.04,230.4,2252,20220517
230.52,230.52,230.36,230.4799,900,20220517
230.0,230.27,230.0,230.27,5054,20220517
230.495,230.61,230.12,230.18,1860,20220517
230.18,230.46,230.18,230.25,7216,20220517
230.01,230.17,229.92,229.945,5605,20220517
229.95,230.21,229.95,230.21,1600,20220517
230.005,230.01,229.915,229.915,402,20220517
229.86,230.0,229.4,229.785,5463,20220517
229.9,230.015,229.705,229.705,2904,20220517
229.72,229.86,229.51,229.7,2509,20220517
229.56,229.96,229.56,229.94,2113,20220517
229.76,229.93,229.69,229.93,1570,20220517
230.04,230.04,229.74,230.0,1100,20220517
229.95,230.38,229.95,230.25,1417,20220517
230.0,230.12,230.0,230.12,1214,20220517
230.01,230.12,229.955,230.12,1757,20220517
230.15,230.28,230.09,230.17,800,20220517
230.215,230.285,230.215,230.285,500,20220517
230.3709,230.5,230.3709,230.455,418,20220517
230.625,230.625,230.625,230.625,100,20220517
230.635,231.14,230.635,231.14,1371,20220517
231.12,231.31,231.105,231.28,1592,20220517
231.45,231.66,231.45,231.66,986,20220517
231.57,231.69,231.11,231.12,5446,20220517
231.07,231.19,230.99,231.05,1645,20220517
231.1,231.19,230.94,231.14,1486,20220517
231.125,231.125,230.96,230.96,500,20220517
230.78,230.88,230.72,230.78,2570,20220517
230.69,230.94,230.68,230.81,3244,20220517
230.86,230.91,230.74,230.91,392,20220517
230.78,230.78,230.58,230.67,1062,20220517
230.73,230.8,230.69,230.69,2020,20220517
230.56,230.65,229.93,230.16,11348,20220517
230.15,230.15,230.06,230.07,1830,20220517
230.16,230.28,229.88,230.21,9651,20220517
230.16,230.21,230.125,230.15,4035,20220517
230.135,230.34,230.13,230.14,2215,20220517
230.24,230.46,230.24,230.46,1500,20220517
230.46,230.535,230.39,230.39,510,20220517
230.464,230.464,230.32,230.32,400,20220517
230.5466,230.5466,230.32,230.44,1285,20220517
230.46,230.46,230.44,230.44,200,20220517
230.535,230.67,230.42,230.67,3838,20220517
230.83,230.83,230.54,230.59,986,20220517
230.53,230.53,230.53,230.53,100,20220517
230.45,230.6,230.4,230.51,1404,20220517
230.57,230.57,230.33,230.33,5421,20220517
230.43,230.6,230.43,230.575,1507,20220517
230.61,230.68,230.4425,230.54,2733,20220517
230.63,230.63,230.52,230.52,200,20220517
230.51,230.63,230.3,230.63,2772,20220517
230.575,230.705,230.575,230.7,600,20220517
230.72,231.08,230.72,231.08,1975,20220517
231.045,231.14,230.84,230.9514,522,20220517
230.915,231.03,230.91,231.02,900,20220517
230.95,231.14,230.88,231.06,3291,20220517
231.06,231.06,230.95,230.98,1200,20220517
231.02,231.145,230.89,231.06,2046,20220517
231.18,231.18,231.12,231.12,300,20220517
231.13,231.13,230.79,230.79,1383,20220517
230.84,231.01,230.84,230.94,2300,20220517
230.81,230.915,230.7,230.73,400,20220517
230.72,230.72,230.72,230.72,200,20220517
230.73,231.06,230.73,231.04,300,20220517
230.9844,231.13,230.97,231.025,5277,20220517
231.02,231.17,231.01,231.09,1300,20220517
231.12,231.12,231.07,231.07,500,20220517
231.06,231.06,230.93,230.93,975,20220517
230.99,231.06,230.925,230.96,1529,20220517
230.92,231.07,230.9,230.98,1900,20220517
230.97,230.97,230.715,230.79,1651,20220517
230.86,230.86,230.86,230.86,406,20220517
230.94,231.03,230.92,230.92,1301,20220517
231.03,231.1786,230.92,231.1786,1782,20220517
231.11,231.16,231.0425,231.16,2295,20220517
