open,high,low,close,volume,datetime
120.32,120.34,118.68,118.68,9193,20220518
118.27,118.465,118.07,118.07,1158,20220518
118.03,118.03,117.77,117.99,5437,20220518
118.385,118.583,118.385,118.5541,1100,20220518
117.42,117.92,117.42,117.9,300,20220518
117.7754,117.7754,117.7754,117.7754,115,20220518
118.4718,118.4718,117.94,117.94,400,20220518
118.7411,118.7411,118.23,118.23,723,20220518
118.6747,118.6747,118.61,118.61,300,20220518
118.3743,118.3743,118.3743,118.3743,100,20220518
118.36,118.36,118.0302,118.0302,400,20220518
118.29,118.29,118.29,118.29,100,20220518
118.24,118.24,118.24,118.24,300,20220518
118.03,118.32,117.61,117.61,1236,20220518
117.723,118.07,117.723,118.0257,351,20220518
118.4,118.4,118.28,118.28,401,20220518
118.33,118.565,118.33,118.565,600,20220518
118.49,118.49,118.28,118.28,300,20220518
118.065,118.11,117.9,118.03,850,20220518
117.83,117.83,117.83,117.83,100,20220518
117.58,117.58,117.55,117.55,350,20220518
117.62,117.62,117.29,117.54,1820,20220518
117.335,117.47,117.1,117.47,1733,20220518
117.56,117.78,117.56,117.712,320,20220518
117.6,117.935,117.53,117.781,970,20220518
117.905,117.905,117.905,117.905,100,20220518
117.385,117.385,117.385,117.385,300,20220518
117.31,117.395,117.185,117.235,3012,20220518
117.295,117.295,117.06,117.11,902,20220518
117.22,117.74,117.14,117.61,3375,20220518
117.81,118.1,117.63,117.91,700,20220518
117.62,117.68,117.54,117.655,1320,20220518
117.525,117.77,117.525,117.73,750,20220518
117.75,117.89,117.39,117.76,3799,20220518
117.69,117.69,117.44,117.535,1509,20220518
117.61,117.61,117.57,117.57,1000,20220518
117.47,117.56,117.47,117.515,900,20220518
117.4969,117.515,117.0007,117.0007,1345,20220518
116.96,116.98,116.62,116.795,3294,20220518
116.775,117.11,116.575,116.575,2449,20220518
116.47,116.68,116.47,116.64,930,20220518
116.57,116.58,116.3,116.315,2641,20220518
116.3786,116.3786,116.07,116.2589,1408,20220518
116.26,116.33,116.19,116.19,300,20220518
116.16,116.325,116.065,116.065,600,20220518
115.97,116.082,115.97,116.06,640,20220518
115.98,116.02,115.98,116.015,304,20220518
115.84,115.84,115.8,115.8,305,20220518
115.54,115.55,115.34,115.525,824,20220518
115.72,115.84,115.71,115.82,1421,20220518
115.82,115.895,115.82,115.835,613,20220518
115.835,115.93,115.835,115.93,300,20220518
115.87,116.21,115.87,116.21,300,20220518
116.22,116.22,116.2,116.2,200,20220518
116.05,116.1,116.04,116.1,500,20220518
116.24,116.28,116.105,116.28,1001,20220518
116.15,116.15,116.01,116.01,600,20220518
116.005,116.01,115.8,116.01,872,20220518
115.72,115.72,115.54,115.65,1010,20220518
115.545,115.55,115.54,115.54,700,20220518
115.545,115.545,114.9,114.93,6761,20220518
114.86,114.93,114.475,114.81,10913,20220518
114.815,114.85,114.68,114.85,1500,20220518
114.765,114.765,114.6,114.75,2025,20220518
114.74,114.74,114.5,114.5,612,20220518
114.495,114.63,114.47,114.555,1447,20220518
114.56,114.62,114.5,114.57,1700,20220518
114.5,114.565,114.47,114.47,810,20220518
114.45,114.9,114.45,114.9,1676,20220518
114.87,114.93,114.87,114.93,377,20220518
114.905,115.07,114.905,115.07,200,20220518
115.01,115.1,114.845,114.845,529,20220518
114.685,114.685,114.685,114.685,100,20220518
114.84,114.84,114.84,114.84,230,20220518
114.735,114.74,114.735,114.74,200,20220518
114.87,115.01,114.695,114.695,901,20220518
114.655,114.655,114.5682,114.595,500,20220518
114.73,114.74,114.54,114.54,801,20220518
114.3474,114.42,114.3474,114.392,789,20220518
114.51,114.51,114.435,114.435,400,20220518
114.6,114.6,114.41,114.41,726,20220518
114.375,114.375,114.2,114.21,1589,20220518
114.18,114.26,114.0404,114.0404,1200,20220518
114.0851,114.0851,113.84,114.08,2483,20220518
113.91,114.0889,113.91,114.0889,1200,20220518
114.02,114.35,114.02,114.35,700,20220518
114.46,114.46,114.36,114.3651,1012,20220518
114.465,114.465,114.42,114.42,1000,20220518
114.17,114.23,114.17,114.23,600,20220518
114.49,114.65,114.49,114.635,1261,20220518
114.45,114.45,114.34,114.34,300,20220518
114.08,114.08,114.08,114.08,200,20220518
113.975,113.975,113.9,113.9,1100,20220518
113.81,113.81,113.51,113.51,1624,20220518
113.36,113.52,113.36,113.52,600,20220518
113.53,113.53,113.34,113.34,300,20220518
113.14,113.14,113.14,113.14,100,20220518
113.22,113.26,113.2,113.255,503,20220518
113.255,113.35,113.16,113.26,1042,20220518
113.26,113.26,113.26,113.26,200,20220518
113.62,113.62,113.485,113.485,409,20220518
113.455,113.58,113.43,113.43,300,20220518
113.4,113.4,113.4,113.4,300,20220518
113.49,113.62,113.435,113.58,2900,20220518
113.61,113.9,113.61,113.65,1000,20220518
113.65,113.65,113.48,113.48,500,20220518
113.33,113.485,113.33,113.48,1100,20220518
113.32,113.45,113.32,113.45,600,20220518
113.42,113.52,113.4,113.425,1784,20220518
113.32,113.42,113.3,113.3,1610,20220518
113.4,113.4,113.4,113.4,100,20220518
113.42,113.45,113.42,113.45,308,20220518
113.28,113.45,113.28,113.345,608,20220518
113.38,113.38,113.16,113.16,400,20220518
113.23,113.3,112.97,113.12,3715,20220518
112.99,112.99,112.99,112.99,400,20220518
112.91,112.91,112.78,112.78,400,20220518
112.94,112.94,112.875,112.875,301,20220518
112.825,112.825,112.74,112.795,700,20220518
112.69,112.69,112.39,112.44,6339,20220518
112.41,112.63,112.41,112.575,723,20220518
112.5,112.94,112.5,112.94,3222,20220518
112.91,113.355,112.91,113.355,3623,20220518
113.3,113.3,113.11,113.29,1295,20220518
113.35,113.59,113.22,113.24,3057,20220518
113.21,113.21,113.05,113.07,968,20220518
113.16,113.475,113.16,113.475,300,20220518
113.5999,113.5999,113.485,113.49,850,20220518
113.36,113.54,113.36,113.54,564,20220518
113.41,113.41,113.16,113.16,200,20220518
113.02,113.02,113.0,113.0,884,20220518
113.0,113.0,112.87,112.965,600,20220518
112.89,112.995,112.89,112.995,1650,20220518
113.025,113.14,113.025,113.075,800,20220518
113.0128,113.09,113.0128,113.09,728,20220518
113.02,113.095,113.02,113.095,667,20220518
112.96,112.96,112.86,112.92,1118,20220518
112.86,112.86,112.735,112.735,717,20220518
112.55,112.55,112.4,112.425,400,20220518
112.12,112.19,112.05,112.05,1464,20220518
112.155,112.25,112.07,112.195,1323,20220518
112.195,112.28,112.185,112.28,687,20220518
112.28,112.28,112.25,112.25,437,20220518
112.17,112.26,112.14,112.14,3721,20220518
112.14,112.15,112.14,112.15,723,20220518
112.1877,112.1877,112.15,112.16,601,20220518
112.04,112.045,111.805,111.805,2178,20220518
111.6,111.74,111.6,111.73,903,20220518
111.79,112.06,111.79,111.9,1202,20220518
111.69,111.91,111.69,111.91,300,20220518
111.71,111.71,111.7,111.7,330,20220518
111.68,111.73,111.68,111.73,220,20220518
111.72,111.72,111.485,111.485,500,20220518
111.35,111.35,111.35,111.35,100,20220518
111.265,111.5,111.265,111.5,650,20220518
111.63,111.63,111.63,111.63,100,20220518
111.73,111.73,111.73,111.73,100,20220518
111.72,111.72,111.72,111.72,200,20220518
111.78,111.88,111.78,111.88,494,20220518
111.99,111.99,111.99,111.99,100,20220518
112.02,112.09,111.955,111.97,1180,20220518
111.73,111.73,111.48,111.48,500,20220518
111.58,111.58,111.34,111.39,740,20220518
111.32,111.32,111.2,111.27,1200,20220518
111.245,111.245,111.02,111.02,300,20220518
110.91,111.08,110.91,111.04,1196,20220518
111.09,111.09,111.09,111.09,100,20220518
111.14,111.305,111.14,111.3,900,20220518
111.3,111.37,111.3,111.37,300,20220518
111.46,111.6,111.455,111.6,700,20220518
111.34,111.35,111.34,111.35,322,20220518
111.35,111.43,111.35,111.39,700,20220518
111.47,111.48,111.4,111.4,1201,20220518
111.355,111.355,111.12,111.12,1750,20220518
111.2,111.23,111.14,111.215,1910,20220518
111.16,111.16,110.98,111.07,1700,20220518
111.025,111.15,110.985,110.985,700,20220518
111.065,111.065,110.965,110.98,1601,20220518
111.0,111.0,110.63,110.73,1700,20220518
110.73,110.76,110.65,110.76,1872,20220518
110.775,110.85,110.775,110.85,300,20220518
110.725,110.79,110.72,110.79,843,20220518
110.7,110.8,110.58,110.67,4490,20220518
110.83,110.93,110.67,110.67,1750,20220518
110.76,110.76,110.6,110.6897,600,20220518
110.54,110.54,110.31,110.31,780,20220518
110.46,110.62,110.39,110.62,2123,20220518
110.63,111.01,110.57,110.91,2418,20220518
111.02,111.02,110.89,110.895,301,20220518
110.87,110.87,110.81,110.81,900,20220518
110.83,110.83,110.69,110.73,1000,20220518
110.705,111.05,110.615,110.913,2350,20220518
110.87,111.18,110.87,111.11,3263,20220518
111.11,111.11,111.11,111.11,669,20220518
111.17,111.18,111.1,111.18,622,20220518
111.18,111.25,111.15,111.195,770,20220518
111.16,111.16,111.03,111.03,575,20220518
111.14,111.14,111.09,111.09,362,20220518
111.02,111.02,111.02,111.02,100,20220518
111.085,111.15,111.085,111.15,300,20220518
111.145,111.145,111.14,111.14,400,20220518
111.2199,111.2199,111.07,111.15,1700,20220518
111.15,111.52,111.15,111.495,1718,20220518
111.45,111.45,111.4,111.4,400,20220518
111.5,111.53,111.5,111.5,300,20220518
111.56,111.58,111.155,111.165,4057,20220518
111.11,111.11,111.11,111.11,100,20220518
111.1289,111.14,111.1289,111.14,320,20220518
111.06,111.06,110.83,110.83,641,20220518
110.58,110.58,110.58,110.58,100,20220518
110.6206,110.68,110.6206,110.625,1400,20220518
110.57,110.57,110.35,110.38,2198,20220518
110.315,110.4,110.24,110.245,2300,20220518
110.19,110.36,110.19,110.255,1100,20220518
110.225,110.225,110.225,110.225,200,20220518
110.185,110.185,109.77,109.77,5635,20220518
109.82,109.88,109.81,109.865,1564,20220518
109.89,109.89,109.81,109.81,1268,20220518
109.87,110.15,109.85,110.02,2819,20220518
110.09,110.21,110.08,110.15,1371,20220518
110.115,110.115,110.115,110.115,100,20220518
110.26,110.26,110.26,110.26,100,20220518
110.21,110.42,110.21,110.42,700,20220518
110.42,110.42,110.34,110.34,205,20220518
110.18,110.22,110.07,110.17,500,20220518
110.23,110.23,110.16,110.16,200,20220518
110.08,110.14,110.08,110.14,578,20220518
110.09,110.09,110.02,110.02,200,20220518
110.17,110.18,110.17,110.18,400,20220518
110.165,110.18,110.165,110.18,348,20220518
110.16,110.165,109.95,109.95,3155,20220518
110.01,110.02,109.95,110.02,1900,20220518
110.0073,110.09,110.0073,110.0186,2409,20220518
110.13,110.3,110.13,110.265,1944,20220518
