open,high,low,close,volume,datetime
107.37,107.8399,107.37,107.59,26845,20220517
107.6,107.6,107.55,107.6,450,20220517
107.58,107.6,107.3,107.32,3000,20220517
107.5,107.8,107.4,107.52,10198,20220517
107.5,107.5,107.09,107.33,1864,20220517
107.24,107.25,107.06,107.16,5070,20220517
106.87,106.87,106.75,106.805,300,20220517
106.9,106.94,106.76,106.76,600,20220517
106.91,107.0,106.91,107.0,200,20220517
106.8593,107.1,106.8593,107.01,956,20220517
107.055,107.14,106.895,107.05,8233,20220517
107.0,107.17,106.98,107.0,819,20220517
107.05,107.05,107.05,107.05,5008,20220517
107.07,107.26,106.94,107.05,6983,20220517
106.92,107.05,106.915,107.05,9484,20220517
107.12,107.19,107.0,107.05,2362,20220517
107.08,107.1415,107.04,107.1415,625,20220517
107.25,107.44,106.97,106.97,3334,20220517
106.99,107.16,106.99,107.08,500,20220517
106.96,106.96,106.8153,106.92,1700,20220517
106.77,106.89,106.61,106.6738,1558,20220517
106.74,106.79,106.69,106.7775,1000,20220517
106.76,106.77,106.685,106.755,400,20220517
106.63,106.63,106.601,106.601,800,20220517
106.5,106.5,106.35,106.41,400,20220517
106.32,106.52,106.3,106.39,752,20220517
106.41,106.61,106.39,106.485,6120,20220517
106.28,106.28,106.19,106.235,3275,20220517
106.24,106.24,106.1,106.1,3249,20220517
106.14,106.22,106.06,106.22,600,20220517
106.32,106.425,106.3,106.34,825,20220517
106.385,106.385,106.2601,106.2601,200,20220517
106.34,106.66,106.34,106.66,753,20220517
106.645,106.645,106.45,106.45,1404,20220517
106.54,106.65,106.54,106.65,495,20220517
106.725,106.725,106.56,106.63,1215,20220517
106.53,106.65,106.33,106.36,3228,20220517
106.4,106.45,106.18,106.43,1862,20220517
106.28,106.39,106.275,106.275,1147,20220517
106.21,106.23,106.11,106.23,1101,20220517
106.08,106.08,106.04,106.056,1800,20220517
106.055,106.1,105.826,105.84,4647,20220517
105.86,105.86,105.76,105.76,500,20220517
105.82,105.86,105.7832,105.7832,1330,20220517
105.781,105.94,105.781,105.94,736,20220517
105.87,105.96,105.81,105.85,850,20220517
105.95,106.08,105.88,106.045,915,20220517
105.98,106.11,105.98,106.01,630,20220517
106.115,106.15,106.06,106.07,1329,20220517
106.25,106.25,106.16,106.16,600,20220517
106.19,106.19,106.09,106.09,400,20220517
106.05,106.07,105.9002,105.95,2480,20220517
105.88,105.88,105.65,105.84,4922,20220517
105.88,105.995,105.78,105.86,1998,20220517
105.95,105.95,105.76,105.92,1426,20220517
105.95,106.07,105.88,105.88,655,20220517
105.94,105.94,105.84,105.85,2359,20220517
105.815,105.815,105.75,105.77,400,20220517
105.84,105.84,105.74,105.785,1160,20220517
105.74,105.74,105.495,105.56,2106,20220517
105.59,105.75,105.59,105.75,500,20220517
105.77,105.79,105.76,105.76,551,20220517
105.68,105.7889,105.68,105.7889,200,20220517
105.79,105.79,105.75,105.785,300,20220517
105.82,105.82,105.61,105.685,1210,20220517
105.73,105.73,105.59,105.59,600,20220517
105.68,105.68,105.48,105.48,2305,20220517
105.48,105.58,105.48,105.58,900,20220517
105.71,105.71,105.5,105.5,1193,20220517
105.52,105.52,105.505,105.505,400,20220517
105.44,105.47,105.29,105.29,1452,20220517
105.23,105.31,105.0965,105.31,2742,20220517
105.39,105.5,105.29,105.37,2923,20220517
105.39,105.39,105.25,105.31,2219,20220517
105.34,105.34,105.11,105.2,4086,20220517
105.14,105.28,105.14,105.27,1200,20220517
105.25,105.37,105.25,105.35,1153,20220517
105.29,105.29,105.25,105.2779,621,20220517
105.25,105.3,105.25,105.3,800,20220517
105.2676,105.34,105.245,105.27,1100,20220517
105.26,105.3,105.22,105.3,604,20220517
105.43,105.445,105.3,105.3,780,20220517
105.3457,105.3457,105.27,105.27,2268,20220517
105.235,105.34,105.23,105.245,2722,20220517
105.22,105.35,105.22,105.35,731,20220517
105.285,105.285,105.245,105.245,500,20220517
105.24,105.24,105.09,105.09,5064,20220517
105.04,105.095,104.94,105.09,4192,20220517
105.11,105.19,105.07,105.105,2263,20220517
105.1368,105.1368,105.065,105.07,1756,20220517
105.13,105.28,105.13,105.28,911,20220517
105.29,105.29,105.26,105.285,700,20220517
105.27,105.29,105.23,105.23,509,20220517
105.39,105.43,105.37,105.41,1007,20220517
105.39,105.46,105.36,105.46,1000,20220517
105.47,105.54,105.38,105.3994,7328,20220517
105.31,105.44,105.305,105.44,1400,20220517
105.41,105.48,105.41,105.48,270,20220517
105.48,105.48,105.29,105.43,1401,20220517
105.525,105.525,105.46,105.46,400,20220517
105.49,105.53,105.49,105.52,450,20220517
105.5,105.65,105.5,105.55,963,20220517
105.61,105.62,105.55,105.615,500,20220517
105.67,105.7075,105.66,105.66,895,20220517
105.73,105.781,105.565,105.565,4163,20220517
105.555,105.685,105.555,105.61,700,20220517
105.5,105.52,105.42,105.52,800,20220517
105.66,105.75,105.64,105.66,1303,20220517
105.7075,105.85,105.7075,105.85,473,20220517
105.915,106.07,105.915,106.07,1400,20220517
106.005,106.06,106.005,106.06,341,20220517
106.06,106.1,106.02,106.02,600,20220517
106.05,106.0664,106.0,106.0,640,20220517
106.09,106.145,106.09,106.145,580,20220517
106.095,106.34,106.095,106.29,1302,20220517
106.27,106.27,106.21,106.26,600,20220517
106.25,106.29,106.25,106.28,500,20220517
106.42,106.42,106.39,106.39,505,20220517
106.45,106.48,106.32,106.42,1624,20220517
106.47,106.5,106.41,106.48,1581,20220517
106.49,106.5,106.42,106.42,1697,20220517
106.5,106.52,106.45,106.45,1400,20220517
