open,high,low,close,volume,datetime
31.89,32.29,31.7,31.73,32962,20220518
31.7,31.7,31.13,31.36,16350,20220518
31.26,31.29,30.86,30.87,18176,20220518
30.825,30.825,30.36,30.39,12626,20220518
30.34,30.44,30.23,30.245,38351,20220518
30.25,30.58,30.11,30.58,17955,20220518
30.52,30.52,30.39,30.43,940,20220518
30.37,30.39,29.88,29.88,16655,20220518
29.91,30.175,29.91,30.14,9278,20220518
30.15,30.245,30.14,30.24,16122,20220518
30.32,30.32,30.01,30.11,9273,20220518
30.12,30.19,29.95,30.02,10959,20220518
30.02,30.02,29.95,29.95,9743,20220518
29.95,29.955,29.67,29.83,17565,20220518
29.9295,30.03,29.78,29.81,9566,20220518
29.81,29.9001,29.76,29.77,6023,20220518
29.79,30.01,29.79,29.975,10219,20220518
29.94,30.46,29.94,30.45,8823,20220518
30.48,30.71,30.45,30.7,18373,20220518
30.64,30.67,30.565,30.67,7764,20220518
30.64,30.68,30.57,30.68,5414,20220518
30.64,30.78,30.64,30.78,11596,20220518
30.765,30.93,30.74,30.91,21098,20220518
30.895,31.01,30.895,31.01,13691,20220518
31.005,31.125,31.005,31.11,8121,20220518
31.07,31.07,30.81,30.85,14395,20220518
30.85,30.85,30.57,30.66,12734,20220518
30.645,30.725,30.6,30.63,6233,20220518
30.61,30.89,30.61,30.86,5380,20220518
30.89,30.95,30.74,30.83,14939,20220518
30.83,31.24,30.83,31.237,31132,20220518
31.225,31.39,31.14,31.18,20842,20220518
31.21,31.36,31.095,31.095,23455,20220518
31.1,31.1,31.03,31.0487,2704,20220518
31.04,31.09,30.995,31.04,9155,20220518
31.03,31.04,30.93,31.04,17149,20220518
31.02,31.1,31.0,31.04,6332,20220518
31.03,31.05,31.0,31.01,4939,20220518
31.0,31.05,30.99,31.045,11686,20220518
31.05,31.05,30.85,30.92,9666,20220518
30.895,30.98,30.895,30.965,4469,20220518
30.965,30.965,30.83,30.9,4250,20220518
30.94,30.975,30.77,30.77,1938,20220518
30.75,30.77,30.73,30.75,1525,20220518
30.73,30.91,30.72,30.91,3465,20220518
30.9,31.07,30.89,31.07,3328,20220518
31.11,31.22,31.07,31.21,14409,20220518
31.16,31.25,31.12,31.15,7823,20220518
31.17,31.17,31.07,31.09,2457,20220518
