open,high,low,close,volume,datetime
238.24,238.24,237.7,237.7,15639,20220517
236.98,237.465,236.98,237.465,458,20220517
237.44,237.66,237.42,237.66,300,20220517
236.94,236.94,236.7,236.7,400,20220517
236.72,236.78,236.72,236.78,433,20220517
236.93,237.25,236.7975,237.205,414,20220517
237.03,237.17,236.92,237.17,300,20220517
236.4711,236.4711,236.4711,236.4711,200,20220517
236.485,236.485,235.96,236.115,1554,20220517
235.6301,235.6301,235.6301,235.6301,125,20220517
235.71,235.77,235.71,235.77,200,20220517
235.875,236.22,235.875,236.22,200,20220517
236.21,236.21,235.76,235.96,300,20220517
235.7782,235.8,235.7782,235.8,240,20220517
235.76,235.89,235.71,235.85,1304,20220517
235.3157,235.37,235.07,235.37,2218,20220517
235.27,235.27,235.27,235.27,100,20220517
235.055,235.31,235.055,235.24,400,20220517
235.1721,235.22,235.13,235.13,330,20220517
234.985,235.065,234.97,234.97,400,20220517
235.16,235.16,234.99,234.99,604,20220517
235.15,235.15,234.84,234.84,500,20220517
234.805,234.86,234.805,234.86,200,20220517
234.825,234.825,234.825,234.825,100,20220517
235.04,235.04,235.04,235.04,100,20220517
235.03,235.03,235.03,235.03,311,20220517
235.7,235.92,235.58,235.6339,1061,20220517
235.7798,235.94,235.7798,235.9,636,20220517
235.61,235.66,235.61,235.65,300,20220517
235.665,235.665,235.665,235.665,100,20220517
235.75,235.75,235.75,235.75,100,20220517
235.685,235.685,235.46,235.46,467,20220517
235.46,235.49,235.46,235.49,300,20220517
235.0,235.17,234.85,234.885,1215,20220517
234.36,234.65,234.36,234.63,400,20220517
234.82,234.83,234.55,234.55,500,20220517
234.41,234.41,234.41,234.41,100,20220517
234.525,234.89,234.525,234.765,704,20220517
235.045,235.045,234.78,234.78,500,20220517
234.875,234.875,234.875,234.875,100,20220517
235.04,235.04,234.71,234.815,3446,20220517
234.77,234.79,234.68,234.79,900,20220517
234.68,234.83,234.65,234.65,2153,20220517
234.63,234.785,234.63,234.785,600,20220517
234.91,234.94,234.74,234.74,1042,20220517
234.94,234.94,234.72,234.72,1317,20220517
234.97,234.97,234.74,234.74,1500,20220517
234.75,234.8534,234.7,234.82,2142,20220517
234.86,234.895,234.76,234.81,700,20220517
234.8,234.8,234.37,234.59,2112,20220517
