open,high,low,close,volume,datetime
71.03,71.03,70.79,70.84,32024,20220517
70.9,70.9,70.84,70.84,301,20220517
70.86,70.86,70.81,70.81,660,20220517
70.87,70.93,70.86,70.86,1434,20220517
70.85,70.85,70.73,70.805,2147,20220517
70.82,70.87,70.73,70.73,2033,20220517
70.77,70.8,70.68,70.77,1600,20220517
70.74,70.86,70.74,70.86,1791,20220517
70.83,70.84,70.825,70.84,601,20220517
70.9,70.93,70.85,70.85,1300,20220517
70.85,70.885,70.84,70.84,600,20220517
70.84,70.85,70.82,70.83,2099,20220517
70.91,70.91,70.895,70.91,500,20220517
70.95,71.0,70.92,71.0,3100,20220517
71.0,71.0,70.83,70.92,4002,20220517
70.96,70.96,70.855,70.91,1909,20220517
70.9388,70.95,70.915,70.915,2570,20220517
70.93,70.97,70.88,70.91,4187,20220517
70.89,70.93,70.87,70.9014,3760,20220517
70.9,70.91,70.75,70.75,3652,20220517
70.8,70.8,70.78,70.79,400,20220517
70.785,70.85,70.785,70.825,1905,20220517
70.78,70.78,70.68,70.74,3149,20220517
70.67,70.67,70.64,70.64,487,20220517
70.6,70.62,70.57,70.62,544,20220517
70.605,70.605,70.54,70.57,700,20220517
70.64,70.69,70.63,70.67,1244,20220517
70.66,70.66,70.56,70.65,2007,20220517
70.67,70.67,70.67,70.67,200,20220517
70.63,70.63,70.57,70.63,1098,20220517
70.67,70.75,70.67,70.75,1332,20220517
70.83,70.86,70.81,70.86,2665,20220517
70.8175,70.89,70.8175,70.88,1041,20220517
70.92,70.92,70.88,70.88,1484,20220517
70.9,70.95,70.9,70.95,996,20220517
70.959,71.02,70.955,71.0,3984,20220517
70.98,70.99,70.92,70.94,1820,20220517
70.91,70.91,70.8046,70.88,3375,20220517
70.85,70.87,70.85,70.87,800,20220517
70.85,70.85,70.78,70.81,975,20220517
70.79,70.79,70.71,70.7165,848,20220517
70.71,70.72,70.69,70.72,1329,20220517
70.72,70.74,70.7,70.71,1479,20220517
70.74,70.76,70.69,70.71,800,20220517
70.73,70.77,70.73,70.77,813,20220517
70.789,70.8,70.73,70.73,1674,20220517
70.75,70.77,70.74,70.77,400,20220517
70.75,70.76,70.72,70.76,655,20220517
70.75,70.77,70.74,70.74,840,20220517
70.75,70.81,70.75,70.81,1503,20220517
70.7956,70.8,70.78,70.78,709,20220517
70.76,70.85,70.76,70.805,4362,20220517
70.78,70.8,70.765,70.8,1479,20220517
70.83,70.84,70.78,70.78,1000,20220517
70.75,70.77,70.74,70.77,517,20220517
70.81,70.82,70.76,70.78,1106,20220517
70.72,70.72,70.7,70.71,700,20220517
70.67,70.67,70.67,70.67,100,20220517
70.69,70.696,70.67,70.696,637,20220517
70.61,70.61,70.58,70.59,400,20220517
70.58,70.65,70.57,70.65,1197,20220517
70.66,70.71,70.64,70.64,11337,20220517
70.62,70.63,70.58,70.59,3287,20220517
70.595,70.605,70.53,70.55,5407,20220517
70.55,70.56,70.53,70.53,4242,20220517
70.5,70.5,70.475,70.5,1470,20220517
70.47,70.51,70.47,70.48,2519,20220517
70.45,70.49,70.434,70.44,5515,20220517
70.47,70.47,70.41,70.43,2665,20220517
70.415,70.44,70.41,70.41,2063,20220517
70.42,70.42,70.385,70.39,2618,20220517
70.39,70.39,70.36,70.36,818,20220517
70.34,70.34,70.285,70.31,4064,20220517
70.315,70.335,70.28,70.295,5498,20220517
70.28,70.31,70.28,70.305,1967,20220517
70.29,70.3,70.24,70.27,2410,20220517
70.21,70.26,70.21,70.26,1265,20220517
70.28,70.32,70.25,70.25,3697,20220517
70.26,70.3,70.25,70.25,2649,20220517
70.25,70.295,70.25,70.295,1058,20220517
70.28,70.28,70.22,70.22,1100,20220517
70.18,70.24,70.18,70.23,2173,20220517
70.25,70.295,70.25,70.28,2297,20220517
70.2601,70.28,70.25,70.265,1289,20220517
70.24,70.3,70.21,70.21,1926,20220517
70.2,70.3,70.2,70.285,1600,20220517
70.285,70.3,70.285,70.285,700,20220517
70.285,70.29,70.25,70.2825,1176,20220517
70.29,70.31,70.29,70.3,3486,20220517
70.3,70.34,70.3,70.3,5482,20220517
70.31,70.34,70.3,70.325,8589,20220517
70.325,70.39,70.32,70.38,7969,20220517
70.4,70.41,70.38,70.4,6956,20220517
70.405,70.455,70.395,70.455,7581,20220517
70.46,70.5398,70.46,70.525,1885,20220517
70.525,70.54,70.525,70.54,1036,20220517
70.53,70.56,70.515,70.515,8441,20220517
70.5,70.51,70.47,70.51,3426,20220517
70.52,70.52,70.49,70.52,3964,20220517
70.52,70.53,70.51,70.52,794,20220517
70.53,70.5375,70.465,70.465,5190,20220517
70.48,70.49,70.465,70.48,5826,20220517
70.48,70.565,70.48,70.565,7782,20220517
70.56,70.56,70.55,70.55,1920,20220517
70.55,70.575,70.55,70.575,2939,20220517
70.575,70.5897,70.515,70.515,7499,20220517
70.49,70.53,70.49,70.51,8826,20220517
70.5325,70.5325,70.48,70.52,6860,20220517
70.52,70.64,70.52,70.64,14135,20220517
70.645,70.66,70.63,70.63,4357,20220517
70.63,70.64,70.62,70.63,3433,20220517
70.63,70.66,70.63,70.63,4864,20220517
70.65,70.65,70.6,70.6,4442,20220517
70.595,70.65,70.575,70.635,11024,20220517
70.63,70.63,70.6,70.6,5325,20220517
70.61,70.645,70.61,70.635,12844,20220517
70.635,70.69,70.62,70.675,9084,20220517
70.68,70.72,70.67,70.67,8316,20220517
70.665,70.725,70.665,70.705,4386,20220517
70.71,70.76,70.71,70.76,1000,20220517
70.765,70.805,70.765,70.79,1745,20220517
70.805,70.805,70.79,70.79,640,20220517
70.795,70.84,70.795,70.84,1226,20220517
70.83,70.86,70.83,70.83,2127,20220517
70.84,70.92,70.84,70.92,600,20220517
70.91,70.92,70.89,70.9,1118,20220517
70.93,70.9723,70.93,70.9723,321,20220517
70.955,70.98,70.95,70.96,1804,20220517
70.97,70.985,70.91,70.94,4537,20220517
70.94,70.9634,70.94,70.96,1986,20220517
70.96,70.96,70.96,70.96,100,20220517
70.96,71.0,70.96,70.98,23237,20220517
70.97,70.97,70.89,70.89,6500,20220517
70.86,70.88,70.86,70.88,1002,20220517
70.9,70.9,70.885,70.885,579,20220517
70.885,70.91,70.88,70.88,867,20220517
70.88,70.8922,70.87,70.87,648,20220517
70.87,70.87,70.82,70.82,1799,20220517
70.83,70.88,70.8242,70.88,2333,20220517
70.87,70.87,70.8146,70.8146,907,20220517
70.84,70.87,70.84,70.87,500,20220517
70.87,70.87,70.87,70.87,435,20220517
70.89,70.9,70.89,70.9,673,20220517
70.9,70.9,70.89,70.9,385,20220517
70.92,70.94,70.91,70.94,2703,20220517
70.93,70.935,70.92,70.92,696,20220517
70.925,70.925,70.9,70.92,1892,20220517
70.93,70.94,70.925,70.94,560,20220517
70.94,70.94,70.92,70.92,608,20220517
70.93,70.93,70.9,70.9,308,20220517
70.85,70.855,70.85,70.855,1700,20220517
70.869,70.869,70.82,70.84,600,20220517
70.86,70.86,70.86,70.86,100,20220517
70.83,70.85,70.83,70.84,601,20220517
70.84,70.84,70.78,70.78,1073,20220517
70.8,70.815,70.73,70.73,1838,20220517
70.74,70.76,70.74,70.75,1400,20220517
70.79,70.855,70.79,70.83,1237,20220517
70.83,70.83,70.81,70.81,200,20220517
70.765,70.78,70.765,70.78,614,20220517
70.82,70.82,70.82,70.82,1202,20220517
70.84,70.84,70.82,70.82,200,20220517
70.83,70.83,70.83,70.83,100,20220517
70.8,70.81,70.8,70.81,2336,20220517
70.87,70.87,70.87,70.87,175,20220517
70.896,70.92,70.896,70.9,1115,20220517
70.91,70.91,70.9,70.91,1100,20220517
70.88,70.9,70.855,70.895,2421,20220517
70.86,70.86,70.83,70.83,929,20220517
70.83,70.83,70.81,70.81,312,20220517
70.81,70.83,70.81,70.83,207,20220517
70.86,70.86,70.83,70.83,700,20220517
70.82,70.845,70.82,70.845,304,20220517
70.84,70.88,70.84,70.87,1210,20220517
70.878,70.9,70.878,70.89,571,20220517
70.88,70.88,70.875,70.875,700,20220517
70.89,70.925,70.89,70.9,813,20220517
70.91,70.91,70.89,70.89,1494,20220517
70.87,70.87,70.84,70.84,600,20220517
70.84,70.84,70.84,70.84,100,20220517
70.87,70.87,70.835,70.835,600,20220517
70.87,70.88,70.86,70.88,1015,20220517
70.88,70.88,70.87,70.88,400,20220517
70.91,70.91,70.89,70.9,1400,20220517
70.905,70.92,70.905,70.92,400,20220517
70.9192,70.93,70.9,70.9017,1963,20220517
70.9,70.9,70.87,70.88,416,20220517
70.885,70.885,70.85,70.85,1009,20220517
70.8605,70.91,70.8605,70.9,1020,20220517
70.935,70.966,70.935,70.95,957,20220517
70.95,70.95,70.93,70.93,500,20220517
70.93,70.93,70.93,70.93,352,20220517
70.96,71.0325,70.96,71.0,9594,20220517
71.01,71.01,70.99,71.0,1008,20220517
71.0,71.0,70.97,70.98,957,20220517
70.99,71.0,70.9645,71.0,2127,20220517
70.98,71.0,70.98,71.0,656,20220517
71.0,71.0,70.96,70.96,700,20220517
70.96,70.98,70.96,70.96,1493,20220517
70.93,70.93,70.93,70.93,100,20220517
70.94,70.97,70.93,70.96,719,20220517
70.969,70.969,70.969,70.969,100,20220517
70.94,70.94,70.91,70.925,802,20220517
70.925,70.96,70.925,70.96,893,20220517
70.9721,70.9721,70.94,70.94,748,20220517
70.95,70.95,70.92,70.93,558,20220517
70.9,70.9,70.88,70.88,700,20220517
70.84,70.88,70.83,70.87,1007,20220517
70.86,70.89,70.86,70.89,200,20220517
70.89,70.89,70.89,70.89,100,20220517
70.95,70.97,70.95,70.97,300,20220517
71.0,71.02,70.98,70.98,2665,20220517
70.97,70.97,70.955,70.955,556,20220517
70.95,71.0,70.95,71.0,1011,20220517
71.0,71.01,70.995,71.01,400,20220517
70.995,71.02,70.995,71.0,839,20220517
71.02,71.04,71.005,71.015,7218,20220517
71.015,71.04,71.015,71.03,2372,20220517
71.04,71.08,71.03,71.075,10020,20220517
71.075,71.09,71.07,71.08,2599,20220517
71.1,71.12,71.1,71.1,3038,20220517
71.09,71.11,71.09,71.1,2706,20220517
