open,high,low,close,volume,datetime
165.95,166.06,165.43,165.77,7513,20220517
165.74,165.87,165.67,165.68,620,20220517
165.0,165.22,164.78,164.835,766,20220517
164.635,164.635,164.635,164.635,100,20220517
164.83,164.83,164.78,164.78,630,20220517
164.92,165.19,164.73,164.77,2524,20220517
164.525,164.525,164.5,164.5,200,20220517
164.47,164.49,164.38,164.38,700,20220517
164.12,164.12,164.12,164.12,300,20220517
164.16,164.32,164.02,164.175,600,20220517
164.16,164.16,163.93,163.93,601,20220517
163.81,163.99,163.795,163.82,2069,20220517
163.88,164.16,163.88,164.05,997,20220517
164.17,164.43,164.17,164.22,1453,20220517
164.11,164.25,164.0,164.25,1306,20220517
164.14,164.245,164.14,164.245,310,20220517
164.1636,164.38,164.1636,164.26,2770,20220517
164.25,164.25,164.25,164.25,227,20220517
164.265,164.33,164.24,164.24,3100,20220517
164.37,164.425,164.28,164.3,900,20220517
164.265,164.41,164.265,164.41,331,20220517
164.215,164.53,164.215,164.53,400,20220517
164.22,164.22,164.2,164.2,200,20220517
164.295,164.41,164.22,164.24,1002,20220517
164.31,164.31,164.31,164.31,100,20220517
164.11,164.14,163.94,164.025,1396,20220517
163.99,164.14,163.98,164.14,410,20220517
164.225,164.225,164.225,164.225,100,20220517
164.31,164.31,164.3,164.31,300,20220517
164.37,164.38,164.37,164.38,200,20220517
164.32,164.46,164.32,164.38,5250,20220517
164.36,164.57,164.34,164.42,20787,20220517
164.42,164.7,164.4,164.52,10639,20220517
164.6,164.63,164.5,164.59,3251,20220517
164.595,164.63,164.53,164.545,1900,20220517
164.54,164.6,164.52,164.52,407,20220517
164.52,164.535,164.355,164.38,3347,20220517
164.37,164.42,164.24,164.375,2800,20220517
164.37,164.41,164.37,164.375,400,20220517
164.33,164.38,164.24,164.26,1000,20220517
164.26,164.26,164.17,164.17,1646,20220517
164.12,164.13,163.91,164.0,1725,20220517
163.76,163.76,163.74,163.74,716,20220517
163.69,163.755,163.69,163.755,900,20220517
163.74,163.9,163.67,163.87,2620,20220517
163.885,163.98,163.885,163.97,700,20220517
163.895,163.895,163.89,163.89,300,20220517
163.85,163.945,163.85,163.9,1100,20220517
163.95,164.0,163.94,163.955,1771,20220517
163.96,163.96,163.81,163.81,1425,20220517
163.72,163.9,163.72,163.85,1701,20220517
163.845,163.845,163.77,163.805,671,20220517
163.89,163.93,163.79,163.79,1664,20220517
163.95,164.01,163.83,164.01,1200,20220517
164.06,164.12,163.98,163.98,965,20220517
163.91,163.91,163.86,163.86,200,20220517
163.875,163.875,163.8,163.86,1900,20220517
