open,high,low,close,volume,datetime
78.48,78.57,78.4182,78.46,99231,20220517
78.47,78.545,78.28,78.29,18229,20220517
78.31,78.33,78.1709,78.2,14471,20220517
78.22,78.23,78.05,78.06,5711,20220517
78.0699,78.07,78.01,78.02,15392,20220517
78.02,78.105,78.02,78.05,8885,20220517
78.04,78.125,78.035,78.1,5187,20220517
78.13,78.23,78.13,78.21,18595,20220517
78.185,78.21,78.16,78.19,8466,20220517
78.2,78.25,78.17,78.18,6008,20220517
78.18,78.32,78.18,78.29,6158,20220517
78.29,78.32,78.26,78.28,3460,20220517
78.295,78.33,78.275,78.3,6425,20220517
78.3,78.31,78.245,78.275,12383,20220517
78.28,78.29,78.21,78.23,8839,20220517
78.2398,78.28,78.23,78.24,8865,20220517
78.24,78.24,78.129,78.129,7701,20220517
78.13,78.225,78.13,78.195,9870,20220517
78.19,78.25,78.18,78.21,14999,20220517
78.19,78.29,78.175,78.27,9473,20220517
78.28,78.335,78.28,78.33,5606,20220517
78.3,78.3,78.25,78.25,3801,20220517
78.24,78.28,78.195,78.2,13270,20220517
78.2,78.215,78.16,78.1917,11724,20220517
78.195,78.195,78.145,78.155,14376,20220517
78.16,78.2172,78.16,78.19,13612,20220517
78.155,78.19,78.155,78.18,4109,20220517
78.185,78.2,78.18,78.2,4765,20220517
78.2,78.206,78.16,78.17,5695,20220517
78.17,78.185,78.15,78.18,2958,20220517
78.18,78.2,78.15,78.16,7188,20220517
78.19,78.21,78.1699,78.17,8090,20220517
78.16,78.18,78.15,78.1684,3247,20220517
78.17,78.19,78.15,78.16,10528,20220517
78.16,78.18,78.14,78.165,18171,20220517
78.165,78.19,78.135,78.1623,22014,20220517
78.16,78.21,78.16,78.19,15624,20220517
78.18,78.18,78.13,78.15,10596,20220517
78.155,78.16,78.12,78.14,6941,20220517
78.13,78.14,78.11,78.13,91476,20220517
78.1125,78.15,78.11,78.13,46153,20220517
78.14,78.2,78.13,78.2,39547,20220517
78.2,78.25,78.145,78.145,18617,20220517
78.14,78.16,78.115,78.13,13087,20220517
78.15,78.15,78.12,78.1369,7815,20220517
78.14,78.17,78.14,78.16,5882,20220517
78.17,78.2,78.17,78.17,16265,20220517
78.18,78.19,78.1701,78.19,3210,20220517
78.2,78.2,78.175,78.179,6028,20220517
78.175,78.2,78.175,78.19,2386,20220517
78.19,78.195,78.14,78.14,8239,20220517
78.14,78.17,78.13,78.13,5552,20220517
78.132,78.14,78.12,78.14,4265,20220517
78.14,78.145,78.11,78.13,7596,20220517
78.13,78.14,78.125,78.14,3389,20220517
78.15,78.1733,78.14,78.17,2000,20220517
78.15,78.16,78.14,78.155,7017,20220517
78.15,78.15,78.14,78.15,1858,20220517
78.144,78.144,78.14,78.14,1164,20220517
78.125,78.14,78.115,78.135,8732,20220517
78.14,78.155,78.1,78.125,13915,20220517
78.13,78.145,78.105,78.11,5584,20220517
78.12,78.16,78.115,78.16,3543,20220517
78.17,78.175,78.17,78.17,2628,20220517
78.185,78.185,78.165,78.18,3009,20220517
78.18,78.2,78.18,78.2,1883,20220517
78.19,78.19,78.165,78.165,2924,20220517
78.16,78.1818,78.155,78.1818,2446,20220517
78.185,78.185,78.155,78.155,3501,20220517
78.155,78.165,78.155,78.165,2400,20220517
78.16,78.2,78.1543,78.2,2880,20220517
78.195,78.2,78.17,78.19,6538,20220517
78.19,78.19,78.16,78.19,3315,20220517
78.18,78.2,78.165,78.165,8252,20220517
78.17,78.1799,78.165,78.165,1410,20220517
78.16,78.16,78.13,78.135,5803,20220517
78.135,78.19,78.1348,78.18,10702,20220517
78.175,78.192,78.175,78.185,3637,20220517
78.19,78.19,78.16,78.16,7596,20220517
78.1301,78.18,78.1301,78.18,5807,20220517
78.1771,78.1771,78.14,78.14,2775,20220517
78.14,78.15,78.13,78.15,6121,20220517
78.145,78.16,78.13,78.16,4183,20220517
78.15,78.1599,78.13,78.15,13109,20220517
78.15,78.18,78.14,78.18,16136,20220517
78.175,78.185,78.17,78.18,5126,20220517
78.18,78.19,78.1701,78.19,3949,20220517
78.19,78.19,78.18,78.18,902,20220517
78.17,78.205,78.17,78.2,4820,20220517
78.19,78.205,78.19,78.2,9663,20220517
78.2,78.2,78.19,78.2,3926,20220517
78.195,78.205,78.19,78.2,3991,20220517
78.205,78.26,78.205,78.26,4658,20220517
78.27,78.27,78.24,78.25,5508,20220517
78.25,78.28,78.245,78.27,7030,20220517
78.27,78.28,78.26,78.28,2435,20220517
78.285,78.3,78.265,78.265,11261,20220517
78.26,78.26,78.225,78.245,4098,20220517
78.245,78.26,78.185,78.185,5531,20220517
78.18,78.185,78.16,78.17,4621,20220517
78.18,78.18,78.13,78.1459,15734,20220517
78.15,78.165,78.14,78.145,1900,20220517
78.15,78.2,78.145,78.2,3500,20220517
78.1934,78.21,78.18,78.19,6116,20220517
78.195,78.2,78.19,78.2,969,20220517
78.21,78.22,78.16,78.1601,9045,20220517
78.15,78.18,78.15,78.17,2997,20220517
78.17,78.185,78.16,78.185,6095,20220517
78.1884,78.23,78.185,78.2232,10663,20220517
78.22,78.225,78.19,78.2,7747,20220517
78.19,78.195,78.18,78.185,1150,20220517
78.185,78.2,78.18,78.2,6728,20220517
78.19,78.19,78.174,78.19,4200,20220517
78.19,78.22,78.18,78.22,12186,20220517
78.21,78.21,78.19,78.2,2653,20220517
78.2,78.22,78.2,78.22,6481,20220517
78.215,78.2627,78.21,78.26,6278,20220517
78.25,78.2716,78.25,78.255,7745,20220517
78.26,78.2692,78.26,78.26,1364,20220517
78.26,78.289,78.26,78.289,7439,20220517
78.285,78.3,78.285,78.2999,4700,20220517
78.299,78.3,78.26,78.26,12935,20220517
78.255,78.255,78.195,78.195,5591,20220517
78.19,78.195,78.18,78.18,4539,20220517
78.18,78.19,78.18,78.19,5727,20220517
78.195,78.2,78.185,78.2,3678,20220517
78.1915,78.195,78.19,78.19,5184,20220517
78.1946,78.23,78.18,78.21,11911,20220517
78.21,78.21,78.18,78.18,3503,20220517
78.1899,78.21,78.185,78.21,6944,20220517
78.2,78.22,78.191,78.22,7021,20220517
78.215,78.22,78.21,78.22,6356,20220517
78.215,78.215,78.185,78.2,3134,20220517
78.19,78.19,78.18,78.18,2038,20220517
78.19,78.19,78.185,78.185,2000,20220517
78.185,78.19,78.175,78.175,2723,20220517
78.175,78.19,78.175,78.185,1700,20220517
78.18,78.185,78.175,78.18,5900,20220517
78.18,78.21,78.17,78.2,7930,20220517
78.2,78.2,78.19,78.19,1445,20220517
78.195,78.21,78.185,78.19,5002,20220517
78.19,78.21,78.19,78.205,5536,20220517
78.21,78.23,78.21,78.22,4103,20220517
78.22,78.225,78.22,78.22,1129,20220517
78.225,78.25,78.225,78.245,6174,20220517
78.24,78.245,78.2,78.225,15805,20220517
