open,high,low,close,volume,datetime
207.65,208.435,207.65,208.435,5969,20220518
208.12,208.65,207.82,208.65,1714,20220518
208.53,208.76,208.0,208.0,1393,20220518
207.9055,208.29,207.9055,208.29,400,20220518
208.13,208.48,207.9,207.9,1205,20220518
207.835,208.47,207.61,207.94,1564,20220518
207.84,207.92,207.57,207.605,2180,20220518
207.7,207.7,207.7,207.7,100,20220518
207.27,207.32,206.98,206.98,1712,20220518
206.965,207.25,206.965,207.25,700,20220518
207.13,207.21,207.08,207.08,500,20220518
206.55,206.555,206.55,206.555,10200,20220518
206.595,206.595,206.595,206.595,111,20220518
206.49,206.5,206.325,206.44,1600,20220518
206.34,206.34,206.13,206.13,200,20220518
206.17,206.26,206.015,206.26,6291,20220518
205.99,205.99,205.92,205.92,200,20220518
205.75,205.75,205.75,205.75,100,20220518
205.725,205.96,205.72,205.925,2870,20220518
205.84,205.945,205.69,205.72,900,20220518
205.76,205.88,205.5,205.5,800,20220518
205.185,205.2,205.0,205.0,761,20220518
204.575,204.61,204.575,204.61,200,20220518
204.6,204.6,204.6,204.6,200,20220518
204.46,204.57,204.425,204.57,900,20220518
204.31,204.34,204.31,204.34,200,20220518
204.16,204.17,204.16,204.16,300,20220518
203.63,203.895,203.63,203.79,600,20220518
203.71,203.75,203.71,203.75,200,20220518
203.49,203.91,203.49,203.86,500,20220518
203.895,204.26,203.8,204.26,1184,20220518
204.2,204.57,204.11,204.2,701,20220518
204.19,204.6,204.16,204.6,2049,20220518
204.17,204.27,204.17,204.18,300,20220518
204.24,204.91,204.24,204.88,3360,20220518
204.885,205.09,204.885,204.93,1000,20220518
204.41,204.49,204.27,204.49,400,20220518
204.575,204.575,204.575,204.575,100,20220518
204.92,205.03,204.92,204.97,500,20220518
205.08,205.3,204.8776,205.3,703,20220518
205.2,205.2,205.2,205.2,100,20220518
205.19,205.19,205.17,205.17,200,20220518
205.06,205.29,205.06,205.29,512,20220518
205.36,205.82,205.28,205.82,1600,20220518
205.87,206.0,205.77,205.9,1650,20220518
205.68,205.78,205.68,205.78,200,20220518
205.73,205.73,205.73,205.73,100,20220518
205.67,205.67,205.67,205.67,100,20220518
205.53,205.77,205.53,205.77,1077,20220518
205.72,205.81,205.4778,205.66,2337,20220518
205.68,205.68,205.55,205.55,300,20220518
205.46,205.75,205.46,205.75,629,20220518
205.395,205.46,205.395,205.46,300,20220518
205.4,205.45,205.34,205.45,600,20220518
205.51,205.61,205.51,205.61,528,20220518
205.78,205.85,205.78,205.8,300,20220518
205.58,205.7,205.56,205.7,801,20220518
205.6001,205.93,205.6001,205.93,801,20220518
205.855,205.855,205.67,205.67,300,20220518
205.63,205.71,205.61,205.71,500,20220518
205.55,205.99,205.55,205.99,1317,20220518
206.09,206.25,206.0525,206.25,535,20220518
205.85,205.89,205.85,205.89,300,20220518
205.855,205.98,205.855,205.98,200,20220518
205.7289,205.9579,205.7289,205.9579,1398,20220518
205.89,205.98,205.89,205.98,200,20220518
205.74,205.74,205.68,205.68,200,20220518
205.49,205.63,205.405,205.555,1545,20220518
205.705,205.705,205.705,205.705,120,20220518
205.76,205.78,205.76,205.78,200,20220518
205.561,205.72,205.561,205.72,549,20220518
205.6182,206.01,205.6182,205.92,400,20220518
205.96,205.96,205.96,205.96,100,20220518
206.0571,206.0571,206.025,206.025,277,20220518
206.1099,206.14,206.1099,206.14,200,20220518
206.105,206.105,206.105,206.105,100,20220518
206.17,206.18,206.16,206.18,404,20220518
205.95,205.95,205.95,205.95,200,20220518
206.13,206.28,206.13,206.28,200,20220518
206.48,206.48,206.48,206.48,100,20220518
206.22,206.43,206.22,206.34,801,20220518
206.195,206.56,206.195,206.56,1139,20220518
206.5,206.5,206.5,206.5,100,20220518
206.53,206.82,206.53,206.71,1518,20220518
206.77,206.77,206.54,206.67,940,20220518
206.65,206.81,206.65,206.81,200,20220518
206.79,206.79,206.765,206.765,200,20220518
206.81,206.81,206.62,206.66,900,20220518
206.61,206.61,206.52,206.52,400,20220518
206.6,206.6,206.6,206.6,100,20220518
206.45,206.45,206.4,206.4,200,20220518
205.98,205.98,205.98,205.98,100,20220518
205.98,206.33,205.89,206.33,2317,20220518
206.28,206.38,206.28,206.38,200,20220518
206.175,206.175,206.1,206.1,300,20220518
206.21,206.29,206.21,206.29,1674,20220518
206.39,206.52,206.39,206.39,1368,20220518
206.5,206.78,206.5,206.78,2955,20220518
206.76,206.76,206.76,206.76,100,20220518
206.76,206.89,206.725,206.89,1544,20220518
206.69,206.69,206.67,206.69,304,20220518
206.44,206.62,206.43,206.62,300,20220518
206.59,206.61,206.59,206.61,326,20220518
206.535,206.54,206.535,206.54,200,20220518
206.52,206.595,206.52,206.54,440,20220518
206.46,206.49,206.42,206.42,600,20220518
206.45,206.45,206.37,206.37,367,20220518
206.29,206.29,206.23,206.23,623,20220518
206.265,206.265,206.265,206.265,100,20220518
206.4,206.4,206.4,206.4,201,20220518
206.5,206.5,206.41,206.48,470,20220518
206.5,206.5,206.5,206.5,401,20220518
206.5,206.58,206.5,206.58,200,20220518
206.545,206.545,206.27,206.3,400,20220518
206.435,206.59,206.38,206.59,300,20220518
206.555,206.62,206.48,206.62,300,20220518
206.52,206.52,206.46,206.46,624,20220518
206.5,206.64,206.4,206.5,1600,20220518
206.455,206.455,206.43,206.43,300,20220518
206.395,206.45,206.37,206.37,500,20220518
206.26,206.26,206.26,206.26,200,20220518
206.315,206.315,206.26,206.26,200,20220518
206.285,206.285,206.285,206.285,100,20220518
206.35,206.35,206.32,206.32,200,20220518
206.24,206.24,206.24,206.24,100,20220518
206.35,206.35,206.35,206.35,100,20220518
206.21,206.25,206.15,206.25,300,20220518
206.165,206.165,206.165,206.165,826,20220518
206.31,206.37,206.18,206.37,2491,20220518
206.45,206.5,206.45,206.5,981,20220518
206.44,206.495,206.42,206.46,502,20220518
206.39,206.745,206.39,206.6,1364,20220518
206.621,206.72,206.572,206.572,714,20220518
206.55,206.55,206.49,206.5,700,20220518
206.41,206.45,206.41,206.45,400,20220518
206.54,206.54,206.54,206.54,111,20220518
206.31,206.31,206.31,206.31,100,20220518
206.32,206.32,206.32,206.32,100,20220518
206.24,206.24,206.24,206.24,100,20220518
206.29,206.4,206.29,206.4,200,20220518
206.46,206.46,206.21,206.22,2000,20220518
206.15,206.15,205.96,206.1,1846,20220518
205.89,205.89,205.89,205.89,400,20220518
205.6,205.76,205.6,205.76,700,20220518
205.65,205.65,205.65,205.65,200,20220518
205.38,205.43,205.28,205.28,1815,20220518
205.34,205.35,205.28,205.29,813,20220518
205.3,205.41,205.24,205.37,900,20220518
205.32,205.35,205.3,205.3,1403,20220518
