open,high,low,close,volume,datetime
161.07,162.7634,160.79,162.35,73620,20220517
162.475,162.63,161.59,161.59,13390,20220517
161.75,161.75,161.0,161.0,17241,20220517
161.15,161.66,161.09,161.41,5367,20220517
161.4,161.485,160.99,161.36,22955,20220517
161.33,161.35,160.33,160.425,6693,20220517
160.215,160.4,159.75,160.395,7421,20220517
160.415,160.55,159.94,160.0775,9265,20220517
160.095,160.43,159.93,160.405,7500,20220517
160.48,160.64,160.23,160.285,8674,20220517
160.38,160.64,160.3,160.35,4749,20220517
160.41,160.445,160.17,160.375,3400,20220517
160.49,160.895,160.38,160.89,9576,20220517
160.875,161.69,160.8,161.45,10470,20220517
161.52,161.5683,161.15,161.19,4323,20220517
161.4,161.5,160.9701,161.1066,3842,20220517
161.155,161.25,161.0,161.25,3332,20220517
161.3,161.61,161.3,161.51,6231,20220517
161.48,161.69,161.46,161.63,2345,20220517
161.58,161.81,161.25,161.33,3810,20220517
161.27,161.55,161.24,161.255,2170,20220517
161.25,161.54,161.21,161.33,1425,20220517
161.31,161.31,160.78,160.88,2939,20220517
160.8174,161.0,160.79,160.79,744,20220517
160.7385,160.7385,160.585,160.585,1000,20220517
160.53,160.93,160.49,160.93,1650,20220517
160.75,161.51,160.74,161.41,60665,20220517
161.45,161.89,161.4,161.7837,40111,20220517
161.83,162.35,161.815,162.11,29913,20220517
162.11,162.26,161.93,162.01,18846,20220517
162.02,162.07,161.8,161.87,8679,20220517
161.97,161.97,161.63,161.687,7632,20220517
161.76,161.87,161.64,161.73,5411,20220517
161.755,161.892,161.65,161.7,3500,20220517
161.7159,162.07,161.7159,161.92,9337,20220517
161.99,162.16,161.93,162.04,10061,20220517
162.11,162.24,161.95,162.015,18451,20220517
161.95,161.96,161.329,161.705,7155,20220517
161.47,161.58,161.285,161.285,9074,20220517
161.1623,161.37,161.08,161.11,5860,20220517
161.0905,161.1,160.9,161.02,7127,20220517
160.98,161.02,160.89,160.93,3402,20220517
160.97,160.975,160.8,160.915,8197,20220517
160.87,161.01,160.78,160.83,20230,20220517
160.82,161.09,160.82,161.09,6319,20220517
161.14,161.27,161.14,161.27,926,20220517
161.37,161.94,161.19,161.4,23071,20220517
161.42,161.49,161.39,161.42,4400,20220517
161.485,161.485,161.02,161.04,7667,20220517
160.99,161.12,160.87,161.115,4271,20220517
161.2,161.34,161.07,161.07,1050,20220517
161.08,161.12,160.93,160.935,1607,20220517
160.91,160.915,160.57,160.72,4253,20220517
160.87,160.87,160.56,160.66,1447,20220517
160.635,160.71,160.57,160.68,1294,20220517
160.765,160.84,160.51,160.54,2619,20220517
160.4211,160.4599,160.25,160.34,1951,20220517
160.24,160.24,160.07,160.07,2588,20220517
160.04,160.12,160.0,160.01,1919,20220517
160.03,160.09,159.735,159.84,4036,20220517
159.82,159.9,159.76,159.805,8800,20220517
159.83,160.02,159.83,159.83,2305,20220517
