open,high,low,close,volume,datetime
130.34,130.57,129.6,129.73,162731,20220518
129.87,130.29,129.51,130.24,22571,20220518
130.19,130.49,130.0101,130.1996,30821,20220518
130.205,130.26,129.8432,130.145,18541,20220518
130.0319,130.75,130.0,130.02,21007,20220518
130.1085,130.38,129.92,130.32,27065,20220518
130.38,131.04,130.22,130.88,31909,20220518
130.9,131.025,130.61,130.7946,21832,20220518
130.88,131.2499,130.79,131.18,20157,20220518
131.1,131.135,130.48,130.76,38106,20220518
130.74,131.25,130.74,131.04,26541,20220518
131.0289,131.19,130.9754,131.026,23814,20220518
131.0,131.229,130.7145,131.15,16543,20220518
131.085,131.2932,130.92,131.27,20861,20220518
131.305,131.67,131.3,131.5299,42692,20220518
131.4,131.8199,131.2673,131.57,40478,20220518
131.5601,131.71,131.46,131.66,12286,20220518
131.68,132.1,131.5617,131.79,30081,20220518
131.79,131.986,131.29,131.47,20890,20220518
131.35,131.75,131.15,131.355,29359,20220518
131.294,131.294,130.5501,130.63,17877,20220518
130.62,130.91,130.5,130.64,26680,20220518
130.56,131.0585,130.53,131.0585,13762,20220518
131.0018,131.44,131.0,131.085,13666,20220518
131.1099,131.13,130.75,130.815,16164,20220518
130.72,130.8,130.43,130.6162,28103,20220518
130.5925,130.5925,130.21,130.28,14392,20220518
130.275,130.43,129.925,130.145,51785,20220518
130.1466,130.55,130.02,130.47,14149,20220518
130.46,130.59,130.23,130.23,12836,20220518
130.23,130.585,130.1,130.5688,16163,20220518
130.57,130.82,130.39,130.63,16183,20220518
130.59,130.68,130.48,130.625,10574,20220518
130.625,130.7845,130.345,130.3839,14030,20220518
130.38,130.42,130.16,130.3,16565,20220518
130.2,130.8678,130.2,130.8367,23074,20220518
130.82,130.97,130.705,130.8877,14945,20220518
130.96,131.3099,130.8729,131.26,25714,20220518
131.31,131.5,131.1,131.39,20373,20220518
131.39,131.39,131.04,131.11,14996,20220518
131.085,131.39,131.085,131.1728,12866,20220518
131.13,131.14,130.7003,130.95,16316,20220518
130.93,131.29,130.9,131.11,14798,20220518
131.102,131.4254,131.102,131.375,16291,20220518
131.3146,131.57,131.3146,131.495,19907,20220518
131.42,131.44,131.19,131.4195,16160,20220518
131.375,131.385,130.9,131.04,16670,20220518
131.04,131.23,130.9,131.025,6241,20220518
130.99,131.22,130.97,130.99,10012,20220518
131.07,131.1,130.91,131.0,12265,20220518
130.95,131.345,130.93,131.2999,7024,20220518
131.31,131.4056,131.17,131.225,6466,20220518
131.225,131.36,131.0953,131.0953,12167,20220518
131.05,131.12,130.88,130.88,10178,20220518
130.87,131.0599,130.67,130.8125,18485,20220518
130.75,130.91,130.75,130.79,2388,20220518
130.765,131.1,130.72,130.89,58053,20220518
130.86,130.86,130.5,130.63,17147,20220518
130.67,130.76,130.58,130.58,6285,20220518
130.53,130.55,129.9301,129.94,50140,20220518
129.94,130.22,129.76,130.16,35143,20220518
130.25,130.26,130.0,130.02,14153,20220518
130.07,130.07,129.83,129.8668,14279,20220518
129.87,130.1681,129.84,130.09,18681,20220518
130.1299,130.14,129.94,129.94,9162,20220518
129.93,129.93,129.62,129.71,37357,20220518
129.69,129.9,129.53,129.555,20879,20220518
129.57,129.69,129.49,129.515,15694,20220518
129.47,129.71,129.3,129.6,23704,20220518
129.5481,129.63,129.38,129.625,11187,20220518
129.6489,129.72,129.3301,129.46,12974,20220518
129.46,129.95,129.39,129.95,18893,20220518
129.929,129.929,129.725,129.775,11644,20220518
129.81,129.9699,129.7743,129.78,10461,20220518
129.78,129.82,129.61,129.61,12500,20220518
129.6,129.6,129.26,129.33,16946,20220518
129.33,129.8703,129.2955,129.77,9188,20220518
129.65,129.8125,129.4834,129.81,5603,20220518
129.87,130.15,129.865,130.06,24293,20220518
130.02,130.12,129.89,129.89,11357,20220518
129.94,129.96,129.83,129.87,9146,20220518
129.845,129.9175,129.56,129.63,7091,20220518
129.5911,129.74,129.47,129.47,14880,20220518
129.4202,129.73,129.4201,129.6662,14550,20220518
129.83,129.95,129.68,129.76,16797,20220518
129.69,129.8,129.585,129.7,4385,20220518
129.75,129.76,129.5125,129.76,2631,20220518
129.84,129.98,129.54,129.95,32494,20220518
129.975,130.1612,129.94,130.08,20760,20220518
130.03,130.07,129.921,130.01,9990,20220518
130.07,130.08,129.8,129.8,14986,20220518
129.81,129.8764,129.46,129.515,21141,20220518
129.5,129.64,129.4,129.4,19183,20220518
129.4155,129.46,129.25,129.28,8761,20220518
129.34,129.4,129.2,129.25,10832,20220518
129.2097,129.255,129.08,129.09,16440,20220518
129.15,129.21,128.77,128.81,26941,20220518
128.8,129.0,128.78,128.93,27164,20220518
128.93,128.9652,128.79,128.83,11227,20220518
128.815,128.99,128.78,128.96,11684,20220518
128.93,128.95,128.71,128.75,15592,20220518
128.7501,128.82,128.7501,128.815,6223,20220518
128.79,128.84,128.78,128.84,5487,20220518
128.825,128.85,128.79,128.815,4875,20220518
128.82,128.8241,128.8,128.8102,1450,20220518
128.79,128.8002,128.75,128.75,5718,20220518
128.78,128.78,128.21,128.21,17852,20220518
128.29,128.415,128.2869,128.391,10607,20220518
128.395,128.395,128.2061,128.26,8695,20220518
128.26,128.3526,128.2237,128.28,10857,20220518
128.2993,128.33,128.08,128.1674,22084,20220518
128.1674,128.17,128.0,128.06,8951,20220518
128.08,128.13,128.02,128.075,8136,20220518
128.03,128.15,128.03,128.04,7587,20220518
128.03,128.06,127.73,128.0,45049,20220518
127.96,128.1799,127.9567,128.12,11565,20220518
128.06,128.1799,127.9,128.0,18332,20220518
128.05,128.06,127.89,127.89,4483,20220518
127.8934,127.9799,127.85,127.9,6225,20220518
127.9126,127.97,127.6,127.6,23027,20220518
127.72,127.88,127.54,127.545,10605,20220518
127.56,127.87,127.45,127.77,22188,20220518
127.805,127.86,127.65,127.745,21231,20220518
127.76,127.85,127.67,127.82,13479,20220518
127.82,128.0,127.74,127.96,11645,20220518
127.94,128.04,127.8,127.8,6744,20220518
127.8,127.955,127.72,127.955,4520,20220518
127.9516,128.15,127.91,128.01,10786,20220518
128.05,128.1127,128.0,128.03,6209,20220518
128.06,128.06,127.8,127.84,24008,20220518
127.79,127.87,127.67,127.8,7247,20220518
127.825,128.07,127.81,128.04,17861,20220518
128.04,128.16,127.99,128.115,12995,20220518
128.115,128.1269,127.87,127.88,8258,20220518
127.84,127.963,127.82,127.92,8978,20220518
127.94,128.01,127.66,127.66,9380,20220518
127.7045,127.815,127.62,127.735,17010,20220518
127.755,127.755,127.5048,127.53,12099,20220518
127.53,127.65,127.51,127.545,21591,20220518
127.55,127.715,127.5,127.68,6985,20220518
127.69,127.75,127.55,127.71,4996,20220518
127.65,127.82,127.65,127.82,2902,20220518
127.76,127.8137,127.65,127.65,1462,20220518
127.68,127.695,127.38,127.45,17081,20220518
127.4508,127.4929,127.12,127.12,30495,20220518
127.0878,127.23,127.05,127.2,19065,20220518
127.22,127.32,127.08,127.1,19914,20220518
127.06,127.34,127.06,127.24,17256,20220518
127.26,127.26,127.1,127.19,13968,20220518
127.19,127.28,127.12,127.13,3398,20220518
127.1,127.14,127.01,127.08,9836,20220518
127.05,127.06,126.875,126.95,31499,20220518
126.9559,127.0036,126.77,126.8274,31264,20220518
126.82,126.8808,126.7,126.81,15589,20220518
126.84,126.99,126.61,126.67,19332,20220518
126.695,126.695,126.44,126.47,22875,20220518
126.47,126.5243,126.32,126.34,20775,20220518
126.32,126.465,126.29,126.43,23743,20220518
126.38,126.43,126.27,126.2701,10553,20220518
126.27,126.3,126.19,126.29,23260,20220518
126.3,126.37,126.1556,126.3499,9868,20220518
126.35,126.56,126.31,126.52,14920,20220518
126.58,126.68,126.47,126.66,10283,20220518
126.68,126.8401,126.68,126.715,21879,20220518
126.7,126.8699,126.69,126.795,16759,20220518
126.7853,126.9,126.71,126.79,15089,20220518
126.76,127.04,126.74,127.01,18334,20220518
127.04,127.2,127.0,127.195,13254,20220518
127.18,127.19,126.88,127.055,17892,20220518
127.07,127.07,126.8705,126.89,5960,20220518
126.95,127.0,126.74,126.74,11377,20220518
126.72,126.745,126.4071,126.4071,44930,20220518
126.39,126.49,126.33,126.33,5425,20220518
126.2941,126.3179,126.1228,126.19,12901,20220518
126.17,126.29,126.12,126.1787,18709,20220518
126.13,126.265,126.1,126.15,12343,20220518
126.1,126.13,126.01,126.103,14544,20220518
126.08,126.125,126.03,126.115,8909,20220518
126.11,126.3142,126.06,126.3142,10359,20220518
126.29,126.29,126.11,126.15,6577,20220518
126.1172,126.15,125.85,125.865,37485,20220518
125.84,126.01,125.8,126.0,17880,20220518
125.93,125.985,125.8201,125.96,8656,20220518
125.97,126.1538,125.9182,126.09,16333,20220518
126.06,126.29,126.01,126.26,4618,20220518
126.27,126.34,126.18,126.26,16446,20220518
126.25,126.42,126.17,126.42,10645,20220518
126.415,126.47,126.2,126.22,13550,20220518
126.185,126.21,125.95,126.03,7513,20220518
126.05,126.4393,126.05,126.4393,7464,20220518
126.43,126.46,126.26,126.4303,10777,20220518
126.43,126.45,126.29,126.45,7122,20220518
126.41,126.55,126.31,126.46,10288,20220518
126.46,126.75,126.46,126.58,7062,20220518
126.57,126.57,126.29,126.395,8645,20220518
126.37,126.37,126.16,126.2677,15400,20220518
126.257,126.4586,126.257,126.4423,9641,20220518
126.48,126.8299,126.46,126.8299,18133,20220518
126.7808,126.82,126.61,126.61,14006,20220518
126.6,126.8,126.6,126.8,10318,20220518
126.8,127.02,126.73,126.96,12508,20220518
126.99,127.1,126.94,127.02,21612,20220518
127.009,127.17,127.009,127.13,19463,20220518
127.12,127.12,126.84,126.9,26766,20220518
126.87,126.9684,126.78,126.93,16488,20220518
126.93,127.08,126.92,127.0,8411,20220518
127.0062,127.0062,126.92,126.98,4629,20220518
126.9893,126.9893,126.85,126.93,11166,20220518
126.99,127.15,126.96,127.03,9349,20220518
127.03,127.05,126.99,127.04,3989,20220518
127.05,127.08,126.7014,126.7014,13963,20220518
126.71,126.75,126.65,126.65,7440,20220518
126.655,126.82,126.655,126.74,4441,20220518
126.7306,126.74,126.56,126.61,3660,20220518
126.55,126.56,126.43,126.45,12098,20220518
126.465,126.465,126.2014,126.23,13205,20220518
126.27,126.38,126.08,126.09,12228,20220518
126.07,126.17,125.9,125.91,31551,20220518
125.91,125.91,125.73,125.82,16377,20220518
125.81,125.85,125.65,125.68,15529,20220518
125.665,125.77,125.6,125.61,12380,20220518
125.6,125.6,125.51,125.56,23882,20220518
125.54,125.65,125.5199,125.6,11693,20220518
125.57,125.715,125.57,125.67,6881,20220518
125.69,125.69,125.47,125.47,10102,20220518
125.4919,125.61,125.3866,125.58,17380,20220518
125.54,125.6226,125.44,125.465,9624,20220518
125.44,125.44,125.2701,125.44,17450,20220518
125.41,125.61,125.3893,125.395,10058,20220518
125.4,125.49,125.3,125.43,11162,20220518
125.385,125.585,125.385,125.48,13961,20220518
125.47,125.71,125.46,125.65,20570,20220518
125.66,125.77,125.54,125.66,22352,20220518
125.7,125.755,125.59,125.715,12352,20220518
125.59,125.6095,125.5151,125.53,7287,20220518
125.5,125.57,125.3927,125.42,5727,20220518
125.3883,125.4,125.25,125.33,11174,20220518
125.33,125.445,125.3,125.445,6090,20220518
125.4207,125.68,125.4207,125.61,6731,20220518
125.64,125.64,125.46,125.46,12872,20220518
125.48,125.48,125.33,125.44,9905,20220518
125.43,125.5819,125.43,125.53,18296,20220518
125.5,125.54,125.41,125.41,4453,20220518
125.34,125.37,125.28,125.33,9414,20220518
125.2701,125.4999,125.2701,125.43,7101,20220518
125.45,125.57,125.38,125.47,13116,20220518
125.41,125.45,125.29,125.4038,15060,20220518
125.38,125.48,125.3201,125.4,10105,20220518
125.36,125.53,125.34,125.4314,13794,20220518
125.42,125.69,125.38,125.596,17413,20220518
125.61,125.61,125.4333,125.4887,13575,20220518
125.46,125.5,125.2,125.21,11492,20220518
125.195,125.37,125.19,125.27,25366,20220518
125.23,125.23,125.07,125.12,23590,20220518
125.08,125.08,124.93,124.99,57096,20220518
124.99,125.0491,124.77,124.81,36691,20220518
124.82,124.85,124.61,124.61,17208,20220518
124.65,124.685,124.5763,124.635,14365,20220518
124.61,124.79,124.6,124.72,24811,20220518
124.71,124.7794,124.62,124.71,9556,20220518
124.7224,124.87,124.67,124.755,27534,20220518
124.7525,124.79,124.64,124.73,10662,20220518
124.76,124.88,124.69,124.71,10764,20220518
124.745,124.82,124.67,124.7,19373,20220518
124.725,124.96,124.725,124.9,28551,20220518
124.87,124.9186,124.66,124.67,8148,20220518
124.67,124.84,124.65,124.795,7882,20220518
124.81,124.88,124.72,124.82,6273,20220518
124.795,124.98,124.795,124.8903,15256,20220518
124.87,124.92,124.741,124.92,6680,20220518
124.95,125.07,124.9,125.0486,15927,20220518
125.0278,125.065,124.8647,124.9,12034,20220518
124.9164,124.9164,124.6,124.6,10633,20220518
124.6,124.66,124.5,124.63,14547,20220518
124.6258,124.91,124.5995,124.75,17042,20220518
124.82,124.9,124.78,124.88,10186,20220518
124.8824,124.8824,124.682,124.682,10091,20220518
124.68,124.715,124.62,124.715,5949,20220518
124.715,124.85,124.6,124.85,3658,20220518
124.91,124.99,124.842,124.97,9527,20220518
124.98,125.0848,124.795,124.89,15856,20220518
124.82,124.9918,124.8,124.855,7600,20220518
124.8,124.8,124.6049,124.7418,15152,20220518
124.7001,124.84,124.7,124.71,7673,20220518
124.6949,124.74,124.63,124.67,7137,20220518
124.685,124.72,124.4,124.47,23197,20220518
124.46,124.93,124.44,124.765,19853,20220518
124.73,124.8624,124.66,124.8,15154,20220518
