open,high,low,close,volume,datetime
78.74,79.14,76.71,76.91,228747,20220518
76.93,76.97,76.0,76.215,75482,20220518
76.215,76.4,75.67,76.07,98262,20220518
76.16,76.7026,76.0,76.02,34010,20220518
76.01,76.12,75.37,75.3775,67705,20220518
75.37,75.7,75.3,75.7,54014,20220518
75.64,75.65,75.21,75.34,42763,20220518
75.31,75.31,74.83,75.095,95594,20220518
75.0,75.44,74.95,75.25,99536,20220518
75.215,75.8766,75.215,75.8288,90102,20220518
75.79,75.81,75.27,75.57,76664,20220518
75.58,75.75,75.2606,75.41,59557,20220518
75.43,75.68,75.28,75.6,89899,20220518
75.59,76.04,75.43,76.04,45713,20220518
76.04,76.05,75.54,75.55,22491,20220518
75.59,75.77,75.4379,75.7,13383,20220518
75.74,76.4145,75.74,76.3814,49097,20220518
76.3401,76.4776,76.0,76.17,41776,20220518
76.18,76.39,75.94,76.04,38730,20220518
76.03,76.19,75.91,76.0,34487,20220518
76.01,76.29,75.95,76.0768,34444,20220518
76.07,76.49,76.07,76.48,20077,20220518
76.47,76.83,76.45,76.63,35107,20220518
76.63,76.92,76.481,76.92,31266,20220518
76.98,77.19,76.88,77.19,18340,20220518
77.16,77.33,77.03,77.32,30540,20220518
77.2758,77.32,76.89,76.95,28017,20220518
76.94,77.28,76.84,77.09,56588,20220518
77.0,77.29,76.96,77.235,22545,20220518
77.235,77.3,77.11,77.225,20231,20220518
77.21,77.68,77.2,77.64,37635,20220518
77.7167,78.54,77.7,78.54,59577,20220518
78.55,79.18,78.525,79.11,114793,20220518
79.1,79.47,79.01,79.055,87283,20220518
79.09,79.57,79.09,79.5,64951,20220518
79.525,79.57,78.97,79.06,71606,20220518
79.07,79.235,78.99,79.0,31429,20220518
79.0,79.32,79.0,79.07,44368,20220518
79.06,79.31,79.0,79.02,27210,20220518
79.01,79.03,78.565,78.77,33744,20220518
78.72,78.84,78.605,78.64,13652,20220518
78.64,78.83,78.44,78.8068,20830,20220518
78.79,78.8703,78.075,78.165,15315,20220518
78.165,78.2,77.7,77.7451,18557,20220518
77.74,77.93,77.62,77.89,14584,20220518
77.885,77.93,77.7126,77.93,11008,20220518
77.87,78.28,77.77,78.21,16427,20220518
78.21,78.33,78.19,78.265,11417,20220518
78.255,78.39,78.22,78.34,17082,20220518
78.315,78.315,78.1501,78.27,11362,20220518
78.25,78.56,78.22,78.555,14617,20220518
78.51,78.5499,78.33,78.43,13219,20220518
78.43,78.61,78.43,78.445,9449,20220518
78.44,78.6,78.365,78.565,19481,20220518
78.58,78.75,78.51,78.605,9188,20220518
78.58,78.87,78.55,78.81,12003,20220518
78.865,78.865,78.65,78.7,24314,20220518
78.71,78.78,78.69,78.726,6011,20220518
78.72,78.79,78.69,78.725,8832,20220518
78.72,78.72,78.33,78.33,18497,20220518
78.33,78.48,78.12,78.48,15708,20220518
78.49,78.66,78.45,78.66,23883,20220518
78.67,78.745,78.39,78.39,14323,20220518
78.37,78.37,78.145,78.145,16524,20220518
78.185,78.185,78.01,78.04,14152,20220518
78.01,78.01,77.59,77.77,15421,20220518
77.78,77.9734,77.78,77.905,8218,20220518
77.91,77.92,77.7336,77.7336,10994,20220518
77.725,77.73,77.57,77.695,18539,20220518
77.69,77.91,77.69,77.905,9330,20220518
77.9187,77.94,77.795,77.895,10822,20220518
77.895,77.99,77.81,77.92,7533,20220518
77.885,77.885,77.6201,77.73,9876,20220518
77.7523,77.87,77.695,77.785,10008,20220518
77.76,77.78,77.67,77.735,3265,20220518
77.74,77.79,77.68,77.79,7512,20220518
77.79,78.1399,77.79,77.9409,14115,20220518
77.9314,77.9314,77.8,77.85,3905,20220518
77.8704,78.07,77.8286,77.91,6974,20220518
77.85,77.88,77.795,77.87,5899,20220518
77.866,77.94,77.77,77.77,6467,20220518
77.79,77.79,77.68,77.779,11186,20220518
77.785,77.85,77.61,77.79,19350,20220518
77.79,77.98,77.71,77.895,15411,20220518
77.895,77.9099,77.77,77.85,7538,20220518
77.84,77.91,77.77,77.91,12424,20220518
77.9,78.08,77.8776,77.985,11201,20220518
77.985,78.18,77.985,78.18,9643,20220518
78.185,78.54,78.185,78.46,16837,20220518
78.5,78.86,78.455,78.785,17505,20220518
78.785,78.785,78.44,78.56,16956,20220518
78.53,78.555,78.48,78.505,11221,20220518
78.51,78.55,78.42,78.42,19490,20220518
78.43,78.43,78.06,78.195,29373,20220518
78.19,78.2,77.885,77.885,7524,20220518
77.88,77.88,77.53,77.53,12263,20220518
77.53,77.65,77.45,77.45,8249,20220518
77.42,77.42,77.2879,77.36,19137,20220518
77.39,77.445,77.345,77.39,7439,20220518
77.37,77.5117,77.34,77.38,18913,20220518
77.35,77.38,77.3087,77.34,14159,20220518
