open,high,low,close,volume,datetime
32.92,33.0,32.4,32.9,17658,20220518
32.865,33.05,32.15,32.2,2635,20220518
32.4762,32.59,32.31,32.31,8468,20220518
32.21,32.78,32.21,32.78,1400,20220518
32.79,32.97,32.51,32.7,8373,20220518
32.6,32.6,32.27,32.53,3159,20220518
32.56,32.69,32.31,32.49,6249,20220518
32.5,32.73,32.46,32.71,2010,20220518
32.85,32.89,32.61,32.61,2600,20220518
32.44,32.44,32.0,32.0,1660,20220518
32.11,32.18,31.89,31.89,5690,20220518
31.94,32.01,31.61,31.62,5170,20220518
31.59,31.75,31.4,31.695,4720,20220518
31.64,31.76,31.44,31.76,3631,20220518
31.72,31.754,31.46,31.46,580,20220518
31.61,31.66,31.61,31.66,200,20220518
31.53,31.58,31.48,31.54,2579,20220518
31.63,31.86,31.5148,31.86,2344,20220518
31.845,32.0,31.73,31.77,7482,20220518
31.8899,31.8899,31.7409,31.8,763,20220518
31.88,31.93,31.5,31.5,3620,20220518
31.86,31.94,31.75,31.75,900,20220518
31.79,31.9,31.775,31.9,1100,20220518
32.03,32.21,32.03,32.2,612,20220518
32.26,32.26,31.96,32.1299,2345,20220518
31.84,31.989,31.79,31.87,1210,20220518
31.925,31.925,31.69,31.69,2025,20220518
31.69,31.91,31.69,31.83,2706,20220518
31.77,31.77,31.72,31.76,800,20220518
31.83,31.85,31.83,31.84,600,20220518
31.77,31.9018,31.683,31.9018,933,20220518
31.865,32.62,31.865,32.62,2200,20220518
32.73,32.94,32.73,32.9,1868,20220518
32.95,33.13,32.91,33.02,2433,20220518
33.07,33.09,32.9,32.9,1167,20220518
33.03,33.29,33.03,33.29,1100,20220518
33.52,33.55,33.34,33.48,1900,20220518
33.59,33.59,33.31,33.46,2871,20220518
33.54,33.83,33.49,33.64,3929,20220518
33.72,33.72,33.42,33.5,17156,20220518
33.36,33.44,33.3,33.41,4213,20220518
33.42,33.42,33.15,33.345,5393,20220518
33.39,33.48,33.285,33.35,3292,20220518
33.265,33.38,33.265,33.34,1106,20220518
33.53,33.6,33.48,33.54,3810,20220518
33.54,33.83,33.48,33.83,1593,20220518
33.82,33.82,33.68,33.76,3847,20220518
33.77,33.87,33.73,33.87,3344,20220518
33.88,33.97,33.84,33.96,4730,20220518
33.84,33.86,33.66,33.77,2522,20220518
33.67,34.06,33.67,34.06,1820,20220518
33.98,34.0,33.87,33.92,1100,20220518
33.92,33.92,33.81,33.82,300,20220518
33.87,33.9,33.66,33.66,1200,20220518
33.55,33.6,33.4501,33.515,1355,20220518
33.46,33.47,33.39,33.43,400,20220518
33.51,33.51,33.51,33.51,424,20220518
33.42,33.42,33.24,33.4,800,20220518
33.54,33.58,33.45,33.45,1507,20220518
33.4,33.44,33.11,33.14,1500,20220518
32.96,33.12,32.96,33.0159,600,20220518
33.0,33.02,32.99,33.02,400,20220518
33.015,33.015,32.85,32.93,3400,20220518
32.86,33.02,32.86,32.98,1864,20220518
32.93,32.93,32.58,32.59,3971,20220518
32.58,32.65,32.48,32.54,3680,20220518
32.63,32.7,32.6,32.7,1225,20220518
32.7,32.7,32.55,32.55,517,20220518
32.54,32.73,32.47,32.665,5810,20220518
32.66,32.66,32.6,32.655,402,20220518
32.66,32.72,32.47,32.515,8760,20220518
32.51,32.6,32.45,32.6,2310,20220518
32.77,32.77,32.73,32.73,500,20220518
32.77,32.89,32.77,32.89,500,20220518
32.85,32.87,32.7,32.7,4800,20220518
32.68,32.68,32.63,32.63,300,20220518
32.685,32.92,32.685,32.8877,2155,20220518
32.81,32.96,32.8,32.93,3043,20220518
33.05,33.3,33.05,33.25,1800,20220518
33.23,33.32,33.19,33.32,1415,20220518
33.32,33.32,33.07,33.07,1508,20220518
33.14,33.15,33.04,33.12,1200,20220518
33.12,33.23,33.1,33.2,1280,20220518
33.31,33.33,33.18,33.25,2204,20220518
33.25,33.25,33.17,33.185,600,20220518
33.22,33.22,33.09,33.1,585,20220518
33.25,33.51,33.18,33.51,2459,20220518
33.46,33.51,33.46,33.51,200,20220518
33.43,33.51,33.35,33.51,1600,20220518
33.46,33.47,33.14,33.14,3700,20220518
33.22,33.22,32.92,32.92,1301,20220518
33.1,33.1,32.94,32.94,1900,20220518
33.0,33.05,32.99,33.05,600,20220518
32.93,33.01,32.8,32.8,2347,20220518
32.75,32.76,32.7401,32.75,600,20220518
32.75,32.75,32.63,32.63,1900,20220518
32.61,32.68,32.6,32.65,2900,20220518
32.57,32.58,32.51,32.51,1385,20220518
32.53,32.53,32.47,32.47,2460,20220518
32.525,32.54,32.47,32.52,1830,20220518
32.53,32.53,32.53,32.53,100,20220518
32.47,32.58,32.47,32.47,852,20220518
32.49,32.53,32.3382,32.3382,3523,20220518
32.39,32.39,32.3,32.3,1075,20220518
32.22,32.22,32.15,32.15,2000,20220518
32.15,32.16,32.07,32.08,1903,20220518
32.07,32.11,32.03,32.09,1671,20220518
32.16,32.17,32.07,32.095,1519,20220518
32.06,32.06,32.01,32.01,800,20220518
32.01,32.025,31.98,32.025,2155,20220518
32.0,32.0,32.0,32.0,206,20220518
32.07,32.12,32.04,32.12,1700,20220518
32.1,32.19,32.1,32.18,4825,20220518
32.17,32.2,32.16,32.2,782,20220518
32.185,32.185,32.07,32.12,2329,20220518
32.1874,32.1874,32.01,32.08,2300,20220518
32.13,32.13,31.8,31.83,1400,20220518
31.83,31.87,31.8,31.87,1112,20220518
31.84,31.87,31.79,31.87,1790,20220518
31.84,31.92,31.84,31.92,200,20220518
31.94,32.03,31.94,32.0,1300,20220518
32.0,32.04,31.97,31.97,1000,20220518
31.97,32.0,31.92,32.0,900,20220518
32.02,32.19,31.99,32.19,2063,20220518
32.23,32.52,32.23,32.42,1657,20220518
32.37,32.37,32.29,32.32,700,20220518
32.22,32.292,32.16,32.165,2500,20220518
32.29,32.43,32.29,32.42,1873,20220518
32.48,32.52,32.45,32.52,500,20220518
32.44,32.45,32.21,32.3,1890,20220518
32.15,32.39,32.15,32.39,1399,20220518
32.385,32.385,32.29,32.29,500,20220518
32.246,32.425,32.246,32.425,300,20220518
32.24,32.24,32.18,32.21,1700,20220518
32.27,32.31,32.21,32.21,974,20220518
32.225,32.23,32.21,32.21,302,20220518
32.21,32.29,32.17,32.29,900,20220518
32.3,32.3,32.24,32.24,818,20220518
32.19,32.205,32.06,32.0879,2309,20220518
32.095,32.095,31.9,31.92,3626,20220518
32.03,32.03,31.87,31.87,3000,20220518
31.97,31.97,31.94,31.94,300,20220518
32.02,32.035,31.99,32.035,1200,20220518
32.04,32.05,32.04,32.05,300,20220518
31.98,31.98,31.83,31.83,1718,20220518
31.86,31.93,31.81,31.9,2625,20220518
31.81,32.0,31.76,32.0,4879,20220518
31.91,31.91,31.91,31.91,200,20220518
31.93,31.95,31.92,31.92,700,20220518
31.905,31.905,31.82,31.82,600,20220518
31.81,31.84,31.8,31.84,400,20220518
31.8,31.84,31.735,31.765,12076,20220518
31.8,31.84,31.68,31.68,4862,20220518
31.61,31.65,31.56,31.6425,2280,20220518
31.62,31.7,31.6,31.61,2001,20220518
31.59,31.74,31.58,31.71,3340,20220518
31.78,31.78,31.72,31.72,400,20220518
31.7212,31.7212,31.7,31.7,1643,20220518
31.74,31.84,31.74,31.84,800,20220518
31.825,31.94,31.825,31.94,1600,20220518
31.86,31.87,31.82,31.86,1800,20220518
31.89,32.01,31.855,32.01,1565,20220518
32.0,32.06,31.955,32.0,2164,20220518
31.99,31.99,31.86,31.9,2798,20220518
32.0,32.0,31.86,31.86,758,20220518
31.94,31.94,31.8853,31.8853,800,20220518
31.9,31.905,31.74,31.74,1355,20220518
31.73,31.7599,31.65,31.68,1035,20220518
31.65,31.66,31.51,31.51,3717,20220518
31.6,31.63,31.57,31.63,1500,20220518
31.65,31.66,31.62,31.62,1400,20220518
31.58,31.625,31.58,31.625,421,20220518
31.66,31.78,31.65,31.78,4250,20220518
31.77,31.86,31.77,31.79,2464,20220518
31.845,31.845,31.72,31.73,1300,20220518
31.705,31.705,31.68,31.68,300,20220518
31.64,31.74,31.64,31.66,894,20220518
31.69,31.69,31.624,31.64,2200,20220518
31.61,31.74,31.61,31.74,1136,20220518
31.7,31.82,31.69,31.82,4021,20220518
31.82,31.87,31.82,31.87,902,20220518
