open,high,low,close,volume,datetime
25.5,25.5,25.38,25.44,44386,20220518
25.45,25.45,25.39,25.39,1700,20220518
25.36,25.36,25.35,25.36,478,20220518
25.37,25.37,25.36,25.36,600,20220518
25.4,25.4367,25.38,25.4367,4137,20220518
25.429,25.44,25.38,25.44,6831,20220518
25.49,25.49,25.43,25.45,2312,20220518
25.48,25.49,25.43,25.44,2091,20220518
25.44,25.45,25.391,25.4,4528,20220518
25.39,25.4,25.3,25.33,8163,20220518
25.33,25.34,25.31,25.34,6298,20220518
25.34,25.3865,25.34,25.38,4286,20220518
25.3911,25.4,25.35,25.37,3388,20220518
25.37,25.37,25.315,25.36,3848,20220518
25.37,25.4,25.3633,25.3633,1339,20220518
25.4,25.475,25.4,25.475,2372,20220518
25.47,25.51,25.45,25.51,9466,20220518
25.53,25.56,25.51,25.56,1066,20220518
25.55,25.55,25.52,25.53,3382,20220518
25.57,25.59,25.5441,25.59,3468,20220518
25.6,25.6,25.56,25.56,2050,20220518
25.54,25.62,25.54,25.6,11156,20220518
25.6,25.64,25.58,25.64,3276,20220518
25.63,25.67,25.63,25.67,10505,20220518
25.665,25.67,25.64,25.67,3763,20220518
25.66,25.68,25.64,25.64,3118,20220518
25.63,25.63,25.58,25.58,3352,20220518
25.57,25.585,25.54,25.58,3435,20220518
25.57,25.6,25.56,25.59,8986,20220518
25.6,25.61,25.57,25.61,4804,20220518
25.62,25.648,25.61,25.645,3615,20220518
25.65,25.695,25.64,25.675,7285,20220518
25.68,25.74,25.68,25.73,3421,20220518
25.73,25.74,25.7,25.7,4500,20220518
25.7,25.73,25.69,25.71,5165,20220518
25.705,25.73,25.69,25.73,5657,20220518
25.73,25.75,25.71,25.72,4772,20220518
25.72,25.74,25.71,25.72,8512,20220518
25.71,25.7199,25.69,25.7,3502,20220518
25.69,25.69,25.65,25.67,2674,20220518
25.67,25.705,25.67,25.68,6524,20220518
25.665,25.68,25.66,25.68,604,20220518
25.69,25.695,25.645,25.65,3607,20220518
25.66,25.685,25.65,25.66,3402,20220518
25.66,25.695,25.66,25.695,3649,20220518
25.695,25.745,25.69,25.745,10902,20220518
25.74,25.74,25.71,25.73,2840,20220518
25.73,25.75,25.715,25.75,2125,20220518
25.74,25.76,25.73,25.73,4322,20220518
25.74,25.75,25.715,25.745,5045,20220518
25.745,25.78,25.745,25.77,5703,20220518
25.77,25.77,25.73,25.735,4141,20220518
25.74,25.77,25.73,25.73,4023,20220518
25.72,25.72,25.7,25.7,2260,20220518
25.69,25.7,25.67,25.685,3800,20220518
25.675,25.675,25.67,25.67,2698,20220518
25.67,25.71,25.67,25.69,5439,20220518
25.69,25.69,25.675,25.675,1425,20220518
25.68,25.6835,25.67,25.67,5405,20220518
25.66,25.685,25.65,25.65,6289,20220518
25.63,25.6651,25.63,25.66,3370,20220518
25.66,25.6759,25.655,25.66,3753,20220518
25.6744,25.685,25.665,25.67,5086,20220518
25.67,25.715,25.67,25.71,9232,20220518
25.7,25.7,25.66,25.67,3238,20220518
25.66,25.66,25.64,25.66,4834,20220518
25.66,25.68,25.6571,25.67,2200,20220518
25.67,25.715,25.67,25.695,7231,20220518
25.68,25.7,25.68,25.69,2139,20220518
25.6936,25.74,25.69,25.73,4784,20220518
25.72,25.745,25.695,25.7,3322,20220518
25.7,25.73,25.69,25.73,5997,20220518
25.725,25.73,25.71,25.73,2569,20220518
25.73,25.76,25.73,25.76,7192,20220518
25.76,25.795,25.76,25.79,4496,20220518
25.79,25.79,25.74,25.76,4769,20220518
25.759,25.8,25.75,25.78,7099,20220518
25.78,25.785,25.76,25.78,2693,20220518
25.765,25.805,25.765,25.8,4754,20220518
25.79,25.79,25.78,25.78,1343,20220518
25.77,25.785,25.76,25.77,1994,20220518
25.77,25.77,25.75,25.76,3375,20220518
25.75,25.755,25.74,25.74,1700,20220518
25.74,25.745,25.72,25.73,2750,20220518
25.74,25.74,25.72,25.72,1700,20220518
25.71,25.725,25.71,25.715,1807,20220518
25.71,25.72,25.7022,25.72,1564,20220518
25.74,25.75,25.725,25.73,5922,20220518
25.755,25.77,25.75,25.76,5117,20220518
25.77,25.79,25.765,25.79,7284,20220518
25.785,25.795,25.77,25.77,7102,20220518
25.77,25.785,25.73,25.735,6466,20220518
25.75,25.765,25.735,25.735,3658,20220518
25.73,25.75,25.705,25.705,4689,20220518
25.72,25.73,25.69,25.7,3911,20220518
25.69,25.69,25.68,25.68,1150,20220518
25.69,25.69,25.6413,25.6413,5624,20220518
25.64,25.64,25.625,25.625,2211,20220518
25.63,25.64,25.62,25.62,3125,20220518
25.62,25.625,25.61,25.61,4580,20220518
25.61,25.61,25.57,25.57,2450,20220518
25.55,25.56,25.55,25.56,1270,20220518
25.55,25.55,25.55,25.55,100,20220518
25.555,25.555,25.555,25.555,200,20220518
25.55,25.565,25.55,25.565,1589,20220518
25.56,25.56,25.56,25.56,1931,20220518
25.555,25.555,25.52,25.52,8846,20220518
25.52,25.52,25.49,25.49,884,20220518
25.4863,25.4863,25.46,25.465,4307,20220518
25.46,25.5,25.46,25.5,1814,20220518
25.5,25.5,25.47,25.495,4722,20220518
25.49,25.49,25.465,25.47,3709,20220518
25.47,25.47,25.465,25.465,875,20220518
25.47,25.47,25.44,25.46,3163,20220518
25.45,25.45,25.42,25.435,3110,20220518
25.44,25.47,25.44,25.47,1408,20220518
25.46,25.46,25.44,25.44,1500,20220518
25.45,25.45,25.42,25.42,1968,20220518
25.42,25.425,25.41,25.425,2412,20220518
25.41,25.43,25.41,25.42,4423,20220518
25.42,25.42,25.405,25.405,3318,20220518
25.41,25.455,25.41,25.455,1624,20220518
25.45,25.455,25.425,25.44,4406,20220518
25.44,25.46,25.44,25.46,1200,20220518
25.46,25.47,25.46,25.47,1114,20220518
25.48,25.5,25.48,25.49,2672,20220518
25.48,25.49,25.47,25.49,1687,20220518
25.48,25.5,25.475,25.5,3400,20220518
25.51,25.52,25.49,25.51,2608,20220518
25.5,25.5,25.5,25.5,902,20220518
25.5,25.5,25.48,25.49,2579,20220518
25.49,25.53,25.49,25.515,1200,20220518
25.51,25.535,25.5,25.525,7207,20220518
25.53,25.535,25.49,25.49,5198,20220518
25.49,25.54,25.485,25.53,2876,20220518
25.53,25.53,25.49,25.49,10132,20220518
25.5,25.52,25.5,25.515,1500,20220518
25.51,25.52,25.5,25.515,1300,20220518
25.51,25.52,25.5,25.51,4489,20220518
25.5,25.54,25.5,25.54,1900,20220518
25.535,25.535,25.51,25.53,3009,20220518
25.54,25.545,25.52,25.52,4889,20220518
25.52,25.53,25.5,25.505,2453,20220518
25.5,25.505,25.47,25.475,5601,20220518
25.48,25.48,25.44,25.45,4594,20220518
25.435,25.45,25.43,25.45,900,20220518
25.465,25.47,25.45,25.45,2500,20220518
25.46,25.485,25.46,25.48,2400,20220518
25.48,25.49,25.47,25.47,1995,20220518
25.46,25.475,25.46,25.47,1605,20220518
25.465,25.475,25.465,25.47,2166,20220518
25.46,25.47,25.4435,25.47,5996,20220518
25.46,25.46,25.44,25.45,2759,20220518
25.44,25.455,25.44,25.45,4501,20220518
25.45,25.455,25.449,25.449,3146,20220518
25.44,25.44,25.42,25.42,1748,20220518
25.43,25.435,25.43,25.43,1600,20220518
25.435,25.44,25.43,25.435,7370,20220518
25.43,25.44,25.43,25.44,1292,20220518
25.435,25.44,25.42,25.44,3905,20220518
25.43,25.44,25.42,25.43,4046,20220518
25.44,25.46,25.435,25.46,4175,20220518
25.46,25.46,25.44,25.45,2757,20220518
25.47,25.475,25.455,25.465,5851,20220518
25.465,25.4884,25.465,25.485,6365,20220518
