open,high,low,close,volume,datetime
48.78,48.78,48.2441,48.72,8705,20220518
48.6,48.6,48.49,48.49,313,20220518
48.5,48.6,48.46,48.56,1000,20220518
48.65,48.65,48.65,48.65,100,20220518
48.65,48.65,48.65,48.65,170,20220518
48.815,48.815,48.815,48.815,100,20220518
48.9,48.93,48.79,48.93,1205,20220518
48.89,48.9,48.89,48.9,400,20220518
48.9281,48.9281,48.79,48.79,1020,20220518
48.68,48.68,48.68,48.68,100,20220518
48.56,48.56,48.56,48.56,100,20220518
48.75,48.75,48.54,48.54,1361,20220518
48.75,48.76,48.75,48.75,852,20220518
48.75,48.89,48.74,48.84,1600,20220518
48.9,48.9,48.9,48.9,216,20220518
48.9,48.9,48.86,48.86,400,20220518
48.83,48.91,48.78,48.78,1100,20220518
48.69,48.69,48.6268,48.6268,200,20220518
48.75,48.75,48.75,48.75,200,20220518
48.81,48.81,48.76,48.765,500,20220518
48.7,48.7,48.61,48.61,730,20220518
48.47,48.47,48.47,48.47,319,20220518
48.48,48.48,48.48,48.48,198,20220518
48.56,48.63,48.56,48.63,400,20220518
48.69,48.69,48.69,48.69,500,20220518
48.69,48.75,48.69,48.75,584,20220518
48.66,48.66,48.66,48.66,343,20220518
48.64,48.69,48.64,48.69,1166,20220518
48.61,48.61,48.57,48.595,700,20220518
48.45,48.45,48.4,48.44,800,20220518
48.51,48.51,48.51,48.51,100,20220518
48.44,48.44,48.43,48.43,395,20220518
48.4,48.4,48.36,48.36,200,20220518
48.38,48.4,48.38,48.4,500,20220518
48.41,48.45,48.41,48.45,300,20220518
48.48,48.48,48.48,48.48,492,20220518
48.5,48.525,48.5,48.525,235,20220518
48.6648,48.6648,48.6648,48.6648,150,20220518
48.58,48.58,48.46,48.46,1100,20220518
48.55,48.55,48.55,48.55,300,20220518
48.54,48.54,48.54,48.54,100,20220518
48.57,48.57,48.48,48.49,806,20220518
48.45,48.5,48.39,48.5,837,20220518
48.5,48.534,48.5,48.534,200,20220518
48.43,48.43,48.37,48.37,200,20220518
48.37,48.37,48.37,48.37,100,20220518
48.36,48.36,48.36,48.36,500,20220518
48.23,48.24,48.18,48.24,4689,20220518
48.245,48.245,48.245,48.245,450,20220518
48.2,48.2,48.19,48.19,800,20220518
48.28,48.31,48.27,48.31,600,20220518
48.3,48.3,48.26,48.26,700,20220518
48.23,48.23,48.23,48.23,100,20220518
48.21,48.21,48.21,48.21,100,20220518
48.24,48.24,48.13,48.13,1100,20220518
48.2,48.225,48.19,48.19,1236,20220518
48.1888,48.1888,48.1888,48.1888,230,20220518
48.24,48.24,48.18,48.18,520,20220518
48.195,48.195,48.16,48.16,494,20220518
48.22,48.29,48.22,48.29,800,20220518
48.2983,48.2983,48.2983,48.2983,100,20220518
48.43,48.445,48.41,48.41,900,20220518
48.375,48.4,48.33,48.4,1358,20220518
48.5,48.5,48.49,48.49,597,20220518
48.45,48.455,48.45,48.455,383,20220518
48.43,48.43,48.43,48.43,300,20220518
48.39,48.39,48.39,48.39,100,20220518
48.29,48.32,48.29,48.32,300,20220518
48.36,48.43,48.36,48.43,500,20220518
48.47,48.47,48.41,48.41,200,20220518
48.435,48.435,48.435,48.435,100,20220518
48.4,48.47,48.4,48.46,2547,20220518
48.495,48.5,48.38,48.415,1974,20220518
