open,high,low,close,volume,datetime
505.78,508.145,498.7,508.145,2532,20220518
507.96,510.0,507.96,509.89,405,20220518
509.625,509.625,509.625,509.625,188,20220518
508.88,508.88,508.88,508.88,200,20220518
505.53,506.685,505.53,506.685,300,20220518
504.18,504.18,502.67,503.845,500,20220518
503.465,504.47,502.45,503.46,700,20220518
504.65,505.03,504.65,504.705,501,20220518
505.045,505.66,503.685,504.91,851,20220518
503.68,503.68,503.68,503.68,100,20220518
503.685,503.685,503.645,503.645,400,20220518
504.015,505.55,504.015,504.685,1300,20220518
504.72,504.72,504.72,504.72,100,20220518
505.0,505.0,505.0,505.0,200,20220518
504.61,505.315,504.61,505.315,400,20220518
504.095,504.095,504.07,504.07,200,20220518
504.055,504.055,504.055,504.055,100,20220518
504.055,504.06,504.055,504.06,300,20220518
504.045,504.045,502.855,502.855,300,20220518
502.15,503.095,502.15,503.095,276,20220518
503.8,506.25,503.8,506.25,700,20220518
505.795,506.49,505.795,506.49,484,20220518
507.35,507.35,507.35,507.35,100,20220518
506.345,506.345,506.345,506.345,100,20220518
504.56,504.56,504.56,504.56,100,20220518
504.915,505.665,504.915,505.665,400,20220518
506.68,506.72,506.68,506.71,300,20220518
505.23,505.97,505.23,505.97,200,20220518
505.795,506.115,505.795,506.115,300,20220518
504.265,505.2,504.265,504.465,700,20220518
503.875,503.875,503.875,503.875,112,20220518
504.18,504.18,504.18,504.18,100,20220518
503.95,503.95,503.95,503.95,100,20220518
504.44,504.845,504.44,504.84,500,20220518
503.02,503.02,503.02,503.02,100,20220518
504.55,504.55,504.55,504.55,100,20220518
504.52,505.78,504.47,505.13,800,20220518
504.61,504.61,504.61,504.61,100,20220518
504.62,504.74,504.285,504.285,700,20220518
504.25,504.76,504.25,504.76,200,20220518
504.07,504.07,504.07,504.07,100,20220518
504.335,504.335,504.335,504.335,100,20220518
503.55,503.66,503.55,503.66,200,20220518
501.16,501.16,501.16,501.16,100,20220518
501.16,501.16,501.16,501.16,100,20220518
501.925,502.24,501.16,502.24,4190,20220518
501.79,501.92,501.79,501.915,1200,20220518
500.7,501.66,500.7,500.9,433,20220518
500.445,500.445,500.25,500.25,200,20220518
500.735,500.735,500.735,500.735,100,20220518
500.21,500.21,500.21,500.21,105,20220518
500.58,500.72,499.72,499.86,440,20220518
500.74,500.74,499.175,499.175,285,20220518
499.02,499.02,499.02,499.02,100,20220518
499.64,501.24,499.25,501.24,1500,20220518
500.74,500.74,500.74,500.74,100,20220518
500.5,500.5,500.5,500.5,100,20220518
501.23,501.24,501.23,501.24,242,20220518
500.99,501.3,500.99,501.3,200,20220518
501.06,501.06,501.02,501.02,200,20220518
501.14,502.09,501.14,502.09,200,20220518
501.75,501.75,501.75,501.75,100,20220518
499.67,499.67,499.64,499.64,284,20220518
498.42,498.42,498.42,498.42,100,20220518
498.88,499.39,498.88,499.39,500,20220518
499.38,500.13,499.36,499.93,1200,20220518
499.41,500.0,499.27,500.0,800,20220518
500.12,500.47,499.39,500.47,700,20220518
499.88,500.1,499.62,500.1,500,20220518
500.43,500.43,500.36,500.36,200,20220518
499.9,500.4,499.9,500.4,200,20220518
500.43,500.49,500.43,500.49,200,20220518
500.38,500.38,500.38,500.38,100,20220518
500.0,501.03,499.77,501.03,600,20220518
500.75,500.75,500.75,500.75,100,20220518
501.42,501.42,501.42,501.42,100,20220518
501.76,501.76,501.74,501.74,200,20220518
502.77,502.98,502.43,502.43,300,20220518
501.585,501.585,501.585,501.585,100,20220518
501.82,502.94,501.82,502.94,400,20220518
502.78,502.78,502.78,502.78,100,20220518
502.83,502.83,502.83,502.83,100,20220518
502.83,502.84,502.83,502.84,476,20220518
502.945,502.945,502.945,502.945,100,20220518
503.28,503.32,503.28,503.3,400,20220518
503.75,504.74,503.72,504.74,300,20220518
504.03,504.25,504.03,504.25,259,20220518
504.035,504.52,504.035,504.52,200,20220518
504.26,504.26,504.26,504.26,100,20220518
504.47,504.47,503.66,504.03,500,20220518
504.33,504.37,504.32,504.32,300,20220518
504.72,504.72,504.72,504.72,100,20220518
506.22,506.22,504.575,504.575,300,20220518
505.05,505.21,505.05,505.21,200,20220518
504.91,504.91,504.7,504.7,200,20220518
505.5,505.55,505.5,505.55,300,20220518
504.32,504.32,504.32,504.32,100,20220518
504.04,504.04,503.71,503.71,301,20220518
503.68,503.88,503.67,503.88,500,20220518
504.0,504.97,503.03,504.6325,1230,20220518
505.0,505.0,505.0,505.0,100,20220518
504.25,504.25,503.43,503.9,1200,20220518
504.0,504.2,504.0,504.2,700,20220518
504.32,504.32,504.0,504.0,300,20220518
503.8,504.0,503.783,503.8004,1688,20220518
502.74,502.74,502.74,502.74,100,20220518
502.64,502.64,501.54,501.54,200,20220518
503.2,503.2,503.0,503.0,200,20220518
503.32,503.47,503.32,503.32,300,20220518
502.555,502.555,502.555,502.555,100,20220518
502.9,502.9,502.9,502.9,100,20220518
502.79,502.79,502.79,502.79,100,20220518
502.63,502.63,502.63,502.63,100,20220518
502.81,502.81,502.81,502.81,100,20220518
503.955,503.955,503.17,503.17,200,20220518
502.77,502.77,502.77,502.77,129,20220518
502.45,502.45,501.17,501.17,300,20220518
501.09,501.09,501.09,501.09,100,20220518
501.46,501.51,501.46,501.51,324,20220518
500.487,500.487,500.487,500.487,100,20220518
501.05,501.05,500.05,500.05,316,20220518
501.27,501.27,501.27,501.27,195,20220518
500.22,500.22,500.22,500.22,100,20220518
500.53,500.53,500.53,500.53,100,20220518
501.82,501.82,501.82,501.82,100,20220518
501.09,501.09,500.81,500.81,300,20220518
501.01,501.01,501.01,501.01,100,20220518
500.84,501.28,500.84,501.28,413,20220518
501.18,501.23,501.18,501.23,215,20220518
500.795,500.795,500.795,500.795,100,20220518
500.805,500.805,500.805,500.805,183,20220518
500.35,500.35,500.35,500.35,100,20220518
501.09,501.26,500.6,501.26,600,20220518
500.85,500.85,500.85,500.85,165,20220518
500.83,500.83,500.83,500.83,100,20220518
500.27,500.46,500.27,500.46,200,20220518
500.0,500.29,499.8,500.29,1600,20220518
500.3433,500.3433,500.235,500.235,215,20220518
500.0,500.3,500.0,500.3,302,20220518
500.0,500.2,499.95,499.95,400,20220518
500.0,500.0,500.0,500.0,200,20220518
500.45,500.63,500.45,500.63,200,20220518
500.37,500.37,500.37,500.37,100,20220518
500.02,500.21,499.89,499.89,500,20220518
499.83,500.0,499.83,500.0,500,20220518
501.2,501.2,500.84,500.84,200,20220518
500.75,501.04,500.66,501.04,404,20220518
500.62,500.76,500.62,500.76,200,20220518
500.89,500.89,500.89,500.89,200,20220519
501.46,501.46,501.46,501.46,184,20220519
501.3,501.47,501.3,501.47,200,20220519
500.95,500.95,500.95,500.95,100,20220519
500.58,500.58,500.58,500.58,100,20220519
500.5,500.5,499.935,500.11,600,20220519
500.11,500.69,500.11,500.28,900,20220519
500.295,500.64,500.295,500.59,602,20220519
500.0,500.14,499.76,500.14,1501,20220519
500.0,500.7,499.79,500.7,3100,20220519
500.43,500.5,500.07,500.4,1403,20220519
500.23,500.5,500.23,500.45,300,20220519
500.5,500.5,500.5,500.5,100,20220519
500.475,500.8,500.475,500.8,300,20220519
500.62,500.62,500.49,500.49,300,20220519
500.5,500.5,500.5,500.5,100,20220519
500.48,500.5,500.35,500.45,900,20220519
500.56,500.58,500.26,500.49,1300,20220519
500.52,500.55,500.52,500.55,500,20220519
