open,high,low,close,volume,datetime
78.27,78.35,78.145,78.345,178490,20220518
78.33,78.35,78.21,78.23,36678,20220518
78.21,78.32,78.13,78.2,25168,20220518
78.2,78.29,78.2,78.26,30639,20220518
78.27,78.2806,78.15,78.2782,30946,20220518
78.27,78.42,78.245,78.25,65155,20220518
78.24,78.37,78.24,78.37,57797,20220518
78.3701,78.4,78.31,78.4,47219,20220518
78.4,78.4,78.345,78.36,29427,20220518
78.36,78.37,78.315,78.34,29153,20220518
78.34,78.385,78.24,78.25,76011,20220518
78.24,78.36,78.24,78.31,39069,20220518
78.31,78.43,78.2823,78.36,42422,20220518
78.3593,78.465,78.355,78.3592,57575,20220518
78.35,78.35,78.28,78.285,35339,20220518
78.28,78.34,78.24,78.32,23152,20220518
78.32,78.42,78.285,78.295,43528,20220518
78.29,78.3,78.23,78.255,45426,20220518
78.25,78.3036,78.2,78.225,29323,20220518
78.22,78.265,78.2,78.23,22087,20220518
78.235,78.25,78.1916,78.24,22263,20220518
78.24,78.24,78.06,78.06,31384,20220518
78.07,78.11,78.03,78.07,14963,20220518
78.08,78.15,78.065,78.14,70348,20220518
78.14,78.14,78.05,78.1,17289,20220518
78.1,78.115,78.06,78.075,14173,20220518
78.08,78.13,78.075,78.075,18334,20220518
78.075,78.095,78.02,78.02,32618,20220518
78.025,78.0466,78.005,78.015,25692,20220518
78.02,78.16,78.015,78.07,54498,20220518
78.065,78.095,78.01,78.0626,44781,20220518
78.07,78.08,78.0,78.025,34219,20220518
78.025,78.045,78.0,78.04,48543,20220518
78.03,78.11,78.01,78.11,23065,20220518
78.11,78.145,78.075,78.08,24049,20220518
78.075,78.085,78.015,78.015,18487,20220518
78.02,78.07,78.01,78.04,34525,20220518
78.04,78.045,77.91,77.95,73358,20220518
77.94,77.94,77.83,77.87,24965,20220518
77.87,77.93,77.815,77.895,47452,20220518
77.89,77.93,77.86,77.92,39090,20220518
77.91,77.925,77.885,77.915,32346,20220518
77.91,77.9225,77.855,77.855,29390,20220518
77.86,77.91,77.82,77.8729,20310,20220518
77.87,77.9,77.8175,77.9,14166,20220518
77.925,77.955,77.89,77.94,22727,20220518
77.94,77.95,77.91,77.95,22711,20220518
77.9489,77.99,77.92,77.99,59819,20220518
77.98,78.01,77.95,78.0,14223,20220518
78.0,78.11,78.0,78.02,201742,20220518
78.02,78.025,77.955,78.005,20983,20220518
78.01,78.065,77.995,78.0436,27677,20220518
78.04,78.045,78.005,78.04,22871,20220518
78.03,78.0501,78.005,78.02,20018,20220518
78.02,78.055,78.01,78.035,26131,20220518
78.04,78.05,77.99,78.0,18221,20220518
78.0,78.02,77.985,78.0,18079,20220518
78.005,78.02,77.99,78.0,15553,20220518
78.0,78.005,77.965,77.99,39710,20220518
77.995,78.015,77.965,77.995,17466,20220518
78.0,78.01,77.97,78.0,14530,20220518
78.005,78.03,77.98,78.03,40041,20220518
78.035,78.045,78.0,78.0157,28981,20220518
78.02,78.055,78.01,78.055,47035,20220518
78.05,78.055,77.995,78.015,42358,20220518
78.015,78.015,77.9615,77.965,21991,20220518
77.965,77.99,77.87,77.875,30207,20220518
77.87,77.935,77.865,77.93,27029,20220518
77.925,77.945,77.92,77.94,9874,20220518
77.945,77.945,77.891,77.945,10173,20220518
77.94,77.965,77.915,77.955,73339,20220518
77.955,78.0,77.93,77.97,25937,20220518
77.965,77.98,77.94,77.94,13264,20220518
77.945,77.97,77.93,77.935,9916,20220518
77.935,77.965,77.935,77.955,56730,20220518
77.95,77.95,77.91,77.91,21152,20220518
77.92,77.94,77.9035,77.91,39983,20220518
77.915,77.9199,77.87,77.895,28127,20220518
77.895,77.925,77.885,77.9,78024,20220518
77.9,77.92,77.88,77.885,56023,20220518
77.895,77.895,77.76,77.795,18745,20220518
77.795,77.805,77.73,77.75,33078,20220518
77.75,77.76,77.73,77.74,23046,20220518
77.77,77.78,77.74,77.74,10518,20220518
77.745,77.755,77.67,77.705,24630,20220518
77.71,77.71,77.62,77.63,25018,20220518
77.64,77.69,77.63,77.67,24977,20220518
77.68,77.7,77.6537,77.6537,18822,20220518
77.66,77.74,77.6501,77.74,15814,20220518
77.73,77.79,77.73,77.755,40586,20220518
77.755,77.76,77.735,77.755,16385,20220518
77.76,77.8,77.75,77.795,20753,20220518
77.795,77.805,77.78,77.78,13508,20220518
77.775,77.785,77.745,77.75,15221,20220518
77.75,77.7561,77.72,77.74,30163,20220518
77.735,77.745,77.7,77.7,17898,20220518
77.705,77.715,77.63,77.63,15814,20220518
77.62,77.63,77.57,77.625,25926,20220518
77.62,77.63,77.585,77.63,16675,20220518
77.63,77.63,77.58,77.585,26016,20220518
77.57,77.58,77.47,77.485,36049,20220518
77.495,77.53,77.495,77.526,27023,20220518
77.525,77.53,77.52,77.53,8446,20220518
77.53,77.53,77.53,77.53,7270,20220518
77.53,77.53,77.52,77.53,6957,20220518
77.5242,77.54,77.52,77.53,17021,20220518
77.53,77.5513,77.525,77.54,42831,20220518
77.54,77.575,77.51,77.535,28860,20220518
77.535,77.585,77.535,77.545,19877,20220518
77.55,77.68,77.55,77.68,18536,20220518
77.69,77.7,77.645,77.67,16427,20220518
77.66,77.66,77.64,77.645,9992,20220518
77.64,77.675,77.635,77.64,14005,20220518
77.635,77.64,77.62,77.63,14719,20220518
77.62,77.63,77.61,77.6229,6736,20220518
77.625,77.675,77.615,77.64,20122,20220518
77.63,77.65,77.62,77.65,7954,20220518
77.6454,77.65,77.6,77.605,14987,20220518
77.61,77.72,77.59,77.715,55115,20220518
77.72,77.73,77.665,77.69,50130,20220518
77.685,77.685,77.6,77.6036,16470,20220518
77.585,77.65,77.545,77.64,16309,20220518
77.635,77.64,77.58,77.615,13157,20220518
77.62,77.64,77.585,77.595,11865,20220518
77.595,77.67,77.59,77.665,20106,20220518
77.6602,77.73,77.6602,77.69,32519,20220518
77.69,77.71,77.68,77.695,9042,20220518
77.695,77.71,77.67,77.7,12103,20220518
77.71,77.77,77.71,77.77,22944,20220518
77.76,77.76,77.725,77.74,10491,20220518
77.74,77.76,77.72,77.73,30371,20220518
77.75,77.79,77.74,77.755,14113,20220518
77.75,77.77,77.735,77.753,41476,20220518
77.75,77.78,77.73,77.77,43538,20220518
77.77,77.8,77.755,77.775,18943,20220518
77.77,77.775,77.73,77.73,50597,20220518
77.73,77.76,77.72,77.72,27579,20220518
77.72,77.72,77.67,77.705,19029,20220518
77.71,77.71,77.68,77.68,14092,20220518
77.685,77.705,77.685,77.7,9092,20220518
77.71,77.735,77.7,77.73,17566,20220518
77.73,77.74,77.68,77.69,31379,20220518
77.685,77.69,77.665,77.665,15230,20220518
77.665,77.7,77.645,77.645,20394,20220518
77.645,77.685,77.645,77.67,15684,20220518
77.675,77.71,77.655,77.695,12382,20220518
77.6901,77.705,77.66,77.66,25329,20220518
77.665,77.71,77.665,77.705,18814,20220518
77.71,77.74,77.7,77.705,16505,20220518
77.7,77.7199,77.695,77.7,15736,20220518
77.7,77.75,77.695,77.75,11744,20220518
77.745,77.8257,77.745,77.82,23128,20220518
77.825,77.84,77.8028,77.8033,10194,20220518
77.805,77.85,77.78,77.815,23628,20220518
77.815,77.84,77.78,77.78,16120,20220518
77.775,77.775,77.715,77.721,16406,20220518
77.72,77.81,77.72,77.795,20801,20220518
77.79,77.84,77.78,77.83,13109,20220518
77.83,77.86,77.8172,77.835,16909,20220518
77.835,77.84,77.73,77.76,40824,20220518
77.75,77.78,77.72,77.7503,20971,20220518
77.7521,77.8,77.75,77.8,14299,20220518
77.8,77.81,77.7903,77.795,13864,20220518
77.8,77.855,77.78,77.825,19338,20220518
77.825,77.87,77.81,77.8635,12402,20220518
77.86,77.929,77.86,77.929,7580,20220518
77.93,77.95,77.92,77.925,23718,20220518
77.925,77.95,77.91,77.925,16327,20220518
77.92,77.9225,77.8903,77.895,12001,20220518
77.895,77.9,77.87,77.87,20724,20220518
77.865,77.89,77.83,77.845,36847,20220518
77.84,77.88,77.81,77.8104,70397,20220518
77.815,77.875,77.815,77.87,12241,20220518
77.87,77.88,77.83,77.845,13154,20220518
77.85,77.8864,77.85,77.86,13586,20220518
77.87,77.8952,77.865,77.865,9565,20220518
77.865,77.88,77.85,77.875,9852,20220518
77.875,77.9,77.86,77.89,16037,20220518
77.885,77.96,77.87,77.945,16574,20220518
77.95,77.96,77.94,77.955,17466,20220518
77.96,77.96,77.93,77.935,23047,20220518
77.935,77.945,77.91,77.9326,16857,20220518
77.9301,77.98,77.9301,77.98,18902,20220518
77.9747,78.0,77.9648,77.98,10602,20220518
77.98,78.03,77.98,78.03,28931,20220518
78.03,78.035,77.985,78.01,19766,20220518
78.01,78.02,77.85,78.0,33900,20220518
78.0086,78.01,77.975,77.985,18291,20220518
77.985,77.985,77.93,77.93,16366,20220518
77.935,77.975,77.935,77.96,11465,20220518
77.955,77.97,77.94,77.965,8933,20220518
77.97,77.97,77.95,77.955,11084,20220518
77.9541,77.97,77.9541,77.97,6909,20220518
77.98,77.99,77.955,77.96,18719,20220518
77.96,77.96,77.91,77.91,8259,20220518
77.9,77.934,77.885,77.91,15831,20220518
77.9165,77.94,77.91,77.93,9605,20220518
77.93,77.93,77.9,77.92,22777,20220518
77.91,77.925,77.905,77.925,62625,20220518
77.925,77.94,77.915,77.93,34336,20220518
77.935,77.955,77.935,77.945,51276,20220518
77.94,77.94,77.9,77.9,14339,20220518
77.91,77.9157,77.88,77.88,21138,20220518
77.8718,77.8718,77.785,77.8,34402,20220518
77.795,77.8,77.775,77.795,12467,20220518
77.795,77.84,77.795,77.815,13420,20220518
77.81,77.82,77.79,77.81,9473,20220518
77.81,77.87,77.81,77.86,4803,20220518
77.865,77.865,77.84,77.86,8346,20220518
77.85,77.855,77.82,77.83,11621,20220518
77.82,77.82,77.725,77.725,14597,20220518
77.72,77.72,77.675,77.68,23693,20220518
77.68,77.68,77.66,77.66,9007,20220518
77.64,77.64,77.61,77.63,16635,20220518
77.625,77.67,77.625,77.65,14299,20220518
77.655,77.655,77.575,77.585,20428,20220518
77.585,77.62,77.54,77.54,15896,20220518
77.545,77.55,77.4802,77.5,16974,20220518
77.49,77.51,77.49,77.495,17631,20220518
77.49,77.5,77.45,77.47,24814,20220518
77.465,77.51,77.465,77.495,17054,20220518
77.5,77.535,77.5,77.5025,9949,20220518
77.5,77.5,77.475,77.49,18496,20220518
77.485,77.49,77.455,77.47,10214,20220518
77.465,77.5,77.465,77.48,11869,20220518
77.49,77.5,77.47,77.495,9414,20220518
77.495,77.5,77.4201,77.4201,34244,20220518
77.42,77.4452,77.42,77.445,9347,20220518
77.445,77.46,77.425,77.43,11542,20220518
77.43,77.44,77.4,77.405,12540,20220518
77.41,77.45,77.405,77.435,12434,20220518
77.43,77.44,77.405,77.42,15130,20220518
77.405,77.455,77.4,77.45,20720,20220518
77.44,77.45,77.42,77.42,8882,20220518
77.42,77.42,77.36,77.3616,12639,20220518
77.37,77.415,77.37,77.3952,18712,20220518
77.39,77.395,77.31,77.32,33599,20220518
77.315,77.35,77.315,77.35,13831,20220518
77.35,77.39,77.35,77.37,19256,20220518
77.375,77.3948,77.36,77.3922,13147,20220518
77.39,77.41,77.36,77.41,31200,20220518
77.405,77.42,77.4,77.405,17419,20220518
77.405,77.405,77.28,77.285,23585,20220518
77.285,77.305,77.275,77.285,15669,20220518
77.285,77.35,77.285,77.34,17269,20220518
77.34,77.385,77.32,77.355,24497,20220518
77.36,77.39,77.355,77.385,16171,20220518
77.385,77.415,77.325,77.33,18015,20220518
77.32,77.34,77.305,77.34,15937,20220518
77.3399,77.355,77.32,77.355,14829,20220518
77.355,77.355,77.325,77.33,11758,20220518
77.34,77.34,77.305,77.31,16636,20220518
77.31,77.31,77.245,77.245,11542,20220518
77.24,77.29,77.24,77.29,15854,20220518
77.28,77.34,77.27,77.325,15923,20220518
77.33,77.365,77.31,77.31,14398,20220518
77.32,77.32,77.285,77.285,12317,20220518
77.29,77.31,77.2804,77.2804,4262,20220518
77.29,77.29,77.26,77.26,11352,20220518
77.26,77.26,77.2,77.21,8850,20220518
77.21,77.23,77.155,77.16,14590,20220518
77.155,77.185,77.15,77.16,20170,20220518
77.155,77.17,77.14,77.15,8886,20220518
77.15,77.1555,77.125,77.145,16479,20220518
77.155,77.205,77.145,77.2,11678,20220518
77.19,77.2,77.16,77.175,13606,20220518
77.175,77.24,77.175,77.23,15521,20220518
77.23,77.2701,77.215,77.27,20155,20220518
77.2667,77.27,77.225,77.24,13095,20220518
77.24,77.24,77.18,77.2,12531,20220518
77.21,77.265,77.2,77.25,21435,20220518
77.25,77.25,77.195,77.21,15965,20220518
77.215,77.26,77.205,77.22,147137,20220518
77.22,77.26,77.215,77.26,150016,20220518
77.26,77.295,77.26,77.265,16570,20220518
77.26,77.29,77.2501,77.265,15344,20220518
77.26,77.28,77.24,77.25,15779,20220518
77.25,77.26,77.23,77.24,17865,20220518
77.25,77.25,77.18,77.19,67123,20220518
77.185,77.205,77.185,77.205,26807,20220518
77.2,77.22,77.14,77.17,25293,20220518
77.1675,77.19,77.16,77.18,25252,20220518
77.18,77.2,77.17,77.193,23333,20220518
77.2,77.235,77.195,77.2,21002,20220518
77.19,77.195,77.135,77.135,12424,20220518
77.135,77.14,77.04,77.075,25578,20220518
77.07,77.205,77.07,77.185,37960,20220518
77.185,77.235,77.175,77.2317,19095,20220518
77.24,77.305,77.24,77.27,19020,20220518
77.27,77.27,77.26,77.26,5488,20220518
77.26,77.26,77.18,77.19,24142,20220518
77.18,77.21,77.165,77.2076,15051,20220518
77.205,77.23,77.175,77.19,16886,20220518
77.195,77.26,77.16,77.24,55537,20220518
77.24,77.26,77.22,77.24,13918,20220518
77.25,77.3,77.25,77.295,38568,20220518
77.295,77.335,77.28,77.31,16865,20220518
77.31,77.335,77.295,77.325,15756,20220518
77.325,77.35,77.32,77.325,12133,20220518
77.32,77.34,77.32,77.335,10491,20220518
77.33,77.335,77.27,77.285,21545,20220518
77.28,77.28,77.21,77.23,26422,20220518
77.235,77.25,77.175,77.19,15968,20220518
77.19,77.225,77.17,77.19,24466,20220518
77.19,77.2034,77.165,77.19,21295,20220518
77.195,77.195,77.145,77.15,16601,20220518
77.16,77.16,77.12,77.15,15066,20220518
77.15,77.16,77.11,77.11,23411,20220518
77.11,77.145,77.11,77.14,20148,20220518
77.14,77.17,77.13,77.155,16528,20220518
77.16,77.2,77.16,77.18,24777,20220518
77.18,77.185,77.14,77.15,14231,20220518
77.16,77.16,77.1,77.1,18429,20220518
77.105,77.1067,77.07,77.105,16832,20220518
77.11,77.135,77.09,77.12,23290,20220518
77.1168,77.13,77.08,77.12,17283,20220518
77.11,77.1455,77.105,77.1364,12836,20220518
77.13,77.16,77.1,77.13,24433,20220518
77.12,77.1217,77.07,77.1179,28378,20220518
77.115,77.15,77.115,77.135,28085,20220518
77.13,77.175,77.13,77.145,20956,20220518
77.14,77.18,77.14,77.18,18155,20220518
77.18,77.18,77.13,77.14,16787,20220518
77.13,77.145,77.12,77.145,10270,20220518
77.14,77.14,77.06,77.08,15000,20220518
77.08,77.135,77.07,77.12,16207,20220518
77.13,77.145,77.11,77.1246,15044,20220518
77.12,77.13,77.0933,77.12,15939,20220518
77.12,77.125,77.09,77.095,10560,20220518
77.095,77.095,77.06,77.065,20908,20220518
77.07,77.0914,77.05,77.065,23480,20220519
77.06,77.085,77.035,77.06,19952,20220519
77.06,77.07,77.035,77.045,36352,20220519
77.045,77.055,77.03,77.03,14952,20220519
77.035,77.05,77.03,77.045,9152,20220519
77.045,77.095,77.04,77.095,15957,20220519
77.09,77.12,77.07,77.11,29342,20220519
77.115,77.12,77.1,77.1,27837,20220519
77.095,77.095,77.05,77.075,16983,20220519
77.08,77.085,77.0627,77.065,21426,20220519
77.065,77.12,77.065,77.12,15203,20220519
77.115,77.15,77.11,77.125,26264,20220519
77.12,77.135,77.09,77.13,27448,20220519
77.125,77.135,77.0834,77.1,14293,20220519
77.1,77.11,77.07,77.09,15908,20220519
77.075,77.11,77.07,77.075,15190,20220519
77.085,77.15,77.08,77.145,14731,20220519
77.14,77.145,77.115,77.13,19591,20220519
77.12,77.13,77.095,77.095,15561,20220519
77.09,77.13,77.085,77.12,17717,20220519
77.12,77.16,77.12,77.13,33022,20220519
77.125,77.125,77.065,77.085,31262,20220519
77.08,77.0801,77.01,77.065,25574,20220519
77.065,77.075,77.03,77.03,13211,20220519
77.03,77.03,76.99,77.02,27682,20220519
77.02,77.04,76.99,76.995,18684,20220519
76.99,77.02,76.9465,76.96,29953,20220519
76.96,76.975,76.93,76.96,19491,20220519
76.95,76.955,76.89,76.925,21397,20220519
76.93,76.945,76.9,76.94,14316,20220519
76.945,76.96,76.9,76.9,28366,20220519
76.905,76.94,76.9,76.93,19206,20220519
76.92,76.92,76.89,76.89,14773,20220519
76.89,76.91,76.88,76.895,26478,20220519
76.9,76.92,76.885,76.885,20172,20220519
76.89,76.89,76.86,76.89,32570,20220519
76.885,76.895,76.8617,76.885,57968,20220519
76.89,76.99,76.885,76.99,91777,20220519
77.0,77.03,76.97,77.02,52109,20220519
77.015,77.07,77.015,77.02,32771,20220519
77.015,77.045,77.015,77.03,23255,20220519
77.03,77.03,77.0,77.02,23888,20220519
77.02,77.035,76.955,76.96,36994,20220519
76.96,76.96,76.87,76.885,39942,20220519
76.88,76.92,76.87,76.91,50202,20220519
76.91,76.925,76.865,76.865,49663,20220519
76.865,76.88,76.85,76.875,28128,20220519
76.88,76.94,76.875,76.905,48145,20220519
76.9,76.91,76.84,76.865,42991,20220519
76.87,76.89,76.85,76.89,32025,20220519
76.885,76.99,76.85,76.94,105342,20220519
76.95,76.96,76.9,76.905,40417,20220519
76.91,76.95,76.91,76.95,31158,20220519
76.95,76.95,76.9,76.93,53855,20220519
76.93,76.95,76.89,76.895,90193,20220519
76.89,76.9885,76.88,76.975,93325,20220519
76.98,76.985,76.89,76.935,108652,20220519
76.935,77.01,76.935,76.97,134782,20220519
76.98,77.01,76.955,76.9943,183625,20220519
76.99,77.04,76.9,77.03,257107,20220519
76.09,76.28,75.84,76.19,245675,20220519
76.19,76.51,76.17,76.43,42426,20220519
76.46,76.59,76.42,76.43,33121,20220519
76.41,76.61,76.39,76.595,21090,20220519
76.58,76.675,76.515,76.6,29548,20220519
76.57,76.63,76.4,76.41,58610,20220519
76.42,76.68,76.35,76.67,40605,20220519
76.66,76.7,76.57,76.69,19552,20220519
76.69,76.79,76.67,76.67,22697,20220519
76.66,76.69,76.53,76.625,22817,20220519
76.61,76.74,76.61,76.645,42981,20220519
76.641,76.69,76.55,76.55,35475,20220519
76.55,76.68,76.5204,76.655,28643,20220519
76.65,76.67,76.58,76.605,23020,20220519
76.6,76.62,76.55,76.59,23097,20220519
76.605,76.63,76.46,76.47,24918,20220519
76.46,76.57,76.41,76.5577,29921,20220519
76.57,76.61,76.45,76.49,22444,20220519
76.49,76.525,76.45,76.51,42729,20220519
76.51,76.53,76.42,76.48,29130,20220519
76.48,76.48,76.265,76.27,25813,20220519
76.26,76.33,76.21,76.2527,45728,20220519
76.25,76.3,76.16,76.2,74979,20220519
76.18,76.21,76.09,76.1509,37839,20220519
76.16,76.18,76.08,76.12,75041,20220519
76.125,76.125,75.935,75.94,55549,20220519
75.95,76.02,75.87,75.9,71458,20220519
75.9155,76.03,75.9155,75.935,54854,20220519
75.93,75.94,75.86,75.9,44202,20220519
75.92,76.01,75.89,75.99,33321,20220519
75.97,76.08,75.94,76.02,60304,20220519
76.03,76.06,75.94,76.06,44281,20220519
76.07,76.17,76.06,76.07,27941,20220519
