open,high,low,close,volume,datetime
40.85,41.015,40.77,41.015,103037,20220518
40.95,40.95,40.84,40.87,9953,20220518
40.86,40.86,40.73,40.73,6666,20220518
40.75,40.86,40.75,40.86,9747,20220518
40.86,40.86,40.8,40.84,5580,20220518
40.86,40.885,40.78,40.85,25515,20220518
40.83,40.9,40.79,40.82,6976,20220518
40.83,40.87,40.8,40.81,4742,20220518
40.81,40.81,40.755,40.79,3615,20220518
40.78,40.78,40.64,40.6797,16476,20220518
40.66,40.68,40.6,40.615,11284,20220518
40.62,40.64,40.58,40.58,3648,20220518
40.57,40.59,40.55,40.565,5540,20220518
40.56,40.625,40.56,40.625,7679,20220518
40.62,40.63,40.56,40.59,12723,20220518
40.58,40.67,40.57,40.67,10197,20220518
40.68,40.68,40.59,40.61,5754,20220518
40.62,40.63,40.565,40.6,7847,20220518
40.59,40.6,40.565,40.57,8125,20220518
40.58,40.58,40.53,40.56,7101,20220518
40.565,40.57,40.45,40.45,18887,20220518
40.445,40.515,40.435,40.495,19095,20220518
40.5,40.515,40.47,40.515,29617,20220518
40.515,40.53,40.475,40.485,9762,20220518
40.48,40.48,40.4,40.41,13964,20220518
40.405,40.405,40.32,40.32,14576,20220518
40.31,40.31,40.27,40.285,20588,20220518
40.27,40.28,40.255,40.275,21636,20220518
40.27,40.275,40.235,40.24,56220,20220518
40.235,40.36,40.225,40.36,19231,20220518
40.35,40.36,40.29,40.315,16338,20220518
40.305,40.43,40.295,40.4056,15311,20220518
40.405,40.41,40.365,40.405,9741,20220518
40.405,40.425,40.38,40.405,22340,20220518
40.405,40.405,40.31,40.31,13112,20220518
40.305,40.34,40.305,40.335,8193,20220518
40.34,40.35,40.29,40.31,8170,20220518
40.3,40.38,40.2808,40.35,55783,20220518
40.34,40.34,40.28,40.3,9689,20220518
40.31,40.32,40.29,40.3,7542,20220518
40.3,40.41,40.285,40.41,21428,20220518
40.405,40.43,40.4,40.425,18001,20220518
40.42,40.43,40.405,40.405,9345,20220518
40.4,40.47,40.4,40.47,12324,20220518
40.47,40.51,40.47,40.505,10921,20220518
40.505,40.55,40.5,40.5465,12861,20220518
40.55,40.565,40.51,40.51,7438,20220518
40.51,40.53,40.5,40.525,5292,20220518
40.525,40.59,40.525,40.58,5579,20220518
40.575,40.59,40.54,40.56,8128,20220518
40.55,40.58,40.55,40.56,7134,20220518
40.57,40.605,40.57,40.57,6052,20220518
40.56,40.61,40.44,40.605,24058,20220518
40.6,40.605,40.555,40.56,12316,20220518
40.55,40.6,40.545,40.595,15977,20220518
40.59,40.595,40.56,40.565,6401,20220518
40.57,40.615,40.565,40.61,13505,20220518
40.6,40.6,40.575,40.575,12389,20220518
40.58,40.58,40.54,40.555,6830,20220518
40.55,40.57,40.5228,40.53,13607,20220518
40.52,40.555,40.5,40.55,19713,20220518
40.55,40.5571,40.535,40.5463,10076,20220518
40.545,40.55,40.53,40.54,7331,20220518
40.54,40.555,40.52,40.555,11201,20220518
40.555,40.56,40.535,40.54,3727,20220518
40.535,40.545,40.49,40.495,7829,20220518
40.495,40.53,40.495,40.515,18027,20220518
40.515,40.55,40.515,40.54,38084,20220518
40.55,40.57,40.54,40.56,8545,20220518
40.55,40.575,40.545,40.565,4736,20220518
40.555,40.555,40.53,40.54,5630,20220518
40.535,40.585,40.535,40.585,5660,20220518
40.58,40.64,40.57,40.63,15820,20220518
40.64,40.655,40.615,40.615,2313,20220518
40.61,40.62,40.6,40.6,3500,20220518
40.6,40.605,40.5675,40.58,4760,20220518
40.58,40.63,40.58,40.63,15520,20220518
40.625,40.625,40.58,40.58,8875,20220518
40.57,40.63,40.565,40.61,3625,20220518
40.605,40.605,40.58,40.58,1200,20220518
40.59,40.6,40.59,40.6,2891,20220518
40.59,40.635,40.59,40.635,12607,20220518
40.64,40.68,40.64,40.68,16962,20220518
40.69,40.71,40.685,40.705,11229,20220518
40.7,40.705,40.68,40.7,11681,20220518
40.697,40.71,40.685,40.69,7235,20220518
40.69,40.715,40.69,40.705,6721,20220518
40.71,40.735,40.71,40.715,4309,20220518
40.71,40.72,40.69,40.71,7612,20220518
40.71,40.71,40.685,40.69,2378,20220518
40.68,40.68,40.66,40.68,5613,20220518
40.69,40.69,40.675,40.68,14267,20220518
40.68,40.71,40.68,40.7,14442,20220518
40.7,40.72,40.69,40.72,105636,20220518
40.72,40.73,40.69,40.73,17255,20220518
40.735,40.735,40.73,40.73,1000,20220518
40.73,40.73,40.67,40.67,13879,20220518
40.675,40.69,40.655,40.69,7430,20220518
40.69,40.71,40.69,40.695,19142,20220518
40.69,40.72,40.685,40.705,31429,20220518
40.695,40.71,40.66,40.665,17498,20220518
40.67,40.689,40.67,40.689,3047,20220518
40.689,40.69,40.68,40.685,1642,20220518
40.69,40.69,40.68,40.689,3605,20220518
40.685,40.689,40.68,40.689,4431,20220518
40.689,40.689,40.68,40.68,4504,20220518
40.68,40.685,40.63,40.635,13717,20220518
40.63,40.65,40.63,40.65,14304,20220518
40.65,40.655,40.645,40.655,7914,20220518
40.66,40.68,40.65,40.66,16551,20220518
40.665,40.665,40.64,40.665,14207,20220518
40.66,40.66,40.645,40.645,10690,20220518
40.64,40.65,40.64,40.645,7405,20220518
40.645,40.655,40.625,40.655,17080,20220518
40.65,40.665,40.65,40.66,3648,20220518
40.665,40.705,40.65,40.7,23512,20220518
40.7,40.7,40.67,40.695,6150,20220518
40.695,40.695,40.675,40.685,8544,20220518
40.685,40.69,40.675,40.685,22160,20220518
40.68,40.69,40.659,40.68,33510,20220518
40.68,40.69,40.65,40.65,23937,20220518
40.65,40.69,40.64,40.675,131779,20220518
40.67,40.675,40.6,40.63,8370,20220518
40.64,40.67,40.63,40.63,14356,20220518
40.61,40.65,40.58,40.64,9695,20220518
40.64,40.665,40.62,40.665,11725,20220518
40.66,40.67,40.65,40.67,10518,20220518
40.67,40.72,40.66,40.72,4532,20220518
40.73,40.77,40.71,40.765,13515,20220518
40.775,40.805,40.775,40.805,11606,20220518
40.8,40.83,40.8,40.83,23897,20220518
40.83,40.87,40.83,40.86,1868,20220518
40.85,40.88,40.85,40.88,10352,20220518
40.88,40.89,40.85,40.855,15046,20220518
40.85,40.875,40.85,40.875,3197,20220518
40.875,40.92,40.87,40.88,39583,20220518
40.87,40.875,40.855,40.865,4983,20220518
40.86,40.88,40.84,40.845,26425,20220518
40.84,40.84,40.8,40.8,81271,20220518
40.79,40.815,40.785,40.8,12188,20220518
40.8,40.85,40.78,40.8494,6392,20220518
40.85,40.85,40.83,40.835,18410,20220518
40.84,40.84,40.82,40.82,7936,20220518
40.82,40.825,40.785,40.79,8217,20220518
40.78,40.85,40.78,40.815,58120,20220518
40.8,40.81,40.755,40.77,63546,20220518
40.77,40.79,40.745,40.79,28041,20220518
40.78,40.79,40.74,40.77,78974,20220518
40.775,40.83,40.775,40.815,29324,20220518
40.81,40.85,40.81,40.84,23670,20220518
40.825,40.83,40.77,40.81,19176,20220518
40.805,40.81,40.75,40.76,24599,20220518
40.75,40.75,40.735,40.74,15469,20220518
40.74,40.75,40.725,40.74,7737,20220518
40.74,40.76,40.735,40.75,21284,20220518
40.75,40.755,40.73,40.735,20508,20220518
40.73,40.76,40.73,40.75,19047,20220518
40.74,40.765,40.74,40.75,19869,20220518
40.74,40.75,40.735,40.75,4948,20220518
40.75,40.78,40.74,40.78,9658,20220518
40.77,40.775,40.74,40.74,18573,20220518
40.745,40.78,40.73,40.77,13662,20220518
40.77,40.795,40.76,40.795,17716,20220518
40.8,40.8181,40.785,40.8,12791,20220518
40.8,40.835,40.8,40.83,8410,20220518
40.825,40.87,40.825,40.87,19072,20220518
40.86,40.895,40.86,40.875,20162,20220518
40.89,40.9299,40.89,40.9299,5758,20220518
40.92,40.935,40.92,40.935,8907,20220518
40.93,40.935,40.92,40.93,13415,20220518
40.93,40.97,40.93,40.96,21407,20220518
40.95,40.97,40.94,40.94,11637,20220518
40.96,40.965,40.93,40.96,32588,20220518
40.94,40.96,40.895,40.91,68957,20220518
40.92,40.93,40.9,40.9,12630,20220518
40.9,40.93,40.89,40.905,15602,20220518
40.9,40.925,40.89,40.925,7901,20220518
40.93,40.95,40.92,40.92,22208,20220518
40.92,40.969,40.92,40.96,45784,20220518
40.969,40.99,40.95,40.975,18774,20220518
40.98,40.99,40.975,40.99,16993,20220518
40.985,41.02,40.985,41.015,43764,20220518
41.015,41.02,41.0,41.005,6964,20220518
40.995,41.015,40.99,41.015,16159,20220518
41.01,41.02,40.995,41.0125,13632,20220518
41.01,41.04,40.995,41.04,11154,20220518
41.03,41.059,41.03,41.059,5508,20220518
41.059,41.079,41.059,41.079,12814,20220518
41.079,41.079,41.05,41.055,24864,20220518
41.05,41.11,41.045,41.11,15663,20220518
41.1,41.11,41.08,41.09,11416,20220518
41.089,41.09,41.06,41.06,27592,20220518
41.069,41.069,41.03,41.069,26991,20220518
41.065,41.099,41.065,41.09,62664,20220518
41.089,41.1,41.08,41.085,31582,20220518
41.085,41.085,41.05,41.06,18870,20220518
41.06,41.08,41.05,41.07,10320,20220518
41.07,41.08,41.05,41.08,4328,20220518
41.085,41.085,41.06,41.07,18901,20220518
41.08,41.095,41.075,41.095,4176,20220518
41.095,41.115,41.095,41.115,17742,20220518
41.1,41.115,41.0945,41.0945,10398,20220518
41.1,41.11,41.095,41.1,2200,20220518
41.09,41.11,41.08,41.09,12737,20220518
41.09,41.105,41.08,41.105,7931,20220518
41.11,41.12,41.105,41.115,5816,20220518
41.11,41.11,41.04,41.045,12649,20220518
41.04,41.05,41.03,41.045,6417,20220518
41.045,41.065,41.04,41.065,2972,20220518
41.06,41.06,41.04,41.04,14304,20220518
41.03,41.035,41.01,41.02,21360,20220518
41.01,41.025,41.0,41.003,10183,20220518
41.005,41.005,40.99,41.0,4204,20220518
41.005,41.01,40.975,40.98,15606,20220518
40.98,40.985,40.95,40.95,5947,20220518
40.93,40.93,40.89,40.895,7666,20220518
40.895,40.9198,40.87,40.8775,7619,20220518
40.87,40.91,40.86,40.885,80441,20220518
40.885,40.895,40.88,40.89,13205,20220518
40.88,40.88,40.8575,40.88,9491,20220518
40.88,40.92,40.88,40.9,11199,20220518
40.895,40.905,40.8701,40.8799,11573,20220518
40.87,40.895,40.87,40.87,13375,20220518
40.87,40.875,40.86,40.875,4521,20220518
40.87,40.91,40.87,40.905,10079,20220518
40.9,40.905,40.89,40.9,8085,20220518
40.89,40.89,40.85,40.85,5914,20220518
40.845,40.85,40.82,40.825,5625,20220518
40.83,40.84,40.812,40.82,6852,20220518
40.815,40.835,40.8038,40.82,10079,20220518
40.83,40.89,40.83,40.88,13987,20220518
40.88,40.925,40.88,40.915,12111,20220518
40.91,40.9699,40.9,40.9697,52322,20220518
40.96,41.02,40.96,41.0,39165,20220518
40.98,41.03,40.97,41.0,35407,20220518
40.99,41.05,40.99,41.005,108594,20220518
41.005,41.015,40.99,41.0,16211,20220518
41.0,41.085,40.995,41.07,19018,20220518
41.065,41.11,41.06,41.09,73526,20220518
41.09,41.09,41.07,41.08,11121,20220518
41.07,41.07,41.035,41.045,18294,20220518
41.05,41.075,41.05,41.07,4556,20220518
41.06,41.065,41.02,41.02,8170,20220518
41.015,41.02,41.01,41.02,5497,20220518
41.02,41.04,41.015,41.04,6834,20220518
41.04,41.085,41.04,41.065,9029,20220518
41.06,41.065,41.03,41.035,13379,20220518
41.04,41.06,41.04,41.055,5823,20220518
41.055,41.055,41.035,41.045,5028,20220518
41.04,41.055,41.03,41.055,9066,20220518
41.055,41.055,41.02,41.025,7942,20220518
41.025,41.035,40.99,40.995,5975,20220518
40.995,41.025,40.995,41.02,9056,20220518
41.01,41.025,40.995,41.0088,12430,20220518
41.0,41.0,40.99,40.995,9967,20220518
41.0,41.005,40.98,40.985,9302,20220518
40.98,41.0,40.975,40.975,41252,20220518
40.97,40.975,40.95,40.96,19416,20220518
40.955,40.955,40.93,40.94,20506,20220518
40.93,40.93,40.894,40.895,5161,20220518
40.895,40.91,40.88,40.88,33516,20220518
40.885,40.9,40.885,40.895,5348,20220518
40.895,40.91,40.895,40.895,11123,20220518
40.895,40.8956,40.88,40.895,4224,20220518
40.89,40.91,40.88,40.895,15913,20220518
40.89,40.91,40.89,40.9,63499,20220518
40.9,40.925,40.895,40.925,17554,20220518
40.925,40.96,40.915,40.96,10342,20220518
40.955,41.0,40.955,41.0,21821,20220518
41.0,41.005,40.985,41.0,29392,20220518
40.99,41.02,40.99,41.015,85131,20220518
41.0101,41.025,41.0,41.01,14447,20220518
41.015,41.015,40.995,40.9975,20096,20220518
41.0,41.0,40.96,41.0,60307,20220518
41.005,41.025,40.995,41.02,27480,20220518
41.02,41.03,41.01,41.02,16298,20220518
41.02,41.03,41.0,41.005,123232,20220518
41.0,41.01,40.98,40.995,12021,20220518
40.995,41.01,40.98,41.005,17299,20220518
41.005,41.02,40.995,41.015,7719,20220518
41.02,41.035,40.995,41.005,32836,20220518
40.995,41.015,40.985,40.985,3050,20220518
40.97,40.98,40.925,40.925,8238,20220518
40.925,40.945,40.89,40.895,5609,20220518
40.9,40.92,40.8943,40.9,9557,20220518
40.905,40.91,40.87,40.89,10289,20220518
40.895,40.965,40.895,40.95,7245,20220518
40.94,40.97,40.94,40.96,13862,20220518
40.97,41.005,40.95,40.95,10427,20220518
40.95,40.98,40.945,40.96,5000,20220518
40.955,40.98,40.93,40.93,5656,20220518
40.93,40.935,40.89,40.935,8491,20220518
40.935,40.96,40.92,40.92,5286,20220518
40.91,40.94,40.91,40.935,4344,20220518
40.92,40.92,40.9,40.9,3440,20220518
40.91,40.95,40.91,40.935,156866,20220518
40.92,40.955,40.92,40.945,17515,20220518
40.95,40.96,40.945,40.96,5369,20220518
40.96,40.9652,40.96,40.965,8729,20220518
40.965,40.97,40.955,40.965,15604,20220518
40.96,40.975,40.94,40.96,37037,20220518
40.96,40.96,40.88,40.885,6345,20220518
40.88,40.895,40.84,40.87,49087,20220518
40.865,40.87,40.795,40.795,33956,20220518
40.7818,40.7818,40.75,40.77,7648,20220518
40.76,40.76,40.73,40.73,5260,20220518
40.71,40.72,40.685,40.685,3092,20220518
40.68,40.7,40.675,40.69,8382,20220518
40.69,40.74,40.69,40.73,6795,20220518
40.71,40.735,40.7,40.71,12086,20220518
40.71,40.77,40.71,40.76,7655,20220518
40.76,40.76,40.71,40.715,5020,20220518
40.72,40.72,40.69,40.69,13992,20220518
40.685,40.705,40.65,40.65,32628,20220518
40.65,40.66,40.61,40.63,38773,20220518
40.62,40.64,40.6,40.62,13561,20220518
40.61,40.64,40.61,40.63,7573,20220518
40.62,40.62,40.55,40.55,19021,20220518
40.54,40.6,40.5,40.59,20237,20220518
40.59,40.62,40.56,40.57,12422,20220518
40.56,40.6,40.56,40.565,12430,20220518
40.55,40.59,40.55,40.575,16591,20220518
40.57,40.57,40.545,40.545,9955,20220518
40.54,40.56,40.53,40.56,11222,20220518
40.555,40.555,40.505,40.51,4819,20220518
40.51,40.555,40.51,40.545,10630,20220518
40.535,40.54,40.51,40.515,6348,20220518
40.52,40.525,40.5,40.515,11201,20220518
40.51,40.545,40.505,40.535,33596,20220518
40.535,40.555,40.52,40.55,19095,20220518
40.53,40.585,40.53,40.5701,38821,20220519
40.5799,40.5799,40.515,40.52,16522,20220519
40.515,40.53,40.485,40.495,9846,20220519
40.5,40.525,40.49,40.49,14120,20220519
40.48,40.495,40.475,40.495,21920,20220519
40.49,40.49,40.47,40.47,7862,20220519
40.46,40.48,40.445,40.4758,13351,20220519
40.475,40.5,40.47,40.49,12344,20220519
40.485,40.485,40.43,40.435,7269,20220519
40.435,40.445,40.4134,40.415,9405,20220519
40.41,40.47,40.4095,40.455,18988,20220519
40.455,40.46,40.44,40.455,11092,20220519
40.45,40.45,40.415,40.43,15523,20220519
40.43,40.435,40.39,40.395,15559,20220519
40.41,40.415,40.39,40.39,8174,20220519
40.4,40.43,40.395,40.41,13338,20220519
40.41,40.445,40.41,40.445,7063,20220519
40.44,40.44,40.39,40.39,7082,20220519
40.39,40.395,40.385,40.39,5668,20220519
40.385,40.405,40.375,40.395,13704,20220519
40.395,40.425,40.395,40.395,10819,20220519
40.39,40.39,40.34,40.365,21260,20220519
40.36,40.365,40.3,40.335,23963,20220519
40.335,40.335,40.315,40.315,4305,20220519
40.31,40.31,40.29,40.295,11680,20220519
40.295,40.305,40.26,40.26,8575,20220519
40.26,40.265,40.24,40.245,11456,20220519
40.245,40.26,40.225,40.255,14813,20220519
40.255,40.2655,40.24,40.265,12379,20220519
40.265,40.275,40.25,40.25,14782,20220519
40.25,40.29,40.245,40.245,24014,20220519
40.245,40.265,40.235,40.26,18201,20220519
40.255,40.26,40.22,40.22,17815,20220519
40.215,40.25,40.2,40.2,56759,20220519
40.21,40.23,40.19,40.195,18289,20220519
40.19,40.23,40.18,40.225,26661,20220519
40.225,40.255,40.225,40.255,22854,20220519
40.26,40.315,40.26,40.315,33162,20220519
40.315,40.33,40.28,40.3,23041,20220519
40.305,40.35,40.305,40.305,18500,20220519
40.305,40.34,40.305,40.335,36023,20220519
40.335,40.345,40.305,40.335,25063,20220519
40.335,40.345,40.28,40.285,38955,20220519
40.285,40.285,40.26,40.275,29069,20220519
40.275,40.335,40.275,40.3,39396,20220519
40.3,40.335,40.28,40.285,62538,20220519
40.285,40.285,40.25,40.25,54358,20220519
40.25,40.285,40.235,40.24,67806,20220519
40.23,40.255,40.185,40.2,45823,20220519
40.205,40.21,40.16,40.2,25208,20220519
40.18,40.29,40.17,40.27,64139,20220519
40.275,40.275,40.175,40.195,40412,20220519
40.195,40.225,40.175,40.195,47703,20220519
40.19,40.19,40.15,40.165,53121,20220519
40.165,40.19,40.12,40.155,82381,20220519
40.14,40.2,40.135,40.19,108989,20220519
40.18,40.18,40.12,40.14,109140,20220519
40.14,40.2,40.14,40.16,98708,20220519
40.165,40.21,40.15,40.205,102501,20220519
40.2,40.24,40.15,40.24,193519,20220519
39.73,39.79,39.67,39.77,57716,20220519
39.76,39.83,39.72,39.81,11328,20220519
39.81,39.9,39.8,39.89,21325,20220519
39.88,39.96,39.86,39.94,10220,20220519
39.95,40.03,39.94,39.995,22460,20220519
40.0,40.02,39.94,40.01,20891,20220519
40.02,40.12,39.9955,40.12,17534,20220519
40.12,40.25,40.09,40.23,54185,20220519
40.23,40.239,40.06,40.09,17596,20220519
