open,high,low,close,volume,datetime
23.02,23.28,23.02,23.276,107263,20220518
23.29,23.37,23.21,23.26,19727,20220518
23.28,23.28,23.18,23.2005,57879,20220518
23.19,23.21,22.9,22.925,54426,20220518
22.93,22.94,22.77,22.8,40165,20220518
22.82,22.87,22.5,22.6163,79137,20220518
22.59,22.7,22.53,22.62,5210,20220518
22.6,22.6294,22.55,22.6292,12318,20220518
22.58,22.615,22.44,22.505,37104,20220518
22.53,22.545,22.35,22.41,22774,20220518
22.375,22.5299,22.35,22.44,29603,20220518
22.44,22.455,22.38,22.4335,11260,20220518
22.42,22.59,22.42,22.55,4177,20220518
22.5101,22.58,22.5101,22.535,3625,20220518
22.535,22.59,22.5,22.54,4076,20220518
22.5,22.549,22.44,22.549,6573,20220518
22.52,22.53,22.42,22.46,11693,20220518
22.5,22.54,22.48,22.5261,6375,20220518
22.5399,22.5399,22.48,22.505,3833,20220518
22.505,22.56,22.48,22.56,3362,20220518
22.5581,22.64,22.53,22.575,4611,20220518
22.62,22.685,22.54,22.54,16993,20220518
22.53,22.58,22.51,22.58,4137,20220518
22.545,22.62,22.545,22.62,2000,20220518
22.5832,22.63,22.51,22.54,8264,20220518
22.56,22.58,22.5412,22.56,1655,20220518
22.58,22.66,22.47,22.47,16667,20220518
22.51,22.51,22.41,22.4303,10400,20220518
22.38,22.44,22.38,22.44,5675,20220518
22.4198,22.46,22.3701,22.395,6402,20220518
22.37,22.4,22.32,22.37,8115,20220518
22.39,22.4,22.27,22.29,25481,20220518
22.3004,22.36,22.29,22.3358,8793,20220518
22.36,22.485,22.34,22.485,3461,20220518
22.495,22.55,22.44,22.53,16469,20220518
22.57,22.64,22.54,22.57,7415,20220518
22.595,22.65,22.595,22.6399,9929,20220518
22.65,22.65,22.46,22.54,17510,20220518
22.579,22.59,22.51,22.53,6845,20220518
22.55,22.5584,22.46,22.54,11121,20220518
22.5,22.53,22.445,22.445,9705,20220518
22.44,22.44,22.31,22.31,6674,20220518
22.3499,22.36,22.31,22.31,13033,20220518
22.33,22.43,22.33,22.41,10141,20220518
22.395,22.44,22.37,22.42,3620,20220518
22.41,22.43,22.35,22.37,18094,20220518
22.355,22.3697,22.26,22.3375,26016,20220518
22.37,22.485,22.37,22.4599,24771,20220518
22.44,22.4766,22.42,22.42,2684,20220518
22.44,22.46,22.44,22.4401,1351,20220518
22.44,22.54,22.44,22.515,8682,20220518
22.53,22.57,22.51,22.5519,13419,20220518
22.575,22.58,22.54,22.54,6284,20220518
22.53,22.575,22.52,22.54,5801,20220518
22.52,22.56,22.52,22.54,6575,20220518
22.535,22.57,22.51,22.54,7108,20220518
22.54,22.58,22.48,22.49,8808,20220518
22.49,22.49,22.419,22.46,12705,20220518
22.46,22.4697,22.42,22.44,13408,20220518
22.46,22.48,22.43,22.47,9063,20220518
22.49,22.53,22.48,22.485,5942,20220518
22.5,22.58,22.5,22.52,7467,20220518
22.52,22.53,22.48,22.49,8804,20220518
22.49,22.58,22.49,22.51,5746,20220518
22.525,22.525,22.4697,22.485,3650,20220518
22.475,22.545,22.475,22.5,4302,20220518
22.49,22.52,22.47,22.49,8263,20220518
22.49,22.53,22.49,22.5,9752,20220518
22.51,22.52,22.47,22.4801,8281,20220518
22.52,22.52,22.48,22.5,2805,20220518
22.53,22.5478,22.515,22.53,1400,20220518
22.528,22.5626,22.528,22.5626,2969,20220518
22.55,22.56,22.5197,22.53,3398,20220518
22.52,22.52,22.4758,22.495,6928,20220518
22.48,22.55,22.48,22.48,24931,20220518
22.49,22.56,22.49,22.56,3850,20220518
22.555,22.62,22.55,22.6,9818,20220518
22.6,22.62,22.5701,22.61,11321,20220518
22.62,22.64,22.555,22.555,8905,20220518
22.565,22.6,22.5,22.53,28032,20220518
22.5308,22.5308,22.49,22.5,22688,20220518
22.505,22.505,22.45,22.45,14685,20220518
22.45,22.4501,22.33,22.3801,20586,20220518
22.375,22.48,22.375,22.42,3166,20220518
22.4201,22.46,22.42,22.44,2203,20220518
22.42,22.52,22.42,22.47,7829,20220518
22.475,22.51,22.44,22.49,12196,20220518
22.51,22.5456,22.5,22.5,6486,20220518
22.47,22.49,22.46,22.49,2000,20220518
22.48,22.48,22.42,22.44,6104,20220518
22.47,22.48,22.43,22.435,8368,20220518
22.45,22.515,22.44,22.515,5652,20220518
22.51,22.54,22.455,22.455,3240,20220518
22.455,22.49,22.45,22.45,5200,20220518
22.47,22.47,22.36,22.375,10208,20220518
22.39,22.3923,22.3642,22.38,1997,20220518
22.36,22.375,22.271,22.271,6424,20220518
22.305,22.305,22.25,22.2859,7701,20220518
22.294,22.294,22.202,22.21,4792,20220518
22.2,22.2,22.06,22.06,33618,20220518
22.07,22.07,21.95,21.9761,12122,20220518
21.99,21.99,21.96,21.97,13100,20220518
21.9753,21.98,21.9601,21.97,4425,20220518
21.98,21.98,21.97,21.97,5538,20220518
21.97,21.98,21.97,21.975,1350,20220518
21.9701,21.98,21.97,21.97,10860,20220518
21.96,21.98,21.86,21.87,34271,20220518
21.86,21.86,21.7,21.7,35956,20220518
21.6927,21.6927,21.625,21.625,6966,20220518
21.65,21.6599,21.62,21.62,11341,20220518
21.635,21.74,21.635,21.74,30095,20220518
21.73,21.74,21.73,21.73,26360,20220518
21.73,21.75,21.73,21.74,20289,20220518
21.73,21.76,21.71,21.71,2073,20220518
21.69,21.71,21.68,21.6871,1293,20220518
21.66,21.7186,21.63,21.7,6291,20220518
21.695,21.695,21.65,21.65,3055,20220518
21.66,21.74,21.655,21.73,42054,20220518
21.715,21.715,21.68,21.7,25400,20220518
21.69,21.78,21.69,21.78,7087,20220518
21.761,21.79,21.755,21.755,1159,20220518
21.72,21.87,21.695,21.865,4864,20220518
21.91,21.99,21.82,21.86,18742,20220518
21.86,21.9184,21.85,21.8892,9118,20220518
21.87,22.01,21.865,21.99,10353,20220518
22.0,22.04,21.99,22.04,8212,20220518
22.0533,22.07,21.99,22.0,11561,20220518
22.0145,22.0145,21.92,21.98,14412,20220518
21.99,22.03,21.935,22.0,5546,20220518
21.97,21.9848,21.9682,21.9848,727,20220518
21.97,21.98,21.93,21.94,2519,20220518
21.94,21.99,21.94,21.9701,4364,20220518
22.0,22.03,22.0,22.03,2106,20220518
22.015,22.0235,21.995,22.01,7059,20220518
22.0,22.03,22.0,22.005,2298,20220518
21.995,21.995,21.88,21.88,4600,20220518
21.8901,21.94,21.8901,21.91,2925,20220518
21.89,21.89,21.83,21.84,10027,20220518
21.835,21.84,21.795,21.8,9409,20220518
21.77,21.81,21.76,21.8,6558,20220518
21.78,21.85,21.76,21.85,11782,20220518
21.865,21.865,21.83,21.83,300,20220518
21.83,21.85,21.8,21.83,2430,20220518
21.8367,21.8367,21.79,21.81,2159,20220518
21.795,21.84,21.79,21.82,11638,20220518
21.79,21.83,21.76,21.81,13938,20220518
21.83,21.89,21.825,21.825,5648,20220518
21.825,21.84,21.8,21.8058,1175,20220518
21.8,21.84,21.78,21.79,3549,20220518
