open,high,low,close,volume,datetime
38.86,39.1,38.76,38.902,44692,20220518
38.935,38.935,38.78,38.86,3610,20220518
38.86,38.86,38.76,38.85,2514,20220518
38.9,38.93,38.89,38.89,1769,20220518
38.98,39.01,38.93,38.97,4177,20220518
38.96,39.195,38.875,39.195,8688,20220518
39.19,39.27,39.09,39.25,5331,20220518
39.25,39.29,39.18,39.19,3380,20220518
39.17,39.24,39.16,39.165,6108,20220518
39.14,39.17,38.97,39.05,4955,20220518
39.04,39.06,38.999,39.03,4808,20220518
39.06,39.17,39.06,39.09,6175,20220518
39.1,39.1,39.01,39.05,4292,20220518
39.07,39.1,39.05,39.1,3138,20220518
39.12,39.22,39.11,39.14,3977,20220518
39.16,39.2,39.14,39.17,3023,20220518
39.14,39.21,39.1,39.21,3412,20220518
39.23,39.28,39.18,39.2519,10045,20220518
39.26,39.26,39.19,39.19,3437,20220518
39.17,39.23,39.17,39.23,3957,20220518
39.235,39.235,39.16,39.16,3812,20220518
39.13,39.19,39.13,39.14,3095,20220518
39.12,39.16,39.03,39.04,3563,20220518
39.06,39.09,39.0,39.01,3377,20220518
39.04,39.04,39.0,39.01,3203,20220518
39.0,39.05,39.0,39.04,2076,20220518
38.99,38.99,38.95,38.97,1306,20220518
38.95,38.95,38.89,38.915,1400,20220518
38.9,38.96,38.87,38.96,1631,20220518
38.96,38.96,38.88,38.9,1580,20220518
38.89,39.055,38.89,39.015,2481,20220518
39.07,39.14,39.06,39.06,4400,20220518
39.09,39.13,39.08,39.13,3621,20220518
39.13,39.13,39.05,39.05,2935,20220518
39.04,39.04,39.0,39.0,1577,20220518
38.98,38.98,38.95,38.98,2688,20220518
39.04,39.08,39.01,39.02,2950,20220518
39.01,39.01,38.95,38.97,3410,20220518
38.97,39.02,38.94,39.015,3862,20220518
38.98,39.02,38.93,39.02,2486,20220518
39.01,39.05,39.0,39.04,3376,20220518
39.03,39.03,38.98,39.0,1005,20220518
39.02,39.02,38.92,38.95,3022,20220518
38.9247,39.0,38.9247,38.96,3533,20220518
38.94,39.0,38.92,39.0,4035,20220518
38.98,39.085,38.97,39.07,1522,20220518
39.09,39.1,39.07,39.1,2387,20220518
39.11,39.12,39.09,39.1,2775,20220518
39.08,39.11,39.07,39.09,2839,20220518
39.08,39.08,38.995,39.01,2448,20220518
38.99,39.06,38.99,39.06,1793,20220518
39.06,39.06,39.01,39.03,2290,20220518
39.02,39.02,38.98,39.0,3931,20220518
38.97,39.0,38.9601,38.975,2131,20220518
38.93,39.01,38.93,38.95,2983,20220518
38.94,38.95,38.94,38.94,785,20220518
38.96,39.0,38.905,38.94,4016,20220518
38.92,38.97,38.92,38.96,1927,20220518
38.95,38.96,38.91,38.91,2746,20220518
38.91,38.91,38.84,38.85,1874,20220518
38.83,38.86,38.81,38.86,1567,20220518
38.87,38.88,38.83,38.84,3845,20220518
38.85,38.85,38.81,38.85,3012,20220518
38.84,38.87,38.84,38.84,3381,20220518
38.83,38.84,38.82,38.82,3283,20220518
38.8,38.81,38.77,38.77,4142,20220518
38.78,38.88,38.78,38.88,4991,20220518
38.9,38.9,38.87,38.88,2757,20220518
38.87,38.92,38.846,38.9,5527,20220518
38.885,38.96,38.85,38.935,6401,20220518
38.95,38.95,38.89,38.91,2390,20220518
38.93,38.94,38.91,38.94,2480,20220518
38.97,38.97,38.94,38.94,2667,20220518
38.9575,39.01,38.9575,39.0,3006,20220518
38.99,39.04,38.99,39.04,2246,20220518
39.04,39.06,39.01,39.03,2550,20220518
39.04,39.05,39.02,39.03,13462,20220518
39.02,39.02,38.985,39.01,1259,20220518
39.02,39.06,39.005,39.02,6648,20220518
39.01,39.01,38.99,39.0,2544,20220518
39.01,39.025,38.975,39.0,3669,20220518
39.0,39.0,38.97,39.0,3108,20220518
39.0,39.0,38.98,38.99,4109,20220518
38.985,39.04,38.985,39.015,2336,20220518
39.015,39.02,38.93,38.95,15247,20220518
38.945,38.98,38.915,38.965,5320,20220518
38.97,39.005,38.97,39.0,3564,20220518
39.01,39.022,38.98,38.99,4430,20220518
38.995,39.01,38.97,38.99,3078,20220518
38.98,39.03,38.975,39.03,6936,20220518
39.03,39.03,38.97,38.97,4400,20220518
38.95,38.97,38.93,38.95,15844,20220518
38.96,39.0,38.96,38.97,2530,20220518
38.95,38.99,38.95,38.98,5354,20220518
38.99,39.01,38.98,38.99,2922,20220518
38.975,38.99,38.97,38.98,1497,20220518
38.98,38.99,38.92,38.92,7048,20220518
38.89,38.89,38.86,38.87,2837,20220518
38.88,38.89,38.87,38.87,1876,20220518
38.865,38.865,38.85,38.855,1826,20220518
38.86,38.86,38.85,38.85,3862,20220518
38.845,38.89,38.845,38.88,1086,20220518
38.88,38.89,38.88,38.885,1300,20220518
38.885,38.9,38.85,38.885,4249,20220518
38.885,38.89,38.875,38.89,2623,20220518
38.89,38.89,38.87,38.87,2349,20220518
38.88,38.89,38.82,38.83,4292,20220518
38.84,38.84,38.83,38.84,1600,20220518
38.835,38.86,38.83,38.86,2699,20220518
38.87,38.9,38.87,38.9,1601,20220518
38.91,38.91,38.86,38.86,2681,20220518
38.865,38.865,38.84,38.855,2729,20220518
38.84,38.885,38.84,38.88,4087,20220518
38.88,38.905,38.87,38.88,5759,20220518
38.88,38.89,38.85,38.88,4302,20220518
38.87,38.92,38.87,38.905,3567,20220518
38.89,38.89,38.86,38.86,3012,20220518
38.86,38.865,38.83,38.83,4104,20220518
38.82,38.82,38.75,38.76,2275,20220518
38.775,38.775,38.75,38.77,6294,20220518
38.78,38.81,38.76,38.76,8876,20220518
38.765,38.845,38.765,38.835,2572,20220518
38.84,38.84,38.8,38.8,2297,20220518
38.8,38.825,38.795,38.81,2082,20220518
38.8,38.88,38.8,38.87,7698,20220518
38.86,38.86,38.82,38.82,938,20220518
38.82,38.87,38.8,38.87,3185,20220518
38.86,38.95,38.86,38.95,3008,20220518
38.94,38.94,38.92,38.94,3730,20220518
38.94,38.95,38.94,38.95,1671,20220518
38.93,38.98,38.93,38.96,6106,20220518
38.97,39.02,38.97,39.01,1006,20220518
39.0,39.01,38.99,39.01,2667,20220518
39.02,39.02,38.98,38.98,2159,20220518
38.98,39.03,38.98,39.03,1400,20220518
39.04,39.06,39.01,39.02,4470,20220518
39.005,39.04,39.0,39.0,1767,20220518
38.99,39.02,38.965,39.01,3774,20220518
39.01,39.02,38.97,38.98,1950,20220518
38.97,38.99,38.95,38.97,2501,20220518
38.97,38.99,38.945,38.99,2229,20220518
38.99,38.995,38.95,38.95,1779,20220518
38.94,38.94,38.93,38.93,1131,20220518
38.91,38.91,38.855,38.855,2325,20220518
38.86,38.885,38.84,38.84,2104,20220518
38.84,38.855,38.81,38.855,2632,20220518
38.86,38.905,38.85,38.9,3522,20220518
38.91,38.91,38.9,38.905,3511,20220518
38.9025,38.915,38.88,38.88,7376,20220518
38.87,38.88,38.84,38.85,3190,20220518
38.85,38.85,38.8,38.82,6857,20220518
38.82,38.875,38.815,38.85,7700,20220518
38.85,38.85,38.82,38.825,1721,20220518
38.82,38.875,38.82,38.86,4288,20220518
38.85,38.865,38.84,38.84,2091,20220518
38.8468,38.855,38.82,38.82,2598,20220518
38.82,38.82,38.8,38.81,11544,20220518
38.8,38.8,38.775,38.775,7190,20220518
38.77,38.79,38.77,38.77,2700,20220518
38.76,38.78,38.75,38.78,3461,20220518
38.785,38.785,38.72,38.73,4831,20220518
38.74,38.78,38.74,38.78,2731,20220518
38.78,38.8,38.78,38.795,2619,20220518
38.8,38.83,38.8,38.83,1093,20220518
38.81,38.86,38.81,38.86,2148,20220518
38.86,38.86,38.83,38.84,3994,20220518
38.82,38.88,38.82,38.86,3669,20220518
38.86,38.915,38.85,38.91,4490,20220518
38.915,38.925,38.88,38.88,1999,20220518
38.88,38.88,38.85,38.8532,1274,20220518
38.85,38.855,38.79,38.79,1853,20220518
38.78,38.78,38.74,38.745,2937,20220518
38.75,38.77,38.74,38.74,12087,20220518
38.72,38.72,38.65,38.65,1891,20220518
38.67,38.675,38.67,38.675,1124,20220518
38.675,38.71,38.675,38.69,4021,20220518
38.665,38.67,38.66,38.67,500,20220518
38.66,38.6781,38.64,38.67,4558,20220518
38.67,38.705,38.6412,38.7,14460,20220518
38.7,38.7199,38.68,38.705,2930,20220518
38.705,38.705,38.67,38.68,1702,20220518
38.676,38.7561,38.676,38.75,3584,20220518
38.74,38.75,38.72,38.75,2049,20220518
38.745,38.77,38.745,38.75,850,20220518
38.765,38.8,38.765,38.8,1500,20220518
38.8,38.8,38.78,38.79,5969,20220518
38.795,38.825,38.79,38.825,3919,20220518
38.84,38.85,38.805,38.805,750,20220518
38.79,38.805,38.715,38.73,8829,20220518
38.739,38.8,38.739,38.8,2880,20220518
38.8,38.805,38.785,38.79,2938,20220518
38.78,38.785,38.77,38.78,2041,20220518
38.785,38.785,38.745,38.75,2998,20220518
38.79,38.815,38.78,38.78,1282,20220518
38.76,38.77,38.75,38.77,1262,20220518
38.775,38.78,38.74,38.77,3023,20220518
38.79,38.83,38.79,38.83,1957,20220518
38.83,38.88,38.83,38.88,1754,20220518
38.905,38.91,38.85,38.86,2061,20220518
38.86,38.91,38.86,38.9,1452,20220518
38.9,38.9,38.88,38.9,1867,20220518
38.88,38.89,38.87,38.89,3369,20220518
38.89,38.93,38.89,38.92,2845,20220518
38.92,38.93,38.92,38.93,700,20220518
38.9228,38.95,38.92,38.95,1463,20220518
38.95,38.96,38.94,38.96,1000,20220518
38.95,38.95,38.91,38.91,2764,20220518
38.91,38.92,38.898,38.911,2677,20220518
38.93,38.945,38.93,38.945,2565,20220518
38.945,38.965,38.94,38.95,3553,20220518
38.95,38.95,38.89,38.89,4100,20220518
38.9,38.9299,38.9,38.91,2711,20220518
38.9,38.96,38.9,38.96,3355,20220518
38.95,38.965,38.94,38.965,4498,20220518
38.96,38.965,38.96,38.96,1632,20220518
38.95,38.96,38.905,38.905,8737,20220518
38.91,38.93,38.88,38.88,2349,20220518
38.88,38.88,38.85,38.85,1563,20220518
38.85,38.86,38.85,38.86,5737,20220518
38.85,38.87,38.85,38.87,5143,20220518
38.86,38.875,38.85,38.855,5258,20220518
38.85,38.85,38.8,38.81,11694,20220518
38.79,38.83,38.75,38.77,3428,20220518
38.77,38.77,38.75,38.75,1702,20220518
38.75,38.75,38.74,38.74,1396,20220518
38.73,38.75,38.705,38.73,2646,20220518
38.73,38.74,38.7105,38.725,3960,20220518
38.71,38.71,38.64,38.66,3745,20220518
38.66,38.695,38.65,38.65,1868,20220518
38.651,38.651,38.62,38.63,1808,20220518
38.63,38.66,38.63,38.645,1500,20220518
38.64,38.69,38.64,38.69,992,20220518
38.69,38.715,38.69,38.71,2112,20220518
38.71,38.73,38.7,38.7,2995,20220518
38.69,38.69,38.67,38.69,1381,20220518
38.7,38.7,38.66,38.67,1517,20220518
38.67,38.67,38.64,38.66,3706,20220518
38.65,38.675,38.65,38.675,3327,20220518
38.7,38.72,38.7,38.71,1971,20220518
38.72,38.72,38.71,38.72,2044,20220518
