open,high,low,close,volume,datetime
35.05,35.1,34.93,34.93,57728,20220518
34.93,34.96,34.8,34.8,51431,20220518
34.795,34.795,34.66,34.77,12132,20220518
34.73,34.73,34.63,34.66,11056,20220518
34.64,34.67,34.6101,34.66,4186,20220518
34.66,34.68,34.62,34.68,3046,20220518
34.71,34.77,34.69,34.76,3750,20220518
34.77,34.78,34.75,34.75,2406,20220518
34.75,34.75,34.71,34.71,2068,20220518
34.69,34.7,34.61,34.61,11342,20220518
34.61,34.61,34.56,34.59,8805,20220518
34.59,34.6,34.54,34.54,7205,20220518
34.535,34.535,34.48,34.5,11124,20220518
34.5,34.53,34.48,34.515,13434,20220518
34.51,34.54,34.51,34.535,7154,20220518
34.535,34.55,34.4835,34.489,19870,20220518
34.48,34.505,34.44,34.44,8514,20220518
34.44,34.46,34.41,34.42,9247,20220518
34.41,34.44,34.41,34.425,11422,20220518
34.42,34.45,34.38,34.44,35960,20220518
34.45,34.47,34.39,34.39,19800,20220518
34.39,34.39,34.355,34.355,6552,20220518
34.35,34.36,34.329,34.34,10712,20220518
34.34,34.34,34.22,34.22,16794,20220518
34.215,34.23,34.2,34.22,16858,20220518
34.22,34.33,34.22,34.31,7859,20220518
34.32,34.3701,34.31,34.33,15010,20220518
34.33,34.33,34.275,34.29,7803,20220518
34.28,34.283,34.23,34.23,3124,20220518
34.23,34.24,34.2,34.24,20157,20220518
34.255,34.255,34.19,34.2,16360,20220518
34.2,34.2,34.13,34.13,10059,20220518
34.13,34.13,34.07,34.09,17164,20220518
34.08,34.105,34.025,34.025,37413,20220518
34.02,34.03,33.98,34.0,13225,20220518
34.0,34.005,33.915,33.928,11501,20220518
33.925,33.95,33.905,33.905,4657,20220518
33.9,33.91,33.89,33.89,6319,20220518
33.89,33.89,33.87,33.88,15211,20220518
33.89,33.89,33.85,33.87,22930,20220518
33.87,33.91,33.86,33.875,5036,20220518
33.875,33.88,33.81,33.86,12467,20220518
33.855,33.86,33.82,33.8262,3689,20220518
33.82,33.82,33.7801,33.81,8149,20220518
33.8,33.805,33.7852,33.805,3282,20220518
33.81,33.835,33.785,33.835,20813,20220518
33.835,33.86,33.81,33.825,12448,20220518
33.825,33.89,33.82,33.87,9270,20220518
33.87,33.885,33.85,33.88,12821,20220518
33.89,33.895,33.87,33.87,7754,20220518
33.87,33.87,33.82,33.825,7569,20220518
33.825,33.825,33.78,33.8,11744,20220518
33.8,33.8,33.745,33.76,18116,20220518
33.74,33.74,33.685,33.685,22347,20220518
33.68,33.68,33.635,33.6401,34305,20220518
33.65,33.655,33.5799,33.5799,28070,20220518
33.57,33.59,33.56,33.59,16489,20220518
33.58,33.595,33.57,33.575,5136,20220518
33.575,33.61,33.56,33.57,7682,20220518
33.58,33.61,33.58,33.605,8228,20220518
33.6,33.6,33.58,33.585,8205,20220518
33.585,33.585,33.56,33.565,4215,20220518
33.57,33.57,33.52,33.525,11350,20220518
33.515,33.52,33.49,33.52,11226,20220518
33.52,33.535,33.51,33.535,11755,20220518
33.54,33.56,33.53,33.545,6831,20220518
33.54,33.57,33.53,33.57,17717,20220518
33.565,33.57,33.5386,33.55,25125,20220518
33.55,33.58,33.51,33.515,24817,20220518
33.52,33.54,33.51,33.54,24313,20220518
33.53,33.545,33.52,33.535,9056,20220518
33.535,33.545,33.51,33.54,10564,20220518
33.54,33.56,33.53,33.535,14071,20220518
33.535,33.535,33.48,33.495,19750,20220518
33.495,33.5,33.44,33.45,40185,20220518
33.445,33.46,33.43,33.455,20937,20220518
33.46,33.535,33.455,33.515,8787,20220518
33.52,33.53,33.48,33.515,8176,20220518
33.515,33.545,33.495,33.495,19145,20220518
33.5,33.5,33.43,33.435,9687,20220518
33.44,33.46,33.44,33.44,7641,20220518
33.43,33.46,33.425,33.45,7978,20220518
33.44,33.45,33.43,33.44,7741,20220518
33.445,33.45,33.425,33.43,3511,20220518
33.42,33.44,33.405,33.42,10635,20220518
33.42,33.425,33.39,33.425,13104,20220518
33.425,33.43,33.41,33.415,6620,20220518
33.415,33.43,33.37,33.395,38353,20220518
33.39,33.475,33.365,33.465,17172,20220518
33.46,33.46,33.41,33.42,10044,20220518
33.42,33.42,33.375,33.375,4335,20220518
33.38,33.43,33.375,33.41,9131,20220518
33.41,33.47,33.41,33.44,5429,20220518
33.44,33.44,33.415,33.44,9731,20220518
33.44,33.44,33.39,33.4,6477,20220518
33.419,33.42,33.41,33.41,5551,20220518
33.405,33.41,33.3809,33.3809,4176,20220518
33.38,33.4,33.37,33.38,7405,20220518
33.38,33.4,33.3778,33.38,4833,20220518
33.37,33.37,33.32,33.32,14302,20220518
33.32,33.34,33.305,33.34,13358,20220518
33.34,33.355,33.34,33.355,2290,20220518
33.36,33.36,33.35,33.3558,2705,20220518
33.355,33.36,33.35,33.355,2183,20220518
33.355,33.36,33.35,33.355,1902,20220518
33.36,33.36,33.345,33.355,3640,20220518
33.355,33.36,33.295,33.295,33100,20220518
33.29,33.305,33.26,33.265,25463,20220518
33.265,33.27,33.245,33.245,8291,20220518
33.25,33.25,33.23,33.25,11671,20220518
33.26,33.305,33.26,33.3,3360,20220518
33.305,33.305,33.285,33.285,4710,20220518
33.28,33.32,33.27,33.32,8593,20220518
