open,high,low,close,volume,datetime
57.67,57.67,57.23,57.405,78002,20220518
57.39,57.61,57.31,57.59,17377,20220518
57.6,57.79,57.39,57.425,24110,20220518
57.41,57.8,57.41,57.65,9552,20220518
57.62,57.72,57.54,57.72,8285,20220518
57.8,57.8786,57.69,57.7,6670,20220518
57.68,57.9,57.64,57.84,14126,20220518
57.84,57.92,57.75,57.78,9455,20220518
57.78,57.82,57.68,57.715,6375,20220518
57.67,57.68,57.53,57.599,5687,20220518
57.6,57.62,57.42,57.42,3337,20220518
57.43,57.54,57.43,57.48,7889,20220518
57.42,57.52,57.42,57.48,1849,20220518
57.44,57.49,57.43,57.44,2789,20220518
57.43,57.44,57.28,57.3,5891,20220518
57.33,57.35,57.25,57.255,8469,20220518
57.27,57.33,57.22,57.32,4960,20220518
57.33,57.485,57.33,57.355,4567,20220518
57.379,57.42,57.33,57.33,3500,20220518
57.31,57.38,57.26,57.3,5623,20220518
57.3,57.3,57.195,57.195,4216,20220518
57.125,57.2,57.09,57.11,6596,20220518
57.11,57.14,57.07,57.14,1698,20220518
57.14,57.18,57.07,57.18,2275,20220518
57.16,57.17,57.11,57.16,2283,20220518
57.24,57.289,57.239,57.289,1687,20220518
57.28,57.28,57.16,57.169,4480,20220518
57.15,57.169,57.1,57.165,3650,20220518
57.14,57.14,57.07,57.09,1902,20220518
57.05,57.2,57.05,57.2,2482,20220518
57.199,57.2,57.05,57.09,2465,20220518
57.13,57.13,57.06,57.11,2336,20220518
57.09,57.16,57.09,57.1325,3893,20220518
57.17,57.17,57.0837,57.12,3415,20220518
57.1,57.13,57.07,57.12,3250,20220518
57.12,57.12,56.96,56.97,4058,20220518
56.95,56.95,56.92,56.95,3882,20220518
56.91,56.91,56.82,56.83,2969,20220518
56.82,56.86,56.8,56.84,4038,20220518
56.84,56.87,56.78,56.78,1500,20220518
56.78,56.81,56.78,56.81,723,20220518
56.8,56.84,56.8,56.84,200,20220518
56.81,56.82,56.76,56.76,1305,20220518
56.74,56.74,56.7,56.7,1572,20220518
56.68,56.71,56.65,56.69,12404,20220518
56.685,56.685,56.59,56.64,4509,20220518
56.64,56.64,56.58,56.6,3386,20220518
56.6,56.61,56.585,56.585,23864,20220518
56.595,56.595,56.519,56.58,3193,20220518
56.58,56.69,56.58,56.69,3808,20220518
56.665,56.685,56.63,56.66,1800,20220518
56.67,56.69,56.66,56.68,1913,20220518
56.69,56.72,56.625,56.625,2027,20220518
56.615,56.615,56.58,56.59,1324,20220518
56.555,56.62,56.555,56.62,1950,20220518
56.67,56.675,56.6,56.61,1721,20220518
56.59,56.64,56.59,56.62,1106,20220518
56.6,56.6,56.53,56.53,1720,20220518
56.54,56.54,56.49,56.54,1500,20220518
56.53,56.57,56.52,56.54,1692,20220518
56.55,56.63,56.55,56.62,1100,20220518
56.62,56.66,56.59,56.605,2813,20220518
56.62,56.62,56.56,56.56,2054,20220518
56.56,56.61,56.56,56.58,4599,20220518
56.575,56.63,56.575,56.6,1427,20220518
56.59,56.63,56.54,56.56,2100,20220518
