open,high,low,close,volume,datetime
38.75,38.98,38.65,38.89,131687,20220518
38.89,38.935,38.73,38.75,20748,20220518
38.74,38.84,38.65,38.82,15812,20220518
38.82,38.82,38.65,38.69,17220,20220518
38.71,38.77,38.53,38.62,21196,20220518
38.62,38.62,38.47,38.56,25210,20220518
38.58,38.58,38.39,38.52,29803,20220518
38.54,38.56,38.48,38.51,38486,20220518
38.51,38.67,38.44,38.625,20336,20220518
38.64,38.64,38.485,38.55,47486,20220518
38.53,38.72,38.495,38.72,37812,20220518
38.72,38.77,38.7,38.7572,51838,20220518
38.76,38.76,38.64,38.695,18334,20220518
38.6946,38.78,38.67,38.76,21138,20220518
38.77,38.8,38.73,38.8,15476,20220518
38.795,38.83,38.74,38.785,26878,20220518
38.795,38.81,38.7,38.7,17428,20220518
38.71,38.77,38.66,38.74,12828,20220518
38.74,38.76,38.69,38.73,14962,20220518
38.74,38.78,38.72,38.78,10982,20220518
38.83,38.9,38.77,38.845,13996,20220518
38.84,39.01,38.84,38.96,23516,20220518
38.925,38.94,38.87,38.94,8563,20220518
38.95,39.01,38.91,38.94,9347,20220518
38.935,38.97,38.92,38.97,8003,20220518
38.9501,39.05,38.9501,39.05,8516,20220518
39.05,39.05,38.99,39.03,15218,20220518
39.03,39.09,39.01,39.065,5869,20220518
39.06,39.11,39.03,39.11,10165,20220518
39.13,39.2,39.125,39.2,16534,20220518
39.2,39.33,39.2,39.32,19088,20220518
39.32,39.46,39.32,39.45,23123,20220518
39.45,39.48,39.35,39.36,34435,20220518
39.37,39.385,39.2,39.27,83333,20220518
39.27,39.28,39.21,39.23,11860,20220518
39.22,39.31,39.22,39.31,6756,20220518
39.33,39.35,39.28,39.28,7115,20220518
39.27,39.33,39.26,39.32,6632,20220518
39.311,39.33,39.28,39.3,10187,20220518
39.29,39.3,39.2,39.21,8932,20220518
39.2,39.28,39.2,39.23,3597,20220518
39.22,39.24,39.21,39.24,6356,20220518
39.24,39.245,39.13,39.15,21829,20220518
39.145,39.185,39.14,39.18,5040,20220518
39.17,39.19,39.15,39.18,6053,20220518
39.18,39.23,39.15,39.23,11340,20220518
39.23,39.23,39.11,39.11,5852,20220518
39.1,39.135,39.09,39.12,4407,20220518
39.13,39.17,39.1,39.11,23273,20220518
39.11,39.19,39.1,39.19,22471,20220518
39.185,39.19,39.15,39.18,7654,20220518
39.19,39.2,39.13,39.13,9520,20220518
39.14,39.17,39.04,39.04,9075,20220518
39.0384,39.0384,38.94,38.94,20793,20220518
38.93,38.94,38.88,38.92,11899,20220518
38.92,38.93,38.87,38.9,10319,20220518
38.91,38.92,38.9,38.91,8687,20220518
38.92,38.93,38.835,38.835,20986,20220518
38.84,38.86,38.83,38.83,11373,20220518
38.83,38.83,38.745,38.75,25576,20220518
38.76,38.8,38.74,38.8,12464,20220518
38.8,38.8,38.721,38.73,5805,20220518
38.74,38.775,38.72,38.72,9115,20220518
38.72,38.72,38.67,38.69,19121,20220518
38.69,38.69,38.62,38.66,18371,20220518
38.66,38.665,38.6,38.62,10978,20220518
38.62,38.6862,38.62,38.66,7264,20220518
38.66,38.7097,38.66,38.69,3984,20220518
38.7,38.74,38.698,38.705,9631,20220518
38.72,38.74,38.7,38.74,5878,20220518
38.76,38.77,38.715,38.715,5330,20220518
38.72,38.75,38.715,38.73,7554,20220518
38.735,38.735,38.69,38.72,11826,20220518
38.72,38.77,38.72,38.77,2632,20220518
38.77,38.8165,38.74,38.81,16638,20220518
38.8,38.81,38.76,38.76,5288,20220518
38.77,38.87,38.77,38.83,5434,20220518
38.83,38.83,38.8,38.825,3603,20220518
38.83,38.92,38.83,38.91,4918,20220518
38.8902,38.9056,38.86,38.87,2906,20220518
38.87,38.88,38.84,38.851,6429,20220518
38.85,38.87,38.83,38.86,4687,20220518
38.85,38.86,38.83,38.83,3912,20220518
38.81,38.84,38.81,38.83,4143,20220518
38.83,38.84,38.77,38.78,4323,20220518
38.765,38.765,38.7347,38.75,6070,20220518
38.76,38.77,38.76,38.77,3050,20220518
38.78,38.83,38.78,38.83,11282,20220518
38.835,38.86,38.83,38.84,7560,20220518
38.835,38.86,38.815,38.86,2540,20220518
38.85,38.8543,38.775,38.775,4389,20220518
38.775,38.79,38.745,38.77,8707,20220518
38.77,38.8,38.76,38.76,5135,20220518
38.75,38.77,38.75,38.77,5100,20220518
38.77,38.825,38.77,38.82,6387,20220518
38.81,38.81,38.785,38.79,2298,20220518
38.79,38.81,38.71,38.71,12198,20220518
38.7,38.72,38.69,38.72,4173,20220518
38.72,38.72,38.6982,38.71,4330,20220518
38.7,38.71,38.7,38.7,3709,20220518
38.71,38.715,38.615,38.615,21467,20220518
38.62,38.62,38.6,38.62,7052,20220518
38.62,38.62,38.6,38.61,9558,20220518
38.615,38.62,38.61,38.615,2854,20220518
38.61,38.62,38.59,38.605,7488,20220518
38.61,38.62,38.61,38.615,11651,20220518
38.62,38.62,38.54,38.54,10123,20220518
38.535,38.54,38.51,38.51,14999,20220518
38.5,38.51,38.48,38.49,16713,20220518
38.49,38.56,38.485,38.55,13627,20220518
38.55,38.55,38.495,38.515,4023,20220518
38.515,38.5194,38.49,38.5,4070,20220518
38.49,38.49,38.46,38.46,3301,20220518
38.44,38.451,38.43,38.43,4625,20220518
38.43,38.43,38.41,38.415,1099,20220518
38.42,38.48,38.4109,38.455,6291,20220518
38.44,38.44,38.38,38.38,1800,20220518
38.39,38.39,38.35,38.365,15151,20220518
38.35,38.36,38.34,38.35,2312,20220518
38.35,38.35,38.29,38.315,5670,20220518
38.3299,38.35,38.27,38.27,5750,20220518
38.28,38.3773,38.275,38.3773,4013,20220518
38.385,38.385,38.34,38.34,3668,20220518
38.33,38.375,38.31,38.355,7593,20220518
38.35,38.35,38.3,38.3,6100,20220518
38.3036,38.33,38.3,38.33,4030,20220518
38.32,38.33,38.29,38.32,4309,20220518
38.34,38.42,38.34,38.41,3570,20220518
38.39,38.39,38.37,38.38,2914,20220518
38.38,38.38,38.3,38.3,3340,20220518
38.29,38.29,38.23,38.26,20250,20220518
38.27,38.32,38.265,38.32,9309,20220518
38.31,38.38,38.3,38.37,23531,20220518
38.38,38.39,38.3,38.3,25652,20220518
38.29,38.355,38.29,38.355,5570,20220518
38.35,38.36,38.27,38.27,7408,20220518
38.29,38.31,38.29,38.3,1924,20220518
38.3,38.3,38.28,38.3,5072,20220518
38.3,38.31,38.28,38.29,3524,20220518
38.3,38.3,38.28,38.28,1290,20220518
38.28,38.295,38.2367,38.295,7151,20220518
38.2948,38.31,38.274,38.29,8564,20220518
38.29,38.3,38.28,38.28,12267,20220518
38.28,38.29,38.23,38.23,6403,20220518
38.23,38.23,38.18,38.19,9276,20220518
38.19,38.19,38.16,38.18,6443,20220518
38.19,38.22,38.17,38.17,10451,20220518
38.16,38.19,38.16,38.19,3121,20220518
38.19,38.19,38.13,38.13,5197,20220518
38.121,38.15,38.121,38.13,2732,20220518
38.125,38.14,38.11,38.14,3795,20220518
38.13,38.13,38.1,38.11,5233,20220518
38.11,38.11,38.05,38.05,4407,20220518
38.04,38.05,38.03,38.04,6647,20220518
38.045,38.07,38.023,38.03,4396,20220518
38.03,38.045,38.02,38.03,13352,20220518
38.03,38.04,38.025,38.03,2274,20220518
38.02,38.04,38.02,38.03,6607,20220518
38.03,38.03,38.001,38.01,3322,20220518
38.01,38.04,38.005,38.03,6177,20220518
38.035,38.045,38.01,38.02,6165,20220518
38.03,38.06,38.02,38.06,2236,20220518
38.06,38.06,38.03,38.04,4494,20220518
38.06,38.085,38.06,38.065,5786,20220518
38.065,38.1,38.05,38.095,3499,20220518
38.1,38.1191,38.1,38.1,5294,20220518
38.095,38.14,38.0901,38.12,4782,20220518
38.12,38.17,38.12,38.17,2941,20220518
38.1583,38.1583,38.122,38.13,4124,20220518
38.13,38.13,38.11,38.11,2472,20220518
38.12,38.13,38.12,38.12,4395,20220518
38.115,38.115,38.07,38.08,8349,20220518
38.08,38.09,38.07,38.075,2412,20220518
38.07,38.07,37.99,38.0,7960,20220518
38.01,38.0283,38.005,38.01,6787,20220518
38.01,38.03,38.001,38.01,3915,20220518
38.02,38.02,38.0,38.015,6046,20220518
38.01,38.02,38.0,38.02,3004,20220518
38.01,38.024,37.98,38.02,14138,20220518
38.025,38.05,38.02,38.05,4545,20220518
38.04,38.04,38.0,38.0,3413,20220518
38.0,38.015,37.985,37.985,16624,20220518
37.99,37.99,37.98,37.99,2243,20220518
37.995,37.995,37.971,37.98,3452,20220518
37.98,38.0,37.975,37.98,7915,20220518
37.98,37.99,37.96,37.99,7823,20220518
37.98,38.0,37.98,37.9999,4603,20220518
37.995,38.0,37.981,37.981,2222,20220518
37.98,37.98,37.92,37.92,6503,20220518
37.925,37.96,37.92,37.955,5911,20220518
37.95,37.95,37.94,37.94,2383,20220518
37.93,37.93,37.905,37.915,5721,20220518
37.92,37.925,37.905,37.925,7422,20220518
37.93,37.94,37.915,37.93,4518,20220518
37.93,37.93,37.905,37.915,5665,20220518
37.915,37.93,37.905,37.93,5462,20220518
37.94,37.96,37.94,37.96,2651,20220518
37.965,37.99,37.95,37.985,6596,20220518
37.9826,37.985,37.965,37.97,15638,20220518
37.97,38.01,37.97,38.01,29626,20220518
38.005,38.015,38.0,38.01,4699,20220518
38.01,38.025,37.995,38.025,7971,20220518
38.03,38.035,38.02,38.025,9795,20220518
38.03,38.04,38.01,38.023,8432,20220518
38.03,38.04,38.02,38.04,5528,20220518
38.0346,38.06,38.025,38.04,6293,20220518
38.045,38.05,38.02,38.03,8239,20220518
38.02,38.03,38.02,38.03,1300,20220518
38.04,38.1,38.04,38.1,5892,20220518
38.1,38.105,38.091,38.1,2612,20220518
38.1,38.1,38.03,38.0393,9142,20220518
38.03,38.04,38.01,38.01,8258,20220518
38.01,38.02,38.01,38.02,2886,20220518
38.01,38.01,37.99,37.99,4624,20220518
38.0,38.01,38.0,38.01,1435,20220518
38.0,38.0,37.97,37.99,11467,20220518
37.995,37.995,37.965,37.97,3738,20220518
37.97,37.98,37.94,37.945,6844,20220518
