open,high,low,close,volume,datetime
81.26,82.33,81.26,82.15,27268,20220518
82.15,82.15,81.71,81.78,1874,20220518
81.86,81.86,81.72,81.72,600,20220518
81.765,81.765,81.585,81.66,1300,20220518
81.74,81.75,81.53,81.54,1580,20220518
81.535,81.535,81.5,81.505,500,20220518
81.72,81.81,81.65,81.81,3381,20220518
81.84,81.93,81.84,81.85,2470,20220518
81.85,81.85,81.57,81.57,1100,20220518
81.45,81.45,81.22,81.3,2294,20220518
81.315,81.315,81.21,81.21,600,20220518
81.18,81.265,81.18,81.2,800,20220518
81.195,81.195,80.98,80.98,1308,20220518
81.04,81.07,80.98,81.01,1100,20220518
81.13,81.16,81.08,81.16,1100,20220518
81.2,81.22,81.06,81.2025,4655,20220518
81.17,81.2,81.13,81.2,1802,20220518
81.24,81.33,81.21,81.33,1000,20220518
81.33,81.33,81.23,81.31,2800,20220518
81.24,81.26,81.21,81.21,1000,20220518
81.195,81.22,81.08,81.13,4473,20220518
81.145,81.254,81.145,81.23,2990,20220518
81.18,81.26,81.17,81.26,1300,20220518
81.26,81.28,81.23,81.24,1804,20220518
81.22,81.25,81.18,81.25,1100,20220518
81.24,81.24,81.09,81.09,900,20220518
81.0,81.03,80.95,80.95,10806,20220518
80.92,81.07,80.9,81.01,17379,20220518
81.01,81.11,80.97,81.11,2701,20220518
81.13,81.13,80.985,80.99,1350,20220518
81.05,81.17,81.02,81.13,1738,20220518
81.11,81.19,81.04,81.09,1000,20220518
81.123,81.189,81.1,81.135,1899,20220518
81.16,81.32,81.16,81.32,1668,20220518
81.24,81.27,81.09,81.09,2997,20220518
81.12,81.42,81.12,81.42,2701,20220518
81.425,81.6,81.425,81.5,4810,20220518
81.5,81.52,81.43,81.43,1100,20220518
81.39,81.47,81.37,81.4,3621,20220518
81.4,81.4,81.245,81.3,1546,20220518
81.22,81.33,81.22,81.279,2912,20220518
81.25,81.34,81.25,81.34,1985,20220518
81.32,81.38,81.32,81.34,3339,20220518
81.34,81.494,81.34,81.46,2221,20220518
81.47,81.55,81.47,81.55,818,20220518
81.485,81.75,81.48,81.71,12272,20220518
81.7,81.72,81.59,81.67,3796,20220518
81.63,81.69,81.61,81.65,2081,20220518
81.7,81.8,81.69,81.77,2400,20220518
81.76,81.76,81.71,81.71,710,20220518
81.71,81.93,81.71,81.9,12247,20220518
81.95,81.99,81.84,81.84,2200,20220518
81.84,81.88,81.82,81.85,2200,20220518
81.85,81.85,81.74,81.74,2900,20220518
81.74,81.75,81.64,81.67,2598,20220518
81.67,81.68,81.64,81.65,1200,20220518
81.67,81.774,81.67,81.774,2037,20220518
81.71,81.74,81.66,81.66,2120,20220518
81.7,81.7,81.58,81.58,1600,20220518
81.53,81.53,81.48,81.48,2300,20220518
81.42,81.494,81.4,81.48,4602,20220518
81.5,81.51,81.445,81.47,4250,20220518
81.49,81.49,81.43,81.44,5172,20220518
81.41,81.48,81.4,81.465,3703,20220518
81.45,81.45,81.3,81.33,2060,20220518
81.33,81.33,81.12,81.13,1800,20220518
81.1,81.19,81.1,81.11,1422,20220518
81.11,81.15,81.075,81.15,1326,20220518
81.09,81.27,81.03,81.22,11004,20220518
81.26,81.28,81.2,81.27,2689,20220518
81.25,81.26,81.1,81.11,5244,20220518
81.12,81.24,81.1,81.24,17108,20220518
81.26,81.26,81.19,81.23,3933,20220518
81.17,81.19,81.11,81.13,2400,20220518
81.12,81.16,81.1,81.16,1600,20220518
81.11,81.11,80.95,80.98,6740,20220518
81.04,81.18,81.035,81.14,1881,20220518
81.12,81.155,81.02,81.155,1575,20220518
81.15,81.225,81.1,81.17,2600,20220518
81.16,81.16,81.09,81.09,1258,20220518
81.13,81.18,81.1,81.1,7585,20220518
81.1,81.14,81.06,81.14,1407,20220518
81.1,81.1,80.97,80.98,4674,20220518
80.95,81.0,80.94,80.98,1600,20220518
80.98,80.98,80.95,80.98,531,20220518
80.93,80.95,80.89,80.95,1701,20220518
80.92,81.02,80.88,80.995,2266,20220518
80.97,81.085,80.97,81.02,4273,20220518
81.04,81.12,81.04,81.05,1500,20220518
81.02,81.15,80.95,81.15,1700,20220518
81.11,81.115,81.07,81.1,2100,20220518
81.105,81.13,81.02,81.0725,4052,20220518
81.055,81.17,81.055,81.09,4369,20220518
81.06,81.105,81.045,81.085,3490,20220518
81.07,81.12,81.01,81.11,14092,20220518
81.1,81.14,81.07,81.07,6317,20220518
81.055,81.055,80.765,80.78,11862,20220518
80.775,80.84,80.7,80.81,4982,20220518
80.81,80.85,80.79,80.79,1100,20220518
80.79,80.88,80.79,80.82,1511,20220518
80.805,80.805,80.66,80.66,1200,20220518
80.59,80.68,80.59,80.68,1175,20220518
80.68,80.69,80.66,80.66,1200,20220518
80.66,80.68,80.66,80.67,400,20220518
80.71,80.71,80.68,80.7,1100,20220518
80.7079,80.71,80.705,80.71,1171,20220518
80.7,80.74,80.68,80.68,1201,20220518
80.53,80.61,80.53,80.59,1189,20220518
80.59,80.61,80.56,80.585,1304,20220518
80.58,80.66,80.58,80.64,1241,20220518
80.61,80.61,80.53,80.53,700,20220518
80.52,80.52,80.45,80.51,303,20220518
80.42,80.444,80.35,80.35,1201,20220518
80.38,80.38,80.24,80.29,1100,20220518
80.29,80.3,80.22,80.25,1450,20220518
80.25,80.3,80.18,80.27,2269,20220518
80.245,80.245,80.17,80.17,400,20220518
80.16,80.19,80.11,80.17,1312,20220518
80.19,80.2,80.13,80.17,2330,20220518
80.13,80.19,80.07,80.15,1858,20220518
80.17,80.17,80.04,80.04,1002,20220518
80.02,80.2,80.005,80.2,1900,20220518
80.16,80.22,80.16,80.17,1400,20220518
80.17,80.27,80.145,80.23,4374,20220518
80.19,80.25,80.15,80.21,2824,20220518
80.26,80.29,80.18,80.21,1147,20220518
80.17,80.23,80.1,80.19,3517,20220518
80.2,80.31,80.13,80.31,3500,20220518
80.31,80.32,80.27,80.295,2000,20220518
80.26,80.27,80.25,80.26,700,20220518
80.22,80.27,80.21,80.245,1011,20220518
80.24,80.36,80.24,80.34,1851,20220518
80.31,80.36,80.27,80.36,910,20220518
80.35,80.35,80.25,80.25,1502,20220518
80.25,80.39,80.25,80.39,2906,20220518
80.36,80.38,80.26,80.26,1697,20220518
80.28,80.31,80.28,80.28,1512,20220518
80.26,80.26,80.21,80.21,900,20220518
80.23,80.24,80.19,80.21,1100,20220518
80.18,80.234,80.18,80.205,1349,20220518
80.15,80.23,80.15,80.21,1100,20220518
80.26,80.26,80.23,80.23,512,20220518
80.21,80.21,80.18,80.18,1124,20220518
80.15,80.15,80.08,80.08,500,20220518
80.04,80.04,79.87,79.87,976,20220518
79.87,79.924,79.87,79.924,300,20220518
79.92,79.96,79.83,79.83,1494,20220518
79.86,79.87,79.85,79.86,603,20220518
79.875,79.9,79.81,79.81,2416,20220518
79.825,79.825,79.8,79.8,718,20220518
79.79,79.82,79.775,79.82,700,20220518
79.77,79.83,79.74,79.83,1555,20220518
79.83,79.83,79.73,79.77,1601,20220518
79.785,79.785,79.75,79.76,1018,20220518
79.765,79.78,79.74,79.77,1203,20220518
79.745,79.745,79.67,79.6855,2492,20220518
79.7,79.71,79.7,79.71,1321,20220518
79.66,79.755,79.66,79.73,2857,20220518
79.7,79.75,79.69,79.69,923,20220518
79.7,79.73,79.66,79.73,1701,20220518
79.7,79.72,79.64,79.72,1279,20220518
79.72,79.79,79.7,79.75,2442,20220518
79.71,79.7209,79.7,79.72,794,20220518
79.72,79.78,79.71,79.71,2078,20220518
79.7,79.79,79.66,79.78,3397,20220518
79.76,79.83,79.76,79.78,1908,20220518
79.78,79.83,79.78,79.83,1902,20220518
79.81,79.81,79.75,79.77,1976,20220518
79.75,79.75,79.69,79.71,4324,20220518
79.64,79.65,79.6,79.6,700,20220518
79.63,79.704,79.49,79.565,11689,20220518
79.54,79.564,79.47,79.47,3059,20220518
79.49,79.49,79.45,79.45,921,20220518
79.41,79.41,79.29,79.29,1305,20220518
79.27,79.32,79.24,79.3,4470,20220518
79.3,79.34,79.22,79.26,4183,20220518
79.2925,79.32,79.27,79.32,996,20220518
79.32,79.33,79.27,79.27,1538,20220518
79.27,79.4,79.22,79.35,11149,20220518
79.35,79.39,79.33,79.39,4067,20220518
79.41,79.41,79.35,79.36,3531,20220518
79.31,79.4,79.31,79.39,3719,20220518
79.34,79.38,79.34,79.375,1101,20220518
79.375,79.375,79.34,79.36,870,20220518
79.34,79.43,79.34,79.424,2805,20220518
79.41,79.44,79.39,79.435,3372,20220518
79.44,79.49,79.39,79.45,2000,20220518
79.48,79.49,79.45,79.47,1000,20220518
79.46,79.47,79.31,79.315,2449,20220518
79.33,79.38,79.32,79.38,1598,20220518
79.41,79.41,79.41,79.41,450,20220518
79.38,79.38,79.35,79.35,1091,20220518
79.34,79.34,79.22,79.24,2405,20220518
79.26,79.29,79.26,79.27,400,20220518
79.24,79.25,79.21,79.22,1350,20220518
79.255,79.255,79.2,79.22,1800,20220518
79.23,79.31,79.23,79.31,1200,20220518
79.35,79.42,79.32,79.42,1800,20220518
79.46,79.46,79.35,79.37,1898,20220518
79.34,79.48,79.34,79.465,2816,20220518
79.49,79.51,79.43,79.51,3588,20220518
79.49,79.515,79.42,79.51,10338,20220518
79.515,79.575,79.515,79.575,1410,20220518
79.57,79.58,79.5,79.51,3217,20220518
79.49,79.52,79.46,79.51,506,20220518
79.5,79.52,79.46,79.5,1516,20220518
79.515,79.515,79.44,79.44,1100,20220518
79.39,79.39,79.355,79.355,500,20220518
79.42,79.47,79.42,79.47,1000,20220518
79.44,79.44,79.39,79.42,1408,20220518
79.39,79.39,79.27,79.27,1759,20220518
79.29,79.29,79.24,79.24,2041,20220518
79.245,79.28,79.225,79.23,3653,20220518
79.21,79.23,79.19,79.2,3243,20220518
79.15,79.18,79.1328,79.145,646,20220518
79.12,79.12,79.04,79.04,1164,20220518
79.09,79.09,78.99,79.0,3786,20220518
78.99,79.03,78.99,78.99,1503,20220518
78.98,79.005,78.95,78.95,938,20220518
78.89,78.9,78.88,78.88,1438,20220518
78.885,78.9,78.85,78.87,1843,20220518
78.86,78.87,78.82,78.845,3213,20220518
78.845,78.92,78.845,78.87,2560,20220518
78.86,78.955,78.86,78.955,1811,20220518
78.98,79.02,78.97,79.02,3454,20220518
78.995,79.025,78.99,78.99,1573,20220518
78.99,78.99,78.92,78.92,800,20220518
78.93,78.94,78.87,78.94,3341,20220518
78.94,79.0,78.94,78.98,1050,20220518
78.93,78.9368,78.9,78.92,578,20220518
78.94,79.21,78.93,79.17,25004,20220518
79.19,79.33,79.19,79.31,3284,20220518
79.305,79.435,79.3,79.4,3165,20220518
79.4,79.43,79.36,79.39,2535,20220518
79.36,79.36,79.32,79.35,1181,20220518
79.36,79.37,79.35,79.35,850,20220518
79.37,79.37,79.3,79.34,1612,20220518
79.34,79.36,79.285,79.36,1217,20220518
79.35,79.425,79.35,79.42,2428,20220518
79.42,79.5,79.4,79.49,2750,20220518
79.47,79.47,79.42,79.45,1204,20220518
79.45,79.54,79.42,79.54,5935,20220518
79.535,79.57,79.53,79.57,3804,20220518
79.55,79.58,79.54,79.56,3108,20220518
79.55,79.62,79.55,79.6,1700,20220518
79.59,79.61,79.55,79.57,1401,20220518
79.57,79.57,79.48,79.48,4966,20220518
79.5,79.555,79.5,79.5,1704,20220518
79.5,79.56,79.5,79.56,1961,20220518
79.54,79.62,79.52,79.62,2901,20220518
79.62,79.62,79.59,79.61,4499,20220518
79.59,79.61,79.51,79.51,4076,20220518
79.54,79.56,79.53,79.53,892,20220518
79.55,79.55,79.48,79.5,3578,20220518
79.48,79.5,79.46,79.48,5259,20220518
79.49,79.54,79.48,79.52,5369,20220518
79.52,79.548,79.44,79.45,5249,20220518
79.41,79.41,79.325,79.325,1064,20220518
79.31,79.36,79.27,79.3197,2444,20220518
79.33,79.3663,79.32,79.34,2192,20220518
79.34,79.34,79.27,79.28,2786,20220518
79.27,79.27,79.24,79.27,2730,20220518
79.26,79.3,79.26,79.28,1275,20220518
79.26,79.28,79.2106,79.25,1840,20220518
79.25,79.33,79.25,79.33,5667,20220518
79.37,79.37,79.32,79.32,4491,20220518
79.34,79.37,79.32,79.37,908,20220518
79.36,79.41,79.32,79.41,1454,20220518
79.41,79.43,79.4,79.4,1937,20220518
79.38,79.38,79.35,79.38,2913,20220518
79.38,79.47,79.38,79.44,3371,20220518
79.42,79.42,79.37,79.37,1700,20220518
79.32,79.36,79.23,79.23,2398,20220518
79.27,79.27,79.23,79.23,1817,20220518
79.24,79.34,79.24,79.32,1422,20220518
79.34,79.37,79.32,79.33,2106,20220518
79.31,79.31,79.2,79.2,1000,20220518
79.2,79.22,79.17,79.22,1826,20220518
79.23,79.26,79.15,79.26,2000,20220518
79.29,79.29,79.27,79.29,1342,20220518
79.3,79.4,79.16,79.205,2155,20220518
79.225,79.3,79.22,79.22,2641,20220518
79.23,79.24,79.18,79.22,1000,20220518
79.23,79.23,79.16,79.16,1802,20220518
79.1562,79.19,79.11,79.11,2583,20220518
79.16,79.19,79.1,79.15,8582,20220518
79.13,79.36,79.11,79.31,2358,20220518
79.33,79.39,79.33,79.39,1329,20220518
79.45,79.49,79.39,79.43,3807,20220518
79.44,79.48,79.42,79.42,1501,20220518
79.41,79.45,79.4,79.4,2469,20220518
79.34,79.43,79.3,79.41,2679,20220518
79.46,79.5,79.42,79.4425,2000,20220518
79.44,79.49,79.39,79.47,2781,20220518
79.49,79.49,79.38,79.38,1540,20220518
79.41,79.52,79.41,79.52,2094,20220518
79.5,79.55,79.48,79.52,2502,20220518
79.55,79.59,79.54,79.57,1599,20220518
79.56,79.57,79.53,79.55,1435,20220518
79.54,79.59,79.5,79.58,2200,20220518
79.58,79.61,79.5,79.53,3927,20220518
79.5,79.5,79.38,79.42,4163,20220518
79.46,79.4725,79.375,79.375,2931,20220518
79.38,79.41,79.34,79.375,4000,20220518
79.36,79.39,79.31,79.33,2637,20220518
79.3,79.3,79.26,79.27,1659,20220518
79.24,79.25,79.12,79.12,2350,20220518
79.115,79.1775,79.09,79.13,7972,20220518
79.13,79.22,79.11,79.2101,3400,20220518
79.19,79.25,79.18,79.22,3621,20220518
79.26,79.37,79.26,79.36,3988,20220518
79.35,79.37,79.33,79.35,2366,20220518
79.35,79.375,79.33,79.35,1700,20220518
79.36,79.37,79.295,79.35,2171,20220518
79.31,79.32,79.28,79.28,2168,20220518
79.26,79.33,79.25,79.3,2087,20220518
79.285,79.32,79.28,79.3,1709,20220518
79.3,79.33,79.25,79.27,4702,20220518
79.26,79.45,79.22,79.41,9012,20220518
79.46,79.47,79.41,79.4175,2684,20220518
79.49,79.53,79.45,79.46,3628,20220518
79.4,79.44,79.395,79.42,1454,20220518
79.41,79.41,79.2996,79.34,2852,20220518
79.31,79.35,79.25,79.34,2079,20220518
79.3,79.33,79.24,79.29,2046,20220518
79.27,79.37,79.27,79.37,2978,20220518
79.3775,79.385,79.31,79.33,1406,20220518
79.27,79.4,79.27,79.39,4802,20220518
79.34,79.36,79.29,79.31,1723,20220518
79.275,79.32,79.23,79.32,3808,20220518
79.25,79.419,79.25,79.41,3855,20220519
79.355,79.41,79.35,79.41,2160,20220519
79.37,79.42,79.37,79.38,2822,20220519
79.36,79.4,79.35,79.36,2400,20220519
79.35,79.39,79.315,79.39,14082,20220519
79.39,79.42,79.37,79.41,1800,20220519
79.36,79.38,79.34,79.38,800,20220519
79.37,79.46,79.35,79.44,2338,20220519
79.41,79.41,79.3075,79.33,1743,20220519
79.33,79.39,79.23,79.23,15610,20220519
79.23,79.3,79.17,79.25,1802,20220519
79.24,79.25,79.15,79.23,1550,20220519
79.23,79.23,79.07,79.16,3977,20220519
79.16,79.16,78.98,78.98,2169,20220519
79.0175,79.04,78.94,78.99,5668,20220519
78.99,79.06,78.9,78.9,3200,20220519
78.95,79.04,78.935,79.03,4614,20220519
79.05,79.07,78.98,78.98,3410,20220519
78.98,78.99,78.945,78.98,2427,20220519
78.95,79.05,78.95,79.03,2900,20220519
79.0225,79.07,79.02,79.07,2448,20220519
79.02,79.03,78.98,79.015,2392,20220519
79.025,79.025,78.8875,78.94,5307,20220519
78.96,78.98,78.88,78.88,2438,20220519
78.87,78.881,78.82,78.85,4623,20220519
78.87,78.88,78.77,78.8,8800,20220519
78.785,78.825,78.76,78.78,4030,20220519
78.81,78.82,78.75,78.82,5446,20220519
78.79,78.81,78.71,78.77,3343,20220519
78.77,78.805,78.66,78.69,4443,20220519
78.68,78.72,78.63,78.63,6460,20220519
78.64,78.655,78.56,78.645,10158,20220519
78.68,78.7,78.63,78.63,5374,20220519
78.635,78.705,78.62,78.685,10165,20220519
78.7,78.71,78.66,78.66,5607,20220519
78.65,78.67,78.61,78.66,4477,20220519
78.66,78.87,78.66,78.87,6360,20220519
78.84,79.02,78.84,79.0,4539,20220519
79.02,79.04,78.9,79.02,6008,20220519
79.06,79.14,79.03,79.05,5904,20220519
79.02,79.14,79.0,79.0,4579,20220519
79.0,79.05,78.93,79.015,4454,20220519
78.98,78.99,78.87,78.91,8682,20220519
78.9,78.9,78.8,78.86,10391,20220519
78.86,78.99,78.85,78.92,8542,20220519
78.9,78.94,78.81,78.81,7629,20220519
78.8,78.8,78.72,78.73,3780,20220519
78.72,78.86,78.72,78.86,18342,20220519
78.87,78.95,78.82,78.93,40296,20220519
78.92,79.01,78.86,79.01,36909,20220519
78.98,79.27,78.91,79.17,47798,20220519
79.19,79.19,78.91,78.96,14788,20220519
78.965,79.0,78.88,78.92,8793,20220519
78.9,78.9,78.77,78.785,9316,20220519
78.8,78.84,78.68,78.745,12426,20220519
78.72,78.87,78.71,78.845,15156,20220519
78.84,78.84,78.71,78.8,13517,20220519
78.8,78.93,78.79,78.92,19777,20220519
78.91,79.08,78.89,79.06,41683,20220519
79.05,79.08,78.89,79.03,64724,20220519
78.31,78.485,78.31,78.435,36393,20220519
78.52,78.65,78.36,78.55,11240,20220519
78.55,78.55,78.32,78.46,3215,20220519
78.46,78.56,78.4,78.4,26408,20220519
78.47,78.515,78.275,78.41,3742,20220519
78.4,78.73,78.38,78.73,1325,20220519
78.8,79.25,78.72,79.23,4105,20220519
79.105,79.38,79.105,79.31,810,20220519
79.25,79.32,79.15,79.215,1723,20220519
79.31,79.43,79.28,79.35,1800,20220519
79.46,79.48,79.42,79.46,1050,20220519
79.4,79.495,79.285,79.495,3173,20220519
79.42,79.46,79.28,79.46,2346,20220519
79.38,79.5,79.24,79.24,1567,20220519
79.32,79.34,79.17,79.2,5329,20220519
79.19,79.31,79.19,79.31,1678,20220519
79.27,79.4,79.21,79.355,6685,20220519
79.33,79.33,79.09,79.1,4028,20220519
79.13,79.15,79.09,79.1,3765,20220519
79.07,79.1,79.02,79.0541,1445,20220519
79.09,79.12,79.06,79.12,4555,20220519
79.14,79.32,79.1,79.319,2236,20220519
