open,high,low,close,volume,datetime
96.4,96.455,96.24,96.24,19734,20220518
96.295,96.295,96.01,96.01,635,20220518
95.82,95.98,95.72,95.96,1513,20220518
95.76,95.76,95.66,95.66,1555,20220518
95.58,95.66,95.49,95.66,822,20220518
95.74,95.74,95.45,95.49,2158,20220518
95.43,95.43,95.24,95.25,2289,20220518
95.22,95.295,95.11,95.2,1940,20220518
95.09,95.105,94.95,94.98,1787,20220518
94.895,94.92,94.76,94.76,725,20220518
94.92,94.92,94.92,94.92,198,20220518
94.86,94.86,94.75,94.75,507,20220518
94.68,94.75,94.68,94.75,1007,20220518
94.74,94.74,94.465,94.515,5404,20220518
94.42,94.52,94.38,94.4,1244,20220518
94.435,94.435,94.22,94.22,2947,20220518
94.245,94.245,94.2,94.2,800,20220518
94.2,94.2,94.2,94.2,150,20220518
94.13,94.18,94.13,94.18,831,20220518
94.25,94.31,94.25,94.28,900,20220518
94.29,94.29,94.29,94.29,100,20220518
94.14,94.15,94.005,94.024,1885,20220518
93.99,93.99,93.91,93.915,1962,20220518
93.84,94.0,93.84,94.0,1046,20220518
94.085,94.44,94.085,94.44,2711,20220518
94.5,94.62,94.5,94.51,4003,20220518
94.48,94.58,94.48,94.58,914,20220518
94.62,94.64,94.48,94.48,3587,20220518
94.475,94.71,94.435,94.69,2555,20220518
94.42,94.42,94.34,94.34,1490,20220518
94.23,94.23,94.1,94.11,1000,20220518
94.04,94.04,94.04,94.04,100,20220518
93.96,93.97,93.87,93.97,600,20220518
93.97,94.0,93.86,93.86,1868,20220518
93.88,93.92,93.7,93.735,1005,20220518
93.7,93.78,93.7,93.78,200,20220518
93.775,94.0,93.775,94.0,12600,20220518
93.94,93.94,93.76,93.765,1001,20220518
93.73,93.73,93.73,93.73,100,20220518
93.9,93.9,93.9,93.9,200,20220518
93.83,93.83,93.81,93.81,795,20220518
93.74,93.78,93.74,93.78,200,20220518
93.77,93.8,93.77,93.8,1720,20220518
93.79,93.81,93.73,93.81,446,20220518
93.88,94.04,93.88,94.03,300,20220518
93.95,93.96,93.81,93.81,1405,20220518
93.895,93.895,93.895,93.895,100,20220518
93.87,93.87,93.84,93.84,602,20220518
93.75,93.82,93.75,93.75,300,20220518
93.75,93.78,93.74,93.78,750,20220518
93.8,93.86,93.8,93.82,500,20220518
93.81,93.82,93.71,93.73,1888,20220518
93.72,93.82,93.72,93.78,2018,20220518
93.81,93.87,93.81,93.87,400,20220518
93.98,93.98,93.8,93.8,3948,20220518
93.7889,93.8,93.7889,93.8,1400,20220518
93.8,93.8,93.8,93.8,100,20220518
93.79,93.81,93.78,93.8,725,20220518
93.8,93.83,93.75,93.75,1216,20220518
93.75,93.86,93.75,93.86,400,20220518
93.73,93.7407,93.67,93.7407,1586,20220518
93.64,93.7363,93.63,93.7363,2509,20220518
93.74,93.7746,93.74,93.74,1200,20220518
93.77,93.77,93.76,93.77,996,20220518
