open,high,low,close,volume,datetime
87.71,88.42,87.38,88.03,34938,20220518
87.83,88.27,87.7,88.27,3017,20220518
88.34,88.4299,87.82,87.99,4720,20220518
87.95,87.9699,87.78,87.81,1600,20220518
87.62,87.62,87.5,87.5,999,20220518
87.34,87.57,87.34,87.57,2200,20220518
87.57,87.57,87.142,87.3,2580,20220518
87.1,87.18,87.01,87.1,4950,20220518
87.0378,87.46,87.0378,87.155,4102,20220518
87.01,87.1599,86.8833,87.015,2750,20220518
87.0,87.1,86.78,86.905,4273,20220518
87.0,87.25,87.0,87.0966,3100,20220518
87.24,87.24,86.91,87.11,11401,20220518
87.17,87.2,86.87,86.96,22543,20220518
86.95,87.0,86.83,86.83,6608,20220518
86.82,87.13,86.77,87.13,8347,20220518
87.175,87.2325,87.0917,87.19,3089,20220518
87.285,87.31,87.2,87.3,2968,20220518
87.38,87.46,87.27,87.3,4008,20220518
87.465,87.58,87.395,87.515,6300,20220518
87.48,87.5885,87.3,87.415,2377,20220518
87.34,87.57,87.34,87.385,2792,20220518
87.39,87.555,87.36,87.555,800,20220518
87.56,87.62,87.52,87.5706,500,20220518
87.61,87.62,87.32,87.46,2400,20220518
87.48,87.55,87.465,87.465,2000,20220518
87.46,87.48,87.39,87.46,3272,20220518
87.47,87.52,87.41,87.42,5538,20220518
87.32,87.4,87.32,87.4,2265,20220518
87.3543,87.4,87.295,87.4,2613,20220518
87.33,87.86,87.33,87.81,4200,20220518
87.89,87.89,87.89,87.89,200,20220518
87.77,87.78,87.76,87.78,500,20220518
87.91,88.19,87.91,88.06,900,20220518
88.18,88.2,88.05,88.17,700,20220518
88.11,88.24,88.05,88.2,4063,20220518
88.15,88.15,88.15,88.15,100,20220518
88.19,88.19,87.94,88.09,5700,20220518
88.02,88.13,87.945,88.03,1547,20220518
88.0,88.09,87.96,88.015,605,20220518
87.985,88.11,87.9203,88.1,12042,20220518
88.0,88.01,87.84,87.84,2855,20220518
87.87,87.98,87.81,87.98,4340,20220518
87.95,88.0,87.89,87.945,3651,20220518
88.01,88.12,87.95,88.02,1669,20220518
88.03,88.1,87.9,87.975,7259,20220518
87.91,87.95,87.805,87.95,1895,20220518
87.98,88.02,87.7901,88.01,1412,20220518
87.99,88.27,87.99,88.02,17864,20220518
88.015,88.09,87.995,88.09,6796,20220518
88.08,88.23,88.08,88.23,600,20220518
88.21,88.28,88.195,88.195,1200,20220518
88.19,88.285,88.18,88.285,600,20220518
88.17,88.18,87.98,88.03,3800,20220518
88.0,88.01,87.7816,87.7816,2550,20220518
87.79,87.925,87.79,87.83,2600,20220518
87.78,87.9,87.74,87.85,1737,20220518
87.7,87.745,87.535,87.575,1417,20220518
87.52,87.54,87.4207,87.465,5008,20220518
87.42,87.48,87.3,87.48,11500,20220518
87.55,87.9,87.54,87.82,3160,20220518
87.805,87.805,87.5846,87.5846,1000,20220518
87.5,87.525,87.46,87.49,3400,20220518
87.485,87.66,87.47,87.58,5730,20220518
87.56,87.57,87.43,87.569,3126,20220518
87.49,87.49,87.35,87.36,1727,20220518
87.36,87.485,87.22,87.22,3974,20220518
87.21,87.32,87.15,87.18,3819,20220518
87.25,87.25,87.245,87.25,600,20220518
87.3,87.405,87.16,87.405,3900,20220518
87.37,87.42,87.325,87.345,500,20220518
87.405,87.585,87.405,87.585,785,20220518
87.5,87.66,87.5,87.56,900,20220518
87.644,87.644,87.48,87.54,1800,20220518
87.5175,87.5175,87.46,87.47,700,20220518
87.4,87.46,87.39,87.46,3260,20220518
87.56,87.85,87.56,87.72,3187,20220518
87.65,87.725,87.64,87.725,400,20220518
87.755,87.81,87.565,87.565,1600,20220518
87.565,87.63,87.565,87.5679,1500,20220518
87.51,87.63,87.47,87.57,3000,20220518
87.64,87.7,87.565,87.63,2802,20220518
87.55,87.585,87.5,87.55,1010,20220518
87.58,87.72,87.57,87.66,2077,20220518
87.585,87.59,87.53,87.53,400,20220518
87.58,87.74,87.56,87.61,2002,20220518
87.64,87.64,87.585,87.64,1400,20220518
87.7,87.84,87.7,87.82,4066,20220518
87.85,87.95,87.83,87.95,400,20220518
87.9,87.98,87.77,87.92,1600,20220518
87.92,87.93,87.89,87.89,400,20220518
87.94,87.94,87.85,87.885,2365,20220518
88.0199,88.0199,87.85,87.93,2443,20220518
87.94,87.98,87.76,87.845,2900,20220518
87.91,87.91,87.76,87.86,2400,20220518
87.73,87.84,87.73,87.84,1400,20220518
87.86,87.86,87.71,87.725,4422,20220518
87.77,87.93,87.71,87.93,2908,20220518
87.77,87.87,87.77,87.81,1972,20220518
87.79,87.81,87.79,87.81,399,20220518
87.755,87.76,87.55,87.645,4016,20220518
87.62,87.63,87.62,87.625,500,20220518
87.625,87.625,87.5801,87.5801,270,20220518
87.625,87.625,87.625,87.625,350,20220518
87.625,87.63,87.6083,87.625,900,20220518
87.58,87.65,87.42,87.46,4664,20220518
87.445,87.53,87.28,87.35,1834,20220518
87.29,87.31,87.1,87.19,8183,20220518
87.07,87.1,87.04,87.0881,3124,20220518
87.105,87.18,87.1,87.18,1700,20220518
87.15,87.17,86.92,87.03,8971,20220518
87.12,87.12,87.035,87.045,400,20220518
87.05,87.05,86.85,87.0,5431,20220518
87.0,87.0,86.7701,86.86,2400,20220518
86.9,86.99,86.845,86.99,2900,20220518
86.85,86.99,86.85,86.86,1200,20220518
86.825,86.99,86.825,86.935,900,20220518
87.0,87.08,86.94,87.08,2987,20220518
87.08,87.08,86.87,87.0,2000,20220518
86.915,86.915,86.915,86.915,200,20220518
86.99,87.14,86.99,87.14,1400,20220518
87.18,87.2658,87.14,87.2658,2230,20220518
87.11,87.175,86.91,87.08,11300,20220518
87.19,87.3,87.17,87.185,2600,20220518
87.185,87.3,87.185,87.29,3165,20220518
87.215,87.43,87.215,87.37,2382,20220518
87.4061,87.59,87.4061,87.59,1767,20220518
87.53,87.58,87.435,87.48,2396,20220518
87.65,87.7588,87.65,87.66,2519,20220518
87.66,87.84,87.6,87.62,3484,20220518
87.62,87.76,87.62,87.675,1864,20220518
87.65,87.75,87.5,87.565,4355,20220518
87.57,87.57,87.5,87.5,9100,20220518
87.51,87.51,87.18,87.18,10066,20220518
87.18,87.18,87.05,87.05,1100,20220518
87.21,87.21,87.1,87.209,1500,20220518
87.05,87.08,86.95,86.995,3870,20220518
87.04,87.09,86.95,86.95,3003,20220518
87.04,87.05,87.04,87.05,200,20220518
86.93,86.98,86.91,86.93,700,20220518
86.97,86.97,86.81,86.81,2297,20220518
86.87,86.92,86.85,86.85,525,20220518
86.92,87.05,86.92,87.05,600,20220518
86.88,86.91,86.88,86.91,300,20220518
86.87,87.04,86.87,87.04,500,20220518
86.9101,86.92,86.83,86.83,741,20220518
86.845,86.845,86.8431,86.8431,225,20220518
86.85,86.85,86.7,86.82,3000,20220518
86.75,86.825,86.75,86.76,400,20220518
86.74,86.77,86.65,86.7025,6291,20220518
86.695,86.71,86.61,86.6375,5850,20220518
86.6682,86.6682,86.46,86.51,6700,20220518
86.46,86.505,86.44,86.5,900,20220518
86.455,86.5,86.4,86.49,4858,20220518
86.45,86.49,86.4,86.47,11100,20220518
86.48,86.56,86.48,86.56,1400,20220518
86.47,86.5,86.4,86.47,10314,20220518
86.54,86.57,86.475,86.57,3800,20220518
86.49,86.49,86.49,86.49,100,20220518
86.61,86.61,86.575,86.575,200,20220518
86.62,86.74,86.5765,86.69,1893,20220518
86.65,86.8,86.605,86.8,3021,20220518
86.78,87.04,86.78,86.945,2828,20220518
86.96,86.9981,86.79,86.9981,2973,20220518
86.82,86.86,86.68,86.755,3980,20220518
86.725,86.78,86.71,86.73,6400,20220518
86.7,86.8,86.65,86.65,1946,20220518
86.64,86.64,86.475,86.6,1842,20220518
86.58,86.58,86.4,86.4,806,20220518
86.445,86.45,86.28,86.31,960,20220518
86.39,86.39,86.21,86.33,3561,20220518
86.27,86.38,86.27,86.38,1990,20220518
86.33,86.4,86.22,86.4,7200,20220518
86.365,86.365,86.365,86.365,300,20220518
86.3,86.5,86.3,86.5,3300,20220518
86.38,86.38,86.3,86.35,2380,20220518
86.37,86.38,86.2,86.24,3403,20220518
86.16,86.235,86.15,86.23,7607,20220518
86.3,86.4,86.2775,86.39,1800,20220518
86.27,86.27,86.2426,86.2426,200,20220518
86.315,86.38,86.25,86.38,5328,20220518
86.445,86.54,86.42,86.45,1502,20220518
86.3753,86.5,86.3753,86.5,2893,20220518
86.48,86.48,86.3,86.36,1965,20220518
86.26,86.3,86.1201,86.255,1000,20220518
86.29,86.37,86.29,86.328,800,20220518
86.41,86.41,86.41,86.41,100,20220518
86.37,86.375,86.37,86.375,300,20220518
86.43,86.48,86.3651,86.39,4720,20220518
86.395,86.46,86.395,86.46,200,20220518
86.465,86.465,86.31,86.31,846,20220518
86.32,86.32,86.245,86.27,500,20220518
86.36,86.56,86.295,86.5,900,20220518
86.42,86.58,86.29,86.57,1950,20220518
86.475,86.475,86.455,86.455,300,20220518
86.54,86.73,86.54,86.625,900,20220518
86.63,86.8472,86.63,86.7,1516,20220518
86.669,86.67,86.62,86.62,1500,20220518
86.65,86.69,86.65,86.69,302,20220518
86.78,86.81,86.62,86.645,2735,20220518
86.635,86.635,86.59,86.59,200,20220518
86.68,86.73,86.6,86.635,3300,20220518
86.635,86.68,86.57,86.625,2206,20220518
86.63,86.71,86.63,86.71,525,20220518
86.77,86.92,86.7586,86.905,2275,20220518
86.84,86.96,86.8,86.88,1000,20220518
86.79,86.79,86.72,86.72,1400,20220518
86.71,86.71,86.71,86.71,100,20220518
86.68,86.8,86.65,86.8,1500,20220518
86.75,86.76,86.58,86.615,8800,20220518
86.57,86.68,86.52,86.59,3600,20220518
86.535,86.6,86.49,86.505,1400,20220518
86.505,86.55,86.43,86.445,5400,20220518
86.445,86.445,86.328,86.328,4648,20220518
86.32,86.37,86.31,86.37,1450,20220518
86.35,86.37,86.245,86.255,3865,20220518
86.23,86.255,86.17,86.2,1600,20220518
86.18,86.22,86.17,86.22,1260,20220518
86.16,86.165,86.02,86.02,5900,20220518
86.06,86.06,85.94,85.995,2595,20220518
86.01,86.01,85.91,85.91,465,20220518
85.89,85.96,85.86,85.87,2931,20220518
85.79,85.83,85.79,85.83,1100,20220518
85.8,85.8,85.68,85.74,2366,20220518
85.82,85.85,85.75,85.75,6410,20220518
85.795,85.805,85.72,85.805,500,20220518
85.8,85.88,85.72,85.86,1292,20220518
85.92,86.0,85.845,85.95,1219,20220518
85.93,86.0,85.88,85.88,2242,20220518
85.83,85.88,85.76,85.82,500,20220518
85.825,85.825,85.825,85.825,200,20220518
85.76,85.88,85.76,85.88,2100,20220518
85.82,86.04,85.81,85.98,1102,20220518
85.995,86.005,85.995,86.005,265,20220518
86.07,86.32,86.03,86.31,1300,20220518
86.215,86.24,86.19,86.19,1834,20220518
86.24,86.43,86.235,86.43,1600,20220518
86.4259,86.4259,86.3,86.375,615,20220518
86.25,86.25,86.16,86.235,1000,20220518
86.27,86.34,86.245,86.28,1831,20220518
86.16,86.275,86.16,86.18,1000,20220518
86.19,86.19,86.125,86.19,1400,20220518
86.13,86.35,86.12,86.31,6936,20220518
86.3,86.38,86.29,86.35,811,20220518
86.35,86.35,86.18,86.22,1938,20220518
86.215,86.32,86.16,86.275,4025,20220518
86.3093,86.3093,86.18,86.26,2690,20220518
86.15,86.2447,86.13,86.2447,1121,20220518
86.13,86.155,86.11,86.145,1000,20220518
86.179,86.179,86.025,86.055,1900,20220518
86.07,86.11,85.92,85.98,5325,20220518
85.92,85.945,85.77,85.79,12200,20220518
85.79,85.85,85.765,85.85,1357,20220518
85.81,85.88,85.765,85.88,1966,20220518
85.88,85.93,85.87,85.87,2400,20220518
85.88,85.96,85.88,85.905,600,20220518
85.99,85.99,85.99,85.99,300,20220518
85.985,86.04,85.96,85.96,1700,20220518
86.02,86.06,85.9453,86.0,1900,20220518
85.95,86.01,85.94,86.01,1300,20220518
86.04,86.06,86.04,86.055,700,20220518
86.06,86.1,86.06,86.095,400,20220518
86.03,86.1,86.03,86.06,600,20220518
86.05,86.07,85.94,86.07,3700,20220518
86.09,86.33,86.09,86.33,1106,20220518
86.29,86.33,86.13,86.25,3455,20220518
86.18,86.18,85.9925,86.015,1520,20220518
86.01,86.02,85.96,85.995,4270,20220518
86.03,86.12,86.03,86.09,923,20220518
86.13,86.16,86.0001,86.08,1306,20220518
86.02,86.12,86.02,86.02,700,20220518
85.98,86.0,85.965,86.0,1100,20220518
85.98,86.03,85.92,86.03,4465,20220518
86.01,86.08,86.01,86.08,300,20220518
86.06,86.175,86.015,86.015,2500,20220518
86.07,86.2,86.07,86.11,1280,20220518
86.17,86.17,85.99,86.005,1100,20220518
86.05,86.27,86.05,86.23,2700,20220518
86.1761,86.22,86.09,86.22,2345,20220518
86.1,86.24,86.1,86.175,10401,20220518
86.23,86.34,86.23,86.34,600,20220518
86.43,86.45,86.27,86.31,2411,20220518
86.3253,86.35,86.26,86.28,1132,20220518
86.3391,86.46,86.32,86.335,3400,20220518
86.3405,86.3405,86.28,86.295,1620,20220518
86.38,86.38,86.305,86.31,2758,20220518
86.31,86.45,86.25,86.32,2200,20220518
86.26,86.26,86.23,86.23,200,20220518
86.24,86.26,86.2,86.2,1600,20220518
86.28,86.32,86.24,86.245,700,20220518
86.34,86.38,86.23,86.38,26900,20220518
86.38,86.56,86.33,86.415,2620,20220518
86.4616,86.47,86.41,86.41,4500,20220518
86.34,86.45,86.33,86.45,3880,20220518
86.37,86.44,86.27,86.27,3000,20220518
86.3,86.3,86.16,86.165,3100,20220518
86.16,86.17,86.07,86.08,2900,20220518
86.13,86.15,86.13,86.14,900,20220518
86.05,86.085,85.97,86.02,3100,20220518
86.0,86.01,85.965,85.97,2500,20220518
85.955,86.0,85.91,85.989,6030,20220518
86.05,86.1,86.05,86.06,2405,20220518
86.0,86.05,85.99,86.05,2503,20220518
85.97,86.19,85.97,86.19,900,20220518
86.18,86.2,86.07,86.085,3600,20220518
86.16,86.16,85.97,86.07,7752,20220518
85.94,86.01,85.94,86.0,500,20220518
85.97,86.0,85.9,85.965,5187,20220518
85.98,85.98,85.87,85.925,1800,20220518
85.915,85.915,85.79,85.83,1200,20220518
85.74,85.77,85.59,85.625,2129,20220518
85.58,85.73,85.54,85.73,2600,20220518
85.86,85.91,85.86,85.9,900,20220518
85.97,86.07,85.95,86.015,1700,20220518
86.015,86.07,85.94,86.07,1200,20220518
86.05,86.1,85.99,86.1,1501,20220518
86.04,86.12,86.04,86.12,700,20220518
86.055,86.085,85.93,85.98,3400,20220518
86.01,86.08,85.9975,86.08,1000,20220518
86.1,86.1,86.05,86.055,806,20220518
85.995,85.995,85.87,85.87,1921,20220518
85.83,85.98,85.83,85.86,1350,20220518
85.83,85.91,85.78,85.91,2070,20220518
