open,high,low,close,volume,datetime
77.63,78.3,77.63,77.96,10181,20220518
77.7155,77.72,77.47,77.47,1500,20220518
77.4,77.54,77.4,77.54,600,20220518
77.74,77.77,77.54,77.69,2017,20220518
77.83,77.83,77.56,77.65,1118,20220518
77.86,77.905,77.59,77.87,1885,20220518
77.87,77.87,77.67,77.7,711,20220518
77.65,77.65,77.65,77.65,200,20220518
77.51,77.555,77.4,77.4,940,20220518
77.23,77.26,77.23,77.26,200,20220518
77.33,77.45,77.27,77.395,2613,20220518
77.465,77.465,77.23,77.265,700,20220518
77.27,77.27,77.27,77.27,150,20220518
77.3,77.51,77.26,77.34,1909,20220518
77.33,77.4625,77.32,77.39,1212,20220518
77.365,77.49,77.365,77.44,1200,20220518
77.47,77.66,77.42,77.66,2200,20220518
77.73,77.73,77.63,77.63,500,20220518
77.7,77.84,77.62,77.735,1660,20220518
77.6453,77.73,77.62,77.655,5202,20220518
77.59,77.7,77.59,77.65,2598,20220518
77.63,77.77,77.63,77.77,600,20220518
77.76,77.76,77.61,77.64,538,20220518
77.61,77.61,77.61,77.61,445,20220518
77.645,77.645,77.645,77.645,100,20220518
77.54,77.54,77.415,77.415,750,20220518
77.35,77.38,77.31,77.38,700,20220518
77.25,77.31,77.22,77.31,400,20220518
77.29,77.38,77.29,77.35,1300,20220518
77.39,77.39,77.35,77.35,640,20220518
77.4789,77.48,77.36,77.405,3067,20220518
77.49,77.49,77.44,77.44,300,20220518
77.4,77.51,77.4,77.49,520,20220518
77.52,77.54,77.39,77.42,1420,20220518
77.45,77.45,77.3,77.3,400,20220518
77.22,77.22,77.15,77.15,839,20220518
77.12,77.13,77.12,77.13,600,20220518
77.13,77.21,77.13,77.21,900,20220518
77.19,77.21,77.13,77.21,727,20220518
77.195,77.195,77.12,77.12,1042,20220518
77.115,77.2,77.115,77.2,800,20220518
77.16,77.275,77.16,77.26,1200,20220518
77.26,77.36,77.25,77.36,600,20220518
77.36,77.36,77.31,77.31,200,20220518
77.39,77.41,77.39,77.41,415,20220518
77.43,77.45,77.41,77.43,1922,20220518
77.49,77.5,77.43,77.495,1300,20220518
77.555,77.6,77.555,77.6,200,20220518
77.62,77.62,77.62,77.62,400,20220518
77.71,77.74,77.64,77.64,1433,20220518
77.61,77.67,77.59,77.61,1867,20220518
77.6,77.67,77.6,77.6621,2489,20220518
77.61,77.65,77.61,77.63,1050,20220518
77.61,77.75,77.61,77.68,1650,20220518
77.64,77.64,77.61,77.64,1936,20220518
77.6475,77.6475,77.57,77.575,3804,20220518
77.56,77.6,77.53,77.53,4289,20220518
77.42,77.42,77.39,77.39,503,20220518
77.32,77.34,77.28,77.28,1025,20220518
77.26,77.26,77.23,77.23,200,20220518
77.23,77.3,77.23,77.3,1825,20220518
77.36,77.421,77.325,77.37,16625,20220518
77.3,77.3454,77.29,77.3454,1151,20220518
77.34,77.4,77.34,77.4,900,20220518
77.39,77.47,77.39,77.43,1748,20220518
77.42,77.46,77.36,77.36,1315,20220518
77.32,77.38,77.3,77.3,700,20220518
77.4,77.42,77.3,77.3,400,20220518
77.27,77.32,77.27,77.32,801,20220518
77.335,77.35,77.3075,77.345,1200,20220518
77.305,77.385,77.305,77.38,400,20220518
77.38,77.43,77.38,77.41,500,20220518
77.41,77.41,77.37,77.41,600,20220518
77.44,77.63,77.42,77.55,2851,20220518
77.5788,77.5788,77.5788,77.5788,100,20220518
77.61,77.655,77.57,77.57,1291,20220518
77.56,77.58,77.56,77.58,200,20220518
77.57,77.57,77.57,77.57,200,20220518
77.61,77.61,77.5668,77.5668,209,20220518
77.605,77.605,77.605,77.605,100,20220518
77.59,77.59,77.55,77.55,300,20220518
77.505,77.505,77.47,77.47,1296,20220518
77.4625,77.53,77.4625,77.53,600,20220518
77.55,77.65,77.55,77.65,1012,20220518
77.63,77.63,77.63,77.63,300,20220518
77.66,77.66,77.64,77.65,401,20220518
77.62,77.62,77.58,77.58,200,20220518
77.58,77.61,77.5,77.5,300,20220518
77.45,77.45,77.41,77.41,409,20220518
77.39,77.39,77.39,77.39,200,20220518
77.385,77.385,77.385,77.385,100,20220518
77.33,77.33,77.22,77.22,500,20220518
77.19,77.24,77.19,77.24,666,20220518
77.2,77.23,77.2,77.23,400,20220518
77.18,77.2,77.18,77.19,867,20220518
77.2,77.2,77.16,77.16,609,20220518
