open,high,low,close,volume,datetime
69.55,69.62,69.43,69.53,12601,20220518
69.52,69.52,69.41,69.506,1200,20220518
69.44,69.46,69.3016,69.3016,752,20220518
69.37,69.39,69.26,69.35,1101,20220518
69.34,69.43,69.23,69.43,5282,20220518
69.405,69.5,69.4,69.46,3125,20220518
69.42,69.5,69.37,69.5,5068,20220518
69.49,69.55,69.41,69.53,2573,20220518
69.46,69.48,69.37,69.411,2250,20220518
69.36,69.39,69.3,69.3,1115,20220518
69.31,69.33,69.25,69.27,1473,20220518
69.25,69.3,69.2,69.2,700,20220518
69.16,69.29,69.15,69.265,1200,20220518
69.26,69.31,69.25,69.25,4124,20220518
69.26,69.34,69.26,69.34,1701,20220518
69.37,69.375,69.28,69.335,4726,20220518
69.36,69.38,69.3009,69.38,3011,20220518
69.355,69.48,69.355,69.4,1806,20220518
69.405,69.46,69.395,69.415,1500,20220518
69.425,69.4899,69.4,69.48,3021,20220518
69.55,69.57,69.5,69.51,2894,20220518
69.45,69.45,69.32,69.325,2143,20220518
69.32,69.32,69.26,69.3005,1580,20220518
69.23,69.24,69.15,69.24,2852,20220518
69.18,69.3,69.14,69.26,4094,20220518
69.22,69.23,69.18,69.22,700,20220518
69.25,69.26,69.21,69.23,1445,20220518
69.21,69.21,69.2,69.2,1020,20220518
69.16,69.2,69.08,69.095,2513,20220518
69.08,69.135,69.05,69.135,3316,20220518
69.15,69.15,69.02,69.11,1828,20220518
69.04,69.05,69.0,69.04,2126,20220518
69.0,69.0111,68.99,69.0111,1870,20220518
69.01,69.09,69.01,69.08,1500,20220518
69.09,69.12,69.08,69.12,1807,20220518
69.12,69.12,68.99,68.99,900,20220518
69.03,69.06,68.98,69.0,1400,20220518
68.96,68.989,68.92,68.96,2187,20220518
68.985,69.001,68.95,68.98,2172,20220518
69.01,69.09,69.01,69.09,1800,20220518
69.09,69.09,69.03,69.03,400,20220518
69.07,69.13,69.07,69.13,1289,20220518
69.14,69.17,69.12,69.165,1595,20220518
69.12,69.16,69.12,69.16,534,20220518
69.16,69.165,69.14,69.165,700,20220518
69.2,69.2,69.15,69.15,1032,20220518
69.13,69.15,69.1,69.12,900,20220518
69.08,69.13,69.08,69.12,900,20220518
69.135,69.18,69.12,69.18,600,20220518
69.18,69.22,69.17,69.21,3804,20220518
69.19,69.27,69.19,69.23,1300,20220518
69.26,69.26,69.185,69.185,3075,20220518
69.17,69.18,69.12,69.175,2900,20220518
69.15,69.17,69.13,69.165,1004,20220518
69.2,69.24,69.19,69.215,2452,20220518
69.25,69.26,69.18,69.25,5650,20220518
69.24,69.28,69.24,69.275,1315,20220518
69.26,69.31,69.26,69.31,1628,20220518
69.27,69.3,69.25,69.3,600,20220518
69.3,69.3,69.27,69.3,600,20220518
69.31,69.36,69.29,69.31,1447,20220518
69.33,69.35,69.3,69.345,1077,20220518
69.36,69.36,69.285,69.295,1617,20220518
69.31,69.34,69.31,69.33,2833,20220518
69.36,69.415,69.36,69.415,1100,20220518
69.45,69.45,69.42,69.42,588,20220518
69.4165,69.4165,69.38,69.38,1219,20220518
69.375,69.425,69.35,69.425,2648,20220518
69.425,69.49,69.42,69.46,2453,20220518
69.46,69.48,69.405,69.415,1980,20220518
69.39,69.45,69.38,69.42,2500,20220518
69.405,69.46,69.405,69.46,959,20220518
69.46,69.49,69.43,69.43,1334,20220518
69.41,69.425,69.41,69.41,300,20220518
69.375,69.42,69.36,69.415,2530,20220518
69.39,69.42,69.37,69.42,2207,20220518
69.43,69.46,69.43,69.44,1032,20220518
69.415,69.415,69.37,69.39,1305,20220518
69.36,69.36,69.33,69.33,900,20220518
69.3,69.31,69.27,69.275,1905,20220518
69.29,69.295,69.21,69.23,1749,20220518
69.24,69.275,69.2212,69.275,1230,20220518
69.29,69.33,69.27,69.285,770,20220518
69.28,69.285,69.25,69.255,1809,20220518
69.24,69.24,69.201,69.22,1312,20220518
69.225,69.25,69.22,69.24,1251,20220518
69.245,69.245,69.225,69.225,700,20220518
69.2,69.21,69.19,69.21,3211,20220518
69.2,69.3,69.2,69.3,3178,20220518
69.28,69.29,69.25,69.28,2606,20220518
69.26,69.275,69.24,69.275,2103,20220518
69.26,69.33,69.26,69.33,1395,20220518
69.34,69.37,69.31,69.31,5970,20220518
69.3,69.31,69.29,69.31,600,20220518
69.31,69.34,69.31,69.32,2272,20220518
69.34,69.37,69.34,69.35,2710,20220518
69.36,69.38,69.31,69.31,2255,20220518
69.291,69.41,69.291,69.41,1663,20220518
69.4,69.43,69.38,69.43,2651,20220518
69.44,69.465,69.44,69.45,2747,20220518
69.44,69.44,69.4,69.41,1700,20220518
69.4,69.44,69.4,69.435,2102,20220518
69.43,69.43,69.43,69.43,100,20220518
69.44,69.44,69.43,69.435,1132,20220518
69.45,69.45,69.45,69.45,725,20220518
69.43,69.44,69.43,69.44,300,20220518
69.43,69.455,69.41,69.42,4355,20220518
69.43,69.46,69.43,69.45,1603,20220518
69.46,69.49,69.46,69.475,2014,20220518
69.48,69.495,69.48,69.495,1606,20220518
69.48,69.49,69.47,69.49,1608,20220518
69.46,69.46,69.445,69.45,1343,20220518
69.425,69.44,69.37,69.37,1637,20220518
69.39,69.39,69.35,69.35,614,20220518
69.33,69.33,69.27,69.27,1732,20220518
69.275,69.3,69.275,69.28,1031,20220518
69.31,69.33,69.3,69.31,861,20220518
69.33,69.34,69.32,69.325,1719,20220518
69.34,69.37,69.34,69.37,1588,20220518
69.375,69.435,69.375,69.435,1761,20220518
69.44,69.44,69.4,69.4,1858,20220518
69.405,69.5,69.405,69.5,1061,20220518
69.51,69.53,69.51,69.53,800,20220518
69.53,69.55,69.51,69.54,1923,20220518
69.53,69.55,69.53,69.55,601,20220518
69.56,69.56,69.53,69.54,414,20220518
69.56,69.56,69.53,69.54,1900,20220518
69.52,69.56,69.52,69.56,900,20220518
69.54,69.54,69.54,69.54,127,20220518
69.49,69.505,69.48,69.48,703,20220518
69.47,69.48,69.45,69.48,1238,20220518
69.49,69.52,69.48,69.48,700,20220518
69.475,69.49,69.46,69.49,819,20220518
69.481,69.5,69.441,69.441,1770,20220518
69.47,69.49,69.47,69.49,403,20220518
69.46,69.4807,69.46,69.461,1266,20220518
69.42,69.44,69.42,69.44,700,20220518
69.45,69.46,69.43,69.435,1100,20220518
69.41,69.41,69.32,69.32,1919,20220518
69.34,69.4,69.34,69.375,1725,20220518
69.38,69.4,69.36,69.395,3504,20220518
69.415,69.42,69.4,69.415,1102,20220518
69.44,69.46,69.44,69.44,300,20220518
69.46,69.46,69.43,69.445,1036,20220518
69.45,69.47,69.43,69.445,831,20220518
69.45,69.47,69.42,69.47,1126,20220518
69.48,69.49,69.46,69.46,961,20220518
69.49,69.49,69.49,69.49,200,20220518
69.51,69.56,69.51,69.56,704,20220518
69.555,69.57,69.54,69.54,932,20220518
69.55,69.56,69.55,69.56,600,20220518
69.58,69.595,69.57,69.59,502,20220518
69.57,69.6,69.561,69.561,657,20220518
69.561,69.61,69.561,69.58,800,20220518
69.57,69.59,69.56,69.56,1500,20220518
69.56,69.5662,69.53,69.54,1516,20220518
69.56,69.6,69.55,69.59,2824,20220518
69.58,69.61,69.57,69.57,1808,20220518
69.585,69.61,69.58,69.61,1200,20220518
69.61,69.64,69.61,69.63,1978,20220518
69.625,69.625,69.6,69.6,812,20220518
69.59,69.59,69.57,69.58,1002,20220518
69.571,69.59,69.54,69.54,1000,20220518
69.53,69.57,69.515,69.57,1109,20220518
69.54,69.54,69.53,69.54,514,20220518
69.545,69.61,69.545,69.575,1325,20220518
69.59,69.595,69.57,69.57,800,20220518
69.57,69.6,69.57,69.57,1009,20220518
69.575,69.59,69.575,69.59,601,20220518
69.56,69.56,69.55,69.55,599,20220518
69.52,69.54,69.52,69.53,850,20220518
69.55,69.56,69.545,69.56,936,20220518
69.56,69.59,69.56,69.565,1053,20220518
69.56,69.59,69.56,69.57,1500,20220518
69.59,69.59,69.58,69.58,824,20220518
69.57,69.58,69.56,69.57,701,20220518
69.57,69.62,69.57,69.62,1270,20220518
69.62,69.64,69.62,69.64,416,20220518
69.635,69.66,69.61,69.65,1268,20220518
69.64,69.65,69.63,69.65,900,20220518
69.67,69.67,69.59,69.61,7644,20220518
69.6,69.64,69.595,69.595,2210,20220518
69.6,69.605,69.5,69.5,7583,20220518
69.5,69.5,69.4,69.4,5879,20220518
69.39,69.485,69.39,69.47,1869,20220518
69.49,69.53,69.49,69.53,500,20220518
69.55,69.55,69.48,69.48,5290,20220518
69.46,69.47,69.42,69.47,6125,20220518
69.475,69.475,69.46,69.46,742,20220518
69.49,69.52,69.49,69.52,4852,20220518
69.49,69.52,69.49,69.52,1136,20220518
69.52,69.52,69.52,69.52,800,20220518
69.525,69.56,69.51,69.56,1133,20220518
69.565,69.58,69.565,69.58,740,20220518
69.57,69.58,69.55,69.55,1375,20220518
69.56,69.59,69.56,69.58,925,20220518
69.59,69.59,69.57,69.57,906,20220518
69.57,69.57,69.45,69.51,8859,20220518
69.49,69.5,69.48,69.5,2174,20220518
69.52,69.52,69.48,69.505,1070,20220518
69.52,69.54,69.51,69.51,2369,20220518
69.5161,69.5161,69.48,69.5,1093,20220518
69.52,69.52,69.52,69.52,200,20220518
69.52,69.53,69.5,69.5,1934,20220518
69.51,69.53,69.51,69.53,803,20220518
