open,high,low,close,volume,datetime
83.69,83.93,83.56,83.595,25636,20220518
83.585,83.59,83.48,83.48,1112,20220518
83.47,83.91,83.47,83.84,5977,20220518
83.785,83.97,83.51,83.845,14402,20220518
83.82,83.91,83.61,83.61,3900,20220518
83.74,83.89,83.69,83.83,4101,20220518
83.87,83.9,83.49,83.49,4284,20220518
83.43,83.48,83.33,83.44,2857,20220518
83.41,83.46,83.295,83.295,1793,20220518
83.295,83.295,83.14,83.155,1100,20220518
83.2,83.2,83.07,83.07,1000,20220518
82.95,83.12,82.87,83.05,4575,20220518
83.02,83.02,82.7795,82.785,6471,20220518
82.72,82.96,82.72,82.96,1855,20220518
82.95,83.0,82.91,82.97,1104,20220518
82.995,83.04,82.995,83.04,200,20220518
83.05,83.05,82.98,83.05,604,20220518
83.02,83.02,82.86,82.96,1200,20220518
83.01,83.015,82.82,82.86,5694,20220518
82.77,82.85,82.735,82.78,1726,20220518
82.73,82.76,82.7,82.73,1752,20220518
82.76,82.76,82.685,82.685,703,20220518
82.725,82.725,82.69,82.7,500,20220518
82.656,82.74,82.656,82.685,3700,20220518
82.67,82.67,82.51,82.54,2446,20220518
82.54,82.57,82.5,82.54,4216,20220518
82.48,82.51,82.4,82.42,1750,20220518
82.36,82.51,82.36,82.51,1893,20220518
82.55,82.57,82.45,82.535,2251,20220518
82.48,82.57,82.4576,82.4611,3636,20220518
82.45,82.48,82.4,82.48,1150,20220518
82.43,82.61,82.43,82.57,400,20220518
82.62,82.63,82.46,82.475,2737,20220518
82.45,82.48,82.45,82.475,400,20220518
82.475,82.475,82.43,82.44,1004,20220518
82.33,82.42,82.26,82.33,8380,20220518
82.29,82.31,82.19,82.31,3650,20220518
82.31,82.36,82.14,82.1936,3912,20220518
82.2,82.225,82.19,82.225,900,20220518
82.23,82.23,82.16,82.16,914,20220518
82.26,82.26,82.21,82.21,685,20220518
82.195,82.285,82.19,82.285,900,20220518
82.31,82.35,82.31,82.35,401,20220518
82.38,82.38,82.28,82.33,1848,20220518
82.42,82.49,82.37,82.45,1930,20220518
82.36,82.395,82.3,82.32,2562,20220518
82.32,82.34,82.28,82.28,1755,20220518
82.27,82.29,82.26,82.265,804,20220518
82.265,82.27,82.1725,82.27,2686,20220518
82.29,82.32,82.22,82.305,3804,20220518
82.3,82.34,82.27,82.31,2000,20220518
82.34,82.37,82.3,82.3,1316,20220518
82.29,82.45,82.29,82.45,2437,20220518
82.5,82.54,82.3,82.3,3791,20220518
82.335,82.47,82.335,82.47,1092,20220518
82.43,82.46,82.31,82.34,1602,20220518
82.35,82.35,82.19,82.225,4300,20220518
82.25,82.3,82.22,82.22,1702,20220518
82.27,82.46,82.27,82.46,2281,20220518
82.46,82.49,82.38,82.4,3813,20220518
82.44,82.44,82.34,82.34,905,20220518
82.36,82.55,82.35,82.51,3272,20220518
82.54,82.54,82.53,82.54,600,20220518
82.49,82.495,82.3,82.33,2300,20220518
82.35,82.35,82.33,82.33,867,20220518
