open,high,low,close,volume,datetime
31.34,31.43,30.96,31.43,48074,20220518
31.37,31.37,31.2,31.235,18591,20220518
31.24,31.24,31.13,31.191,16278,20220518
31.19,31.2,31.14,31.15,5864,20220518
31.14,31.19,31.14,31.17,7162,20220518
31.18,31.2,31.13,31.13,11498,20220518
31.13,31.185,31.1,31.185,11281,20220518
31.19,31.19,31.13,31.16,9272,20220518
31.145,31.15,31.12,31.13,10707,20220518
31.13,31.13,31.08,31.08,21854,20220518
31.08,31.08,31.025,31.03,23912,20220518
31.025,31.07,31.025,31.05,7405,20220518
31.05,31.09,31.034,31.08,9403,20220518
31.08,31.12,31.08,31.1,3764,20220518
31.11,31.145,31.11,31.13,4522,20220518
31.14,31.165,31.12,31.16,10002,20220518
31.16,31.175,31.145,31.15,12386,20220518
31.15,31.19,31.149,31.19,6710,20220518
31.185,31.19,31.165,31.18,9363,20220518
31.18,31.195,31.16,31.195,4007,20220518
31.205,31.205,31.09,31.09,5154,20220518
31.08,31.09,31.055,31.055,10175,20220518
31.06,31.06,31.04,31.045,6241,20220518
31.045,31.045,31.01,31.04,9608,20220518
31.035,31.06,31.0313,31.05,6351,20220518
31.05,31.05,31.035,31.05,6387,20220518
31.05,31.06,31.04,31.05,6718,20220518
31.05,31.05,31.01,31.015,7731,20220518
31.01,31.01,30.96,30.97,9676,20220518
30.96,30.99,30.95,30.99,11839,20220518
30.99,31.035,30.97,31.025,7592,20220518
31.02,31.02,30.985,30.985,14458,20220518
30.99,31.005,30.98,30.995,6286,20220518
31.0,31.06,30.99,31.06,16871,20220518
31.055,31.07,31.03,31.04,21001,20220518
31.04,31.065,31.005,31.02,8621,20220518
31.03,31.03,31.005,31.01,4912,20220518
31.0,31.02,30.985,31.02,10013,20220518
31.02,31.03,31.01,31.02,12199,20220518
31.03,31.09,31.025,31.09,9050,20220518
31.09,31.095,31.065,31.095,12985,20220518
31.09,31.12,31.09,31.11,14798,20220518
31.11,31.15,31.11,31.14,13366,20220518
31.14,31.15,31.125,31.15,6970,20220518
31.14,31.155,31.135,31.145,4990,20220518
31.15,31.16,31.135,31.145,5758,20220518
31.14,31.175,31.13,31.16,6296,20220518
31.16,31.18,31.15,31.18,5283,20220518
31.185,31.21,31.18,31.2,5418,20220518
31.2,31.235,31.2,31.22,7149,20220518
31.23,31.23,31.215,31.22,12670,20220518
31.23,31.24,31.215,31.22,6196,20220518
31.22,31.235,31.22,31.22,19289,20220518
31.225,31.225,31.19,31.195,5755,20220518
31.19,31.225,31.185,31.215,16390,20220518
31.22,31.22,31.19,31.19,5661,20220518
31.19,31.195,31.185,31.185,2764,20220518
31.18,31.18,31.165,31.175,3179,20220518
31.17,31.18,31.15,31.15,4280,20220518
31.14,31.15,31.135,31.135,2600,20220518
31.14,31.15,31.135,31.135,5047,20220518
31.13,31.1315,31.11,31.125,6528,20220518
31.13,31.13,31.105,31.115,6593,20220518
31.12,31.155,31.12,31.15,3650,20220518
31.16,31.18,31.16,31.16,4499,20220518
31.165,31.18,31.165,31.18,2941,20220518
31.17,31.18,31.155,31.155,3406,20220518
31.15,31.165,31.145,31.165,4191,20220518
31.155,31.19,31.155,31.18,8562,20220518
31.18,31.195,31.15,31.155,10163,20220518
31.15,31.15,31.125,31.125,4537,20220518
31.12,31.15,31.115,31.15,4062,20220518
31.15,31.15,31.13,31.13,4072,20220518
31.125,31.13,31.12,31.13,877,20220518
31.125,31.135,31.12,31.13,3353,20220518
31.12,31.14,31.115,31.14,6448,20220518
31.135,31.16,31.13,31.13,9212,20220518
31.13,31.13,31.105,31.105,2300,20220518
31.105,31.11,31.09,31.09,5798,20220518
31.08,31.085,31.06,31.06,1798,20220518
31.07,31.07,31.04,31.06,4737,20220518
31.06,31.07,31.05,31.07,1813,20220518
31.07,31.07,31.05,31.06,2826,20220518
