open,high,low,close,volume,datetime
459.99,462.75,456.31,461.12,178894,20220518
461.09,463.8599,460.6,462.28,39379,20220518
462.29,462.3,458.65,459.07,39920,20220518
459.07,459.07,452.86,455.84,56925,20220518
455.9,456.06,453.5,454.53,33096,20220518
454.54,454.54,450.96,453.07,48345,20220518
453.3,453.35,451.51,453.0656,23076,20220518
453.15,455.275,453.15,454.71,30875,20220518
454.43,454.43,453.12,453.31,8952,20220518
453.0701,453.39,451.25,451.255,16328,20220518
451.255,451.83,450.27,450.5,35111,20220518
450.43,450.6,446.31,446.5125,105638,20220518
446.58,448.21,445.42,448.021,70900,20220518
447.9787,449.42,447.8537,448.88,33071,20220518
448.85,449.32,447.14,448.7899,35814,20220518
448.566,449.41,448.16,448.9699,26247,20220518
448.75,448.76,446.61,446.61,22465,20220518
446.85,447.63,446.19,446.29,27647,20220518
446.27,447.7686,445.94,447.7686,21358,20220518
447.47,448.43,447.14,448.26,24699,20220518
448.66,449.3004,448.05,448.35,22116,20220518
448.5,449.25,448.08,448.66,64127,20220518
448.66,448.97,447.83,448.07,13774,20220518
448.27,448.27,447.0,447.33,16120,20220518
447.21,448.84,447.19,448.65,13480,20220518
448.795,450.56,448.63,449.7425,28694,20220518
449.6647,450.3446,449.23,449.72,18285,20220518
449.76,449.76,448.7,449.4,35166,20220518
449.38,449.73,448.8,448.805,19517,20220518
448.75,449.17,447.87,448.3,35232,20220518
448.305,448.305,446.59,447.385,16869,20220518
447.195,447.38,445.92,446.19,28145,20220518
446.2546,446.33,445.79,446.0101,24533,20220518
446.19,446.9248,445.26,446.28,25206,20220518
446.39,447.19,445.9155,446.015,15150,20220518
445.96,446.02,445.32,445.8,12297,20220518
445.71,446.2,445.37,446.17,12447,20220518
446.0654,446.565,445.56,446.1197,12049,20220518
445.995,446.14,445.5,445.82,10836,20220518
445.89,446.015,444.72,444.94,35818,20220518
444.775,445.32,444.59,445.12,20922,20220518
445.2,445.47,444.52,445.4,9087,20220518
