open,high,low,close,volume,datetime
6.55,6.55,6.495,6.495,105038,20220518
6.5,6.51,6.49,6.505,23537,20220518
6.5,6.52,6.495,6.505,26478,20220518
6.5099,6.51,6.5,6.505,3915,20220518
6.5,6.51,6.47,6.5,55892,20220518
6.495,6.52,6.46,6.51,84548,20220518
6.505,6.515,6.49,6.51,21382,20220518
6.51,6.51,6.5,6.505,17236,20220518
6.5,6.505,6.49,6.5,12936,20220518
6.5,6.5,6.43,6.45,42299,20220518
6.445,6.46,6.445,6.46,12423,20220518
6.46,6.47,6.41,6.41,86341,20220518
6.42,6.425,6.405,6.42,22868,20220518
6.42,6.445,6.405,6.445,33911,20220518
6.45,6.46,6.445,6.46,18456,20220518
6.455,6.48,6.44,6.47,98120,20220518
6.475,6.485,6.465,6.48,25163,20220518
6.485,6.51,6.48,6.51,7420,20220518
6.51,6.51,6.48,6.49,14101,20220518
6.49,6.5,6.48,6.48,32073,20220518
6.49,6.495,6.47,6.48,43425,20220518
6.47,6.5,6.47,6.495,4997,20220518
6.49,6.5001,6.48,6.5,4122,20220518
6.5,6.52,6.5,6.51,7914,20220518
6.505,6.505,6.49,6.49,1850,20220518
6.48,6.485,6.47,6.47,2215,20220518
6.47,6.47,6.46,6.46,14070,20220518
6.45,6.46,6.445,6.455,21604,20220518
6.45,6.46,6.445,6.46,9400,20220518
6.46,6.465,6.45,6.455,10649,20220518
6.455,6.475,6.455,6.475,5199,20220518
6.48,6.51,6.47,6.49,32080,20220518
6.495,6.5,6.495,6.495,7099,20220518
6.495,6.495,6.4785,6.49,6188,20220518
6.49,6.495,6.475,6.475,5790,20220518
6.48,6.5,6.48,6.5,13307,20220518
6.5,6.51,6.5,6.5007,5117,20220518
6.51,6.51,6.5,6.5075,7013,20220518
6.5,6.51,6.5,6.5,22830,20220518
6.5,6.505,6.5,6.5,32566,20220518
6.5,6.52,6.5,6.5,9712,20220518
6.5,6.5,6.5,6.5,41369,20220518
6.505,6.51,6.5,6.5,22095,20220518
6.51,6.515,6.51,6.515,5104,20220518
6.515,6.515,6.515,6.515,300,20220518
6.515,6.52,6.5,6.52,18468,20220518
6.51,6.515,6.51,6.51,8257,20220518
6.51,6.51,6.5,6.5,2158,20220518
6.5,6.51,6.5,6.51,3893,20220518
6.5,6.515,6.5,6.51,9116,20220518
6.51,6.52,6.5,6.52,9268,20220518
6.525,6.525,6.52,6.52,2796,20220518
6.525,6.53,6.52,6.52,10884,20220518
6.52,6.52,6.505,6.51,4530,20220518
6.5,6.51,6.5,6.505,26900,20220518
6.51,6.52,6.505,6.52,5972,20220518
6.52,6.535,6.52,6.525,5254,20220518
6.52,6.52,6.505,6.505,3300,20220518
6.51,6.52,6.51,6.51,5900,20220518
6.515,6.515,6.5,6.51,23130,20220518
6.5,6.51,6.495,6.505,51359,20220518
6.5099,6.515,6.495,6.495,136881,20220518
6.5,6.5,6.485,6.49,34994,20220518
6.48,6.5,6.48,6.495,21508,20220518
6.495,6.495,6.48,6.48,17240,20220518
6.48,6.485,6.46,6.465,7655,20220518
6.47,6.475,6.47,6.47,8365,20220518
6.475,6.48,6.465,6.465,7874,20220518
6.47,6.485,6.47,6.485,12808,20220518
6.48,6.49,6.48,6.485,8659,20220518
6.485,6.485,6.4728,6.4728,4260,20220518
6.48,6.49,6.48,6.49,6165,20220518
6.495,6.5,6.485,6.5,10710,20220518
6.4968,6.4968,6.4968,6.4968,308,20220518
6.49,6.495,6.485,6.49,6457,20220518
6.49,6.49,6.48,6.49,35476,20220518
6.49,6.515,6.49,6.51,15977,20220518
6.505,6.505,6.5,6.5,5873,20220518
6.495,6.52,6.495,6.515,6856,20220518
6.515,6.515,6.505,6.505,12345,20220518
6.5,6.51,6.5,6.51,14528,20220518
6.515,6.515,6.5,6.505,2150,20220518
6.5072,6.5072,6.495,6.5,23626,20220518
6.5,6.51,6.5,6.5087,5909,20220518
6.51,6.51,6.5,6.505,39055,20220518
6.505,6.51,6.5,6.51,11982,20220518
6.505,6.505,6.5,6.505,1450,20220518
6.51,6.515,6.51,6.51,10524,20220518
6.51,6.515,6.51,6.515,3008,20220518
6.51,6.51,6.505,6.51,5012,20220518
6.515,6.515,6.5,6.5,31642,20220518
6.505,6.515,6.4901,6.4901,26746,20220518
6.495,6.495,6.485,6.485,8029,20220518
6.49,6.49,6.485,6.485,2058,20220518
6.49,6.49,6.475,6.475,7300,20220518
6.475,6.48,6.47,6.475,18854,20220518
6.475,6.48,6.465,6.47,47374,20220518
6.47,6.475,6.46,6.475,98243,20220518
6.475,6.475,6.47,6.475,16142,20220518
6.47,6.475,6.47,6.4713,3408,20220518
6.475,6.475,6.455,6.455,8984,20220518
6.455,6.46,6.455,6.455,5426,20220518
6.46,6.46,6.455,6.4556,700,20220518
6.455,6.46,6.455,6.455,500,20220518
6.455,6.455,6.45,6.45,1000,20220518
6.45,6.45,6.45,6.45,900,20220518
6.455,6.46,6.445,6.445,31094,20220518
6.445,6.445,6.44,6.445,1100,20220518
6.445,6.445,6.44,6.445,1200,20220518
6.44,6.445,6.435,6.435,4477,20220518
6.44,6.44,6.435,6.44,1600,20220518
6.435,6.435,6.435,6.435,232,20220518
6.435,6.445,6.435,6.435,49478,20220518
6.435,6.435,6.4201,6.425,9650,20220518
6.43,6.445,6.43,6.445,12765,20220518
6.44,6.445,6.435,6.435,11924,20220518
6.44,6.44,6.43,6.435,8300,20220518
6.43,6.435,6.41,6.41,23106,20220518
6.41,6.42,6.41,6.42,6597,20220518
6.415,6.42,6.405,6.41,23889,20220518
6.41,6.43,6.41,6.43,11029,20220518
6.4285,6.4285,6.415,6.42,8043,20220518
6.416,6.42,6.41,6.42,4704,20220518
6.41,6.418,6.41,6.41,12617,20220518
6.41,6.418,6.41,6.41,5700,20220518
6.415,6.42,6.405,6.419,28052,20220518
