open,high,low,close,volume,datetime
43.45,43.72,42.83,43.04,35427,20220518
43.12,43.235,42.86,42.97,6222,20220518
43.01,43.11,42.55,42.72,11046,20220518
42.5,42.58,42.1,42.52,6511,20220518
42.46,42.59,42.39,42.39,1657,20220518
42.4,42.5901,42.4,42.5901,17167,20220518
42.76,43.16,42.76,43.16,1744,20220518
43.12,43.12,42.81,42.835,4031,20220518
42.86,43.11,42.86,43.11,500,20220518
43.14,43.15,42.95,43.15,2484,20220518
42.96,43.0,42.6,42.755,4502,20220518
42.75,42.81,42.63,42.78,12552,20220518
42.785,42.84,42.6,42.7575,8047,20220518
42.78,42.82,42.655,42.6867,3025,20220518
42.78,43.03,42.77,42.93,4266,20220518
43.01,43.1781,42.975,43.1781,1984,20220518
43.2,43.2,43.135,43.135,1200,20220518
43.32,43.63,43.32,43.62,5155,20220518
43.56,43.69,43.48,43.6,9399,20220518
43.545,43.7,43.545,43.61,2439,20220518
43.54,43.59,43.2703,43.4575,5673,20220518
43.52,43.61,43.52,43.6,1700,20220518
43.72,43.735,43.72,43.735,300,20220518
43.81,43.91,43.8,43.85,2202,20220518
43.845,43.845,43.73,43.81,1400,20220518
43.76,43.8,43.76,43.795,800,20220518
43.67,43.725,43.49,43.49,7701,20220518
43.46,43.49,43.46,43.49,200,20220518
43.435,43.48,43.39,43.44,2183,20220518
43.44,43.47,43.25,43.33,1200,20220518
43.33,43.63,43.325,43.63,8879,20220518
43.64,43.82,43.64,43.82,1349,20220518
43.854,43.854,43.72,43.77,1804,20220518
43.77,43.78,43.52,43.64,3633,20220518
43.56,43.605,43.56,43.585,1279,20220518
43.64,43.64,43.55,43.62,2500,20220518
43.52,43.58,43.5,43.5,600,20220518
43.525,43.535,43.4,43.445,2974,20220518
43.4,43.4,43.28,43.3,2400,20220518
43.29,43.39,43.18,43.38,4916,20220518
43.39,43.49,43.39,43.435,1248,20220518
43.38,43.38,43.31,43.31,800,20220518
43.33,43.38,43.16,43.23,2100,20220518
43.2,43.35,43.2,43.25,6103,20220518
43.2,43.36,43.19,43.36,4464,20220518
43.36,43.48,43.36,43.48,600,20220518
43.42,43.51,43.42,43.51,579,20220518
43.51,43.6,43.5,43.6,1818,20220518
43.51,43.6,43.48,43.535,982,20220518
43.48,43.53,43.43,43.5,2135,20220518
43.49,43.585,43.4,43.56,3423,20220518
43.58,43.6,43.545,43.58,6413,20220518
43.63,43.865,43.63,43.84,2600,20220518
43.82,43.82,43.72,43.81,1935,20220518
43.77,43.81,43.74,43.81,3000,20220518
43.77,43.92,43.76,43.88,1901,20220518
43.955,44.02,43.93,43.99,6567,20220518
43.96,44.09,43.94,44.09,7900,20220518
44.1086,44.1086,43.95,43.95,3403,20220518
43.91,43.96,43.75,43.75,4700,20220518
43.68,43.68,43.54,43.65,4055,20220518
43.65,43.69,43.56,43.56,1602,20220518
43.5538,43.64,43.5538,43.64,600,20220518
43.54,43.62,43.52,43.62,900,20220518
43.6,43.61,43.44,43.47,10453,20220518
43.47,43.48,43.38,43.38,3144,20220518
43.5,43.55,43.4821,43.51,1040,20220518
43.575,43.61,43.49,43.49,400,20220518
43.49,43.49,43.395,43.395,1899,20220518
43.39,43.43,43.37,43.4079,1069,20220518
43.41,43.45,43.25,43.3,4312,20220518
43.34,43.5,43.32,43.465,2800,20220518
43.45,43.45,43.365,43.37,1500,20220518
43.405,43.53,43.39,43.53,1725,20220518
43.45,43.53,43.45,43.47,2100,20220518
43.47,43.47,43.3703,43.445,16359,20220518
43.465,43.59,43.465,43.57,1600,20220518
43.565,43.565,43.46,43.51,1899,20220518
43.53,43.7,43.51,43.66,3987,20220518
43.62,43.71,43.61,43.71,2018,20220518
43.715,43.78,43.715,43.78,444,20220518
43.79,43.86,43.79,43.8301,2700,20220518
43.815,43.85,43.77,43.77,2360,20220518
43.81,43.82,43.72,43.79,2503,20220518
43.83,43.84,43.65,43.65,6773,20220518
43.63,43.68,43.52,43.65,6430,20220518
43.625,43.655,43.605,43.655,500,20220518
43.67,43.75,43.67,43.75,2694,20220518
43.745,43.771,43.67,43.71,2400,20220518
43.65,43.7,43.6403,43.69,1600,20220518
43.67,43.69,43.555,43.59,4101,20220518
43.6,43.6,43.43,43.43,1401,20220518
43.48,43.48,43.41,43.41,1674,20220518
43.4,43.4,43.32,43.32,533,20220518
43.355,43.355,43.16,43.22,19371,20220518
43.16,43.25,43.16,43.2493,2401,20220518
43.28,43.29,43.185,43.195,1216,20220518
43.11,43.13,43.05,43.13,2350,20220518
43.11,43.125,43.1,43.1,450,20220518
43.1,43.17,43.04,43.04,12029,20220518
43.04,43.095,43.0,43.02,4012,20220518
42.98,43.03,42.98,43.0,1000,20220518
42.995,43.01,42.995,43.01,336,20220518
43.01,43.015,43.01,43.015,811,20220518
43.01,43.04,42.94,42.95,6011,20220518
42.91,42.915,42.82,42.83,2950,20220518
42.85,42.85,42.73,42.73,4237,20220518
42.69,42.7,42.6,42.64,4394,20220518
42.68,42.73,42.67,42.73,891,20220518
42.73,42.77,42.73,42.77,1890,20220518
42.81,42.81,42.81,42.81,191,20220518
42.81,42.85,42.8,42.85,1519,20220518
42.81,42.8394,42.76,42.78,1398,20220518
42.77,42.86,42.77,42.84,1000,20220518
42.845,42.845,42.61,42.62,2935,20220518
42.635,42.635,42.61,42.61,1442,20220518
42.58,42.58,42.47,42.475,4331,20220518
42.47,42.47,42.38,42.4,1831,20220518
42.44,42.46,42.39,42.39,2069,20220518
42.39,42.62,42.39,42.62,2053,20220518
42.65,42.65,42.52,42.53,1901,20220518
42.58,42.71,42.56,42.62,4056,20220518
42.62,42.77,42.57,42.77,3708,20220518
42.77,42.78,42.73,42.78,918,20220518
42.7858,42.81,42.7858,42.805,3994,20220518
42.8,42.96,42.77,42.89,2655,20220518
42.89,42.91,42.83,42.91,2816,20220518
42.925,42.925,42.85,42.855,950,20220518
42.83,42.84,42.79,42.8,2920,20220518
42.81,42.93,42.78,42.89,5373,20220518
42.905,42.91,42.85,42.91,725,20220518
42.93,42.98,42.9142,42.92,1833,20220518
42.9,43.01,42.87,43.0,2381,20220518
