open,high,low,close,volume,datetime
142.99,143.235,142.17,143.1,10667,20220518
142.77,142.82,142.77,142.77,900,20220518
142.93,143.03,142.875,142.875,802,20220518
142.575,142.575,142.52,142.52,400,20220518
142.53,142.82,142.53,142.56,2983,20220518
142.42,142.7,142.42,142.44,1183,20220518
142.62,142.62,142.26,142.26,4600,20220518
142.33,142.41,142.26,142.26,1200,20220518
142.26,142.27,142.18,142.22,1013,20220518
142.09,142.18,141.8,141.945,4762,20220518
142.075,142.19,142.005,142.005,1450,20220518
142.0,142.03,141.73,141.73,700,20220518
141.83,141.83,141.83,141.83,350,20220518
141.8,141.85,141.8,141.85,447,20220518
141.7,141.75,141.7,141.75,1160,20220518
141.72,141.72,141.6,141.61,1513,20220518
141.49,141.49,141.415,141.415,299,20220518
141.49,141.49,141.49,141.49,100,20220518
141.37,141.37,141.34,141.36,600,20220518
141.32,141.49,141.32,141.39,1301,20220518
141.23,141.41,141.23,141.2932,318,20220518
141.34,141.35,141.19,141.19,1775,20220518
141.13,141.13,140.92,141.0,1442,20220518
140.92,140.92,140.86,140.86,503,20220518
140.67,140.67,140.59,140.59,300,20220518
140.51,140.51,140.51,140.51,100,20220518
140.535,140.72,140.51,140.63,500,20220518
140.55,140.64,140.48,140.555,733,20220518
140.46,140.605,140.43,140.43,400,20220518
140.43,140.45,140.43,140.43,300,20220518
140.42,140.42,140.23,140.31,900,20220518
140.38,140.38,140.12,140.12,1100,20220518
140.23,140.42,140.23,140.42,200,20220518
140.57,140.6,140.57,140.57,541,20220518
140.655,140.655,140.51,140.51,900,20220518
140.53,140.64,140.53,140.64,316,20220518
140.78,140.78,140.58,140.58,1048,20220518
140.45,140.47,140.422,140.47,300,20220518
140.46,140.905,140.46,140.905,701,20220518
140.97,140.97,140.76,140.76,641,20220518
140.5,140.63,140.48,140.62,900,20220518
140.4999,140.66,140.4999,140.66,1100,20220518
140.685,140.685,140.685,140.685,100,20220518
140.76,140.91,140.7,140.84,1008,20220518
140.96,140.96,140.96,140.96,100,20220518
140.91,140.91,140.74,140.74,500,20220518
140.75,140.77,140.652,140.77,1500,20220518
140.915,141.009,140.9,140.91,620,20220518
140.9,140.98,140.9,140.98,300,20220518
141.01,141.03,141.01,141.03,460,20220518
141.15,141.15,141.15,141.15,100,20220518
141.09,141.09,141.06,141.06,200,20220518
141.28,141.28,141.12,141.12,300,20220518
141.13,141.16,141.13,141.16,200,20220518
141.16,141.16,141.155,141.155,200,20220518
141.145,141.229,141.03,141.13,2122,20220518
141.125,141.125,141.125,141.125,100,20220518
141.0,141.0,140.9,140.93,621,20220518
140.92,140.99,140.92,140.99,200,20220518
140.84,140.97,140.84,140.97,408,20220518
140.93,141.02,140.93,141.0,909,20220518
140.84,140.97,140.84,140.97,800,20220518
140.82,141.0,140.81,140.96,2565,20220518
140.995,141.03,140.995,141.03,535,20220518
141.11,141.12,141.03,141.05,1961,20220518
140.97,140.97,140.84,140.9,824,20220518
141.1,141.1,141.1,141.1,100,20220518
141.1,141.18,141.04,141.04,3116,20220518
141.01,141.03,140.96,141.03,510,20220518
141.025,141.025,140.891,140.98,300,20220518
141.02,141.09,141.02,141.09,400,20220518
141.04,141.19,141.03,141.03,3059,20220518
141.055,141.055,140.98,140.98,300,20220518
141.0,141.1,141.0,141.0,300,20220518
140.9425,141.02,140.9,141.02,400,20220518
141.0,141.14,141.0,141.08,5170,20220518
140.96,141.02,140.96,141.01,1298,20220518
140.91,140.91,140.91,140.91,200,20220518
