open,high,low,close,volume,datetime
50.47,50.47,50.1,50.15,310673,20220518
50.16,50.25,50.13,50.195,73554,20220518
50.18,50.3,50.16,50.21,31316,20220518
50.2,50.33,50.195,50.25,15028,20220518
50.23,50.24,50.13,50.24,28059,20220518
50.22,50.33,50.185,50.3,27038,20220518
50.31,50.4,50.31,50.35,24264,20220518
50.355,50.41,50.31,50.375,21530,20220518
50.365,50.375,50.27,50.29,20202,20220518
50.3,50.33,50.25,50.33,22912,20220518
50.325,50.325,50.25,50.255,21453,20220518
50.25,50.2775,50.2,50.205,29715,20220518
50.205,50.205,50.14,50.15,30768,20220518
50.155,50.21,50.155,50.16,21759,20220518
50.17,50.2,50.125,50.18,26805,20220518
50.18,50.27,50.175,50.235,58347,20220518
50.24,50.25,50.195,50.195,21984,20220518
50.195,50.215,50.15,50.1535,26862,20220518
50.15,50.18,50.11,50.18,30170,20220518
50.175,50.18,50.1,50.1401,32196,20220518
50.15,50.18,50.06,50.06,21677,20220518
50.05,50.12,50.04,50.095,17525,20220518
50.09,50.1,50.05,50.0607,16713,20220518
50.055,50.1,49.97,50.0,43971,20220518
49.995,50.03,49.965,50.015,29828,20220518
50.01,50.035,49.97,49.985,74973,20220518
49.98,49.99,49.93,49.945,57619,20220518
49.94,49.96,49.91,49.915,13885,20220518
49.92,49.945,49.905,49.935,17951,20220518
49.93,49.99,49.89,49.95,54502,20220518
49.95,50.02,49.92,50.0,53685,20220518
49.985,49.99,49.93,49.93,39189,20220518
49.94,50.0,49.94,49.99,31304,20220518
49.99,50.02,49.98,49.985,15582,20220518
49.99,50.035,49.955,49.955,34789,20220518
49.95,49.98,49.9,49.955,28389,20220518
49.96,49.99,49.95,49.96,17270,20220518
49.95,49.95,49.925,49.927,16135,20220518
49.925,49.9455,49.91,49.94,20004,20220518
49.945,49.95,49.915,49.945,23830,20220518
49.94,50.01,49.935,50.01,28049,20220518
50.015,50.04,49.96,49.975,31581,20220518
49.973,49.98,49.95,49.975,13787,20220518
49.9703,50.015,49.955,50.005,22351,20220518
50.0,50.04,49.995,50.035,18895,20220518
50.035,50.05,50.0001,50.045,22328,20220518
50.045,50.045,49.995,50.01,33797,20220518
50.01,50.015,49.975,49.9792,31198,20220518
49.98,50.025,49.97,49.97,16530,20220518
49.965,50.0,49.93,49.97,56910,20220518
49.975,50.02,49.95,50.015,38372,20220518
50.015,50.03,49.93,49.93,32189,20220518
49.935,49.95,49.925,49.935,15296,20220518
49.93,49.935,49.86,49.86,64265,20220518
49.86,49.92,49.84,49.9108,50959,20220518
49.915,49.95,49.885,49.895,25846,20220518
49.89,49.94,49.89,49.91,18989,20220518
