open,high,low,close,volume,datetime
33.69,33.78,33.48,33.495,185457,20220518
33.5005,33.62,33.48,33.62,23233,20220518
33.625,33.625,33.55,33.575,38370,20220518
33.58,33.595,33.51,33.53,23227,20220518
33.51,33.51,33.45,33.4847,30803,20220518
33.5,33.59,33.48,33.58,10759,20220518
33.59,33.6,33.52,33.56,7775,20220518
33.57,33.6,33.5,33.525,19485,20220518
33.52,33.53,33.45,33.48,11908,20220518
33.4796,33.4796,33.375,33.385,19354,20220518
33.38,33.385,33.32,33.34,21402,20220518
33.34,33.35,33.3,33.32,13402,20220518
33.305,33.32,33.26,33.29,20531,20220518
33.3,33.33,33.275,33.28,19520,20220518
33.28,33.3,33.235,33.28,19824,20220518
33.27,33.27,33.22,33.23,26210,20220518
33.23,33.23,33.19,33.205,15929,20220518
33.21,33.23,33.185,33.21,12558,20220518
33.2,33.225,33.19,33.2,17691,20220518
33.21,33.23,33.185,33.22,22518,20220518
33.22,33.2642,33.21,33.22,36037,20220518
33.215,33.22,33.175,33.2,28401,20220518
33.19,33.19,33.145,33.155,21738,20220518
33.155,33.16,33.02,33.05,55577,20220518
33.05,33.05,33.0,33.05,35157,20220518
33.065,33.14,33.065,33.12,18839,20220518
33.13,33.15,33.12,33.14,10824,20220518
33.15,33.15,33.11,33.14,27623,20220518
33.14,33.17,33.13,33.14,22996,20220518
33.14,33.17,33.095,33.16,43907,20220518
33.16,33.18,33.1,33.17,44163,20220518
33.16,33.26,33.15,33.26,23462,20220518
33.26,33.295,33.25,33.295,26780,20220518
33.3,33.319,33.28,33.29,34258,20220518
33.29,33.295,33.255,33.265,16058,20220518
33.25,33.29,33.22,33.255,10625,20220518
33.26,33.26,33.205,33.21,11829,20220518
33.215,33.245,33.2,33.24,13281,20220518
33.25,33.25,33.215,33.245,14707,20220518
33.24,33.24,33.17,33.1999,26360,20220518
33.2,33.245,33.2,33.225,20243,20220518
33.23,33.23,33.1735,33.18,21450,20220518
33.175,33.175,33.125,33.14,16721,20220518
33.137,33.15,33.1,33.13,18843,20220518
33.12,33.16,33.12,33.16,20322,20220518
33.16,33.18,33.16,33.1762,22678,20220518
33.17,33.18,33.12,33.12,36653,20220518
33.1176,33.1176,33.07,33.07,27730,20220518
33.07,33.12,33.07,33.08,40890,20220518
33.08,33.08,33.045,33.06,33149,20220518
33.06,33.105,33.045,33.095,24032,20220518
33.1,33.11,33.06,33.065,32357,20220518
33.06,33.065,33.025,33.03,30445,20220518
33.03,33.05,33.01,33.01,17344,20220518
33.01,33.02,32.985,33.015,45769,20220518
33.015,33.02,32.985,32.985,17616,20220518
32.985,33.03,32.985,33.01,33482,20220518
33.0,33.0,32.96,32.96,15995,20220518
32.97,32.97,32.93,32.93,20613,20220518
32.93,32.94,32.9,32.9,26602,20220518
32.91,32.96,32.89,32.95,20464,20220518
32.96,32.98,32.95,32.955,22732,20220518
32.95,32.95,32.905,32.915,26326,20220518
32.915,32.945,32.905,32.94,33148,20220518
32.94,32.94,32.89,32.91,26433,20220518
32.91,32.92,32.885,32.91,38429,20220518
32.92,32.955,32.92,32.95,11660,20220518
32.95,32.95,32.91,32.92,75001,20220518
32.92,32.94,32.92,32.925,20324,20220518
32.9284,32.96,32.92,32.96,18279,20220518
32.965,32.98,32.94,32.97,24924,20220518
32.97,32.995,32.97,32.98,17194,20220518
32.98,32.98,32.94,32.94,22559,20220518
32.93,32.93,32.91,32.92,32450,20220518
32.93,32.99,32.92,32.98,14820,20220518
32.98,32.98,32.96,32.975,14644,20220518
32.98,33.05,32.98,33.03,21970,20220518
33.035,33.04,32.995,33.0,21749,20220518
32.995,33.02,32.975,32.975,17668,20220518
32.97,32.975,32.94,32.94,6142,20220518
32.94,32.94,32.9,32.905,13400,20220518
32.905,32.93,32.905,32.925,11707,20220518
32.925,32.93,32.92,32.93,6198,20220518
32.92,32.93,32.905,32.91,33817,20220518
32.91,32.95,32.91,32.94,82129,20220518
32.93,32.97,32.925,32.96,13774,20220518
32.96,32.965,32.95,32.96,23506,20220518
32.97,33.007,32.965,33.0,31125,20220518
33.0,33.02,33.0,33.0,22985,20220518
33.0,33.0,32.98,32.995,17945,20220518
32.995,33.005,32.98,32.99,9224,20220518
32.99,32.995,32.97,32.975,12353,20220518
32.97,33.0,32.95,32.95,38076,20220518
32.95,32.95,32.93,32.95,26783,20220518
32.96,32.97,32.935,32.96,13235,20220518
32.97,32.98,32.96,32.97,8291,20220518
32.97,33.005,32.97,32.97,34745,20220518
32.975,32.995,32.945,32.995,23224,20220518
32.995,33.015,32.98,32.98,16061,20220518
32.99,32.99,32.96,32.96,11873,20220518
32.965,32.965,32.9,32.9,44332,20220518
32.91,32.92,32.9,32.905,40166,20220518
32.905,32.91,32.9,32.91,3419,20220518
32.91,32.91,32.905,32.91,1999,20220518
32.91,32.91,32.9,32.905,1459,20220518
32.9,32.91,32.9,32.905,2975,20220518
32.9,32.91,32.86,32.86,26686,20220518
32.86,32.87,32.86,32.865,4300,20220518
32.86,32.8673,32.85,32.85,13854,20220518
32.85,32.86,32.84,32.855,20376,20220518
32.855,32.855,32.82,32.835,22232,20220518
32.837,32.837,32.8,32.815,12395,20220518
32.82,32.825,32.805,32.82,18686,20220518
32.815,32.82,32.8,32.81,17915,20220518
32.81,32.81,32.785,32.81,17545,20220518
32.81,32.88,32.81,32.88,8125,20220518
32.8766,32.88,32.8686,32.8686,5407,20220518
32.8619,32.8619,32.85,32.855,6014,20220518
32.85,32.85,32.835,32.84,16408,20220518
32.84,32.84,32.815,32.815,16858,20220518
32.815,32.815,32.79,32.815,12576,20220518
32.81,32.85,32.81,32.84,29340,20220518
32.845,32.86,32.82,32.85,10683,20220518
32.85,32.85,32.82,32.8201,8230,20220518
32.83,32.84,32.82,32.835,5645,20220518
32.83,32.86,32.82,32.85,34476,20220518
32.84,32.865,32.84,32.865,4088,20220518
32.86,32.89,32.845,32.885,23114,20220518
32.885,32.89,32.86,32.87,9117,20220518
32.86,32.865,32.85,32.855,9192,20220518
32.85,32.865,32.84,32.865,15148,20220518
32.86,32.88,32.855,32.88,14217,20220518
32.875,32.94,32.875,32.94,10185,20220518
32.93,32.93,32.895,32.8983,11666,20220518
32.895,32.94,32.895,32.94,8556,20220518
32.94,32.94,32.89,32.895,19098,20220518
32.89,32.895,32.88,32.89,9233,20220518
32.895,32.895,32.85,32.86,12774,20220518
32.87,32.87,32.84,32.84,10150,20220518
32.845,32.86,32.845,32.86,6855,20220518
32.86,32.86,32.83,32.86,16628,20220518
32.86,32.87,32.86,32.86,7292,20220518
32.85,32.85,32.835,32.84,13815,20220518
32.845,32.845,32.79,32.79,9413,20220518
32.79,32.8,32.77,32.78,24979,20220518
32.78,32.81,32.78,32.81,24616,20220518
32.815,32.82,32.76,32.76,18868,20220518
32.77,32.82,32.7619,32.82,21863,20220518
32.815,32.825,32.78,32.781,18498,20220518
32.78,32.805,32.78,32.79,10906,20220518
32.781,32.805,32.78,32.805,10421,20220518
32.8,32.825,32.77,32.81,29074,20220518
32.8,32.8,32.775,32.79,17114,20220518
32.79,32.79,32.78,32.79,18060,20220518
32.785,32.8,32.785,32.79,17969,20220518
32.78,32.78,32.74,32.745,11810,20220518
32.74,32.75,32.705,32.71,61951,20220518
32.71,32.755,32.695,32.745,34884,20220518
32.75,32.75,32.73,32.73,10065,20220518
32.73,32.74,32.72,32.735,28342,20220518
32.735,32.75,32.705,32.735,22664,20220518
32.74,32.79,32.74,32.78,20885,20220518
32.77,32.77,32.763,32.77,19637,20220518
32.77,32.785,32.76,32.76,20356,20220518
32.76,32.775,32.75,32.77,15054,20220518
32.77,32.805,32.765,32.78,27591,20220518
32.78,32.8,32.775,32.79,9273,20220518
32.8,32.825,32.795,32.81,18997,20220518
32.815,32.815,32.8,32.8,6283,20220518
32.81,32.81,32.79,32.79,4612,20220518
32.795,32.795,32.78,32.78,8456,20220518
32.77,32.77,32.73,32.73,26549,20220518
32.73,32.75,32.72,32.735,23851,20220518
32.74,32.74,32.7,32.71,13108,20220518
32.71,32.74,32.705,32.7085,23271,20220518
32.71,32.715,32.7,32.7,17206,20220518
32.7,32.71,32.685,32.685,21742,20220518
32.685,32.7,32.66,32.665,19197,20220518
32.66,32.68,32.65,32.67,16564,20220518
32.67,32.67,32.65,32.67,11070,20220518
32.67,32.68,32.66,32.66,13126,20220518
32.6684,32.715,32.665,32.71,17678,20220518
32.71,32.73,32.71,32.71,16182,20220518
32.71,32.72,32.71,32.715,6034,20220518
32.7101,32.75,32.705,32.745,28765,20220518
32.75,32.77,32.745,32.765,17937,20220518
32.76,32.79,32.75,32.79,24783,20220518
32.79,32.8,32.76,32.77,20902,20220518
32.77,32.77,32.725,32.73,7775,20220518
32.73,32.78,32.725,32.775,15908,20220518
32.77,32.77,32.74,32.75,6235,20220518
32.745,32.775,32.74,32.76,9856,20220518
32.76,32.77,32.745,32.75,12983,20220518
32.75,32.7778,32.745,32.77,15355,20220518
32.77,32.77,32.74,32.748,13760,20220518
32.75,32.76,32.74,32.76,6450,20220518
32.77,32.79,32.76,32.79,15576,20220518
32.795,32.815,32.79,32.815,10737,20220518
32.82,32.82,32.795,32.8,12223,20220518
32.795,32.82,32.795,32.815,11452,20220518
32.82,32.825,32.81,32.82,12277,20220518
32.82,32.83,32.815,32.82,3075,20220518
32.825,32.84,32.825,32.84,11555,20220518
32.84,32.85,32.83,32.83,5461,20220518
32.83,32.83,32.795,32.82,28252,20220518
32.82,32.82,32.81,32.81,7809,20220518
32.8,32.8,32.78,32.79,11053,20220518
32.795,32.795,32.78,32.79,8908,20220518
32.79,32.81,32.79,32.81,19381,20220518
32.81,32.81,32.795,32.81,13935,20220518
32.8,32.8,32.765,32.765,12611,20220518
32.77,32.77,32.745,32.75,6789,20220518
32.755,32.76,32.74,32.74,4751,20220518
32.74,32.74,32.73,32.73,10956,20220518
32.73,32.76,32.73,32.75,14142,20220518
32.75,32.75,32.705,32.71,13657,20220518
32.71,32.72,32.7,32.7,9320,20220518
32.71,32.71,32.675,32.68,17737,20220518
32.67,32.68,32.67,32.67,3326,20220518
32.675,32.675,32.625,32.635,31326,20220518
32.63,32.63,32.61,32.615,17188,20220518
32.62,32.625,32.585,32.595,12991,20220518
32.5916,32.62,32.585,32.59,19864,20220518
32.585,32.605,32.585,32.605,15022,20220518
32.6,32.61,32.595,32.605,9858,20220518
32.6,32.61,32.58,32.605,16490,20220518
32.605,32.6181,32.59,32.59,14060,20220518
32.58,32.587,32.565,32.575,6723,20220518
32.575,32.595,32.575,32.585,9464,20220518
32.585,32.6,32.57,32.58,32705,20220518
32.58,32.61,32.5775,32.6,19403,20220518
32.59,32.63,32.59,32.63,8799,20220518
32.63,32.66,32.62,32.64,28118,20220518
32.64,32.645,32.61,32.61,27738,20220518
32.605,32.61,32.595,32.605,12524,20220518
32.61,32.62,32.59,32.59,18396,20220518
32.59,32.59,32.565,32.58,21692,20220518
32.58,32.59,32.57,32.59,26281,20220518
32.58,32.61,32.58,32.585,16739,20220518
32.58,32.59,32.58,32.585,4097,20220518
32.58,32.58,32.55,32.565,23175,20220518
32.57,32.595,32.57,32.59,15431,20220518
32.59,32.6,32.55,32.55,10691,20220518
32.55,32.55,32.54,32.54,11678,20220518
32.54,32.58,32.54,32.58,32255,20220518
32.59,32.61,32.57,32.57,12142,20220518
32.57,32.57,32.55,32.555,21094,20220518
32.55,32.585,32.55,32.56,14184,20220518
32.55,32.58,32.55,32.57,26625,20220518
32.57,32.59,32.56,32.575,8813,20220518
32.57,32.58,32.56,32.575,9902,20220518
32.57,32.57,32.525,32.525,11876,20220518
32.52,32.535,32.515,32.52,18110,20220518
32.52,32.52,32.505,32.515,5636,20220518
32.51,32.51,32.48,32.495,41089,20220518
32.5,32.51,32.49,32.5,29648,20220518
32.505,32.51,32.4928,32.5,8809,20220518
32.505,32.51,32.48,32.4816,7880,20220518
32.49,32.51,32.475,32.5,18281,20220518
32.4999,32.51,32.49,32.495,5232,20220518
32.495,32.52,32.475,32.48,21584,20220518
32.47,32.49,32.465,32.49,18534,20220518
32.485,32.5,32.48,32.49,11058,20220518
32.49,32.49,32.47,32.47,18940,20220518
32.47,32.49,32.46,32.48,17753,20220518
32.48,32.49,32.445,32.455,15597,20220518
32.45,32.47,32.45,32.47,9058,20220518
32.475,32.49,32.465,32.49,8911,20220518
32.49,32.5,32.4815,32.495,18265,20220518
32.49,32.5,32.475,32.5,15228,20220518
32.5,32.52,32.5,32.51,13352,20220518
32.519,32.52,32.485,32.5,13656,20220518
32.5,32.505,32.455,32.455,22230,20220518
32.46,32.48,32.445,32.475,13119,20220518
32.475,32.5,32.475,32.485,11799,20220518
32.49,32.5,32.475,32.485,13915,20220518
32.48,32.48,32.45,32.45,7350,20220518
32.45,32.45,32.42,32.435,19960,20220518
32.44,32.47,32.425,32.465,28504,20220518
32.47,32.49,32.465,32.49,13249,20220518
32.49,32.505,32.455,32.475,38153,20220518
32.48,32.5,32.475,32.485,24029,20220518
32.485,32.49,32.45,32.48,14609,20220518
32.48,32.49,32.465,32.47,11314,20220518
32.465,32.47,32.46,32.465,7270,20220518
32.47,32.475,32.43,32.45,22516,20220518
32.45,32.5,32.445,32.49,19976,20220518
32.48,32.49,32.47,32.485,17669,20220518
32.485,32.51,32.485,32.5,30417,20220518
32.5,32.525,32.49,32.495,16524,20220518
32.49,32.52,32.485,32.495,59768,20220518
32.49,32.51,32.46,32.5,23632,20220518
32.505,32.515,32.495,32.495,26536,20220518
32.5,32.54,32.495,32.53,19270,20220518
32.53,32.535,32.5,32.515,19799,20220518
32.52,32.54,32.515,32.535,13069,20220518
32.53,32.55,32.53,32.55,11151,20220518
32.545,32.565,32.545,32.555,10963,20220518
32.56,32.5699,32.56,32.565,3884,20220518
32.565,32.58,32.55,32.575,22128,20220518
32.57,32.59,32.55,32.56,35851,20220518
32.56,32.565,32.53,32.53,12204,20220518
32.525,32.54,32.51,32.51,11595,20220518
32.51,32.51,32.47,32.48,29088,20220518
32.48,32.49,32.46,32.46,11729,20220518
32.47,32.47,32.45,32.455,9787,20220518
32.45,32.455,32.405,32.405,10664,20220518
32.405,32.425,32.395,32.41,36757,20220518
32.4,32.455,32.4,32.45,13741,20220518
32.45,32.47,32.435,32.45,24920,20220518
32.445,32.52,32.445,32.515,32639,20220518
32.515,32.52,32.48,32.485,25794,20220518
32.485,32.49,32.46,32.475,11565,20220518
32.48,32.49,32.47,32.485,16461,20220518
32.4833,32.49,32.46,32.48,21664,20220518
32.47,32.485,32.46,32.47,13604,20220518
