open,high,low,close,volume,datetime
74.22,74.66,73.88,74.05,29519,20220518
74.07,74.11,73.94,74.11,3149,20220518
74.13,74.17,73.9,73.97,4853,20220518
73.87,73.96,73.86,73.96,2900,20220518
73.93,73.99,73.82,73.93,6053,20220518
73.9,74.14,73.88,74.14,7933,20220518
74.15,74.185,74.1,74.135,7262,20220518
74.12,74.16,73.99,74.01,14366,20220518
74.04,74.08,73.99,74.02,3400,20220518
74.025,74.025,73.84,73.86,1100,20220518
73.9,73.93,73.86,73.86,2512,20220518
73.87,73.87,73.83,73.85,1870,20220518
73.85,73.9,73.81,73.84,5030,20220518
73.82,73.86,73.82,73.84,4412,20220518
73.835,73.87,73.78,73.87,7412,20220518
73.82,73.84,73.76,73.79,3400,20220518
73.8,73.8,73.72,73.74,3300,20220518
73.75,73.76,73.69,73.71,2350,20220518
73.71,73.71,73.61,73.64,4711,20220518
73.59,73.71,73.58,73.71,1689,20220518
73.71,73.71,73.66,73.66,3466,20220518
73.6431,73.665,73.62,73.665,2936,20220518
73.65,73.66,73.58,73.58,2398,20220518
73.56,73.58,73.49,73.51,3419,20220518
73.52,73.52,73.48,73.5,1100,20220518
73.49,73.49,73.41,73.49,1827,20220518
73.51,73.53,73.5,73.52,1935,20220518
73.42,73.42,73.37,73.4,1134,20220518
73.39,73.45,73.39,73.45,1432,20220518
73.47,73.47,73.38,73.44,4416,20220518
73.44,73.44,73.33,73.37,12769,20220518
73.39,73.41,73.35,73.41,10484,20220518
73.41,73.5,73.4,73.5,5361,20220518
73.52,73.52,73.46,73.51,2351,20220518
73.5,73.5,73.32,73.33,2829,20220518
73.3,73.41,73.3,73.33,4330,20220518
73.35,73.37,73.31,73.35,3019,20220518
73.32,73.39,73.32,73.35,2900,20220518
73.29,73.38,73.29,73.38,3638,20220518
73.4,73.4,73.36,73.4,4308,20220518
73.41,73.46,73.32,73.33,6104,20220518
73.31,73.36,73.21,73.318,11424,20220518
73.28,73.29,73.17,73.21,2052,20220518
73.16,73.16,73.08,73.1,11923,20220518
73.08,73.2,73.07,73.18,3456,20220518
73.19,73.25,73.19,73.23,2639,20220518
73.25,73.25,73.18,73.235,1880,20220518
73.24,73.25,73.16,73.16,4029,20220518
73.18,73.26,73.18,73.23,1581,20220518
73.19,73.19,73.12,73.185,3532,20220518
73.18,73.22,73.18,73.22,3968,20220518
73.22,73.31,73.22,73.31,2056,20220518
73.328,73.35,73.31,73.35,2203,20220518
73.33,73.335,73.16,73.16,7435,20220518
73.17,73.19,73.0982,73.13,6290,20220518
73.11,73.11,73.08,73.08,400,20220518
73.12,73.16,73.04,73.04,6030,20220518
73.01,73.08,73.01,73.05,2859,20220518
73.05,73.07,73.01,73.01,1954,20220518
73.0,73.0,72.915,72.915,1200,20220518
72.9,73.03,72.89,73.01,1300,20220518
73.0,73.01,72.91,72.95,3418,20220518
72.93,72.93,72.86,72.875,1805,20220518
72.87,72.945,72.87,72.91,3111,20220518
72.89,72.89,72.85,72.88,6998,20220518
72.88,72.88,72.8,72.82,2644,20220518
72.81,72.9,72.81,72.9,7046,20220518
72.9,72.94,72.9,72.93,1200,20220518
72.94,72.98,72.94,72.98,4249,20220518
73.0,73.0404,72.98,73.04,3837,20220518
73.06,73.06,72.95,72.985,3378,20220518
72.99,73.08,72.99,73.08,700,20220518
73.09,73.09,73.05,73.07,7260,20220518
73.075,73.11,73.06,73.11,2209,20220518
73.11,73.2,73.1,73.2,4139,20220518
73.19,73.19,73.14,73.15,8704,20220518
73.15,73.19,73.14,73.15,1661,20220518
73.13,73.14,73.11,73.11,1300,20220518
73.13,73.2,73.1,73.19,3825,20220518
73.16,73.16,73.11,73.11,4148,20220518
73.1,73.1,73.01,73.01,1600,20220518
72.98,72.98,72.95,72.96,1200,20220518
72.96,72.96,72.9,72.9,6530,20220518
72.905,72.95,72.865,72.9,11942,20220518
72.9,72.915,72.83,72.865,3192,20220518
72.8355,72.88,72.83,72.88,1100,20220518
72.87,72.89,72.85,72.88,1539,20220518
72.89,72.98,72.89,72.97,3397,20220518
73.01,73.02,72.99,73.0,1100,20220518
72.99,73.03,72.99,73.03,700,20220518
73.025,73.03,72.98,73.01,2043,20220518
73.02,73.02,72.97,72.97,2237,20220518
72.98,73.02,72.93,72.93,1922,20220518
72.88,72.95,72.88,72.93,1867,20220518
72.93,72.93,72.88,72.92,1241,20220518
72.92,72.92,72.88,72.91,1353,20220518
72.92,72.96,72.85,72.85,2830,20220518
72.83,72.89,72.8,72.89,2200,20220518
72.88,72.88,72.81,72.81,1674,20220518
72.82,72.83,72.79,72.79,2226,20220518
72.73,72.73,72.72,72.73,683,20220518
72.72,72.73,72.72,72.7293,701,20220518
72.72,72.74,72.72,72.74,2205,20220518
72.73,72.73,72.72,72.73,827,20220518
72.74,72.74,72.74,72.74,300,20220518
72.74,72.75,72.7324,72.733,1177,20220518
72.73,72.73,72.64,72.64,4287,20220518
72.61,72.63,72.6,72.607,5281,20220518
72.595,72.66,72.595,72.66,2605,20220518
72.64,72.655,72.615,72.615,5137,20220518
72.6325,72.6325,72.56,72.57,1778,20220518
72.54,72.555,72.54,72.55,600,20220518
72.54,72.545,72.52,72.52,812,20220518
72.52,72.52,72.46,72.49,1739,20220518
72.475,72.475,72.37,72.41,1008,20220518
72.44,72.44,72.38,72.38,5143,20220518
72.37,72.39,72.34,72.365,3450,20220518
72.36,72.36,72.25,72.275,5226,20220518
72.275,72.29,72.275,72.29,200,20220518
72.25,72.3,72.25,72.29,1245,20220518
72.28,72.31,72.28,72.29,2595,20220518
72.31,72.42,72.31,72.42,2093,20220518
72.44,72.46,72.325,72.37,8520,20220518
72.38,72.44,72.38,72.439,1000,20220518
72.43,72.44,72.42,72.44,400,20220518
72.44,72.47,72.44,72.47,868,20220518
72.45,72.48,72.43,72.46,1467,20220518
72.47,72.5,72.47,72.5,600,20220518
72.5036,72.5036,72.44,72.44,1872,20220518
72.42,72.45,72.42,72.45,600,20220518
72.4,72.4,72.32,72.33,4622,20220518
72.35,72.41,72.335,72.41,6246,20220518
72.39,72.46,72.39,72.46,2460,20220518
72.46,72.49,72.44,72.445,1822,20220518
72.45,72.53,72.45,72.53,1500,20220518
72.53,72.53,72.42,72.42,1693,20220518
72.42,72.43,72.42,72.425,500,20220518
72.41,72.41,72.38,72.4,920,20220518
72.365,72.44,72.365,72.39,2732,20220518
72.4,72.41,72.34,72.38,6723,20220518
72.37,72.39,72.37,72.3758,838,20220518
72.39,72.4,72.37,72.37,1000,20220518
72.33,72.35,72.3,72.3,1703,20220518
72.31,72.31,72.2,72.2,1033,20220518
72.23,72.26,72.12,72.12,5562,20220518
72.105,72.2,72.105,72.2,4446,20220518
72.2,72.26,72.2,72.21,3270,20220518
72.22,72.288,72.22,72.26,1600,20220518
