open,high,low,close,volume,datetime
57.036,57.17,57.036,57.17,2267,20220518
57.21,57.34,57.21,57.31,600,20220518
57.4,57.41,57.2,57.2,37430,20220518
57.21,57.51,57.2029,57.39,2356,20220518
57.39,57.4,57.3,57.4,1260,20220518
57.49,57.59,57.46,57.46,4175,20220518
57.44,57.49,57.44,57.49,5196,20220518
57.54,57.57,57.46,57.46,5495,20220518
57.53,57.55,57.4,57.4,4366,20220518
57.45,57.52,57.4,57.48,8650,20220518
57.49,57.6,57.48,57.51,5354,20220518
57.48,57.62,57.43,57.43,5085,20220518
57.425,57.45,57.39,57.3954,3220,20220518
57.365,57.37,57.33,57.33,900,20220518
57.305,57.46,57.28,57.46,1250,20220518
57.51,57.57,57.47,57.53,2019,20220518
57.53,57.59,57.48,57.53,3937,20220518
57.56,57.59,57.55,57.575,4371,20220518
57.6,57.62,57.56,57.61,2337,20220518
57.6,57.62,57.58,57.59,3787,20220518
57.62,57.62,57.52,57.58,6309,20220518
57.59,57.63,57.5675,57.61,6257,20220518
57.61,57.69,57.61,57.675,3120,20220518
57.7,57.749,57.63,57.73,6766,20220518
57.72,57.77,57.71,57.73,3932,20220518
57.75,57.77,57.72,57.76,2381,20220518
57.73,57.75,57.61,57.61,15550,20220518
57.58,57.59,57.49,57.57,9931,20220518
57.54,57.57,57.51,57.52,2961,20220518
57.515,57.61,57.46,57.61,8387,20220518
57.66,57.7061,57.61,57.7061,3912,20220518
57.68,57.74,57.625,57.63,4282,20220518
57.62,57.75,57.62,57.75,3341,20220518
57.75,57.8,57.7,57.8,2856,20220518
57.81,57.83,57.78,57.81,3669,20220518
57.81,58.01,57.81,57.99,10146,20220518
58.0,58.08,57.96,58.04,12563,20220518
58.03,58.05,58.0,58.02,9117,20220518
58.04,58.11,58.03,58.08,17245,20220518
58.07,58.08,57.96,57.98,20474,20220518
57.985,58.0,57.9,57.9,9271,20220518
57.88,57.94,57.865,57.94,5682,20220518
57.96,58.0,57.94,57.95,5558,20220518
57.945,57.99,57.91,57.95,9894,20220518
57.95,57.99,57.95,57.99,4625,20220518
57.99,58.02,57.98,58.0,2986,20220518
58.01,58.015,57.95,58.015,8258,20220518
58.0,58.01,57.97,57.99,1632,20220518
57.99,58.06,57.99,58.034,3988,20220518
58.02,58.05,58.0,58.03,8747,20220518
58.02,58.03,57.97,58.02,9563,20220518
58.04,58.04,58.0,58.005,1819,20220518
58.02,58.045,57.99,58.035,3563,20220518
58.02,58.02,57.965,57.965,3603,20220518
57.98,58.02,57.975,58.015,4904,20220518
58.0,58.01,57.94,57.94,4201,20220518
57.97,57.97,57.93,57.97,6194,20220518
57.95,57.96,57.92,57.92,2942,20220518
57.91,57.93,57.9,57.92,5575,20220518
57.91,57.93,57.85,57.86,6403,20220518
57.87,57.87,57.82,57.8512,1745,20220518
57.86,57.96,57.845,57.92,7506,20220518
57.92,57.935,57.91,57.91,1977,20220518
57.92,57.97,57.92,57.97,5850,20220518
57.98,58.01,57.98,58.01,1330,20220518
58.02,58.05,57.97,57.99,3389,20220518
57.99,58.04,57.97,58.01,3835,20220518
57.99,58.02,57.97,58.0,4101,20220518
58.01,58.03,58.01,58.01,2019,20220518
58.02,58.069,58.02,58.069,4081,20220518
58.055,58.12,58.04,58.095,5670,20220518
58.095,58.16,58.095,58.16,1161,20220518
58.18,58.21,58.17,58.21,1318,20220518
58.209,58.235,58.2,58.22,2900,20220518
58.235,58.3,58.23,58.295,2370,20220518
58.28,58.28,58.18,58.2,2640,20220518
58.2,58.23,58.15,58.15,4196,20220518
58.15,58.15,58.11,58.115,1500,20220518
58.115,58.16,58.115,58.12,4892,20220518
58.115,58.115,58.07,58.11,1897,20220518
58.105,58.11,58.07,58.08,4079,20220518
58.09,58.09,58.05,58.07,3159,20220518
58.05,58.065,57.98,58.02,5189,20220518
58.04,58.07,58.025,58.04,5377,20220518
58.03,58.0562,58.03,58.056,1340,20220518
58.05,58.07,58.045,58.065,1291,20220518
58.07,58.17,58.07,58.155,8469,20220518
58.18,58.1998,58.165,58.1998,2150,20220518
58.18,58.2,58.16,58.17,3187,20220518
58.15,58.21,58.15,58.15,2889,20220518
58.175,58.175,58.12,58.14,2064,20220518
58.145,58.145,58.08,58.08,2264,20220518
58.1,58.135,58.05,58.05,5451,20220518
58.05,58.05,58.01,58.025,2234,20220518
58.025,58.035,57.99,58.01,3187,20220518
58.04,58.04,58.0,58.01,1660,20220518
58.02,58.02,57.91,57.91,4207,20220518
57.915,57.925,57.8543,57.925,5178,20220518
57.925,57.95,57.915,57.915,3088,20220518
57.92,57.96,57.92,57.95,6640,20220518
57.94,57.955,57.87,57.87,5562,20220518
57.85,57.89,57.85,57.855,4757,20220518
57.855,57.885,57.85,57.875,4386,20220518
57.885,57.885,57.885,57.885,200,20220518
57.875,57.88,57.87,57.87,1808,20220518
