open,high,low,close,volume,datetime
100.71,100.71,100.4,100.4,8459,20220518
100.49,100.62,100.41,100.41,2432,20220518
100.42,100.47,100.2,100.23,7011,20220518
100.21,100.21,100.09,100.16,2620,20220518
100.09,100.09,100.05,100.09,3609,20220518
100.13,100.14,100.13,100.14,539,20220518
100.11,100.13,100.08,100.1,4100,20220518
100.06,100.062,100.06,100.06,703,20220518
100.06,100.09,100.06,100.08,1800,20220518
100.08,100.12,100.07,100.12,1200,20220518
100.15,100.16,100.14,100.14,600,20220518
100.14,100.14,100.05,100.05,1200,20220518
100.09,100.095,100.09,100.095,300,20220518
100.14,100.14,100.14,100.14,394,20220518
100.15,100.2,100.14,100.14,1200,20220518
100.14,100.14,100.09,100.09,900,20220518
100.08,100.08,100.06,100.06,800,20220518
100.05,100.07,100.05,100.07,2143,20220518
100.05,100.065,100.04,100.05,6749,20220518
100.05,100.08,100.05,100.08,1002,20220518
100.06,100.12,100.05,100.12,1257,20220518
100.11,100.115,100.05,100.05,500,20220518
100.05,100.09,100.05,100.05,800,20220518
100.065,100.1,100.05,100.1,1565,20220518
100.1,100.11,100.1,100.1,2599,20220518
100.11,100.11,100.05,100.05,2956,20220518
100.06,100.06,100.06,100.06,1300,20220518
100.06,100.06,100.05,100.06,600,20220518
100.07,100.14,100.06,100.14,1300,20220518
100.12,100.17,100.11,100.17,1200,20220518
100.17,100.24,100.17,100.24,2087,20220518
100.25,100.26,100.24,100.24,1187,20220518
100.23,100.23,100.23,100.23,100,20220518
100.21,100.24,100.19,100.22,3000,20220518
100.19,100.2,100.19,100.2,500,20220518
100.2,100.22,100.2,100.22,400,20220518
100.2299,100.2299,100.2,100.2,1190,20220518
100.22,100.22,100.2,100.2,900,20220518
100.2,100.24,100.2,100.24,300,20220518
100.22,100.28,100.22,100.28,300,20220518
100.28,100.28,100.28,100.28,200,20220518
100.26,100.27,100.26,100.27,381,20220518
100.25,100.29,100.25,100.29,400,20220518
100.27,100.28,100.27,100.28,200,20220518
100.29,100.29,100.27,100.27,719,20220518
100.3,100.31,100.27,100.29,400,20220518
100.295,100.31,100.295,100.31,200,20220518
100.31,100.32,100.3,100.3,300,20220518
100.32,100.33,100.32,100.33,300,20220518
100.33,100.33,100.33,100.33,100,20220518
100.31,100.33,100.3,100.33,1022,20220518
100.32,100.34,100.32,100.335,700,20220518
100.345,100.37,100.34,100.37,500,20220518
100.31,100.31,100.31,100.31,100,20220518
100.31,100.31,100.31,100.31,200,20220518
100.305,100.305,100.305,100.305,100,20220518
100.31,100.36,100.31,100.36,200,20220518
100.355,100.36,100.355,100.36,200,20220518
100.33,100.33,100.32,100.32,300,20220518
100.35,100.35,100.31,100.31,456,20220518
100.32,100.32,100.32,100.32,300,20220518
100.34,100.35,100.325,100.35,400,20220518
100.35,100.37,100.35,100.37,600,20220518
100.39,100.42,100.39,100.42,600,20220518
100.42,100.42,100.39,100.39,1200,20220518
100.41,100.41,100.41,100.41,300,20220518
100.44,100.47,100.44,100.47,500,20220518
100.49,100.49,100.47,100.47,400,20220518
100.48,100.48,100.48,100.48,100,20220518
100.465,100.465,100.45,100.46,1296,20220518
100.47,100.49,100.47,100.48,500,20220518
100.47,100.47,100.46,100.46,400,20220518
100.46,100.46,100.46,100.46,200,20220518
100.45,100.46,100.45,100.46,200,20220518
100.45,100.46,100.45,100.46,300,20220518
100.44,100.44,100.43,100.43,300,20220518
100.4,100.41,100.4,100.41,1043,20220518
100.41,100.41,100.41,100.41,100,20220518
100.4,100.4,100.4,100.4,300,20220518
100.39,100.41,100.39,100.41,300,20220518
100.39,100.39,100.37,100.37,600,20220518
100.335,100.335,100.335,100.335,100,20220518
100.33,100.35,100.33,100.35,700,20220518
100.33,100.33,100.33,100.33,300,20220518
100.31,100.31,100.31,100.31,100,20220518
100.31,100.32,100.29,100.3,600,20220518
100.29,100.29,100.29,100.29,100,20220518
100.27,100.27,100.27,100.27,200,20220518
100.26,100.28,100.26,100.27,1200,20220518
100.27,100.27,100.27,100.27,200,20220518
100.27,100.27,100.27,100.27,100,20220518
100.27,100.29,100.27,100.29,200,20220518
100.275,100.275,100.275,100.275,100,20220518
100.27,100.275,100.27,100.275,200,20220518
100.29,100.31,100.29,100.29,900,20220518
100.33,100.33,100.33,100.33,100,20220518
100.33,100.33,100.33,100.33,100,20220518
100.3,100.32,100.3,100.32,200,20220518
100.3,100.31,100.28,100.31,1300,20220518
100.34,100.34,100.34,100.34,100,20220518
100.32,100.32,100.32,100.32,100,20220518
100.31,100.32,100.3,100.31,1586,20220518
100.31,100.31,100.27,100.27,2035,20220518
100.23,100.23,100.21,100.23,2103,20220518
100.24,100.24,100.22,100.225,900,20220518
100.2,100.23,100.2,100.22,1548,20220518
100.21,100.22,100.2,100.2,5956,20220518
100.2,100.2,100.2,100.2,1352,20220518
100.2,100.2,100.2,100.2,1579,20220518
100.2,100.22,100.2,100.21,2289,20220518
100.21,100.21,100.21,100.21,200,20220518
100.22,100.22,100.21,100.21,200,20220518
100.22,100.23,100.22,100.23,400,20220518
100.27,100.28,100.27,100.28,400,20220518
100.29,100.29,100.29,100.29,200,20220518
100.24,100.24,100.24,100.24,100,20220518
100.225,100.25,100.225,100.24,765,20220518
100.26,100.26,100.26,100.26,100,20220518
100.28,100.28,100.26,100.26,300,20220518
100.275,100.28,100.26,100.2617,982,20220518
100.27,100.28,100.26,100.27,500,20220518
100.27,100.27,100.27,100.27,100,20220518
100.23,100.27,100.225,100.26,800,20220518
100.27,100.27,100.27,100.27,100,20220518
100.28,100.3085,100.28,100.3085,600,20220518
100.3,100.32,100.3,100.32,500,20220518
100.32,100.32,100.32,100.32,200,20220518
100.35,100.35,100.34,100.34,500,20220518
100.345,100.345,100.34,100.34,300,20220518
100.3401,100.3401,100.3401,100.3401,175,20220518
100.355,100.37,100.22,100.22,2700,20220518
100.25,100.28,100.25,100.26,619,20220518
100.27,100.27,100.26,100.27,1197,20220518
100.25,100.26,100.25,100.255,450,20220518
100.25,100.25,100.25,100.25,100,20220518
100.239,100.239,100.239,100.239,120,20220518
100.24,100.24,100.24,100.24,100,20220518
100.24,100.24,100.24,100.24,200,20220518
100.25,100.28,100.25,100.28,400,20220518
100.28,100.28,100.28,100.28,200,20220518
100.28,100.29,100.27,100.27,1200,20220518
100.24,100.24,100.24,100.24,100,20220518
100.265,100.27,100.265,100.27,200,20220518
100.25,100.25,100.245,100.245,400,20220518
100.25,100.25,100.25,100.25,100,20220518
100.268,100.268,100.268,100.268,100,20220518
100.23,100.23,100.23,100.23,200,20220518
100.24,100.24,100.24,100.24,100,20220518
100.24,100.25,100.24,100.25,917,20220518
100.24,100.246,100.24,100.246,500,20220518
100.26,100.37,100.26,100.36,1100,20220518
100.38,100.38,100.37,100.37,300,20220518
100.365,100.365,100.365,100.365,100,20220518
100.35,100.35,100.34,100.34,200,20220518
100.34,100.34,100.34,100.34,407,20220518
100.34,100.34,100.32,100.32,400,20220518
100.32,100.32,100.32,100.32,200,20220518
100.3,100.33,100.3,100.33,300,20220518
100.34,100.34,100.34,100.34,100,20220518
100.34,100.34,100.338,100.34,500,20220518
100.345,100.36,100.345,100.36,500,20220518
100.375,100.375,100.375,100.375,100,20220518
100.38,100.38,100.36,100.38,300,20220518
100.38,100.4,100.38,100.4,200,20220518
100.395,100.395,100.395,100.395,100,20220518
100.395,100.4,100.395,100.4,300,20220518
100.42,100.42,100.42,100.42,400,20220518
100.41,100.41,100.41,100.41,200,20220518
100.4,100.4,100.4,100.4,100,20220518
100.4,100.4,100.36,100.36,1501,20220518
100.34,100.34,100.32,100.32,1177,20220518
100.3,100.3,100.28,100.28,754,20220518
100.26,100.26,100.22,100.22,200,20220518
100.23,100.25,100.23,100.25,400,20220518
100.27,100.27,100.27,100.27,100,20220518
100.24,100.24,100.24,100.24,100,20220518
100.24,100.24,100.21,100.22,838,20220518
100.22,100.28,100.22,100.26,7878,20220518
100.27,100.295,100.27,100.295,200,20220518
100.28,100.33,100.28,100.33,600,20220518
100.325,100.325,100.31,100.31,300,20220518
100.32,100.35,100.32,100.35,900,20220518
100.32,100.32,100.32,100.32,100,20220518
100.37,100.37,100.37,100.37,100,20220518
100.36,100.37,100.36,100.37,203,20220518
100.4,100.4,100.4,100.4,200,20220518
100.39,100.39,100.36,100.36,923,20220518
100.33,100.34,100.33,100.34,523,20220518
