open,high,low,close,volume,datetime
98.43,98.43,97.95,98.07,103747,20220518
97.98,98.0445,97.66,97.6701,7664,20220518
97.67,97.7,97.13,97.455,92890,20220518
97.42,97.67,97.3,97.3,27362,20220518
97.265,97.31,96.93,97.19,36474,20220518
97.17,97.5,96.97,96.97,33360,20220518
96.96,97.27,96.96,97.27,8223,20220518
97.27,97.27,96.81,96.89,11341,20220518
96.9,96.9099,96.555,96.6,15919,20220518
96.58,96.67,96.52,96.5925,6346,20220518
96.61,96.75,96.4309,96.4309,17252,20220518
96.45,96.58,96.2,96.2799,20805,20220518
96.22,96.27,96.02,96.04,24559,20220518
96.05,96.06,95.9,95.92,34471,20220518
95.91,95.92,95.58,95.6333,33767,20220518
95.615,95.68,95.51,95.665,19495,20220518
95.63,95.86,95.56,95.69,18749,20220518
95.69,95.82,95.52,95.52,27521,20220518
95.52,95.6899,95.52,95.6899,6703,20220518
95.6462,95.6462,95.3,95.3999,30570,20220518
95.4,95.4,95.25,95.28,18819,20220518
95.23,95.32,95.15,95.15,12939,20220518
95.17,95.1999,95.02,95.1999,18882,20220518
95.1719,95.36,95.1301,95.34,12681,20220518
95.345,95.3974,95.21,95.355,3921,20220518
95.3799,95.5873,95.37,95.5873,19990,20220518
95.61,95.67,95.45,95.4669,16602,20220518
95.49,95.49,95.34,95.39,19643,20220518
95.4104,95.42,95.2,95.235,29588,20220518
95.22,95.32,95.12,95.31,24051,20220518
95.305,95.305,95.05,95.1,16172,20220518
95.07,95.08,94.76,94.84,71840,20220518
94.85,94.9,94.8,94.8,14688,20220518
94.79,94.84,94.59,94.82,27927,20220518
94.83,94.96,94.77,94.77,14911,20220518
94.77,94.7781,94.615,94.66,8529,20220518
94.63,94.64,94.25,94.2691,84183,20220518
94.22,94.24,93.93,93.985,49987,20220518
93.93,93.96,93.71,93.86,71837,20220518
93.88,93.89,93.65,93.69,33091,20220518
93.6999,93.7229,93.56,93.7229,45809,20220518
93.715,93.79,93.69,93.69,49781,20220518
93.69,93.71,93.595,93.6,29620,20220518
93.585,93.68,93.5,93.66,22308,20220518
93.67,93.78,93.62,93.77,15151,20220518
93.79,93.81,93.56,93.605,30439,20220518
93.57,93.59,93.4303,93.4305,25608,20220518
93.44,93.55,93.38,93.4617,23697,20220518
93.47,93.47,93.3,93.305,10770,20220518
93.29,93.36,93.22,93.26,13207,20220518
93.2501,93.4,93.13,93.4,28137,20220518
93.42,93.47,93.255,93.3,18446,20220518
93.275,93.32,93.1444,93.165,7771,20220518
93.188,93.188,93.07,93.07,9490,20220518
93.08,93.22,93.07,93.2,16356,20220518
93.21,93.3,93.06,93.06,27969,20220518
93.06,93.4,93.03,93.22,28305,20220518
93.2,93.22,93.06,93.0899,9399,20220518
93.05,93.23,92.93,93.22,44032,20220518
93.24,93.44,93.22,93.44,7241,20220518
93.46,93.56,93.42,93.46,17580,20220518
93.45,93.5,93.365,93.4,8673,20220518
93.44,93.53,93.39,93.45,5288,20220518
93.46,93.6,93.44,93.565,10537,20220518
93.56,93.7999,93.5,93.77,57120,20220518
93.76,93.8727,93.57,93.5703,26307,20220518
93.57,93.57,93.275,93.275,21585,20220518
93.29,93.5036,93.29,93.44,33524,20220518
93.48,93.63,93.48,93.62,7390,20220518
93.66,93.875,93.64,93.79,6681,20220518
93.79,93.79,93.65,93.71,11887,20220518
93.67,93.83,93.67,93.78,9011,20220518
93.78,93.86,93.75,93.77,23201,20220518
93.785,93.93,93.785,93.8261,9810,20220518
93.83,93.95,93.825,93.89,25550,20220518
93.87,93.96,93.7801,93.85,20026,20220518
93.85,93.9,93.67,93.67,12637,20220518
93.67,93.67,93.39,93.4,18872,20220518
93.41,93.42,93.3001,93.34,14239,20220518
93.3599,93.405,93.23,93.235,14077,20220518
93.26,93.29,93.23,93.29,7672,20220518
93.28,93.4702,93.28,93.4695,8788,20220518
93.43,93.49,93.35,93.455,25203,20220518
93.47,93.47,93.2901,93.305,17012,20220518
93.29,93.35,93.24,93.35,10282,20220518
93.36,93.425,93.34,93.3983,9582,20220518
93.37,93.58,93.35,93.51,23065,20220518
93.51,93.65,93.51,93.63,14057,20220518
93.64,93.64,93.57,93.64,7595,20220518
93.63,93.78,93.61,93.735,11421,20220518
93.735,93.825,93.68,93.8,8991,20220518
93.79,93.91,93.76,93.9,13936,20220518
93.88,93.98,93.88,93.9,7121,20220518
93.89,93.9,93.84,93.849,7793,20220518
93.86,93.8671,93.77,93.8234,6902,20220518
93.8222,93.93,93.8,93.9,21835,20220518
93.9,93.94,93.9,93.92,14652,20220518
93.92,93.9857,93.88,93.9857,20810,20220518
93.99,94.02,93.89,93.93,34467,20220518
93.9266,93.95,93.91,93.92,6098,20220518
93.915,93.92,93.822,93.822,5737,20220518
