open,high,low,close,volume,datetime
174.12,174.13,173.6,173.65,13859,20220518
173.58,173.74,173.43,173.55,227717,20220518
173.5,173.76,173.19,173.3008,54229,20220518
173.27,173.32,172.74,172.8278,29174,20220518
172.81,172.81,171.85,172.2734,113595,20220518
172.25,172.51,171.96,171.96,33167,20220518
172.0625,172.53,172.05,172.305,23986,20220518
172.35,172.65,172.31,172.65,52235,20220518
172.62,172.6666,171.87,172.01,39191,20220518
172.0099,172.03,171.52,171.58,38948,20220518
171.65,171.921,171.24,171.2561,49778,20220518
171.26,171.94,171.26,171.9,34184,20220518
171.9,172.27,171.87,172.27,44926,20220518
172.32,172.44,172.1,172.1442,14443,20220518
172.165,172.56,172.165,172.42,28936,20220518
172.38,172.51,172.1772,172.44,14383,20220518
172.4,172.67,172.32,172.62,43544,20220518
172.6178,172.63,172.42,172.55,39678,20220518
172.55,172.57,172.36,172.515,31504,20220518
172.48,172.67,172.39,172.5667,43290,20220518
172.57,172.85,172.27,172.31,96398,20220518
172.26,172.45,172.01,172.04,18997,20220518
172.01,172.03,171.7201,171.935,17363,20220518
171.88,172.3077,171.87,172.29,11262,20220518
172.2939,172.3,172.04,172.1,15300,20220518
172.16,172.235,171.81,171.91,12274,20220518
171.98,172.0882,171.88,171.99,8817,20220518
172.03,172.115,171.94,172.03,10477,20220518
172.04,172.05,171.88,171.98,13060,20220518
172.0,172.12,171.85,172.03,14016,20220518
172.015,172.3819,171.97,172.3,10160,20220518
172.245,172.35,171.91,171.94,17814,20220518
172.0,172.02,171.61,171.62,31958,20220518
171.59,171.775,171.55,171.77,40923,20220518
171.78,172.19,171.78,171.95,19931,20220518
171.93,172.2799,171.93,172.18,13870,20220518
172.21,172.29,172.16,172.25,10083,20220518
172.21,172.26,171.94,172.26,15233,20220518
172.28,172.37,172.18,172.35,17924,20220518
172.3531,172.45,172.24,172.25,20621,20220518
172.24,172.3142,172.1,172.25,8044,20220518
172.265,172.2941,172.165,172.25,6423,20220518
172.25,172.29,172.13,172.13,8062,20220518
172.16,172.4073,172.12,172.3,8783,20220518
172.33,172.48,172.27,172.48,14658,20220518
172.46,172.55,172.24,172.26,20235,20220518
172.25,172.31,172.01,172.28,13208,20220518
172.27,172.4504,172.2,172.27,8111,20220518
172.24,172.48,172.24,172.25,8181,20220518
172.23,172.48,172.165,172.4,18927,20220518
172.39,172.59,172.32,172.4274,37970,20220518
172.4691,172.49,172.385,172.435,10859,20220518
172.47,172.67,172.4101,172.48,43627,20220518
172.43,172.5,172.14,172.14,26903,20220518
172.13,172.25,172.09,172.16,14106,20220518
172.15,172.15,171.82,171.82,35044,20220518
171.79,172.03,171.79,171.96,18919,20220518
171.96,171.97,171.77,171.83,18755,20220518
171.83,171.86,171.6933,171.75,12224,20220518
171.73,171.77,171.58,171.68,10590,20220518
171.77,172.23,171.77,172.19,8970,20220518
172.23,172.2918,171.845,171.9,12362,20220518
171.905,171.905,171.56,171.63,11614,20220518
171.65,171.95,171.65,171.95,9831,20220518
171.92,172.0145,171.83,171.83,8329,20220518
171.83,171.86,171.7,171.72,8283,20220518
171.71,171.74,171.45,171.45,17136,20220518
171.41,171.5,171.27,171.31,12726,20220518
171.29,171.72,171.29,171.57,8219,20220518
171.65,171.75,171.46,171.62,11641,20220518
171.6,171.7,171.56,171.5936,11232,20220518
171.59,171.81,171.58,171.8,13226,20220518
171.77,171.86,171.6409,171.8,18565,20220518
171.85,171.9,171.675,171.76,5971,20220518
171.73,171.77,171.47,171.47,11013,20220518
171.42,171.72,171.37,171.72,10279,20220518
171.71,172.0,171.7,171.9199,11550,20220518
171.9,171.9,171.695,171.84,12805,20220518
171.8284,172.05,171.8284,172.02,36854,20220518
172.01,172.13,171.83,171.97,37983,20220518
172.01,172.01,171.59,171.63,11459,20220518
171.649,171.675,171.4,171.4,19758,20220518
171.34,171.35,171.03,171.07,47820,20220518
171.0797,171.3638,171.01,171.03,53560,20220518
171.04,171.16,170.915,171.13,75931,20220518
