open,high,low,close,volume,datetime
84.25,84.38,83.58,83.99,60680,20220518
83.91,84.045,83.87,83.98,6435,20220518
83.98,84.07,83.8,83.87,7076,20220518
83.875,83.93,83.79,83.81,5318,20220518
83.78,83.95,83.77,83.93,10022,20220518
83.93,84.01,83.83,83.83,6059,20220518
83.79,83.93,83.78,83.93,4030,20220518
84.0,84.02,83.87,83.995,4497,20220518
83.93,83.95,83.85,83.85,2227,20220518
83.82,83.9,83.7987,83.7987,2643,20220518
83.75,83.79,83.56,83.59,4921,20220518
83.6,83.67,83.58,83.58,2727,20220518
83.58,83.74,83.57,83.72,3914,20220518
83.68,83.77,83.65,83.65,2533,20220518
83.66,83.76,83.655,83.73,2619,20220518
83.75,83.85,83.68,83.85,5541,20220518
83.83,83.91,83.8,83.86,5469,20220518
83.84,84.03,83.835,83.925,8166,20220518
83.94,84.05,83.94,84.0,2720,20220518
84.0,84.08,83.96,84.05,9985,20220518
84.06,84.09,83.93,83.97,2337,20220518
83.94,83.94,83.83,83.83,1404,20220518
83.83,83.83,83.75,83.78,950,20220518
83.73,83.73,83.62,83.69,2252,20220518
83.65,83.74,83.65,83.71,1768,20220518
83.68,83.7,83.57,83.62,6935,20220518
83.6125,83.68,83.61,83.63,3515,20220518
83.61,83.66,83.6,83.6,3600,20220518
83.6,83.61,83.43,83.43,7577,20220518
83.42,83.57,83.42,83.57,2234,20220518
83.525,83.61,83.49,83.58,4525,20220518
83.57,83.58,83.5,83.54,10585,20220518
83.52,83.575,83.48,83.51,18551,20220518
83.5,83.58,83.48,83.57,5557,20220518
83.54,83.62,83.54,83.555,4465,20220518
83.55,83.58,83.46,83.49,3934,20220518
83.47,83.51,83.4475,83.46,4595,20220518
83.44,83.47,83.365,83.47,5840,20220518
83.4613,83.49,83.42,83.46,5042,20220518
83.47,83.56,83.47,83.51,4610,20220518
83.495,83.57,83.49,83.55,4941,20220518
83.55,83.61,83.54,83.61,3744,20220518
83.61,83.71,83.61,83.6605,5393,20220518
83.655,83.74,83.64,83.7385,4886,20220518
83.739,83.78,83.7,83.78,3849,20220518
83.78,83.89,83.72,83.769,11081,20220518
83.73,83.7667,83.715,83.73,10844,20220518
83.72,83.72,83.65,83.71,48258,20220518
83.71,83.71,83.69,83.71,4000,20220518
83.71,83.78,83.71,83.73,17798,20220518
83.72,83.76,83.7,83.75,3802,20220518
83.77,83.8,83.71,83.71,2870,20220518
83.7,83.71,83.62,83.67,3103,20220518
83.66,83.66,83.61,83.61,1236,20220518
83.585,83.7,83.585,83.7,4722,20220518
83.71,83.71,83.68,83.69,1746,20220518
83.63,83.6775,83.63,83.66,3810,20220518
83.645,83.68,83.63,83.665,1600,20220518
83.66,83.66,83.59,83.59,1372,20220518
83.59,83.63,83.59,83.6,3817,20220518
83.64,83.65,83.6,83.6,6824,20220518
83.59,83.6,83.57,83.58,3304,20220518
83.59,83.59,83.5,83.52,4105,20220518
83.53,83.55,83.52,83.55,3956,20220518
83.55,83.63,83.55,83.62,8325,20220518
83.62,83.69,83.61,83.65,7211,20220518
83.64,83.71,83.63,83.7,4229,20220518
83.7,83.81,83.69,83.81,2516,20220518
83.81,83.89,83.81,83.87,5693,20220518
83.87,83.89,83.79,83.86,6373,20220518
83.83,83.88,83.81,83.82,10724,20220518
83.8,83.82,83.78,83.81,9546,20220518
83.81,83.81,83.59,83.62,17525,20220518
83.62,83.655,83.59,83.595,8893,20220518
83.58,83.63,83.56,83.56,9479,20220518
83.56,83.605,83.53,83.6,8024,20220518
83.61,83.64,83.57,83.58,14739,20220518
83.59,83.62,83.49,83.51,5178,20220518
83.51,83.51,83.45,83.47,2873,20220518
83.45,83.47,83.36,83.36,4113,20220518
83.38,83.39,83.315,83.35,3946,20220518
83.33,83.41,83.33,83.41,3043,20220518
83.39,83.4,83.35,83.35,4377,20220518
83.37,83.37,83.32,83.35,3869,20220518
83.33,83.34,83.29,83.33,6946,20220518
83.35,83.37,83.3,83.31,4817,20220518
83.2936,83.33,83.27,83.27,4802,20220518
83.28,83.33,83.26,83.325,4212,20220518
83.33,83.37,83.33,83.37,10550,20220518
83.37,83.38,83.32,83.35,4410,20220518
83.33,83.335,83.31,83.335,1471,20220518
83.34,83.39,83.33,83.36,5733,20220518
