open,high,low,close,volume,datetime
384.0,385.09,383.13,384.02,27475,20220518
383.31,383.415,382.99,382.99,790,20220518
383.82,383.82,383.1485,383.1485,378,20220518
382.75,383.08,381.445,382.1076,3200,20220518
381.5,382.6914,380.8801,381.005,2234,20220518
381.0301,381.85,380.72,381.85,1571,20220518
381.525,381.545,381.085,381.085,300,20220518
382.19,382.59,381.13,381.13,1703,20220518
381.1301,381.92,381.1301,381.77,1950,20220518
382.1462,382.1462,380.7725,380.7725,1222,20220518
381.035,381.4903,381.035,381.075,695,20220518
381.14,381.31,381.14,381.31,200,20220518
381.35,382.01,380.5601,381.67,2538,20220518
381.775,382.306,381.63,382.25,1417,20220518
382.37,382.37,382.06,382.06,400,20220518
382.89,382.9,382.83,382.9,803,20220518
383.3513,383.3513,382.45,382.51,1197,20220518
382.77,383.09,382.69,383.02,1416,20220518
383.66,383.66,382.95,383.005,1600,20220518
383.41,383.83,383.1957,383.82,1100,20220518
383.81,383.87,381.96,382.485,3640,20220518
382.215,383.255,382.1901,383.23,1300,20220518
383.96,383.96,382.97,383.24,950,20220518
383.24,383.24,383.24,383.24,200,20220518
383.4,383.62,383.4,383.615,1595,20220518
383.78,383.795,383.745,383.795,300,20220518
383.675,383.8,383.35,383.655,900,20220518
383.68,383.7099,383.215,383.215,8040,20220518
383.135,383.45,383.09,383.225,1700,20220518
383.22,383.54,383.22,383.33,1700,20220518
383.35,383.74,383.35,383.74,1274,20220518
383.93,384.6013,383.85,384.325,712,20220518
383.88,384.36,383.88,384.36,2179,20220518
384.18,384.18,383.64,383.83,700,20220518
384.11,384.11,383.925,383.925,400,20220518
384.05,384.05,383.51,383.51,600,20220518
383.905,383.905,383.7,383.7,200,20220518
383.88,383.88,383.17,383.34,1919,20220518
383.635,383.635,383.29,383.29,200,20220518
383.16,383.37,382.55,382.68,3484,20220518
382.585,382.88,381.6,381.86,2596,20220518
382.14,382.14,382.005,382.005,300,20220518
381.975,382.195,381.875,382.195,600,20220518
381.95,382.525,381.95,382.19,3101,20220518
382.31,382.79,381.7879,382.79,1000,20220518
382.525,383.05,382.525,383.05,1365,20220518
383.075,383.075,382.54,382.93,2322,20220518
382.8956,383.225,382.57,383.225,1616,20220518
382.945,383.16,382.935,383.16,700,20220518
382.78,382.78,382.2187,382.615,1336,20220518
382.335,382.995,382.1,382.6423,2463,20220518
382.92,383.12,382.92,383.12,300,20220518
382.92,383.39,382.92,383.2,903,20220518
383.23,383.435,383.23,383.435,400,20220518
382.87,382.87,382.47,382.47,600,20220518
382.59,382.825,382.555,382.555,603,20220518
382.57,382.57,382.15,382.15,500,20220518
382.165,382.165,381.13,381.13,893,20220518
381.0,381.19,380.6283,381.19,2726,20220518
380.955,381.225,380.245,380.4893,2259,20220518
380.55,381.3,380.405,380.975,2653,20220518
381.27,381.645,380.945,381.37,1503,20220518
381.29,381.435,380.98,381.435,1700,20220518
381.56,381.95,381.345,381.95,1155,20220518
382.26,382.26,381.6642,381.6642,500,20220518
381.87,381.87,381.22,381.22,1467,20220518
381.56,381.715,381.28,381.715,400,20220518
381.43,381.78,381.43,381.485,500,20220518
381.33,381.47,381.26,381.47,331,20220518
381.63,381.63,381.63,381.63,100,20220518
381.74,381.74,381.285,381.285,707,20220518
381.285,381.53,381.285,381.5075,800,20220518
381.825,381.825,381.1,381.1,313,20220518
381.35,381.35,381.35,381.35,100,20220518
381.565,381.62,381.37,381.385,649,20220518
381.19,381.38,381.06,381.155,1268,20220518
381.25,381.44,380.715,380.795,2001,20220518
