open,high,low,close,volume,datetime
210.37,210.76,209.69,209.99,5216,20220518
209.95,210.28,207.625,207.625,123354,20220518
207.64,209.06,206.98,208.22,82878,20220518
208.185,208.835,207.0,207.26,27745,20220518
207.5858,207.5858,204.74,204.95,35424,20220518
204.87,205.775,204.61,205.29,20811,20220518
205.01,205.71,204.96,205.205,19804,20220518
205.12,205.35,204.11,204.405,24638,20220518
204.405,204.54,204.0,204.1,32996,20220518
204.1,204.317,204.08,204.14,9824,20220518
204.15,204.29,203.5,204.275,15227,20220518
204.3,204.74,203.205,203.205,29369,20220518
203.075,203.15,203.01,203.01,20407,20220518
203.015,203.4225,203.01,203.2,14057,20220518
203.195,203.28,202.07,202.235,33013,20220518
202.165,202.25,201.12,201.135,25757,20220518
201.16,201.24,200.405,200.89,36812,20220518
200.89,201.1199,200.53,200.99,23029,20220518
200.99,201.37,200.68,201.0,22008,20220518
200.97,201.3586,200.6901,201.0,68721,20220518
201.0,201.2,200.83,201.02,38652,20220518
200.86,200.99,199.6711,199.785,18917,20220518
199.7357,200.46,199.7357,200.02,20698,20220518
199.96,200.04,199.3,199.58,11612,20220518
199.37,200.03,199.37,200.03,7177,20220518
200.025,201.32,199.95,200.875,42051,20220518
200.905,201.5,200.44,200.64,13701,20220518
200.77,200.9799,200.685,200.91,9145,20220518
200.9,200.975,200.73,200.73,8411,20220518
200.735,200.84,200.15,200.6,29102,20220518
200.59,200.6,200.28,200.495,3750,20220518
200.51,200.56,200.28,200.385,12535,20220518
200.3,200.55,200.2222,200.26,6808,20220518
200.24,200.85,200.17,200.71,13395,20220518
200.7931,201.1799,200.6276,200.87,7019,20220518
200.915,201.395,200.64,200.9825,14235,20220518
200.85,200.94,200.61,200.8,8751,20220518
200.7,200.99,200.66,200.7367,12234,20220518
200.82,200.875,200.42,200.5294,4890,20220518
200.54,200.94,200.45,200.81,11508,20220518
200.8,200.993,200.21,200.315,15931,20220518
200.43,201.0,200.36,200.975,9876,20220518
200.95,201.0,200.0,200.15,27239,20220518
200.07,200.07,199.51,199.52,16122,20220518
199.51,200.14,199.21,200.0,19107,20220518
199.9253,200.0694,199.84,199.84,4847,20220518
199.84,199.91,199.135,199.31,11047,20220518
199.275,199.5599,199.275,199.32,5833,20220518
199.31,199.36,198.71,198.71,10916,20220518
198.6206,199.0,198.54,198.87,5617,20220518
198.895,198.96,198.6,198.6,6726,20220518
198.66,198.745,198.52,198.66,11350,20220518
198.595,198.595,198.08,198.15,9259,20220518
198.14,198.195,197.92,197.94,11595,20220518
197.94,198.3148,197.77,197.81,14489,20220518
197.81,197.97,197.72,197.76,7409,20220518
197.72,197.72,197.3623,197.58,16145,20220518
197.54,197.725,197.4,197.4,12704,20220518
197.36,197.36,196.54,196.96,17669,20220518
196.885,197.0738,196.49,196.53,8437,20220518
196.6,197.7,196.6,197.62,12438,20220518
197.61,197.61,196.965,197.14,7115,20220518
197.18,197.365,197.145,197.255,6308,20220518
197.335,197.743,197.335,197.53,11526,20220518
197.42,197.76,197.42,197.665,7375,20220518
197.645,198.14,197.58,197.75,10834,20220518
197.79,197.88,197.59,197.59,4124,20220518
197.59,197.62,197.39,197.455,5839,20220518
197.39,197.93,197.39,197.76,4985,20220518
197.67,198.035,197.67,198.02,2914,20220518
198.08,198.19,197.9,197.92,6653,20220518
197.98,198.51,197.98,198.24,31070,20220518
198.21,198.2399,197.68,197.68,5081,20220518
197.55,197.73,197.33,197.61,4109,20220518
197.53,197.71,197.12,197.31,17804,20220518
197.2928,197.75,197.23,197.75,6311,20220518
197.89,198.44,197.77,198.41,4870,20220518
198.44,198.63,198.315,198.42,4130,20220518
198.55,198.98,198.55,198.71,11977,20220518
198.705,198.84,198.5601,198.57,8525,20220518
198.5701,199.37,198.56,199.37,6640,20220518
199.3,199.41,199.0,199.36,10778,20220518
199.25,199.35,199.12,199.22,9878,20220518
199.24,199.33,198.84,198.84,9547,20220518
198.8069,198.84,198.2407,198.2407,9181,20220518
198.26,198.71,198.09,198.62,8011,20220518
198.85,198.94,198.65,198.82,5701,20220518
198.9,199.5,198.898,199.5,5172,20220518
199.52,199.94,199.44,199.65,14517,20220518
199.9,199.9,199.38,199.53,2940,20220518
199.5,199.5,199.14,199.3091,6001,20220518
199.21,200.0,199.2,199.71,14256,20220518
199.67,199.98,199.65,199.97,6079,20220518
199.93,200.05,199.7722,199.7722,18794,20220518
199.76,200.09,199.76,200.03,22208,20220518
199.9901,200.19,199.9,200.02,21217,20220518
199.95,200.11,199.92,200.045,13021,20220518
200.05,200.79,199.99,200.76,29078,20220518
200.76,200.89,200.5,200.5,10019,20220518
200.55,200.56,199.57,199.625,12930,20220518
199.625,199.785,199.5,199.54,30702,20220518
199.33,199.54,199.26,199.4,4687,20220518
199.4,199.56,199.4,199.535,13776,20220518
199.56,199.6,199.55,199.56,1940,20220518
199.6,199.61,199.56,199.57,636,20220518
199.58,199.735,199.58,199.58,3037,20220518
199.58,200.48,199.53,200.33,24226,20220518
200.335,200.43,200.14,200.43,10842,20220518
200.42,200.63,200.42,200.52,3638,20220518
200.52,200.87,200.45,200.87,7813,20220518
200.835,200.84,200.31,200.565,12618,20220518
200.63,200.81,200.47,200.5,3248,20220518
200.52,200.55,200.38,200.44,2712,20220518
200.385,200.41,200.08,200.28,7436,20220518
200.25,200.43,200.25,200.43,1003,20220518
200.44,201.02,200.44,200.865,7794,20220518
200.94,200.96,200.82,200.8344,2031,20220518
200.885,201.28,200.84,201.28,5768,20220518
201.345,201.48,201.15,201.3,7222,20220518
201.29,201.655,201.27,201.655,12293,20220518
201.655,201.8483,201.47,201.57,14723,20220518
201.56,201.71,201.54,201.68,3368,20220518
201.71,201.89,201.5,201.555,5115,20220518
201.5868,201.5868,201.5,201.52,24379,20220518
201.5,201.69,201.5,201.6494,13139,20220518
201.63,202.2895,201.63,202.2895,7798,20220518
202.3,203.15,202.2978,203.15,6940,20220518
203.08,203.62,203.05,203.62,10144,20220518
203.64,204.0,203.53,203.995,10136,20220518
203.94,204.0106,203.1266,203.135,22502,20220518
203.135,203.4,202.95,203.34,18155,20220518
203.34,203.4,202.93,203.055,19133,20220518
203.055,203.11,202.99,203.11,14962,20220518
203.07,203.3668,202.8461,202.915,10507,20220518
202.915,203.36,202.875,203.29,17982,20220518
203.36,203.92,203.36,203.9,4719,20220518
203.86,204.17,203.86,203.98,8777,20220518
204.03,204.05,203.915,203.995,6476,20220518
203.985,204.415,203.985,204.235,8501,20220518
204.215,204.466,203.98,204.14,10202,20220518
204.14,204.145,203.325,203.325,9853,20220518
203.29,203.31,202.615,202.615,4092,20220518
202.58,202.595,202.18,202.18,6504,20220518
202.18,202.215,201.8201,201.85,9644,20220518
201.99,201.99,201.4,201.4,5013,20220518
201.405,201.555,201.365,201.365,5776,20220518
201.42,201.85,201.38,201.79,5936,20220518
201.835,202.1628,201.78,202.1628,4201,20220518
202.13,202.375,202.125,202.18,3202,20220518
202.18,202.22,201.92,201.92,4621,20220518
201.92,201.9321,201.79,201.895,5208,20220518
201.87,202.26,201.83,202.18,5591,20220518
202.21,202.21,201.4801,201.4801,6405,20220518
201.53,201.86,201.43,201.85,5833,20220518
201.88,202.115,201.52,201.565,2380,20220518
201.52,201.52,201.12,201.12,2884,20220518
201.13,201.14,200.94,200.94,2956,20220518
200.88,200.88,200.48,200.48,3016,20220518
200.485,200.485,200.07,200.1499,7857,20220518
