open,high,low,close,volume,datetime
69.41,69.77,68.1,68.4357,58156,20220518
68.3201,68.5199,68.0,68.0,9060,20220518
68.0,68.1065,67.59,68.1065,10786,20220518
68.02,68.1,67.89,68.04,3556,20220518
68.08,68.14,67.75,67.88,4756,20220518
67.83,67.91,67.63,67.81,6023,20220518
68.01,68.33,67.84,68.29,8620,20220518
68.2267,68.2267,68.13,68.16,1206,20220518
68.095,68.28,67.99,67.99,2111,20220518
67.99,68.11,67.61,67.8,4572,20220518
67.72,67.8,67.63,67.8,9213,20220518
67.785,68.07,67.785,67.82,2100,20220518
67.93,67.94,67.81,67.81,3360,20220518
67.845,67.89,67.64,67.89,6831,20220518
67.74,67.92,67.74,67.86,3682,20220518
67.755,67.99,67.755,67.84,2734,20220518
67.79,67.85,67.77,67.85,1489,20220518
67.83,68.02,67.83,68.02,50593,20220518
67.9111,67.9111,67.66,67.66,2995,20220518
67.72,67.7797,67.64,67.7797,2416,20220518
67.8,67.89,67.55,67.55,2116,20220518
67.62,67.84,67.62,67.8099,5926,20220518
67.72,67.88,67.7,67.7717,3659,20220518
67.79,67.8,67.69,67.72,1901,20220518
67.69,67.7,67.66,67.66,1539,20220518
67.67,67.79,67.6007,67.67,5005,20220518
67.64,67.64,67.45,67.46,2738,20220518
67.41,67.46,67.25,67.4,11774,20220518
67.44,67.5,67.33,67.47,3299,20220518
67.4199,67.45,67.36,67.436,4001,20220518
67.46,67.5,67.35,67.5,3177,20220518
67.53,67.63,67.4961,67.62,2956,20220518
67.64,67.74,67.59,67.74,2034,20220518
67.7498,67.7498,67.6,67.655,3187,20220518
67.69,67.81,67.63,67.76,3307,20220518
67.715,68.07,67.67,68.06,14403,20220518
68.01,68.09,67.94,68.0,5614,20220518
68.07,68.13,68.01,68.01,3232,20220518
68.0,68.05,67.99,68.01,4566,20220518
67.87,68.1,67.86,68.025,6931,20220518
68.0,68.11,68.0,68.1,2477,20220518
67.99,68.1,67.96,68.075,6384,20220518
68.07,68.076,67.89,68.01,4718,20220518
68.03,68.07,67.99,68.01,3286,20220518
67.98,68.0,67.96,67.965,800,20220518
67.945,68.0799,67.895,68.0799,3032,20220518
68.07,68.07,67.94,67.94,1078,20220518
67.96,67.9909,67.91,67.98,2632,20220518
67.98,68.07,67.91,67.91,2500,20220518
67.87,67.92,67.75,67.9,7618,20220518
67.9,68.014,67.9,68.014,2701,20220518
68.01,68.01,67.8,67.8,1727,20220518
67.85,67.93,67.74,67.74,1785,20220518
67.71,67.75,67.65,67.65,1991,20220518
67.61,67.67,67.53,67.57,2850,20220518
67.5,67.59,67.5,67.53,1845,20220518
67.57,67.67,67.57,67.64,2845,20220518
67.62,67.65,67.58,67.64,2141,20220518
67.6,67.64,67.51,67.51,2046,20220518
67.5,67.5,67.46,67.47,2800,20220518
67.435,67.565,67.43,67.56,5860,20220518
67.58,67.6,67.4,67.405,4785,20220518
67.43,67.54,67.43,67.49,9213,20220518
67.45,67.53,67.37,67.44,3479,20220518
67.43,67.43,67.3201,67.42,2571,20220518
67.41,67.42,67.27,67.35,2322,20220518
67.35,67.47,67.35,67.44,2450,20220518
67.48,67.56,67.45,67.45,7661,20220518
67.42,67.45,67.4,67.4,2701,20220518
67.41,67.54,67.41,67.54,5752,20220518
67.52,67.535,67.42,67.47,2524,20220518
67.455,67.63,67.455,67.56,3173,20220518
67.56,67.56,67.465,67.47,8155,20220518
67.5,67.56,67.49,67.53,2700,20220518
67.49,67.55,67.41,67.54,4781,20220518
67.54,67.54,67.46,67.52,2800,20220518
67.52,67.76,67.52,67.7,4506,20220518
67.71,67.71,67.62,67.625,3521,20220518
67.65,67.76,67.65,67.75,4122,20220518
67.73,67.75,67.63,67.646,3772,20220518
67.62,67.69,67.59,67.61,6416,20220518
67.62,67.655,67.6,67.625,2900,20220518
67.635,67.68,67.58,67.58,9067,20220518
67.565,67.565,67.47,67.49,5675,20220518
67.47,67.49,67.41,67.44,2533,20220518
67.44,67.44,67.4,67.4,2300,20220518
67.385,67.45,67.375,67.45,1960,20220518
67.47,67.5,67.44,67.5,3979,20220518
67.52,67.64,67.52,67.57,3999,20220518
67.58,67.63,67.58,67.63,1700,20220518
67.65,67.65,67.59,67.61,2848,20220518
67.62,67.62,67.49,67.51,3526,20220518
67.51,67.53,67.45,67.45,1950,20220518
67.46,67.5,67.36,67.36,5146,20220518
67.39,67.4,67.27,67.27,3755,20220518
67.26,67.27,67.2,67.2,4177,20220518
67.22,67.3,67.18,67.18,4406,20220518
67.16,67.21,67.12,67.21,3400,20220518
67.21,67.23,67.18,67.23,1600,20220518
67.23,67.28,67.21,67.27,1863,20220518
67.27,67.28,67.2,67.22,2543,20220518
67.18,67.23,67.18,67.23,850,20220518
67.2,67.21,67.19,67.21,1058,20220518
67.21,67.23,67.21,67.22,1046,20220518
67.2,67.22,67.2,67.21,2900,20220518
67.22,67.23,67.22,67.225,1704,20220518
67.23,67.23,67.105,67.115,5651,20220518
67.13,67.15,67.07,67.1,2623,20220518
67.08,67.08,67.04,67.04,1200,20220518
67.05,67.1,67.01,67.09,5424,20220518
67.06,67.07,66.96,67.0,2516,20220518
67.03,67.03,66.98,66.98,6711,20220518
67.0,67.0,66.98,66.98,300,20220518
66.96,66.96,66.86,66.86,9669,20220518
66.855,66.88,66.785,66.86,3489,20220518
66.86,66.91,66.83,66.87,3586,20220518
66.83,66.83,66.7,66.7,2730,20220518
66.66,66.7,66.64,66.64,2058,20220518
66.61,66.61,66.56,66.6,3179,20220518
66.625,66.695,66.59,66.63,7077,20220518
66.63,66.67,66.5,66.5,5109,20220518
66.5,66.69,66.5,66.58,6386,20220518
66.61,66.61,66.51,66.525,1226,20220518
66.54,66.64,66.54,66.64,3645,20220518
66.65,66.65,66.565,66.565,730,20220518
66.61,66.69,66.6,66.65,1500,20220518
66.61,66.78,66.6,66.77,4170,20220518
66.785,66.99,66.785,66.94,1714,20220518
66.89,66.97,66.8,66.905,12511,20220518
66.84,66.86,66.64,66.64,3018,20220518
66.69,66.72,66.64,66.66,2531,20220518
66.66,66.87,66.66,66.805,1990,20220518
66.805,66.98,66.7,66.98,2512,20220518
66.88,66.885,66.79,66.82,1657,20220518
66.86,66.95,66.86,66.95,1735,20220518
66.91,66.91,66.82,66.83,1647,20220518
66.83,66.9,66.83,66.9,1310,20220518
66.82,66.84,66.8,66.8,1538,20220518
66.85,66.89,66.81,66.83,2650,20220518
66.83,66.86,66.82,66.86,2145,20220518
66.86,66.92,66.8,66.92,2756,20220518
66.94,66.945,66.87,66.87,1200,20220518
66.84,66.84,66.81,66.81,739,20220518
66.78,66.8,66.68,66.76,8237,20220518
66.8,66.8,66.67,66.7,3797,20220518
66.67,66.68,66.635,66.68,1918,20220518
66.72,66.77,66.72,66.75,10384,20220518
66.76,66.76,66.72,66.75,800,20220518
66.75,66.75,66.7,66.7,479,20220518
66.67,66.67,66.6,66.6,1697,20220518
66.56,66.5999,66.55,66.56,2464,20220518
66.57,66.57,66.52,66.57,1600,20220518
66.51,66.52,66.46,66.46,1787,20220518
66.42,66.48,66.4,66.48,1900,20220518
66.53,66.5301,66.4,66.4,3041,20220518
66.42,66.5,66.41,66.435,5383,20220518
66.43,66.45,66.3992,66.3992,3564,20220518
66.39,66.45,66.38,66.43,2388,20220518
66.42,66.42,66.365,66.3837,3524,20220518
66.36,66.36,66.28,66.31,6054,20220518
66.33,66.3864,66.33,66.36,1653,20220518
66.3707,66.46,66.3707,66.435,2175,20220518
66.42,66.42,66.37,66.39,1301,20220518
66.38,66.41,66.335,66.36,3216,20220518
66.375,66.5,66.359,66.49,2882,20220518
66.495,66.51,66.44,66.455,3686,20220518
66.43,66.49,66.43,66.45,4589,20220518
66.48,66.63,66.46,66.63,4172,20220518
66.615,66.615,66.4801,66.53,1753,20220518
66.51,66.51,66.46,66.46,944,20220518
66.49,66.51,66.4,66.425,1336,20220518
66.39,66.45,66.37,66.42,4120,20220518
66.41,66.45,66.405,66.43,2397,20220518
66.425,66.425,66.35,66.37,5345,20220518
66.3581,66.36,66.3,66.31,2770,20220518
66.34,66.38,66.28,66.28,1750,20220518
66.27,66.3,66.24,66.24,3500,20220518
66.23,66.24,66.2,66.2,1600,20220518
66.19,66.28,66.17,66.23,9100,20220518
66.2,66.24,66.2,66.225,1620,20220518
66.1854,66.25,66.1854,66.2,4997,20220518
66.18,66.21,66.155,66.21,2693,20220518
66.15,66.19,66.15,66.185,1560,20220518
66.18,66.2,66.13,66.2,7969,20220518
66.2,66.32,66.2,66.31,5652,20220518
66.33,66.33,66.26,66.29,1850,20220518
66.3,66.37,66.3,66.36,1901,20220518
66.33,66.39,66.3,66.31,2789,20220518
66.3,66.3,66.19,66.21,3750,20220518
66.18,66.21,66.14,66.2,2731,20220518
66.24,66.28,66.24,66.2647,1583,20220518
66.23,66.32,66.22,66.28,1501,20220518
66.26,66.27,66.245,66.27,1921,20220518
66.3,66.4,66.29,66.32,2451,20220518
66.29,66.29,66.22,66.28,7435,20220518
66.3118,66.3118,66.26,66.28,920,20220518
66.32,66.47,66.32,66.47,1200,20220518
66.5,66.6,66.5,66.595,800,20220518
66.595,66.61,66.53,66.53,2931,20220518
66.5082,66.655,66.5082,66.655,944,20220518
66.67,66.67,66.625,66.625,1950,20220518
66.62,66.685,66.6,66.66,2352,20220518
66.68,66.72,66.67,66.7007,1508,20220518
66.7,66.71,66.6511,66.66,3000,20220518
66.665,66.78,66.665,66.78,3367,20220518
66.765,66.765,66.72,66.72,2380,20220518
66.71,66.71,66.65,66.65,2250,20220518
66.65,66.66,66.59,66.61,3081,20220518
66.62,66.6699,66.61,66.65,508,20220518
66.678,66.69,66.6384,66.645,1900,20220518
66.63,66.7,66.565,66.58,6463,20220518
66.61,66.61,66.57,66.58,1803,20220518
66.6,66.6,66.5,66.54,5814,20220518
66.5,66.52,66.5,66.52,1350,20220518
66.545,66.61,66.53,66.59,4749,20220518
66.61,66.61,66.43,66.44,3750,20220518
66.47,66.49,66.36,66.37,3539,20220518
66.38,66.3999,66.325,66.33,5852,20220518
66.33,66.35,66.31,66.35,824,20220518
66.33,66.33,66.2514,66.28,17427,20220518
66.26,66.28,66.14,66.15,10087,20220518
66.16,66.16,66.1,66.135,1367,20220518
66.21,66.21,66.12,66.12,1200,20220518
66.085,66.18,66.085,66.18,900,20220518
66.16,66.25,66.16,66.25,2168,20220518
66.2486,66.2486,66.16,66.19,2328,20220518
66.19,66.19,66.15,66.17,1100,20220518
66.165,66.165,66.105,66.12,1252,20220518
66.115,66.16,66.105,66.12,1703,20220518
66.11,66.11,66.045,66.0572,1337,20220518
66.14,66.21,66.13,66.16,1982,20220518
66.18,66.27,66.18,66.25,1956,20220518
66.235,66.27,66.17,66.27,4300,20220518
66.24,66.25,66.19,66.209,2143,20220518
66.16,66.24,66.16,66.22,700,20220518
66.22,66.22,66.14,66.16,2279,20220518
66.13,66.15,66.1,66.14,3227,20220518
66.12,66.15,66.12,66.15,1336,20220518
66.16,66.22,66.16,66.2109,1487,20220518
66.2719,66.28,66.25,66.25,1107,20220518
