open,high,low,close,volume,datetime
16.4,16.52,16.4,16.47,4662,20220518
16.4,16.4,16.4,16.4,222,20220518
16.44,16.47,16.435,16.47,442,20220518
16.44,16.49,16.44,16.49,900,20220518
16.51,16.52,16.5,16.5,300,20220518
16.505,16.53,16.505,16.53,300,20220518
16.55,16.58,16.54,16.555,1400,20220518
16.58,16.6,16.57,16.57,600,20220518
16.57,16.58,16.57,16.58,300,20220518
16.57,16.57,16.54,16.54,700,20220518
16.52,16.52,16.51,16.52,633,20220518
16.5,16.5,16.5,16.5,100,20220518
16.44,16.44,16.43,16.43,403,20220518
16.43,16.475,16.43,16.475,1812,20220518
16.5,16.51,16.5,16.51,1591,20220518
16.51,16.54,16.51,16.54,1600,20220518
16.53,16.53,16.53,16.53,100,20220518
16.57,16.58,16.565,16.58,800,20220518
16.58,16.58,16.56,16.565,1000,20220518
16.56,16.56,16.56,16.56,400,20220518
16.56,16.565,16.55,16.55,1733,20220518
16.54,16.61,16.54,16.61,2050,20220518
16.62,16.62,16.62,16.62,300,20220518
16.63,16.63,16.61,16.61,610,20220518
16.59,16.59,16.58,16.59,822,20220518
16.56,16.56,16.49,16.51,8074,20220518
16.51,16.55,16.51,16.55,2117,20220518
16.56,16.57,16.56,16.57,1016,20220518
16.57,16.59,16.57,16.59,500,20220518
16.6,16.635,16.596,16.62,1268,20220518
16.63,16.66,16.63,16.65,2100,20220518
16.64,16.64,16.64,16.64,100,20220518
16.65,16.665,16.65,16.66,1813,20220518
16.65,16.66,16.65,16.66,805,20220518
16.67,16.67,16.67,16.67,600,20220518
16.66,16.66,16.64,16.64,286,20220518
16.64,16.64,16.64,16.64,300,20220518
16.61,16.61,16.61,16.61,100,20220518
16.6,16.6,16.58,16.58,600,20220518
16.57,16.57,16.56,16.57,525,20220518
16.56,16.595,16.56,16.595,3478,20220518
16.6,16.6,16.6,16.6,100,20220518
16.6,16.61,16.6,16.61,300,20220518
16.6,16.6,16.595,16.595,700,20220518
16.61,16.64,16.6,16.64,1018,20220518
16.64,16.64,16.64,16.64,800,20220518
16.65,16.65,16.65,16.65,100,20220518
16.65,16.66,16.65,16.66,687,20220518
16.67,16.67,16.645,16.65,801,20220518
16.64,16.64,16.63,16.63,1300,20220518
16.62,16.62,16.61,16.61,1918,20220518
16.62,16.62,16.615,16.615,315,20220518
16.62,16.67,16.62,16.64,1897,20220518
16.64,16.65,16.64,16.64,300,20220518
16.64,16.64,16.61,16.61,821,20220518
16.61,16.61,16.6,16.6,500,20220518
16.6,16.61,16.591,16.591,400,20220518
16.6,16.6,16.59,16.59,400,20220518
16.58,16.58,16.56,16.56,1000,20220518
16.54,16.54,16.53,16.53,200,20220518
16.53,16.53,16.52,16.52,380,20220518
16.505,16.53,16.49,16.525,3300,20220518
16.53,16.545,16.53,16.54,2331,20220518
16.535,16.555,16.535,16.555,826,20220518
16.555,16.555,16.555,16.555,100,20220518
16.565,16.57,16.55,16.57,4900,20220518
16.57,16.585,16.57,16.585,1512,20220518
16.59,16.59,16.585,16.585,300,20220518
16.59,16.6,16.59,16.6,601,20220518
16.59,16.6,16.59,16.6,1440,20220518
16.59,16.59,16.58,16.58,800,20220518
16.59,16.61,16.59,16.61,1211,20220518
16.61,16.61,16.61,16.61,100,20220518
16.61,16.625,16.61,16.62,1499,20220518
16.615,16.615,16.61,16.61,500,20220518
