open,high,low,close,volume,datetime
130.68,130.68,130.46,130.46,10173,20220518
130.24,130.459,130.14,130.459,1097,20220518
130.409,130.409,129.95,129.95,1184,20220518
130.08,130.08,129.94,129.94,11600,20220518
129.995,130.19,129.94,130.05,4894,20220518
130.115,130.24,130.0,130.0,1200,20220518
130.07,130.08,129.98,130.01,8400,20220518
130.055,130.09,129.98,130.015,2080,20220518
129.98,129.98,129.9,129.98,540,20220518
129.9,129.9,129.9,129.9,200,20220518
129.74,129.84,129.63,129.63,3193,20220518
129.73,129.79,129.65,129.77,1818,20220518
129.71,129.91,129.71,129.89,3213,20220518
129.75,129.8,129.75,129.78,441,20220518
129.74,129.825,129.69,129.825,6391,20220518
129.86,129.865,129.86,129.865,200,20220518
129.91,130.07,129.87,130.07,800,20220518
130.03,130.24,130.03,130.2,1540,20220518
130.2,130.205,130.13,130.155,1300,20220518
130.12,130.19,129.98,130.04,3563,20220518
130.1,130.1,129.96,129.96,2000,20220518
129.77,129.8185,129.73,129.73,3274,20220518
129.69,129.74,129.55,129.62,3137,20220518
129.59,129.62,129.58,129.58,800,20220518
129.54,129.615,129.49,129.615,1000,20220518
129.54,129.54,129.41,129.41,1700,20220518
129.51,129.51,129.45,129.45,1400,20220518
129.43,129.43,129.28,129.33,1034,20220518
129.25,129.26,129.13,129.13,500,20220518
129.08,129.2,129.08,129.17,4054,20220518
129.18,129.27,129.11,129.19,9675,20220518
129.22,129.22,129.09,129.14,600,20220518
129.18,129.38,129.18,129.325,1000,20220518
129.2875,129.335,129.235,129.24,2666,20220518
129.335,129.335,129.13,129.13,310,20220518
129.13,129.19,129.02,129.07,4082,20220518
129.01,129.01,128.86,128.97,928,20220518
128.95,128.97,128.9,128.96,520,20220518
128.91,129.04,128.91,129.0,1076,20220518
129.02,129.06,129.01,129.05,603,20220518
129.07,129.08,128.99,129.0,1125,20220518
129.12,129.13,129.075,129.12,996,20220518
129.09,129.15,129.07,129.125,796,20220518
129.07,129.125,129.07,129.125,500,20220518
129.22,129.27,129.15,129.195,5852,20220518
129.2,129.2,129.125,129.19,800,20220518
129.16,129.16,129.065,129.1,2402,20220518
129.11,129.165,129.11,129.165,210,20220518
129.22,129.305,129.2,129.305,1653,20220518
129.24,129.27,129.16,129.16,2910,20220518
129.19,129.27,129.19,129.255,920,20220518
129.15,129.18,129.08,129.18,5911,20220518
129.16,129.16,129.16,129.16,100,20220518
129.23,129.35,129.23,129.26,1600,20220518
129.34,129.34,129.34,129.34,100,20220518
129.34,129.37,129.31,129.37,680,20220518
129.44,129.44,129.27,129.27,1312,20220518
129.22,129.26,129.19,129.19,2643,20220518
129.22,129.27,129.15,129.23,26868,20220518
129.23,129.29,129.23,129.29,1200,20220518
129.24,129.275,129.215,129.215,700,20220518
129.235,129.29,129.23,129.23,1950,20220518
129.36,129.44,129.32,129.34,4996,20220518
129.38,129.545,129.355,129.545,900,20220518
129.43,129.43,129.22,129.305,3455,20220518
129.27,129.34,129.27,129.305,2182,20220518
129.32,129.52,129.32,129.44,700,20220518
129.47,129.47,129.3,129.3,800,20220518
129.32,129.37,129.32,129.32,1701,20220518
129.25,129.3,129.23,129.3,1800,20220518
129.36,129.36,129.26,129.26,4901,20220518
129.29,129.29,129.23,129.23,5124,20220518
129.25,129.34,129.25,129.34,1100,20220518
129.28,129.29,129.275,129.275,421,20220518
129.32,129.32,129.23,129.23,1400,20220518
129.2,129.24,129.15,129.155,1566,20220518
129.09,129.11,129.065,129.065,639,20220518
129.01,129.04,128.965,128.965,1100,20220518
128.965,128.97,128.885,128.92,2262,20220518
128.94,129.0,128.93,128.96,2270,20220518
128.94,129.01,128.925,128.975,2500,20220518
128.975,129.04,128.905,129.02,9979,20220518
129.035,129.035,129.01,129.01,200,20220518
129.05,129.05,129.02,129.04,600,20220518
129.055,129.055,129.0,129.0,300,20220518
129.07,129.08,129.02,129.055,700,20220518
129.095,129.27,129.095,129.27,800,20220518
129.24,129.24,129.2,129.2,700,20220518
129.205,129.23,129.185,129.23,8301,20220518
129.24,129.36,129.24,129.32,910,20220518
129.335,129.395,129.335,129.38,1901,20220518
129.32,129.36,129.3,129.36,1140,20220518
129.405,129.405,129.35,129.37,700,20220518
129.41,129.45,129.41,129.41,902,20220518
129.39,129.395,129.33,129.34,900,20220518
129.315,129.44,129.315,129.44,200,20220518
129.48,129.54,129.47,129.54,300,20220518
129.54,129.54,129.53,129.53,600,20220518
129.4847,129.4847,129.33,129.4,1410,20220518
129.41,129.46,129.41,129.41,3689,20220518
129.39,129.425,129.39,129.425,200,20220518
129.415,129.415,129.38,129.38,200,20220518
129.41,129.41,129.26,129.29,1846,20220518
129.28,129.36,129.28,129.35,901,20220518
129.36,129.36,129.31,129.31,500,20220518
129.3,129.36,129.3,129.36,301,20220518
129.27,129.3,129.27,129.27,700,20220518
129.305,129.305,129.305,129.305,100,20220518
129.27,129.27,129.19,129.2,1309,20220518
129.16,129.16,129.16,129.16,803,20220518
129.18,129.18,129.14,129.15,500,20220518
129.12,129.12,129.1,129.1,900,20220518
129.12,129.14,129.0,129.03,6274,20220518
129.08,129.15,129.075,129.075,1650,20220518
129.14,129.17,129.075,129.155,2372,20220518
129.155,129.16,129.155,129.16,200,20220518
129.22,129.24,129.16,129.19,3226,20220518
129.33,129.33,129.33,129.33,100,20220518
129.38,129.54,129.33,129.47,11614,20220518
129.42,129.51,129.275,129.295,11502,20220518
129.295,129.37,129.2,129.3,33310,20220518
129.3,129.33,129.26,129.26,5504,20220518
129.29,129.3,129.25,129.295,1300,20220518
129.295,129.31,129.16,129.215,1700,20220518
129.2,129.23,129.16,129.23,1002,20220518
129.255,129.255,129.22,129.22,601,20220518
129.29,129.29,129.245,129.245,700,20220518
129.2,129.2,129.14,129.19,1217,20220518
129.19,129.19,129.19,129.19,100,20220518
129.15,129.18,129.14,129.18,625,20220518
129.16,129.16,129.15,129.15,420,20220518
129.155,129.155,129.155,129.155,161,20220518
129.12,129.125,129.12,129.125,400,20220518
129.09,129.09,129.03,129.03,1223,20220518
129.11,129.12,129.065,129.12,510,20220518
129.115,129.19,129.03,129.19,1406,20220518
129.16,129.25,129.15,129.25,519,20220518
129.3,129.3,129.23,129.29,1211,20220518
129.3,129.35,129.24,129.245,5722,20220518
129.24,129.24,129.24,129.24,100,20220518
129.24,129.32,129.24,129.3,5229,20220518
129.3,129.31,129.25,129.28,4062,20220518
129.28,129.31,129.27,129.28,5250,20220518
129.26,129.33,129.26,129.29,20585,20220518
129.28,129.32,129.27,129.285,12375,20220518
129.285,129.3225,129.27,129.29,18236,20220518
129.27,129.32,129.27,129.3025,17848,20220518
129.31,129.31,129.25,129.26,4988,20220518
129.26,129.32,129.25,129.25,7900,20220518
129.265,129.29,129.24,129.24,1305,20220518
129.245,129.245,129.1782,129.19,2216,20220518
129.22,129.29,129.19,129.22,1800,20220518
129.215,129.24,129.12,129.165,2412,20220518
129.165,129.235,129.165,129.235,1097,20220518
129.28,129.31,129.265,129.265,2350,20220518
129.23,129.235,129.21,129.23,500,20220518
129.205,129.27,129.205,129.27,800,20220518
129.29,129.42,129.25,129.25,13185,20220518
129.23,129.3,129.22,129.22,1000,20220518
129.2,129.25,129.2,129.2,1002,20220518
129.215,129.31,129.215,129.27,2292,20220518
129.3,129.31,129.27,129.27,3976,20220518
129.29,129.31,129.27,129.28,3500,20220518
129.27,129.29,129.24,129.29,900,20220518
129.26,129.27,129.2101,129.2541,2242,20220518
129.223,129.29,129.223,129.28,904,20220518
129.3,129.32,129.27,129.3,9606,20220518
129.3,129.31,129.27,129.29,18814,20220518
129.3,129.31,129.25,129.3,6399,20220518
129.3,129.31,129.25,129.25,4659,20220518
129.25,129.31,129.25,129.3,2802,20220518
129.3,129.31,129.255,129.3,17461,20220518
129.28,129.31,129.275,129.29,20799,20220518
129.27,129.31,129.25,129.3,6919,20220518
129.3,129.3,129.26,129.27,1889,20220518
129.28,129.28,129.225,129.225,1664,20220518
129.24,129.25,129.21,129.22,1002,20220518
129.22,129.25,129.21,129.21,10159,20220518
129.17,129.2,129.15,129.16,2492,20220518
129.165,129.24,129.145,129.22,1000,20220518
129.22,129.25,129.22,129.24,500,20220518
129.28,129.3,129.23,129.24,6900,20220518
129.22,129.22,129.16,129.19,1520,20220518
129.2,129.23,129.17,129.18,1740,20220518
129.195,129.24,129.195,129.23,1300,20220518
129.22,129.22,129.145,129.2,1500,20220518
129.23,129.23,129.23,129.23,157,20220518
129.23,129.31,129.23,129.285,3150,20220518
129.275,129.29,129.26,129.29,900,20220518
129.26,129.26,129.2,129.21,1796,20220518
129.25,129.3,129.225,129.28,3483,20220518
129.29,129.3,129.27,129.292,4972,20220518
129.3,129.3,129.24,129.26,3368,20220518
129.21,129.21,129.2,129.21,788,20220518
129.24,129.28,129.24,129.28,500,20220518
129.29,129.31,129.26,129.26,11372,20220518
129.29,129.3,129.25,129.275,4912,20220518
129.29,129.31,129.29,129.3,12958,20220518
129.3,129.31,129.27,129.27,14268,20220518
129.275,129.49,129.27,129.49,14381,20220518
129.49,129.52,129.43,129.43,2676,20220518
129.4,129.47,129.4,129.42,1100,20220518
129.44,129.48,129.44,129.445,300,20220518
129.42,129.42,129.4,129.4,700,20220518
129.41,129.44,129.41,129.42,300,20220518
129.41,129.41,129.22,129.22,2300,20220518
129.22,129.27,129.19,129.19,1100,20220518
129.23,129.23,129.14,129.16,1000,20220518
129.11,129.11,129.01,129.03,1300,20220518
129.05,129.11,129.01,129.11,1914,20220518
129.08,129.09,129.01,129.045,500,20220518
129.045,129.045,129.0,129.02,1600,20220518
129.01,129.03,128.99,129.02,3238,20220518
129.01,129.04,129.01,129.04,400,20220518
129.01,129.02,128.98,129.0056,6825,20220518
129.04,129.04,129.04,129.04,100,20220518
