open,high,low,close,volume,datetime
97.9,97.9,97.7,97.7,6170,20220518
96.96,96.96,96.74,96.74,1978,20220518
96.785,97.04,96.785,96.88,1417,20220518
96.855,96.855,96.855,96.855,100,20220518
96.985,96.985,96.64,96.64,796,20220518
96.36,96.5,96.36,96.41,1401,20220518
96.26,96.26,96.2,96.2,874,20220518
96.17,96.22,96.17,96.22,580,20220518
96.2922,96.2922,96.2922,96.2922,100,20220518
96.188,96.23,96.188,96.23,348,20220518
96.35,96.35,96.35,96.35,100,20220518
96.53,96.6,96.35,96.37,700,20220518
96.14,96.18,96.08,96.18,950,20220518
96.3175,96.3175,96.07,96.1498,1000,20220518
96.07,96.1,95.95,96.01,5696,20220518
96.08,96.16,96.08,96.16,500,20220518
96.09,96.09,95.86,95.92,8124,20220518
96.03,96.03,96.03,96.03,100,20220518
96.05,96.05,96.03,96.05,500,20220518
95.935,95.935,95.935,95.935,200,20220518
95.92,95.92,95.77,95.79,804,20220518
95.71,95.71,95.71,95.71,100,20220518
95.76,95.76,95.62,95.66,1000,20220518
95.69,95.8,95.69,95.8,1255,20220518
95.65,95.7,95.62,95.7,1800,20220518
95.6,95.6,95.6,95.6,100,20220518
95.52,95.53,95.38,95.38,1400,20220518
95.31,95.38,95.3,95.35,1974,20220518
95.36,95.36,95.36,95.36,500,20220518
95.26,95.28,95.11,95.11,2021,20220518
95.19,95.19,95.07,95.12,1202,20220518
95.0,95.0,94.85,94.878,2672,20220518
94.98,95.01,94.93,94.94,1100,20220518
94.965,94.965,94.82,94.88,600,20220518
94.78,94.78,94.72,94.72,353,20220518
94.62,94.6984,94.62,94.675,300,20220518
94.84,94.85,94.59,94.59,3323,20220518
94.58,94.625,94.53,94.62,4347,20220518
94.675,94.75,94.65,94.65,500,20220518
94.65,94.9,94.62,94.89,3068,20220518
94.84,94.975,94.84,94.975,200,20220518
94.945,95.02,94.91,95.02,1062,20220518
95.03,95.03,94.93,95.0,3355,20220518
95.07,95.07,95.05,95.06,525,20220518
95.0,95.14,95.0,95.14,600,20220518
95.01,95.01,94.9,94.9,2063,20220518
94.758,94.95,94.75,94.95,900,20220518
94.93,94.93,94.93,94.93,100,20220518
94.92,95.09,94.92,95.09,400,20220518
95.09,95.09,94.95,94.985,1320,20220518
94.91,94.91,94.72,94.745,1800,20220518
94.71,94.98,94.71,94.87,12440,20220518
94.88,94.99,94.88,94.99,600,20220518
95.08,95.14,95.08,95.14,300,20220518
95.27,95.27,95.09,95.09,2073,20220518
95.21,95.21,95.21,95.21,300,20220518
95.29,95.31,95.29,95.31,558,20220518
95.28,95.29,95.05,95.05,1100,20220518
95.0952,95.0952,94.86,94.86,1310,20220518
94.88,94.93,94.88,94.88,900,20220518
94.94,95.12,94.93,94.94,4201,20220518
94.94,94.94,94.94,94.94,200,20220518
94.965,94.965,94.965,94.965,100,20220518
95.03,95.18,95.0,95.18,1500,20220518
95.185,95.185,95.09,95.18,702,20220518
95.15,95.15,95.07,95.07,1839,20220518
95.03,95.17,95.0,95.13,1642,20220518
95.2,95.2,95.2,95.2,100,20220518
95.13,95.13,94.99,95.01,1000,20220518
95.03,95.03,95.03,95.03,300,20220518
95.08,95.08,95.02,95.08,1000,20220518
95.14,95.17,95.14,95.17,200,20220518
95.25,95.25,95.25,95.25,200,20220518
95.23,95.3,95.23,95.3,200,20220518
95.18,95.325,95.18,95.2,1400,20220518
95.3,95.32,95.3,95.32,300,20220518
95.39,95.62,95.39,95.62,800,20220518
95.5723,95.5723,95.53,95.56,500,20220518
95.64,95.66,95.61,95.66,560,20220518
95.58,95.58,95.42,95.57,1100,20220518
95.53,95.58,95.53,95.58,200,20220518
95.73,95.75,95.73,95.75,200,20220518
95.65,95.81,95.64,95.76,1100,20220518
95.71,95.74,95.45,95.49,1709,20220518
95.58,95.58,95.58,95.58,100,20220518
95.57,95.57,95.57,95.57,200,20220518
95.44,95.51,95.38,95.51,1000,20220518
95.58,95.65,95.49,95.65,1902,20220518
95.71,95.85,95.71,95.85,300,20220518
95.85,95.85,95.74,95.78,600,20220518
95.81,95.81,95.81,95.81,100,20220518
95.7,95.775,95.7,95.775,424,20220518
95.7,95.78,95.65,95.65,621,20220518
95.6,95.6,95.53,95.57,500,20220518
95.5,95.5,95.25,95.29,1401,20220518
95.29,95.29,95.11,95.17,3933,20220518
95.16,95.16,95.16,95.16,100,20220518
95.09,95.39,95.09,95.29,1008,20220518
95.36,95.36,95.23,95.3,1003,20220518
95.26,95.35,95.21,95.21,434,20220518
95.24,95.24,95.175,95.175,1202,20220518
95.23,95.24,95.225,95.225,481,20220518
95.34,95.34,95.34,95.34,100,20220518
95.35,95.35,95.35,95.35,100,20220518
95.3,95.3,95.23,95.3,1139,20220518
95.33,95.33,95.3,95.3,200,20220518
95.29,95.37,95.29,95.37,1100,20220518
95.37,95.37,95.37,95.37,1100,20220518
95.42,95.48,95.38,95.48,2870,20220518
95.465,95.49,95.465,95.49,602,20220518
95.4114,95.4114,95.4114,95.4114,161,20220518
95.49,95.6,95.48,95.59,1602,20220518
95.59,95.66,95.54,95.66,1250,20220518
95.63,95.88,95.6069,95.8,6683,20220518
95.8254,95.84,95.8254,95.84,300,20220518
95.89,95.89,95.68,95.785,1302,20220518
95.71,95.765,95.71,95.765,500,20220518
95.88,95.92,95.88,95.92,200,20220518
95.79,95.79,95.59,95.59,1065,20220518
95.62,95.68,95.62,95.68,500,20220518
95.625,95.745,95.625,95.745,700,20220518
95.745,95.75,95.74,95.74,2000,20220518
95.735,95.735,95.63,95.675,1925,20220518
95.68,95.68,95.6425,95.67,407,20220518
95.72,95.81,95.65,95.8,3406,20220518
95.72,95.79,95.72,95.79,410,20220518
95.84,95.84,95.775,95.775,350,20220518
95.96,95.96,95.86,95.89,1100,20220518
95.85,95.85,95.85,95.85,100,20220518
95.77,95.77,95.68,95.68,1282,20220518
95.7,95.7,95.6,95.6,1150,20220518
95.65,95.65,95.5,95.52,917,20220518
95.44,95.6,95.44,95.59,2717,20220518
95.565,95.73,95.565,95.71,11500,20220518
95.69,95.69,95.69,95.69,100,20220518
95.675,95.7,95.47,95.56,4567,20220518
95.38,95.41,95.305,95.305,700,20220518
95.35,95.42,95.35,95.37,515,20220518
95.31,95.33,95.31,95.33,537,20220518
95.29,95.29,95.29,95.29,128,20220518
95.35,95.35,95.22,95.22,800,20220518
95.16,95.16,95.02,95.02,516,20220518
95.01,95.1,95.01,95.07,1521,20220518
95.01,95.01,94.89,95.0,1015,20220518
95.02,95.02,95.0,95.02,1012,20220518
95.04,95.04,94.885,94.885,800,20220518
94.96,95.03,94.96,95.03,350,20220518
94.96,95.03,94.89,95.03,1628,20220518
95.01,95.01,94.951,94.951,800,20220518
95.0107,95.09,95.0107,95.09,2000,20220518
95.12,95.2,95.12,95.13,500,20220518
95.26,95.27,95.19,95.19,1404,20220518
95.17,95.17,95.17,95.17,100,20220518
95.18,95.23,95.18,95.23,500,20220518
95.27,95.28,95.13,95.13,1146,20220518
95.1,95.14,95.1,95.14,605,20220518
95.12,95.15,95.12,95.14,800,20220518
95.18,95.21,95.15,95.15,620,20220518
95.18,95.18,95.03,95.03,1300,20220518
95.1,95.12,95.02,95.02,1053,20220518
95.11,95.11,95.11,95.11,199,20220518
95.14,95.25,95.14,95.25,501,20220518
95.19,95.25,95.17,95.22,500,20220518
95.24,95.36,95.24,95.36,859,20220518
95.325,95.355,95.325,95.355,400,20220518
