open,high,low,close,volume,datetime
73.0,73.18,72.445,72.46,212283,20220518
72.5,73.07,72.47,73.0272,34446,20220518
73.0239,73.18,72.59,72.615,26839,20220518
72.565,72.59,72.22,72.3,38945,20220518
72.31,72.3499,72.07,72.2682,33854,20220518
72.2182,72.43,72.16,72.255,38688,20220518
72.2483,72.535,72.2483,72.49,40241,20220518
72.5,72.57,72.42,72.5301,23004,20220518
72.555,72.6,72.19,72.2326,34211,20220518
72.21,72.21,71.9118,71.9899,115497,20220518
71.95,72.05,71.87,71.96,27644,20220518
71.941,72.0,71.85,71.97,25936,20220518
71.97,72.1587,71.9,72.12,25330,20220518
72.15,72.29,72.041,72.041,25731,20220518
72.11,72.3995,72.11,72.33,25486,20220518
72.28,72.515,72.27,72.5,25280,20220518
72.48,72.64,72.4201,72.58,27786,20220518
72.59,72.72,72.53,72.555,36942,20220518
72.555,72.66,72.4745,72.54,18216,20220518
72.5282,72.55,72.38,72.44,31181,20220518
72.4488,72.4488,72.08,72.08,13260,20220518
72.08,72.37,72.06,72.13,23621,20220518
72.14,72.4078,72.07,72.31,16568,20220518
72.31,72.4414,72.31,72.4296,8681,20220518
72.45,72.5,72.32,72.38,10234,20220518
72.39,72.42,72.22,72.26,5938,20220518
72.3,72.31,72.095,72.11,9569,20220518
72.12,72.17,72.01,72.13,19718,20220518
72.12,72.16,72.035,72.13,16698,20220518
72.12,72.25,72.1173,72.1673,10888,20220518
72.15,72.4,72.13,72.34,11450,20220518
72.37,72.5,72.32,72.3738,20919,20220518
72.36,72.46,72.34,72.4134,7463,20220518
72.4,72.555,72.35,72.46,23742,20220518
72.465,72.54,72.42,72.42,12222,20220518
72.41,72.625,72.41,72.56,43839,20220518
72.565,72.61,72.5,72.6,15120,20220518
72.6,72.6,72.4,72.585,21324,20220518
72.59,72.59,72.36,72.43,15962,20220518
72.455,72.455,72.21,72.2314,9966,20220518
72.21,72.29,72.19,72.23,10388,20220518
72.255,72.31,72.13,72.27,15742,20220518
72.25,72.29,72.114,72.14,8096,20220518
72.14,72.3956,72.13,72.315,23987,20220518
72.3019,72.53,72.28,72.48,24300,20220518
72.48,72.5,72.33,72.39,11091,20220518
72.36,72.46,72.27,72.4396,6410,20220518
72.42,72.51,72.34,72.405,10831,20220518
72.4,72.5,72.37,72.4,8492,20220518
72.39,72.44,72.34,72.38,5830,20220518
72.36,72.55,72.3,72.5,22374,20220518
72.525,72.5297,72.445,72.45,12239,20220518
72.483,72.53,72.44,72.465,8949,20220518
72.45,72.5,72.3,72.3,20700,20220518
72.31,72.33,72.2266,72.2486,15027,20220518
72.2496,72.27,72.13,72.13,36379,20220518
72.135,72.31,72.13,72.24,7744,20220518
72.2,72.2,72.07,72.14,25289,20220518
72.125,72.15,71.96,71.961,58944,20220518
71.97,72.01,71.85,71.96,53169,20220518
71.97,72.1524,71.88,72.13,21760,20220518
72.13,72.17,71.95,71.9879,12545,20220518
72.01,72.02,71.86,71.91,19086,20220518
71.898,72.1895,71.898,72.14,14227,20220518
72.11,72.2,72.05,72.08,27792,20220518
72.1,72.1187,71.955,72.0,14087,20220518
71.96,72.05,71.83,71.86,20401,20220518
71.83,71.86,71.7,71.72,31041,20220518
71.74,71.88,71.65,71.7901,33952,20220518
71.78,71.9,71.7354,71.8601,14758,20220518
71.88,72.02,71.82,71.94,11493,20220518
71.95,72.06,71.88,72.0488,13309,20220518
72.02,72.0625,71.91,71.98,13595,20220518
71.99,72.01,71.86,71.91,10434,20220518
71.89,71.91,71.721,71.721,18669,20220518
71.7381,71.855,71.69,71.855,13673,20220518
71.85,72.05,71.835,71.9599,22000,20220518
71.96,71.96,71.8588,71.92,15928,20220518
71.94,72.04,71.89,71.95,17384,20220518
71.9198,71.94,71.8,71.87,5465,20220518
71.9,71.9,71.73,71.75,15064,20220518
71.79,71.8139,71.67,71.68,29093,20220518
71.7,71.72,71.6251,71.64,8955,20220518
71.6407,71.87,71.6407,71.82,12764,20220518
71.8,71.93,71.78,71.902,46800,20220518
71.83,71.86,71.73,71.73,14202,20220518
71.7,71.76,71.6,71.62,30314,20220518
71.63,71.81,71.63,71.81,22481,20220518
71.78,71.8,71.6907,71.72,17059,20220518
71.72,71.89,71.72,71.87,85213,20220518
71.89,71.89,71.8,71.82,15263,20220518
71.8,71.87,71.8,71.83,7627,20220518
71.8046,71.891,71.76,71.76,15442,20220518
71.77,71.86,71.69,71.71,10269,20220518
71.745,71.765,71.605,71.6399,14980,20220518
71.625,71.7,71.53,71.64,16694,20220518
71.63,71.65,71.365,71.3748,53570,20220518
71.38,71.51,71.29,71.49,46574,20220518
71.4679,71.5,71.39,71.41,12317,20220518
71.4,71.44,71.3,71.32,22145,20220518
71.33,71.35,71.16,71.18,42543,20220518
71.15,71.2529,71.1329,71.2106,36712,20220518
71.22,71.25,71.2004,71.21,11695,20220518
71.21,71.2186,71.18,71.189,13066,20220518
71.19,71.205,71.1838,71.19,5129,20220518
71.19,71.1936,71.13,71.185,7811,20220518
71.18,71.22,70.78,70.8,119701,20220518
70.7922,70.85,70.65,70.65,17730,20220518
70.651,70.651,70.46,70.4899,35840,20220518
70.49,70.55,70.45,70.46,34709,20220518
70.45,70.45,70.35,70.37,28738,20220518
70.36,70.3876,70.3,70.34,19984,20220518
70.35,70.55,70.25,70.44,63581,20220518
70.44,70.44,70.25,70.385,37058,20220518
70.35,70.48,70.3406,70.47,19106,20220518
70.44,70.555,70.32,70.445,20604,20220518
70.44,70.549,70.37,70.549,13217,20220518
70.51,70.54,70.4,70.5215,26665,20220518
70.505,70.54,70.35,70.4,20430,20220518
70.35,70.37,70.19,70.315,116255,20220518
70.3,70.35,70.195,70.195,29247,20220518
70.215,70.49,70.1911,70.38,38121,20220518
70.4,70.43,70.29,70.3296,21648,20220518
70.34,70.6282,70.3082,70.48,12103,20220518
70.48,70.48,70.31,70.45,9914,20220518
70.4901,70.56,70.44,70.52,11949,20220518
70.52,70.62,70.49,70.57,25059,20220518
70.59,70.77,70.5,70.77,18149,20220518
70.78,70.88,70.645,70.8611,35115,20220518
70.85,70.85,70.7,70.765,12839,20220518
70.77,70.84,70.59,70.68,13519,20220518
70.67,70.9,70.67,70.8811,12054,20220518
70.9,70.93,70.7957,70.86,26890,20220518
70.83,70.83,70.615,70.615,17511,20220518
70.6,70.76,70.56,70.72,60207,20220518
70.6475,70.67,70.42,70.46,56989,20220518
70.4623,70.568,70.435,70.47,25636,20220518
70.4,70.42,70.27,70.29,13995,20220518
70.29,70.3,70.11,70.1301,40975,20220518
70.142,70.29,70.1201,70.2386,77546,20220518
70.22,70.2221,70.12,70.18,15817,20220518
70.2799,70.3146,70.2003,70.22,13194,20220518
70.2131,70.34,70.2,70.28,52311,20220518
70.28,70.28,70.13,70.2317,46437,20220518
70.25,70.27,70.05,70.0801,34515,20220518
70.08,70.25,70.06,70.25,20739,20220518
70.28,70.41,70.28,70.331,18502,20220518
70.3625,70.458,70.29,70.37,26256,20220518
70.3908,70.4349,70.32,70.4,7911,20220518
70.34,70.44,70.32,70.38,5885,20220518
70.36,70.37,70.29,70.295,16592,20220518
70.28,70.4,70.25,70.31,17020,20220518
70.35,70.39,70.315,70.33,5639,20220518
70.33,70.35,70.27,70.3,12619,20220518
70.3,70.35,70.2,70.2,8022,20220518
70.19,70.19,69.92,69.9699,173754,20220518
69.97,70.04,69.9132,69.9299,48303,20220518
69.9,69.97,69.85,69.955,29847,20220518
69.94,70.0,69.835,69.905,12869,20220518
69.91,69.98,69.83,69.92,8421,20220518
69.95,69.9722,69.8186,69.9722,16088,20220518
69.98,70.04,69.88,69.97,33334,20220518
69.99,70.01,69.83,69.971,21534,20220518
70.0,70.015,69.92,69.99,199181,20220518
69.99,70.03,69.95,70.005,111651,20220518
70.005,70.28,69.95,70.24,31106,20220518
70.27,70.535,70.27,70.44,32022,20220518
70.45,70.52,70.39,70.41,9985,20220518
70.3595,70.3828,70.24,70.355,7088,20220518
70.33,70.33,70.26,70.27,4440,20220518
70.29,70.3,70.11,70.11,13628,20220518
70.07,70.07,69.8472,69.87,54190,20220518
69.86,70.03,69.86,69.9,29375,20220518
69.93,69.99,69.75,69.8,33234,20220518
69.8046,69.87,69.66,69.67,35212,20220518
69.6696,69.8799,69.6696,69.8694,10408,20220518
69.83,69.86,69.73,69.86,8465,20220518
69.8783,69.95,69.8447,69.86,9143,20220518
69.88,69.95,69.8,69.85,10101,20220518
69.848,69.848,69.7281,69.76,12149,20220518
69.75,69.7883,69.7,69.719,14615,20220518
69.716,69.86,69.67,69.83,8882,20220518
69.8294,69.895,69.81,69.8582,8444,20220518
69.85,69.89,69.75,69.89,14810,20220518
69.87,70.0299,69.85,69.97,8333,20220518
69.98,70.08,69.94,70.01,11504,20220518
70.0,70.0657,69.95,70.04,13810,20220518
70.04,70.05,69.92,69.92,15258,20220518
69.9112,69.9112,69.77,69.84,12031,20220518
69.8249,69.94,69.82,69.9134,10502,20220518
69.89,69.9,69.81,69.81,14507,20220518
69.8263,69.91,69.8,69.815,14423,20220518
69.79,69.905,69.74,69.814,25406,20220518
69.815,69.9218,69.8,69.86,10850,20220518
69.8283,69.91,69.77,69.79,37586,20220518
69.785,69.8523,69.7491,69.8523,13614,20220518
69.855,70.0,69.85,69.96,46753,20220518
69.98,69.99,69.92,69.99,26136,20220518
69.99,69.99,69.9382,69.96,17496,20220518
69.95,70.09,69.94,70.07,391605,20220518
70.1,70.26,70.09,70.22,7257,20220518
70.25,70.33,70.19,70.24,28809,20220518
70.2269,70.38,70.2269,70.36,10026,20220518
70.38,70.44,70.2013,70.2081,18980,20220518
70.205,70.23,70.159,70.215,7456,20220518
70.202,70.2259,70.149,70.149,8439,20220518
70.12,70.14,70.08,70.11,11536,20220518
70.1176,70.24,70.1176,70.2168,5499,20220518
70.23,70.37,70.23,70.34,9796,20220518
70.33,70.33,70.26,70.26,9312,20220518
70.25,70.31,70.1551,70.1551,11839,20220518
70.17,70.21,70.13,70.135,5174,20220518
70.13,70.1867,70.07,70.095,18124,20220518
70.08,70.1,69.9568,69.96,125333,20220518
69.97,70.005,69.8949,69.9874,5086,20220518
70.0,70.01,69.89,69.94,14800,20220518
69.96,70.02,69.85,69.85,21932,20220518
69.82,69.84,69.72,69.8178,24366,20220518
69.81,69.81,69.72,69.73,8880,20220518
69.74,69.74,69.63,69.645,19720,20220518
69.65,69.688,69.459,69.459,75436,20220518
69.465,69.485,69.37,69.395,37148,20220518
69.4,69.41,69.3,69.3399,29986,20220518
69.33,69.3803,69.25,69.345,30082,20220518
69.3096,69.3854,69.2,69.21,21242,20220518
69.205,69.22,69.14,69.19,25491,20220518
69.1601,69.19,69.06,69.075,23629,20220518
69.085,69.085,69.01,69.04,22972,20220518
69.05,69.1935,69.03,69.05,27514,20220518
69.04,69.13,68.92,69.0,58720,20220518
69.01,69.15,69.01,69.085,22758,20220518
69.09,69.28,69.04,69.205,15985,20220518
69.19,69.205,69.115,69.14,13903,20220518
69.11,69.21,69.0305,69.13,21642,20220518
69.125,69.125,69.03,69.07,9772,20220518
69.08,69.14,69.0721,69.11,8212,20220518
69.11,69.19,69.07,69.12,6113,20220518
69.1,69.24,69.07,69.23,16797,20220518
69.25,69.3,69.18,69.3,8849,20220518
69.3,69.43,69.2548,69.425,11788,20220518
69.4099,69.545,69.405,69.545,15729,20220518
69.55,69.74,69.55,69.73,13765,20220518
69.7224,69.73,69.63,69.671,19082,20220518
69.6504,69.6699,69.5335,69.57,13717,20220518
69.58,69.7214,69.58,69.6,11325,20220518
69.64,69.7057,69.48,69.48,7388,20220518
69.45,69.6208,69.43,69.51,7731,20220518
69.49,69.53,69.46,69.47,9508,20220518
69.45,69.505,69.38,69.48,6199,20220518
69.44,69.51,69.4151,69.5,6529,20220518
69.51,69.51,69.315,69.3359,9056,20220518
69.33,69.33,69.21,69.21,6232,20220518
69.1604,69.25,69.16,69.17,8062,20220518
69.15,69.25,69.11,69.235,17486,20220518
69.22,69.22,69.115,69.13,12619,20220518
69.11,69.12,69.05,69.11,13391,20220518
69.105,69.14,68.97,69.0,46492,20220518
69.0,69.05,68.95,68.98,71683,20220518
69.0,69.07,68.98,69.02,22729,20220518
69.0129,69.1,68.98,69.05,20567,20220518
69.04,69.2,69.03,69.09,6948,20220518
69.05,69.1505,69.05,69.05,13587,20220518
69.072,69.1461,69.0401,69.08,9669,20220518
69.07,69.0827,69.015,69.07,8938,20220518
69.0899,69.157,69.04,69.13,5423,20220518
69.125,69.125,69.03,69.035,6470,20220518
69.035,69.24,69.035,69.24,51258,20220518
69.235,69.249,69.1594,69.1905,11505,20220518
69.19,69.22,69.11,69.15,6652,20220518
69.13,69.16,69.07,69.14,4888,20220518
69.145,69.2519,69.1332,69.23,16803,20220518
69.225,69.27,69.1,69.1092,9527,20220518
69.1,69.18,68.9601,69.001,36029,20220518
69.0117,69.05,68.99,69.05,7313,20220518
69.08,69.19,69.08,69.19,12596,20220518
69.23,69.27,69.17,69.2,52650,20220518
69.21,69.21,69.1162,69.1162,8290,20220518
69.14,69.14,69.05,69.0901,4805,20220518
69.09,69.1,68.95,69.05,21538,20220518
69.0591,69.09,69.02,69.04,6430,20220518
69.07,69.13,68.96,69.08,27152,20220518
69.0992,69.19,68.9659,68.9659,14977,20220518
68.9895,69.01,68.9479,68.9768,6272,20220518
69.02,69.0937,68.96,69.0014,6089,20220518
